condition	budget_name	decode_index	median_ms	min_ms	max_ms	cv	samples_ms
FAIR_B16	B16	0	32.06041717529297	31.923200607299805	32.11702346801758	0.0019353730786612318	[31.923200607299805, 32.05830383300781, 32.06041717529297, 32.060638427734375, 32.103424072265625, 31.99180793762207, 32.11702346801758]
FAIR_B16	B16	1	17.971200942993164	17.66912078857422	18.070528030395508	0.006790659078824648	[17.66912078857422, 18.000896453857422, 17.868799209594727, 17.963008880615234, 17.99782371520996, 17.971200942993164, 18.070528030395508]
FAIR_B16	B16	2	17.123327255249023	16.934911727905273	17.256671905517578	0.0059874416756195425	[16.934911727905273, 17.256671905517578, 17.02911949157715, 17.123327255249023, 17.118207931518555, 17.146879196166992, 17.22777557373047]
FAIR_B16	B16	3	17.00351905822754	16.738304138183594	17.312768936157227	0.009807992552994778	[16.738304138183594, 17.134592056274414, 16.955392837524414, 16.99635124206543, 17.143808364868164, 17.00351905822754, 17.312768936157227]
CONTROL_B24	B24	0	32.07475280761719	31.926368713378906	32.201438903808594	0.0028627172618924087	[32.01228713989258, 32.18636703491211, 32.201438903808594, 31.926368713378906, 32.07475280761719, 32.02761459350586, 32.12492752075195]
CONTROL_B24	B24	1	17.804288864135742	17.717248916625977	18.069503784179688	0.006804921429455329	[17.75654411315918, 17.717248916625977, 17.991680145263672, 17.804288864135742, 18.069503784179688, 17.908735275268555, 17.784832000732422]
CONTROL_B24	B24	2	17.011104583740234	16.955392837524414	17.272031784057617	0.006279716106891561	[16.959487915039062, 16.955392837524414, 17.0199031829834, 16.98918342590332, 17.272031784057617, 17.137664794921875, 17.011104583740234]
CONTROL_B24	B24	3	16.926719665527344	16.744447708129883	17.094655990600586	0.007315811550913593	[16.85196876525879, 16.744447708129883, 16.926719665527344, 17.0250244140625, 17.078271865844727, 17.094655990600586, 16.83456039428711]
FAIR_B24	B24	0	31.972991943359375	31.891071319580078	32.28144073486328	0.004365701765595807	[31.972991943359375, 32.163841247558594, 31.894880294799805, 32.00307083129883, 31.891071319580078, 32.28144073486328, 31.905792236328125]
FAIR_B24	B24	1	17.84217643737793	17.785856246948242	18.118656158447266	0.007198129995644736	[17.84217643737793, 18.080768585205078, 17.80019187927246, 17.785856246948242, 17.8022403717041, 18.118656158447266, 17.898752212524414]
FAIR_B24	B24	2	17.04755210876465	16.921600341796875	17.286144256591797	0.007560442564760312	[17.04755210876465, 17.286144256591797, 16.963584899902344, 16.921600341796875, 17.05062484741211, 17.252351760864258, 17.01683235168457]
FAIR_B24	B24	3	16.962560653686523	16.80998420715332	17.19808006286621	0.007880720824308879	[16.962560653686523, 17.146879196166992, 16.855039596557617, 16.80998420715332, 16.910335540771484, 17.19808006286621, 16.99942398071289]
CONTROL_BFULL	BFULL	0	32.07126235961914	31.81145668029785	32.24473571777344	0.0041294819367742016	[31.98054313659668, 32.076446533203125, 32.24473571777344, 32.07126235961914, 31.81145668029785, 32.20060729980469, 32.04198455810547]
CONTROL_BFULL	BFULL	1	17.86777687072754	17.705280303955078	18.24563217163086	0.009701432670082047	[17.893407821655273, 17.742847442626953, 18.24563217163086, 17.753503799438477, 17.705280303955078, 17.98758316040039, 17.86777687072754]
CONTROL_BFULL	BFULL	2	17.01375961303711	16.934112548828125	17.41926383972168	0.00963669086687522	[16.969728469848633, 17.01375961303711, 17.41926383972168, 16.934112548828125, 16.945152282714844, 17.21651268005371, 17.080320358276367]
CONTROL_BFULL	BFULL	3	17.045503616333008	16.80076789855957	17.336511611938477	0.010320541346593236	[16.975872039794922, 17.045503616333008, 17.336511611938477, 16.80076789855957, 16.809343338012695, 17.161216735839844, 17.055744171142578]
FAIR_BFULL	BFULL	0	32.024574279785156	31.862943649291992	32.16764831542969	0.00318686169997863	[32.03788757324219, 32.11366271972656, 31.862943649291992, 32.024574279785156, 32.16764831542969, 31.936927795410156, 31.913536071777344]
FAIR_BFULL	BFULL	1	17.863679885864258	17.746944427490234	17.99065589904785	0.003901429954752817	[17.863679885864258, 17.837055206298828, 17.746944427490234, 17.886207580566406, 17.99065589904785, 17.81862449645996, 17.895423889160156]
FAIR_BFULL	BFULL	2	17.106943130493164	17.00454330444336	17.146879196166992	0.0027236609699101085	[17.059839248657227, 17.129472732543945, 17.00454330444336, 17.106943130493164, 17.107967376708984, 17.04960060119629, 17.146879196166992]
FAIR_BFULL	BFULL	3	17.02092742919922	16.855039596557617	17.20012855529785	0.006563090081454791	[16.942079544067383, 17.035263061523438, 16.855039596557617, 17.061023712158203, 17.20012855529785, 16.86835289001465, 17.02092742919922]
