stage_id	owner	depends_on	task	validation	pass_condition	artifacts	failure_action
C16-1.4	G	C16-1.3	G1 nsys/NVTX canary	launch count, stream, kernel name, correlation/NVTX coverage	kernel directory complete for canary and bounded overhead measured	G1_NSYS_CANARY.json	fix G1; G0 baseline may continue
C16-1.5	G	C16-1.3	G2 NCU canary	query available metrics; one bounded target; replay/cache-control receipt	selected metric set available or unavailable list explicit; target identity exact	G2_NCU_CANARY.json;NCU_METRIC_SET.tsv	COUNTER_UNAVAILABLE does not block G1
C16-1.6	G	C16-1.3	G3 NVBit canary	vectoradd then one model kernel; filter in/out; parser closure	selected target only; parseable terminal trace; size/time guard works	G3_NVBIT_CANARY.json	block NVBit bulk capture; continue G1/G2
C16-2.1	G	C16-1.3,C16-0.7	native baseline repeats	2 warmups + 3 measures; synchronization boundary audit	median/min/max/CV and output checksum recorded; profile disabled	NATIVE_BASELINE.tsv	noise high -> bounded repeat to max5; keep all runs
C16-2.2	G	C16-1.4,C16-2.1	full lightweight kernel census	same scenario identity; no full SASS; event-count closure	all in-scope GPU launches cataloged with stream/start/end/name/grid/block	KERNEL_CATALOG.tsv;CENSUS_RECEIPT.tsv	partial catalog cannot be COMPLETE
C16-2.3	G	C16-2.2	runtime implementation audit	attention backend/KV/quant/MoE evidence receipts	architecture-vs-runtime representation explicitly separated	RUNTIME_IMPLEMENTATION_AUDIT.tsv	unknown implementation remains UNKNOWN
C16-2.4	G	C16-2.2,C16-2.3	semantic/operator mapping	direct/runtime evidence first; cumulative GPU-time coverage accounting	>=95% cumulative GPU time mapped or explicit coverage limitation; no name-only guess	KERNEL_SEMANTIC_MAP.tsv;SEMANTIC_COVERAGE.tsv	below target => limited analysis; UNKNOWN retained
C16-2.5	G,C	C16-2.2,C16-2.4	heavy-tail/certainty units	frozen thresholds; phase-mass recomputation	single launch >=1% phase time OR special/rare rules included with weight=1	HEAVY_TAIL_KERNELS.tsv;CERTAINTY_UNITS.tsv	threshold cannot change after target outcome inspection
C16-2.6	G	C16-2.4,C16-2.5	Wave-1 publish	manifest+hash; small artifacts only	Llama/Qwen0.5/Qwen7 raw/AWQ completed or explicit per-model gap	WAVE1_PUBLISH_MANIFEST.json;LATEST_REPORT.md	publish partial without blocking Wave-2
C16-3.1	C	C16-0.8	define V2 strata	strata-key determinism; singleton/rare handling	Phase×Operator×Implementation×ShapeBucket×DType fixed; optional KV/quant justified	STRATA_DEFINITION.json;STRATA_MEMBERSHIP.tsv	unknown fields form explicit strata, not dropped
C16-3.2	C	C16-3.1	Selector-R and Selector-M	selection tests; no candidate mechanism outcomes	probability selector and medoid selector outputs separated	SELECTOR_R_PLAN.tsv;SELECTOR_M_PLAN.tsv	no CI for deterministic medoid
C16-3.3	C	C16-3.1,C16-2.5	strata-specific estimator	zero-sampling conservation; hand-computed fixture	certainty units weight1; ordinary strata N_s/n_s; ratios recomputed from weighted numerators/denominators	ESTIMATOR_SPEC.md;ESTIMATOR_TESTS.tsv	any conservation failure blocks qualification
C16-3.4	C	C16-3.2,C16-3.3	budget 12/24/48 allocation	mass/count/variation allocation audit; 10% random audit	coverage and sampled mass separate; expected capture cost included	SAMPLE_BUDGETS.tsv;SAMPLE_PLANS.tsv	budget overflow triggers plan reduction before GPU capture
C16-3.5	C	C16-3.3	C12/C13 retrospective sanity	frozen historical inputs; oracle label disclosure	improvement/failure reported without blind-test claim	RETROSPECTIVE_VALIDATION.tsv	retain negative result; do not retune thresholds
C16-3.6	C	C16-2.6,C16-3.4	prospective holdout	freeze selector SHA before holdout target metrics	train/tune deployments distinct from holdout; no post-hoc sample editing	PROSPECTIVE_PROTOCOL.json;HOLDOUT_RESULTS.tsv	violated split -> RETROSPECTIVE_ONLY
C16-4.1	G	C16-1.5,C16-3.4	bounded NCU representative counters	target identity; metric availability; replay/cache-control receipt	one result per frozen target with scope metadata; unavailable metrics NA	NCU_RESULTS.tsv;NCU_RUN_RECEIPTS/	no substitution of similar metric without versioned plan
C16-4.2	G,C,H	C16-4.1,C16-3.4	freeze NVBit target set	selection before trace outcome; information-value rationale	initial 4-6 windows/deployment or fewer if budget; special+audit coverage	NVBIT_TARGET_PLAN.tsv	no target expansion merely because GPU idle
C16-4.3	G	C16-1.6,C16-4.2	bounded NVBit capture	per-window terminal/hash/size/time guard	<=4GiB OR <=20min each; first-wave raw total <=64GiB; correct target identity	TRACE_MANIFEST.tsv;TRACE_STATUS.tsv;RAW_INDEX.tsv	over-limit => BOUNDED_PARTIAL; do not silently continue
C16-4.4	H	C16-0.8	memory-only observer/proxy	full-tracer equivalence on tiny fixtures; active-mask/width tests	if implemented, address/event output exact on qualified fixtures and default-off safe	MEMORY_ONLY_AUDIT.md	NO_GO retains full tracer fallback
C16-4.5	H	C16-4.3,address_inputs_available	address fingerprint	page/line/sector/read-write/object attribution fixtures and provenance	metrics separated by address domain/object; UNKNOWN preserved	MEMORY_FINGERPRINTS.tsv;FINGERPRINT_VALIDATION.tsv	unsupported order/object metric => NA/STRUCTURAL_ONLY
C16-4.6	H	C16-4.5	cross-kernel locality boundaries	set-overlap exact fixture; order-model declaration	set overlap/local chronological metrics only; no false global-L2-MRC claim	REUSE_AND_OVERLAP.tsv;ORDER_MODEL_AUDIT.md	global order unavailable => do not synthesize it
C16-5.1	H,A	C16-2.6,C16-4.5	unified deployment-scenario-phase fingerprint	schema/unit/evidence-tier closure	static/native/page-line/counter fields coexist without domain mixing	CROSS_MODEL_FINGERPRINTS.tsv	missing dynamic dimensions explicit
C16-5.2	H,A	C16-5.1	within-deployment context/batch/phase analysis	paired identity and same implementation audit	trend statements limited to controlled variable and observed scopes	WITHIN_DEPLOYMENT_FINDINGS.md	implementation switch => report as mixed change
C16-5.3	H,A	C16-5.1	controlled pair analysis	raw/AWQ backend+KV/dtype audit; family identity audit	causal wording only for actually controlled dimensions	PAIRWISE_FINDINGS.md	confounds listed; downgrade to ASSOCIATION
C16-5.4	A	C16-5.2,C16-5.3	cross-model common-pattern evidence	lineage counting; direction-consistency table	'common' requires >=3 independent lineages same-direction with same metric method	COMMON_PATTERN_AUDIT.tsv	otherwise family-level/deployment-specific only
C16-5.5	H,C,A	C16-5.1,C16-5.4	TLB/Cache problem synthesis	mechanism-free wording audit; novelty not claimed	problem statements trace to measured/static evidence and uncertainty	TLB_CACHE_PROBLEM_MAP.md	no optimization claim without new high-fidelity evidence
C16-6.1	C	C16-3.6,C16-4.5	metric-by-metric sampler qualification	frozen thresholds; holdout status; uncertainty rule	each metric separately QUALIFIED/SCREENING_ONLY/STRUCTURAL_ONLY/NOT_QUALIFIED/UNAVAILABLE	SAMPLER_QUALIFICATION.tsv	one metric PASS cannot promote others
C16-6.2	A	C16-2.6,C16-4.3,C16-6.1	full cost model	prep/upload/load/profile/capture/parse/retry/transfer ledger	unknown cost NA; GPU/CPU/storage separated	C16_COST_MODEL.tsv	no claimed speedup/cost reduction without baseline
C16-6.3	A,H,C	C16-5.4,C16-6.1	behavior classes	cluster/class evidence audit	classes only if stable across selected metrics; otherwise leave unclustered	BEHAVIOR_CLASSES.md	no forced taxonomy
C16-6.4	A	C16-5.5,C16-6.2,C16-6.3	final architecture handoff	<=3 requests; evidence/cost/control/go-no-go explicit	all future T3 requests require new authorization; no auto-launch	FINAL_REPORT.md;NEXT_HIGH_FIDELITY_REQUESTS.md;PUBLISH_MANIFEST.json	partial-ready if dynamic coverage/qualification insufficient
