phase	decode_step	layer	peak_allocated	peak_reserved	post_release_allocated	post_release_reserved
DECODE	1	29	1541057024	2877292544	247649280	2877292544
DECODE	1	30	1541058048	2877292544	247650304	2877292544
DECODE	1	31	1541063168	2877292544	247652352	2877292544
DECODE	1	32	1541065216	2877292544	247654400	2877292544
DECODE	1	33	1541066240	2877292544	247658496	2877292544
DECODE	1	34	1541065216	2877292544	247657472	2877292544
DECODE	1	35	1538976256	2877292544	245565440	2877292544
DECODE	1	36	1540021760	2877292544	246610944	2877292544
DECODE	1	37	1540021760	2877292544	246614016	2877292544
DECODE	1	38	1540023808	2877292544	246616064	2877292544
DECODE	1	39	1540025856	2877292544	246618112	2877292544
DECODE	1	40	1541071360	2877292544	246619136	2877292544
DECODE	1	41	1542117888	2877292544	247665664	2877292544
DECODE	1	42	1542119936	2877292544	247667712	2877292544
DECODE	1	43	1543165440	2877292544	248713216	2877292544
DECODE	1	44	1543167488	2877292544	248715264	2877292544
DECODE	1	45	1542121984	2877292544	248714240	2877292544
DECODE	1	46	1543169536	2877292544	249760768	2877292544
DECODE	1	47	1544218112	2877292544	249761792	2877292544
DECODE	2	0	1544236032	2877292544	249763328	2877292544
DECODE	2	1	1545274880	2877292544	250802176	2877292544
DECODE	2	2	1545275904	2877292544	250803200	2877292544
DECODE	2	3	1545263616	2877292544	249768960	2877292544
DECODE	2	4	1543236096	2877292544	248763392	2877292544
DECODE	2	5	1544272384	2877292544	248765440	2877292544
DECODE	2	6	1546331648	2877292544	248766464	2877292544
DECODE	2	7	1544272384	2877292544	247721984	2877292544
DECODE	2	8	1547377152	2877292544	248758272	2877292544
DECODE	2	9	1543223808	2877292544	246673408	2877292544
DECODE	2	10	1543223808	2877292544	246675456	2877292544
DECODE	2	11	1544253952	2877292544	247719936	2877292544
DECODE	2	12	1545302528	2877292544	247721984	2877292544
DECODE	2	13	1545304576	2877292544	247724032	2877292544
DECODE	2	14	1545306624	2877292544	247721984	2877292544
DECODE	2	15	1545307648	2877292544	247723008	2877292544
DECODE	2	16	1545311744	2877292544	247720960	2877292544
DECODE	2	17	1544267264	2877292544	246676480	2877292544
DECODE	2	18	1544240640	2877292544	246663168	2877292544
DECODE	2	19	1544244736	2877292544	246665216	2877292544
DECODE	2	20	1543199232	2877292544	245619712	2877292544
DECODE	2	21	1544249856	2877292544	245621760	2877292544
DECODE	2	22	1544257024	2877292544	244588544	2877292544
DECODE	2	23	1544243712	2877292544	243532800	2877292544
DECODE	2	24	1544240640	2877292544	243529728	2877292544
DECODE	2	25	1543195136	2877292544	242484224	2877292544
DECODE	2	26	1543193088	2877292544	242482176	2877292544
DECODE	2	27	1545286144	2877292544	243526656	2877292544
DECODE	2	28	1545285120	2877292544	243528704	2877292544
DECODE	2	29	1544241664	2877292544	242482176	2877292544
DECODE	2	30	1545285120	2877292544	243525632	2877292544
DECODE	2	31	1545291264	2877292544	243527680	2877292544
DECODE	2	32	1547380224	2877292544	245616640	2877292544
DECODE	2	33	1547380224	2877292544	245616640	2877292544
DECODE	2	34	1546334720	2877292544	244574208	2877292544
DECODE	2	35	1547384320	2877292544	244576256	2877292544
DECODE	2	36	1546337792	2877292544	242487296	2877292544
DECODE	2	37	1547378176	2877292544	243527680	2877292544
DECODE	2	38	1547400704	2877292544	243529728	2877292544
DECODE	2	39	1548443136	2877292544	243531776	2877292544
DECODE	2	40	1547396608	2877292544	242487296	2877292544
DECODE	2	41	1547396608	2877292544	241444864	2877292544
DECODE	2	42	1548436992	2877292544	243531776	2877292544
DECODE	2	43	1545318912	2877292544	241443840	2877292544
DECODE	2	44	1545320960	2877292544	241445888	2877292544
DECODE	2	45	1545274880	2877292544	241420288	2877292544
DECODE	2	46	1543201280	2877292544	239346688	2877292544
DECODE	2	47	1542160896	2877292544	238306304	2877292544
DECODE	3	0	1543177216	2877292544	239310336	2877292544
DECODE	3	1	1542137344	2877292544	238270464	2877292544
DECODE	3	2	1542138368	2877292544	238271488	2877292544
DECODE	3	3	1542140416	2877292544	238273536	2877292544
DECODE	3	4	1543181824	2877292544	239314944	2877292544
DECODE	3	5	1543181824	2877292544	241389568	2877292544
DECODE	3	6	1542141440	2877292544	241392640	2877292544
DECODE	3	7	1543185920	2877292544	242437120	2877292544
DECODE	3	8	1542143488	2877292544	241398784	2877292544
DECODE	3	9	1543190016	2877292544	242445312	2877292544
DECODE	3	10	1544239616	2877292544	243488768	2877292544
DECODE	3	11	1543186944	2877292544	242442240	2877292544
DECODE	3	12	1544231424	2877292544	243479552	2877292544
DECODE	3	13	1545276928	2877292544	244526080	2877292544
DECODE	3	14	1544236544	2877292544	243485696	2877292544
DECODE	3	15	1544233472	2877292544	243482624	2877292544
DECODE	3	16	1543193088	2877292544	242442240	2877292544
DECODE	3	17	1542146560	2877292544	242444288	2877292544
DECODE	3	18	1542168064	2877292544	241417216	2877292544
DECODE	3	19	1543214592	2877292544	242463744	2877292544
DECODE	3	20	1543222784	2877292544	242466816	2877292544
DECODE	3	21	1543205376	2877292544	243500032	2877292544
DECODE	3	22	1543207424	2877292544	243502080	2877292544
DECODE	3	23	1541118464	2877292544	243504128	2877292544
DECODE	3	24	1540079104	2877292544	241424384	2877292544
DECODE	3	25	1541089792	2877292544	242460672	2877292544
DECODE	3	26	1540049408	2877292544	241420288	2877292544
DECODE	3	27	1540049408	2877292544	241420288	2877292544
DECODE	3	28	1541091840	2877292544	242462720	2877292544
DECODE	3	29	1541093888	2877292544	242464768	2877292544
DECODE	3	30	1539036672	2877292544	240378880	2877292544
DECODE	3	31	1539034624	2877292544	240380928	2877292544
DECODE	3	32	1539036672	2877292544	239339520	2877292544
DECODE	3	33	1541126656	2877292544	241429504	2877292544
DECODE	3	34	1541128704	2877292544	241431552	2877292544
DECODE	3	35	1541131776	2877292544	242478080	2877292544
DECODE	3	36	1541134848	2877292544	243523584	2877292544
DECODE	3	37	1539048960	2877292544	242478080	2877292544
DECODE	3	38	1541134848	2877292544	244563968	2877292544
DECODE	3	39	1541136896	2877292544	244566016	2877292544
DECODE	3	40	1541138944	2877292544	246652928	2877292544
DECODE	3	41	1541143040	2877292544	247699456	2877292544
DECODE	3	42	1539060224	2877292544	245616640	2877292544
DECODE	3	43	1541147136	2877292544	247703552	2877292544
DECODE	3	44	1541149184	2877292544	247705600	2877292544
DECODE	3	45	1541162496	2877292544	247718912	2877292544
DECODE	3	46	1542188544	2877292544	247719936	2877292544
DECODE	3	47	1544279552	2877292544	248766464	2877292544
