phase	decode_step	layer	assignments	unique_experts	expert_ids_sha	histogram_sha
PREFILL		13	16384	85	b7ea417e16dd7afc4e7fc9cea1e47d29d3bf19a150e50a531cbde44b1ebd41c3	c50e6b14ad2e14d172b2262cb52226cac57ab858a426ae7b6d5b40ee41b9d2dd
PREFILL		14	16384	89	21b27d97302c7618b6f9ea6b01056a573ebf869243499e21e8d3b28ac92fe9f2	d25fb858c2a810244496dfd4943d7d1ebb739811e43577636a4a189f52f307fb
PREFILL		15	16384	86	9a18697c9493d5a981bc52342dcdc8a374fafbf5e3dd83f26274a6e87395ae95	f48558c9b272d67d553b00e7bd9ca7409c60044723553d5fe5010f6175b351c5
PREFILL		16	16384	81	009f1480cd2d79cf84e7ea6a118cd994bd3688a61fd18711b3b41839d409f860	9e16c02b13b139b2e561e710237463aedb5295b72e7162232c2b9a68c59d5b36
PREFILL		17	16384	89	2830a6a5ed8d9939cc8f0e606b3ac3ea25e8f0c0006bbec4bff0649db1f8ef1d	63c68350ff1b0d21eae755310607a647c6015431cd18956a251da6c779052bf0
PREFILL		18	16384	72	83f34bcc76da54deea70bf223263a458883c6db8f4ac23f36857625480d8a3ea	7a11aaef529637446cff0fd7b5a377451bcffb4b84559712ba8f33b70d183142
PREFILL		19	16384	79	989c73015c1ddea03e00f5d9dbbd94ee7483f4215091624fc4d5b19386e5dbaf	d382ce7c65b3f52ff253e3ffce482b0ee352e3f784187b604e383f49d65f2012
PREFILL		20	16384	80	94243e609613cb48e85bcd2d5984d0c9fd433260f79d5a3b7e846eada62c2cb9	0f540970cb2beb7e1f1c7b8ab31e55fa471d2609ffc41c6ea8f01726fa4b7b5d
PREFILL		21	16384	86	f85e776d3fa91901bb59ba7fda67042a76295f12b5c108ba842edecda6bcb2ff	6cec99ed2a788c59a4cfaf4f2076d0302d0aa9c866184414bc3cc302f7fca84b
PREFILL		22	16384	90	f603c40521e61e9d3f4998ff5ddd11f64827160ac1b4704b1bf3c2523e4c0c53	0739fcc7554b84a0b78443c551cf2ef38425d647014de7bdcbdb2386c97bba79
PREFILL		23	16384	89	74888d498431d87026c8ba26c6575278ef02f26994f84482ccf95932f47dc2a9	c4d38c482cd882ef1fad7f91f7cd00c49f03c03cdc32db2e2981998c892fcd0b
PREFILL		24	16384	92	c24c1196cff2988b6d53db2ae513c7e44ef3fe4a19daafdc75726d6178a56988	0f6b3bdc85bde4042194755be19db1390c3135a0c4a0a96faed8a7ce1ec50074
PREFILL		25	16384	89	56b0a81e735a7a25a4d7e042c820765fb2a4d70599f508655bc2e61b9396bd71	d1f1dc5f841de1cc646a554aa285a75e4e98c730c7c55b9b2fa81e04de68bd58
PREFILL		26	16384	93	93bec2675a85149be0c64e6a6eb4d03eb1a6b3641e75836f5345a83fef2e55f2	d8e9977031e6a8951f9cc171c9037c58ecbd68e30e54d54010deae575c082a59
PREFILL		27	16384	92	ad03c290a5e859e1dd63eb350151269075f19816ca90888d329a02b8d9d17266	0083fc8cf3a1eb2262c889839ccd27d84e9e600fa17ab59d43255f6c2d363184
PREFILL		28	16384	86	d995b84add287a8c6c56cfa22f7406a5362210e580aec71ca96a6e425700ec1e	6e21757d37388833fb30d97db1c35684416fcb00fb66fed4defa27e4ba09b0ae
PREFILL		29	16384	92	642f86fa0fb26655a8b9ce777dcf526c38c825b387fa899c52fac480cdbb0555	5f0cace8fa48d3acffca45ee3c46c5d6d7dec142aa2e6166ca584619b6b16b10
PREFILL		30	16384	88	bf0011813038b49b87887017736747877a88cc5b20a8786b0da19e5c3502d580	a8a07806dc55ca918c8c7de7041328207859f3ffb25611c3dd3f14758e1a39cf
PREFILL		31	16384	87	c8605624a2e6ab57ab9877e8ef142bb7685368825ff5724e5f7383cf0855cc47	a9af941a165135f8501ce60c3709e87576b4fd910c2446fc34d3162ebeba1457
PREFILL		32	16384	95	b0d9628b459e41e3719eddb4d99d1efe8be2d1d9298689faaea9d9fbae6fd17b	c983f3ddb0ef2c3011f480fc2b1efcf6e90a568127bbd024ebc489294c29e696
PREFILL		33	16384	91	2dc51d95afa58c11936692bd9a1e8bb274b89a58ea86665ebde78342cc011a5c	b891a974fa9d4de80fa9c35a1ffc9908675e7215ed94ff9e757ee80092f37e74
PREFILL		34	16384	95	b4f85ce9c2e1954a91868e087a3bd43252814a392f64524c5174fa13d1e68c77	a8bb4331dde79a060c1f29fe87b8169cc74eaa675f56e6743e1fa897cb2ab642
PREFILL		35	16384	90	494a1fb72498008392f7a2609e8c08956128c9778a6362876340013032f629c0	63b8804bfaec9758fec18461ffa78e4c86ba21e350f313b1ff28e3d9154191a9
PREFILL		36	16384	96	67401326ece330871fdb7c2c3743011e54c23ef0a48be40da299467fc8dfaef3	e281e6ca6b61712c0eb61a0129a34a2ee903f25bd326597854edeb6975735174
PREFILL		37	16384	92	41f863cd76018200c7de27495f7e1f599eda6db6d74f25e1d09916be234e3cea	84586772423c4f5c211ae7e2e16f6dcb573b06d8e3ea592f3c302f5be7c513a9
PREFILL		38	16384	91	1ce0cb8f7f887ad6daf011f9296206e8bec94e5e722cba549246fc919c384560	020f8c17585593ae810a08d7beba052ac6bc44e984b9ae2fd0d0131a892ab3dc
PREFILL		39	16384	96	ccea478ff948784d5f647e682e21308131f59a1e370fa1c280dd8323223c0661	cc7875f174921db447a81d1684a136a00334c3a36b2dec7b56de5bb4ff5fd538
PREFILL		40	16384	86	85177962ae8d26132975519ea43f24563eca917d8e2ee846a673164311c983c8	be1982ecf1875bd52704d32d8573fffa4b546a19415e7257e9e480173bc02f7e
PREFILL		41	16384	84	7a92794c8fac70e57280485d7a742b94d6cdd1d804663663e5a8f43bb4e86301	9cca3fa8b8247d686f736b74116bb11a3020486b240e0bca53e3b152d26404e2
PREFILL		42	16384	89	74cabcc75244fffbf2c83a8eb06d1102156f0324438ae86cc735ec5cbc1bb2bc	a953a81ad8e32a7704b4b05ac3656d2fb75546046b2c99d744e34c048d39095b
PREFILL		43	16384	85	37d2da7ce3a2ee4c4b70a53181c541c1152ba708b493e4dc840473e3a8897f5b	cc0b844385b59953ece3c5544f0ea03b628af73753e78a48ecf0b9d4496fc4d8
PREFILL		44	16384	85	424e12bbc69d38a62213ce97d3f0fa40ecfd0fd88b6595c179478a9cb0152dbf	d08d328a3f58df59c9402b3dad5b26f3e070ad3954b9ba11f7698dc86966b999
PREFILL		45	16384	88	b3cd63f9301f91f034f5abd3cc20f373c644129cbbc9989542202b4ac2017740	eb6ee34bbdfebd6c90e229ca84eae425c1933f5151a70b021b0d4880b64e8c12
PREFILL		46	16384	90	bbf33f234c6a10cb9849d5c18bba3ed08665cc6c1409374a3adb51bd3ec474c2	6f5abba199663eec6245000e4e3dd320d4f5c47226800a838c9fa16bea4c2d6c
PREFILL		47	16384	91	e50de6f53045359f5e8f87d3e820a0f887946790efcdd9d2f08545f026da6fdb	34dfd8a54a1f62d8666e59d10d284804a48e2ce1c49ded2e955c33a93d1b88df
DECODE	0	0	8	8	8e8c46ddeb538484c730020634f8737ee7adb443dbaa2cb6ce4768fcb57d325f	c70b27db9f6d2b62263828e5cfd8f8ff2c9582082d81bfbe4994b30f0b61a679
DECODE	0	1	8	8	8cd10849c7ef6203ba49bd0e03d37f27dc99c0f3f3ec1b0e174fef16f9b5b579	528f9d2a7281b7bc96f4f73e69548286de50200c9f8b263011af78a539764a22
DECODE	0	2	8	8	9167ae91d45411abdd22031b2e170e079f65e2b8f038a68c85e17e3a6777f4c8	88d31e21ad82b2e5493e3e6cacc542a50470bba266110856584fd15a0f3adbad
DECODE	0	3	8	8	f69417b25af49d6b5a4c560387996cb81ed3894eca4dfdacfac84019ca636f23	1f7dd4a30fc6511346d20d51b429e48a54021727a97dfaf1b8407c974d54f658
DECODE	0	4	8	8	a6af109bbf255c8b1bea30ec45fd372f5788d2eaa31ce022988484a7f09d45bf	852c1eff3b0535b54d1f82cefda773c76a41f502a672de201923482e32a47b83
DECODE	0	5	8	8	8c52a1d4b467e9520d6eda9722641880ab1f9f6c6aec7598b121a319fb171c9f	9d7bc2170918cbd677be1063e24a7f2aeae3c27291305f98a2d213d480d9d524
DECODE	0	6	8	8	a15e2e7c4b29e1a6c295500de6aacd916f38b50851818cac1615823eb0e0a163	20e89ad168dd7afbc00465e91ffe176659ddad3aaeae3f708f6b7841282b4e33
DECODE	0	7	8	8	023f9deefa09ba18ced82bfb38028e0b1f9a610d95fa76d0bb854757dc4c485d	4b88e3c58ad4eaa74daea3c9eb3af36f5d9c05b2e3fd79cd2d1cb3e7e905ab96
DECODE	0	8	8	8	ffd4f20b19baede9cef14d10f13d2c17ee1ba1b1acf94fc07070c4b4e0b6f595	f49e40f684b70455cd369e30b0901f2d630a2ae027c25726a2160818c0464de9
DECODE	0	9	8	8	ca816ff6ea6407ba82fb26910948e100d0244b036560cc4f8ad5a42f5718edfa	7ade9b7c6429946fc96d675ce154d7a97253a2606bc9106474dbc69d8607474b
DECODE	0	10	8	8	ebedc23f8545b3eb32fb33d47592b4a54d4dd6850ffc71a39054a99ddbe1a232	56dba1f312b45b3659d793c1b8073f7eb0fc6c5f86bac461c78eb80afc37f124
DECODE	0	11	8	8	77bd686bd4a8538c245fc648c4dba298487972215da0830c37f30b3ccc086be7	a43ce84cb0b54c558d50e8b4f1605f3d3740c5e1087eec60819f387504625e7e
DECODE	0	12	8	8	974e13bda3d00226a6598e4cba68f8527948178577f3a7de0ef57dbec400efbb	f5a0ac657a0dd0f9bf1a0ab2e26b97124599523a8e2550741a737b6df1521a87
DECODE	0	13	8	8	7d855e0fc34f0a63381a5c83b13642cc97252f37eff36dd04c211fa968430132	6405a6e9ffd1d1f34045175feaed15f354e08cf4d97910cbcea45942acb62dbc
DECODE	0	14	8	8	e747940d3e492d1de06deb03838973698e0902771c7d0df6a13103ff2697c00d	33b7fa9f1df87ae4d98741bdb638f646faa52f4750752aae37dfe41ac9f4227e
DECODE	0	15	8	8	0ca56725b7bb48b9322605eb56ea0b79b2171c66a3d92409bb371505ed64c530	5272b0b7309c4f9debe882d8dd6da7121b420f49c24cabfbe950ff9994621c3d
DECODE	0	16	8	8	4223eeafbecb9223165653df7ec8a1ea3ce750f7b60c8e001494ef1b6a81b4c7	52934e7319e77d37bcd4e9b8f63b33dbd289a70f0e2cafee636f18b56d8c3947
DECODE	0	17	8	8	2fa6f3da967fed4593d6ec6ea946e991961d2ef64fb6a4fc4ef7160cf176732d	d79e12c7e22e54475ac035217a4c285336ff0a879c60fd0928e24afdcd2bd945
DECODE	0	18	8	8	4ae943e3ac54ee127a9bd7c573bebffb65ebd62e9e954c86dd8d9951053de1cb	c083f24dceacbc8fcf3e2e7d2a8c86bf8ceeabacbc42c95765683cc7d135068a
DECODE	0	19	8	8	d68d54eb8d3499998c4231a9f686bbf35fabc9b31cfe94163e30098b628f06a7	246a556a2a84ce449eecf1e6e0a203142cdd0234ed42ef4aac9a8e498be99490
DECODE	0	20	8	8	0368a907bc08e4df334a50b7fec88d429b7cd20685d41da42a3719c92e30625b	d273cb4fbd09795989c1b1b35d162c2a8077092bf084f51af78fe7cc9a8f41b5
DECODE	0	21	8	8	84931ca8665cdafdae1c38d42a6b234ddeaccc106a54178fa330cb04c00900f4	399a02a5726cb6829deec2fb6ba46952ad8f26e6ce4444f5510f91eabb130a59
DECODE	0	22	8	8	c60db32496054fcc16e88e0aa28c42a91fbbc6a4930b7387829de4ddf35137ef	6a7f25491ad5222d672dcb613664b594c2dfcfe31b475c76f77ee126b33c2ec1
DECODE	0	23	8	8	49f5822838fa71e73688241ef10c62d4675d178401e88a0c8aaeefcda3899a33	237e418fa83d1e1d991c325ba5390c20ba0b6bcca3d7266a6d160b68080031be
DECODE	0	24	8	8	60a07ef0c518572aa01d56463e9c3d083672f791eb0ec99bd32abf7fcb488c8d	f5a0ac657a0dd0f9bf1a0ab2e26b97124599523a8e2550741a737b6df1521a87
DECODE	0	25	8	8	9f920851ab5d92bbb4e491a378e19b0eeb9409b48616525466b53cacfc39b519	168aa5480c18009ca011e5f939be91f90212f569aa604a121ab9689cca13d853
DECODE	0	26	8	8	c57b95043fd45b50804b614e0ce6063e21824e382caf1cdf19eb346f34831b16	2dad0750be8950496a26d238346f9a9dc93bc54a1e2665e7569fda59c248ad60
DECODE	0	27	8	8	ac9c515ded83385ea2ebd807537cd6b4f3e231c306d23d18875d11bd3953abe7	e6fa528cbc1ad470c240d1ddbe0cd8f717b808956ace8348efeaa953193c81b4
DECODE	0	28	8	8	8016cad26a0c7d291cac63d505b6207d599d105b8a18ccfd32dcbda5d38fe769	a79f76d690972ed30ea1ec73b58992071a4b2c476fcc734709934ccb9fe90895
DECODE	0	29	8	8	8869c098fe399e965615c97993c0957a97f38f838db2c8b68ba5f81b03164aa5	546f22d12f3c34aaad4f6b95b4a4eb7825121a1c66c395d32883f293f261c843
DECODE	0	30	8	8	fff4070211b39b608294ac900ff8c8b2adda868db7d675356d76ec9c69f7eb34	1c46e6b18f6c77108d8fccef424cde1f59fb2a3576b04d88ee5391efb235bf92
DECODE	0	31	8	8	923408e8841340e74fa1888d513a81b81bbdc52307f1b2ccf45f619b39e5dc20	86081606239bb40bb4bfeeced8058d2f7dc567e29c2b941ff5bda2a66d82e30b
DECODE	0	32	8	8	c0da9b6422de87915cdc91e04deae3d167df8196f690104ccd5a603637a20b7a	21f74250a182841861235418070cd65c5b7ebc309bbd7bf691426f677efba09d
DECODE	0	33	8	8	546ae2099c15066e28abfd922483ee1cf1a6d89605a27e4dc32e6944b77d60dd	7def9ad3753200c7da8a586f432ca7beff243821fadb097597ad779e2fbdc914
DECODE	0	34	8	8	04a10760698c7ebb5f7ae361e8ddeea9ef68def9b819758e6fd5f3f0f65db7fd	0864e8726b19ef20e7f8829a35003ab56ccb6a465d751c3789662afe498cc4e3
DECODE	0	35	8	8	c12e1c0844d6ab9396a31eac774fd1103d9ba80fa314e875f429a7ecee034c64	4b0f5a2cf98e5b60bdf922ec75620750c73b5233a1a1af78e0278605202ab854
DECODE	0	36	8	8	eaab301074bf431a2310a4aa6087df7a97a36a4f06d0a78f5f66cd262a6fc585	2d461ae048c4ca374b0895709adbb7e388034038995bbd02dbb4160c1699e090
DECODE	0	37	8	8	d08f25ae91d8ab2110086f3cfa01a8c72ff62057d5295af3653310d982671716	49eeaf5394cf2e1dfc370477dc954bc5231d8ad22983e4c1165135e4a406410f
DECODE	0	38	8	8	d2b249cb88c410514542325a2bc3c6d796c5b4e5c718a53312d8f190e76708e7	9f07a590dd2bc6a4cecea891c32ea4342443aae89241083476dc2862230a7359
DECODE	0	39	8	8	1f24ace7717a465c0845cc3aca502358f7dc0ee5708277e23d94625c7d0c358a	70f99f9ce28a6ff2bddc73794ebab3f586b515cbf6d446f94fbe0e5fa427daae
DECODE	0	40	8	8	04a4950b42c4ab79f9812856ffb21925aac8605edd7d331a5acd4ba9e515bd62	31546312226aafd7030b0620bed31e0cca28509a71013d54bcaef133f6c318c1
DECODE	0	41	8	8	99e46f7bdbc4d2644fe084cb86f0f2f0cd7c2e8a31712caa522bfc1277ba0e0a	16a2e5ef9397a38e68936ef3abba4d64268b3b414d88d968ff9d2c5056cac0d7
DECODE	0	42	8	8	c9becc12a4986de2bf1d1f6e94f127879e4eca0fce83c6557bac545d33cfb188	ade968f0059812f98e1a3e14b3c617440431a245538403e6ead70674c2dd954c
DECODE	0	43	8	8	8e246c87bd9453fa0bbd6d8bb66135856754e32093a04751362fd75be200f8af	897fd20335b7840bd540faddcf1057c990b3811ddfdb18b7442b502419329dd4
DECODE	0	44	8	8	ad8b46ceb592d8365368bd7f345567c5fd669579499862b26f91a364bc3a261e	d8f9395846809d9901bdc57f09ea7dd16d4e3b349f91092324d8fc0d91ad6834
DECODE	0	45	8	8	55e86323b72c68e570fcd258a4be6fae22297e36dd8842c9202bc9c29ed65a2f	d531ca3b30a249229f03873ec2d419fc6e955e37265fd83b42cfb1c4f80e0ca7
DECODE	0	46	8	8	80ccaa09e2b22064c46a35dbe7e4cbec6515022adef519020cac6766ba2f3714	2ca8c0116cb4bb15ee500a968238b3ad875e49130a927d9b3176eda3401de67c
DECODE	0	47	8	8	af1d6e3aff3b8367634dc73c287132062241e7ba1960e5b58ef717de8c76d4b6	d2e4fc3420217cdebd04a690376fb97aaa09a0e20a5e12aa08192b96629ab556
DECODE	1	0	8	8	c027dddcaa9d0f08e5ad6bd17a9ccf80554a5caaf487cf9e6a2e8abb0e4258e4	432fa27e3079249589eb8b8f9b3d098a2c6de23780386251730c5960caf24524
DECODE	1	1	8	8	2150685a9e7160fd55f0c3fd412b4c186838826fa6bf335291e3f7f21307968c	d79bb7b2887cf587419bbda622d901b55528ad58643a6097b4317bf6e874fe97
DECODE	1	2	8	8	978452a4eced82178daa80d3a72d7afd5f0aa1d07093907b53d1369d6325e155	def6f051f0d9ec83b485cded5a7c2b3fc2246ebd2928d706f8511a5876b1a095
DECODE	1	3	8	8	31a49c5bb6f28556bb859994541240e6504095822c82c8c7d903a28f22a8d13b	c2940b7cb2e0cb51363f04dd77d40321fe015bd46ea2d04fe9e00db8cf17211d
DECODE	1	4	8	8	822897b398bb0c5ff815e0c3801c144aa1b96c9006529ff84e07dd465f8d5f82	5f3b36e8759e5da9d7d721df06c49dfb243b0a54c10012f79d4b6448f705d3db
DECODE	1	5	8	8	0b6ebd2ec2139bbfa454773e85e63bda761ad492e50a590eb2c4b07bea2e11d4	021774cad1adb4d37d1b6d405797318d850503e5b6e3f9d8caa894df5c0e79f0
DECODE	1	6	8	8	30180988554940a5840384c2a8e87faa4e200dc351a1d4f9d468b7dcecfa6c2a	c5d48eb8537c69d711fef86b7db120f9e761f08ea942d961ecf5397c6270fcb0
DECODE	1	7	8	8	2deb522805b5117dbd245c7c16a9610e49f2906006c472c2dbef22cd70f103ce	a5a175f5778af9cb67e5897d7524cbd2d994207c97a3ec35d0659e0a5fbda55f
DECODE	1	8	8	8	d2238a0dd4071c3e84c04ace207fd8bd1a8e14a808eeed9adb68f9fbf12b6089	fc5e48a43515705a7ea577074d53843fe4604c47f95e52ca1e642581cbad5c79
DECODE	1	9	8	8	176e8196a1c73c7c3ce9238104b30efc68ad66db23826e49299cb02acb098623	1a127013eb21d3953a1e8812449881e7acac77ad75eb9edec880fed2404a407b
DECODE	1	10	8	8	8f094fad73a2bd8f06588ee147564ae0aa022ccbef8b077346cf942ed0a7b5ef	06983b7108718c0785e4d3b336d75b5879d37a6e4c231b7900e09d40003b8cb0
DECODE	1	11	8	8	5248c6317667c8875eb9854e425b998f191d4795e53a4d33109c5e4a89b49a10	18f407e123f957e0e162cafb936c86f216c74dde67e5e7081a9911c0e5e98bb2
DECODE	1	12	8	8	0bb543444d8e469a4d637e5f6e5c173a2d853d150de15d91d480987d62fc86cd	df75d00471a86c57568e4eaabec762e2f35229c4b1bc9bc231cfb752749ba4ac
DECODE	1	13	8	8	9edc6425fde9b2e839e75ac5fb8f221178a67b8e49a0befbd45b5ef34590527f	02cd79f86feddfca7f9fbf8bb63b78cb84e088b51b12e922fa81be44e5e7396a
DECODE	1	14	8	8	0c12ad5078bcdbd6b1e30cf4ce39f6cae609a612f17ffff1fedcaa8aac6437d7	e5ed799d8286dfe08cf00d255776e465ab766b480ba0ee491c0ceb63f6e98d4f
DECODE	1	15	8	8	a3f9d48de1e38fe51d8335a1314cc5c20892e6db24ff39cc14495f0450c3a2b8	e4a26b5e236ebc18b347ec54d2e9875f179d425152b35e228657d45acd0ee085
DECODE	1	16	8	8	9787ee043a8bf83303893ccc1bb183b9804d57a7e18b96d48b8973ea38c63adc	b9f3b87147d6375fd8d7d5c0a3ff89ea173a577255c75ad5f612ac69b210e9af
DECODE	1	17	8	8	c4d31bfcbd745b4be9c16217a05a2124cb47875aff393f782694493608434c50	494d5c1c4a9b7baabeae14d02c4c9a1d874f031a168634ae69cb6b929ad891e8
DECODE	1	18	8	8	1f78f485980310debca6821a86092136e2e0ac16bd341ca30dad9eb20e5e23db	2892d9300573df1d60332b2073098092ff71214bbc37b82604dafcff03d75ef4
DECODE	1	19	8	8	31f218ad5aa7662b9b70a310a9a85c29a41b2e6548c9bbd81f41d7b001d065a4	5b8e9a50b352ca22744052bcf2dcde1020d53c8868d631f0742c933815845d07
DECODE	1	20	8	8	b901c3393d2d98fedb47b2aa699ad7e73f3404b9768278c2805ce6bb6591f348	07d3a05f53e4a55fd81505d4efe5cc76f814429e330265d0291ed97fc9f83d7a
DECODE	1	21	8	8	ffa37699ef1105e3c51c0f271a70c81579952378ffa4cda22df7fb0334bc6ce2	75ec6d9967d59d9c39fb795ba1eceece43919b29f15983c7afdcf871226eaee4
DECODE	1	22	8	8	1eb0e75ee666cb1849f1515e4f18751416d8589bcf347b0c0e8acdb8924604df	1a0f0a8f7d627f3ca05086298d3aaae780ccb4659f01bd6ccc5494dc04e22a76
DECODE	1	23	8	8	6cf4e81251806fb103baa8db2cc9e7afc5da0941f2d4664da7ebe6681dcf6289	d03c348ef1f8b318ff22c35b55ac18ed3f29a04b63ebe1f34d28c794eec8444c
DECODE	1	24	8	8	4fa9e02341a4b7af16f876a7be1b9d5baf152ef3944d8c3a43244b30d523f62d	aecf5c7ccaee0c520b382fb9dc17ec76bdc6856cd1cb5834667187bbca826ea2
DECODE	1	25	8	8	b567d5af1195ce48406394b21184324f7e655d42570cf36b9bef16396c0a5b58	ee8cab5e5fc8cdf5e4715a5d4c740da4262b3e52559f7b5e28160fdfa11f77eb
DECODE	1	26	8	8	54144df071a8ce1dc967718ef068fd3d1c8f41f764ed238d7bc9475a9d9cb413	88b60c0fb527284226fa7fd5fa9f54937a4bb928d2c4a6ba4ee11a95fbd4a27c
DECODE	1	27	8	8	d0bc355a3c9ee375780216069c3c7ef9d72c98016d0be40d537138fa7118e4ce	bbdcb183aee33fa27a9bc1db963b7df5233b3e6c113c05cd3d657427be0bf9ee
DECODE	1	28	8	8	ed6c17d40fba6d6c76e0a387f1238bc7a3343443fca95c33edca722ae76efeff	46dbceab8f00996a0e4a8603c1dc04de290ae7555814f9b1784aec98f1f6f638
DECODE	1	29	8	8	3eb97c2bb225fbd4027fa08ea954c0b2016e3ac2484eb4730c87c57f1d2cf858	61782df95751babd13cc61a8757dc8e86712900b1af9e8bde1decd3aaca0f1b6
DECODE	1	30	8	8	d5b618fdc20a659e86cb2f1476d6b9836c1cf35757c94ea25f6d852dc471ef92	c1406da94b7b32bb817204cfbd7e10c1a818183f67071bbc6b1e4d28df2ec856
DECODE	1	31	8	8	3460644915a9e139cdfda407fccf540526f363b974c0db2fcd2c60f1985448e4	6b0894757f84fbbb58e13faeb2f75bd87c6131b3876553c42e575998f5574e66
DECODE	1	32	8	8	b0cd60a3701e2b3984c332fb6a059f614c83607a23a503e71bdfd845bcc16207	4330fb2bd1fd2afa4c4182dd48b43d6512db8d99303e04a192f2bb5ebe58a2be
DECODE	1	33	8	8	cfaf60722b1f8898dde91a88a42ec2cdfaefda1909e416d443e983a0caa98dfb	854f2fdbf1334502d3f08db509278c8482cfc50f5a76344af217d50f0ea2b85d
DECODE	1	34	8	8	fef90ecb6a2ab224b9ce456812a43885c8c2a48a3a90cbe38ee36bfce4a35afc	ab2ac23fc6b5685629c198313bf8a0ae7084b58bc4b0d70cf3f3cf035505e0b2
DECODE	1	35	8	8	7be27932076ebb2ee1489a83d860d81e205836d082c1400279a1ac7bf3ff6fca	1fe0cbbd7b37edc73fcfc51714a8304f05647b233da64c9245f0cac69141f6c4
DECODE	1	36	8	8	1414401fbb3756e396124d27d10b17ba078b95029dbd6d241ea64691bd2b559b	0c51029889c3e0d724cb7daf09b4052e366404768b62d39adf5b8034a19f2f94
DECODE	1	37	8	8	9f5c2d013d2c3efca98d06f4d8c79201319b8d892f88f430e3937d9de60c9c30	135c777508b5aa59a023a3bab608278629ed86a0cf24dd26c1cad4b3bc1b639c
DECODE	1	38	8	8	679eceeed23d0a3f516432b563c1f806901431ee6bf1315843ee86a586b28997	72bf7c9117d2669c3e07eacc2135f10987bada2ea11aef74fddd9b57d30aab75
DECODE	1	39	8	8	69d457ba545ee0e26421d75c59773a7ea8ce10fba195c4cfdd20883d327ba211	e28d8bc9119fa66f94967a1c8a654dd6059bed0e4899155a6511bccbccd4f640
DECODE	1	40	8	8	0ffc08919598076aae370b83f1e146592af83cf784efaf6ab7560a85b8d3918b	b829847666cd8c2221e192c94c15e43ce48379b0daba40cede7a140da88b1ec5
DECODE	1	41	8	8	27cc7dcee7a1f2364b468da2faa41e7940a1d5fc4080929bac047970c7f8e05a	87ec8cd28f88de5fcf50837cb2ff8e7fc75974a25b0b350cc733ca5ee8bfa883
DECODE	1	42	8	8	a976fb9cace3232f13eadff22a01ca764e6c0cf94d1a8796c680d7a649e05a4c	5d77729e406e0366563a04fa972253fa3de18e4d99408e8685efdf7c9345c5bc
DECODE	1	43	8	8	d168644e6036dcc54bf2de2e8df375ee152d46169f25c1807406f5328b9df917	8353edc32781c16ff9b348e698337d8b9cbc2b34f7bde8c6784eca32f1fdc982
