option	value	source_config
-gpgpu_const_cache:l1	N:128:64:8,L:R:f:N:L,S:2:64,4	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dram_burst_length	2	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dram_buswidth	16	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dram_partition_queues	64:64:64:64	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dram_return_queue_size	192	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dram_scheduler	1	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dram_timing_opt	"""nbk=16:CCD=1:RRD=3:RCD=12:RAS=28:RP=12:RC=40:"	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dtc_l1_allocation_width	4	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dtc_l1_io_pib_entries	256	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dtc_l1_logical_sets	32	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dtc_l1_logical_ways	4	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dtc_l1_lower_outstanding_cap	8192	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dtc_l1_mode	1	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dtc_l1_mshr_entries	32	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dtc_l1_oo_pib_entries	128	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dtc_l1_physical_lines	640	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dtc_l1_pib_entries	8	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dtc_l1_ref_count_bits	13	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dtc_l1_tag_banks	4	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dtc_l1_tag_req_per_bank	1	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dtc_l1_tag_req_per_cycle	4	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_dual_issue_diff_exec_units	1	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_enable_specialized_operand_collector	0	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_flush_l1_cache	1	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_frfcfs_dram_sched_queue_size	64	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_gmem_skip_L1D	0	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_heap_size_limit	8388608	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_inst_fetch_throughput	4	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_kernel_launch_latency	5000	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_l1_banks	4	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_l1_cache_write_ratio	0	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_l1_latency	20	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_l2_rop_latency	200	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_max_concurrent_kernel	128	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_max_insn_issue_per_warp	1	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_mem_address_mask	1	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_memlatency_stat	14	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_memory_partition_indexing	0	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_n_cluster_ejection_buffer_size	32	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_n_clusters	64	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_n_cores_per_cluster	1	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_n_mem	20	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_n_mem_per_ctrlr	1	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_n_sub_partition_per_mchannel	2	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_num_dp_units	4	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_num_int_units	4	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_num_reg_banks	16	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_num_sched_per_core	4	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_num_sfu_units	4	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_num_sp_units	4	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_num_tensor_core_units	4	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_occupancy_sm_number	64	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_operand_collector_num_in_ports_gen	8	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_operand_collector_num_out_ports_gen	8	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_operand_collector_num_units_gen	8	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_perf_sim_memcpy	1	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_perfect_inst_const_cache	1	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_pipeline_widths	4,4,4,4,4,4,4,4,4,4,8,4,4	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_ptx_convert_to_ptxplus	0	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_ptx_force_max_capability	70	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_ptx_instruction_classification	0	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_ptx_save_converted_ptxplus	0	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_ptx_sim_mode	0	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_reg_file_port_throughput	2	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_registers_per_block	65536	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_runtime_pending_launch_count_limit	2048	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_runtime_stat	500000	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_runtime_sync_depth_limit	2	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_scheduler	gto	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_shader_core_pipeline	2048:32	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_shader_cta	32	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_shader_registers	65536	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_shmem_limited_broadcast	0	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_shmem_num_banks	32	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_shmem_option	0,8,16,32,64,96	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_shmem_per_block	65536	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_shmem_size	98304	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_shmem_sizeDefault	98304	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_shmem_size_PrefL1	98304	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_shmem_size_PrefShared	98304	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_shmem_warp_parts	1	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_simd_model	1	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_smem_latency	20	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_stack_size_limit	1024	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_sub_core_model	1	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_tensor_core_avail	1	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_tex_cache:l1	N:4:128:256,L:R:m:N:L,T:512:8,128:2	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_unified_l1d_size	80	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_TC80_N_OVERLAY.config
-icnt_arbiter_algo	1	configs/dtc_l1/fast64/FAST64_BASE.config
-icnt_flit_size	40	configs/dtc_l1/fast64/FAST64_BASE.config
-icnt_in_buffer_limit	512	configs/dtc_l1/fast64/FAST64_BASE.config
-icnt_out_buffer_limit	512	configs/dtc_l1/fast64/FAST64_BASE.config
-icnt_subnets	2	configs/dtc_l1/fast64/FAST64_BASE.config
-network_mode	2	configs/dtc_l1/fast64/FAST64_BASE.config
-ptx_opcode_initiation_dp	4,4,4,4,130	configs/dtc_l1/fast64/FAST64_BASE.config
-ptx_opcode_initiation_fp	2,2,2,2,4	configs/dtc_l1/fast64/FAST64_BASE.config
-ptx_opcode_initiation_int	2,2,2,2,8,4	configs/dtc_l1/fast64/FAST64_BASE.config
-ptx_opcode_initiation_sfu	8	configs/dtc_l1/fast64/FAST64_BASE.config
-ptx_opcode_initiation_tensor	64	configs/dtc_l1/fast64/FAST64_BASE.config
-ptx_opcode_latency_dp	8,19,8,8,330	configs/dtc_l1/fast64/FAST64_BASE.config
-ptx_opcode_latency_fp	4,13,4,5,39	configs/dtc_l1/fast64/FAST64_BASE.config
-ptx_opcode_latency_int	4,13,4,5,145,21	configs/dtc_l1/fast64/FAST64_BASE.config
-ptx_opcode_latency_sfu	100	configs/dtc_l1/fast64/FAST64_BASE.config
-ptx_opcode_latency_tesnor	64	configs/dtc_l1/fast64/FAST64_BASE.config
-specialized_unit_1	1,4,4,4,4,BRA	gpu-simulator/configs/tested-cfgs/SM7_QV100/trace.config
-specialized_unit_2	1,4,200,4,4,TEX	gpu-simulator/configs/tested-cfgs/SM7_QV100/trace.config
-specialized_unit_3	1,4,8,4,4,TENSOR	gpu-simulator/configs/tested-cfgs/SM7_QV100/trace.config
-trace_opcode_latency_initiation_dp	8,4	gpu-simulator/configs/tested-cfgs/SM7_QV100/trace.config
-trace_opcode_latency_initiation_int	2,2	gpu-simulator/configs/tested-cfgs/SM7_QV100/trace.config
-trace_opcode_latency_initiation_sfu	20,8	gpu-simulator/configs/tested-cfgs/SM7_QV100/trace.config
-trace_opcode_latency_initiation_sp	2,2	gpu-simulator/configs/tested-cfgs/SM7_QV100/trace.config
-trace_opcode_latency_initiation_spec_op_1	4,4	gpu-simulator/configs/tested-cfgs/SM7_QV100/trace.config
-trace_opcode_latency_initiation_spec_op_2	200,4	gpu-simulator/configs/tested-cfgs/SM7_QV100/trace.config
-trace_opcode_latency_initiation_spec_op_3	2,2	gpu-simulator/configs/tested-cfgs/SM7_QV100/trace.config
-trace_opcode_latency_initiation_tensor	2,2	gpu-simulator/configs/tested-cfgs/SM7_QV100/trace.config
-visualizer_enabled	0	configs/dtc_l1/fast64/FAST64_BASE.config
