schema	stage	workload	variant	instructions	trace_list_sha256	canonical_core_source_head	canonical_runtime_sha256	base_config	base_config_sha256	overlay	overlay_sha256	launch_gate	strict_validation	evidence_boundary
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	Btree	B16-N	444467849	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_B16_N_OVERLAY.config	658a13634cfc4a05e03437ed9b9a3922f9a91c2fce5d16c7b37784cfb38ccda8	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	Btree	TC80-N	444467849	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_TC80_N_OVERLAY.config	423832831f7d45757fcca350886dcf7a26cdd0158604a3b7c883638d006bbabd	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	DWT2D	B16-N	148684429	337087fedad435cd92cbd7e0f962f90d567ec9e77038fd8150977b7c6beb7164	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_B16_N_OVERLAY.config	658a13634cfc4a05e03437ed9b9a3922f9a91c2fce5d16c7b37784cfb38ccda8	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	DWT2D	TC80-N	148684429	337087fedad435cd92cbd7e0f962f90d567ec9e77038fd8150977b7c6beb7164	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_TC80_N_OVERLAY.config	423832831f7d45757fcca350886dcf7a26cdd0158604a3b7c883638d006bbabd	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	Gaussian	B16-N	283685120	6dc7caba6733657293e8c517467bac28890ae4eb97c732ffd245d7fd1c479fb9	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_B16_N_OVERLAY.config	658a13634cfc4a05e03437ed9b9a3922f9a91c2fce5d16c7b37784cfb38ccda8	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	Gaussian	TC80-N	283685120	6dc7caba6733657293e8c517467bac28890ae4eb97c732ffd245d7fd1c479fb9	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_TC80_N_OVERLAY.config	423832831f7d45757fcca350886dcf7a26cdd0158604a3b7c883638d006bbabd	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	Hotspot1	B16-N	377291004	a731bfc2cbb90b51888e92f3fb188ff4fceb123612a7b1ceb1817bc752e89461	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_B16_N_OVERLAY.config	658a13634cfc4a05e03437ed9b9a3922f9a91c2fce5d16c7b37784cfb38ccda8	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	Hotspot1	TC80-N	377291004	a731bfc2cbb90b51888e92f3fb188ff4fceb123612a7b1ceb1817bc752e89461	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_TC80_N_OVERLAY.config	423832831f7d45757fcca350886dcf7a26cdd0158604a3b7c883638d006bbabd	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	LUD	B16-N	184963840	6bf8f1fd5951793b1b2c563ee13203591e3d53d5985d4d1d6e3b5cf8f64a39e0	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_B16_N_OVERLAY.config	658a13634cfc4a05e03437ed9b9a3922f9a91c2fce5d16c7b37784cfb38ccda8	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	LUD	TC80-N	184963840	6bf8f1fd5951793b1b2c563ee13203591e3d53d5985d4d1d6e3b5cf8f64a39e0	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_TC80_N_OVERLAY.config	423832831f7d45757fcca350886dcf7a26cdd0158604a3b7c883638d006bbabd	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	NN	B16-N	1284872	6b5e83e43dc74ae1b23312e1772d19a774b6c7397740c1bc1e0f572db77f8664	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_B16_N_OVERLAY.config	658a13634cfc4a05e03437ed9b9a3922f9a91c2fce5d16c7b37784cfb38ccda8	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	NN	TC80-N	1284872	6b5e83e43dc74ae1b23312e1772d19a774b6c7397740c1bc1e0f572db77f8664	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_TC80_N_OVERLAY.config	423832831f7d45757fcca350886dcf7a26cdd0158604a3b7c883638d006bbabd	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	MRI-Q	B16-N	1411757056	e2282e93dffade84b1039a5ac4cbccbe0f34a1f2852520f9a16ffcc9996528a5	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_B16_N_OVERLAY.config	658a13634cfc4a05e03437ed9b9a3922f9a91c2fce5d16c7b37784cfb38ccda8	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	MRI-Q	TC80-N	1411757056	e2282e93dffade84b1039a5ac4cbccbe0f34a1f2852520f9a16ffcc9996528a5	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_TC80_N_OVERLAY.config	423832831f7d45757fcca350886dcf7a26cdd0158604a3b7c883638d006bbabd	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
