evidence_class	frozen_fast64_framework_sha	workload	dimension	physical_point_kib	mode	modeled_pool	row_disposition	compact_evidence_path	compact_evidence_sha256	stage6_cells_path	stage6_cells_sha256	cycles	instructions	lower_requests_created	lower_requests_issued	lower_responses	l2_accesses	l2_misses	l2_reservation_fails	global_reads	global_writes	valid_hits	pending_hits	tag_evictions	io_duplicate_after_eviction	io_no_free_physical_events	io_partial_allocation_events	io_allocation_width_limited_events	physical_allocations	physical_releases	physical_allocated_terminal	physical_allocated_peak_per_sm	physical_free_minimum_per_sm_reported	oo_out_of_order_retires	oo_immediate_reclaims	oo_deferred_reclaims	oo_final_ref_reclaims	oo_wakeups
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	GESUMMV	physical	32	IO	256_lines_32768B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v8/fast64_sens_v11_gesummv_physical32_io.json	a03c73437f1370974d300aa3f88735900d945af3780be6476570c5b4a2f0249d	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	105662735	190918656	34295146	34295146	34295146	141375400	66476680	299974086	34295146	4194816	1018906	337660	34293098	361446	1347660196	1112759	0	34295146	34293098	2048	256	256	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	GESUMMV	physical	32	OO	256_lines_32768B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v8/fast64_sens_v12_gesummv_physical32_oo.json	dae129ace006292bd8722fab22a0e20570172e744376f0ee17ca9ad2f362dedc	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	78961728	190918656	34370858	34370858	34370858	141678248	47698760	231353309	34370858	4194816	1003868	276986	34368810	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	34370858	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	2048	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	2908212	742508	33626302	33626302	34647844
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	GESUMMV	physical	40	IO	320_lines_40960B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v10/fast64_sens_v13_gesummv_physical40_io.json	2c3833e8e5a9c03150d295b5ccb60250e4d6e906d019bdb234ca035b7f5302ac	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	109360156	190918656	34496765	34496765	34496765	142181876	72824748	358065313	34496765	4194816	1014329	140618	34494717	580580	1129003002	1006547	0	34496765	34494717	2048	320	320	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	GESUMMV	physical	40	OO	320_lines_40960B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v10/fast64_sens_v14_gesummv_physical40_oo.json	10afbe44fa3cd76bfd2d4efc8d29df5b76f414c7520126f4b7efcf61c42599c6	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	118283945	190918656	34553941	34553941	34553941	142410580	72364584	434792096	34553941	4194816	1005599	92172	34551893	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	34553941	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	2048	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	3202691	1268514	33283379	33283379	34646113
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	GESUMMV	physical	48	IO	384_lines_49152B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v11/fast64_sens_v15_gesummv_physical48_io.json	94ba5c48145bff5dc7fdfa6343cf67bf5af0ec6a391da0d4bf936fc14c965c8a	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	148257172	190918656	34594315	34594315	34594315	142572076	91525006	579337234	34594315	4194816	1016536	40861	34592267	630811	1274800551	821002	0	34594315	34592267	2048	384	384	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	GESUMMV	physical	48	OO	384_lines_49152B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v11/fast64_sens_v16_gesummv_physical48_oo.json	0d0bcf67b6a843758c315eb7c852723e9a94224060444df19839c0dc6676e991	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	143759327	190918656	34602718	34602718	34602718	142605688	89882616	568646885	34602718	4194816	1039620	9374	34600670	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	34602718	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	2048	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	3406686	1505546	33095124	33095124	34612092
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	Btree	physical	16.5	IO	132_lines_16896B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_btree_physical16p5_io.json	84f5d918cb3efbc6159765910b4f4b21c57d288ad895b6e5499b1c31999ed9c7	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	548243	444467849	507647	507647	507647	2140588	291527	452	507647	110000	1426908	453958	499455	1	26604064	264555	0	507647	499455	8192	132	0	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	Btree	physical	16.5	OO	132_lines_16896B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_btree_physical16p5_oo.json	749a07f87ea118c01471530195d1ef4ab03c09cdd180efe70635b804b5dd5dbb	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	171828	444467849	501958	501958	501958	2117832	291674	6474	501958	110000	1138953	747602	493766	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	501958	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	8192	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	1636400	488898	4868	4868	1249560
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	Btree	physical	24	IO	192_lines_24576B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_btree_physical24_io.json	5d3e8594eaf22c65350ffb77958b5bc54cdaae86a9bd95e65b6e2893d0c09960	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	244231	444467849	507779	507779	507779	2141116	291650	5159	507779	110000	1145050	735684	499587	8	0	0	0	507779	499587	8192	183	9	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	Btree	physical	24	OO	192_lines_24576B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical24_oo.json	e07a90238e5cce80f9bf91495901f0c0a55a243004b1be9546e30d6c200499a2	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	172795	444467849	502450	502450	502450	2119800	291654	7260	502450	110000	1139806	746257	494258	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	502450	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	8192	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	1642331	489403	4855	4855	1248707
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	Btree	physical	32	IO	256_lines_32768B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v4/fast64_sens_v6_btree_physical32_io.json	4e64f82feae9772bded0d2cf9b8bae97becac91e319a7415d872af6e1948b341	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	244231	444467849	507779	507779	507779	2141116	291650	5159	507779	110000	1145050	735684	499587	8	0	0	0	507779	499587	8192	183	73	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	Btree	physical	32	OO	256_lines_32768B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v4/fast64_sens_v6_btree_physical32_oo.json	cbc93d1d6809d150d8f5d7b56c37da3b9302497b32ef2639f37e050c66127e9f	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	172795	444467849	502450	502450	502450	2119800	291654	7260	502450	110000	1139806	746257	494258	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	502450	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	8192	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	1642331	489403	4855	4855	1248707
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	Btree	physical	40	IO	320_lines_40960B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical40_io.json	b4f5a2acddd59bc59a517243bf8bb2909674aac6f2fc961c1b254bb0829a70db	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	244231	444467849	507779	507779	507779	2141116	291650	5159	507779	110000	1145050	735684	499587	8	0	0	0	507779	499587	8192	183	137	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	Btree	physical	40	OO	320_lines_40960B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical40_oo.json	83c82dcd774b95c8edcbb065d3c7720be060a6e1a73a36edcae09f394ef1bccd	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	172795	444467849	502450	502450	502450	2119800	291654	7260	502450	110000	1139806	746257	494258	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	502450	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	8192	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	1642331	489403	4855	4855	1248707
ACCEPTED_FAST64_EVIDENCE	18a68dcccd795f1b6cda75504e9450d00c9cee02	Btree	physical	48	IO	384_lines_49152B	STRICT_TERMINAL_SENSITIVITY	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical48_io.json	7c5540a2cfba57113658fa8f80ce81c10de494deee8d3973fc44699250a164c6	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_cells.tsv	15dad9c302f2f73194e4ba4ee4ccc76d4e726f5843f57da2e3461532adfbc939	244231	444467849	507779	507779	507779	2141116	291650	5159	507779	110000	1145050	735684	499587	8	0	0	0	507779	499587	8192	183	201	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT	NA_NOT_REPORTED_IN_ACCEPTED_COMPACT
