workload	pressure_field	pressure_category	raw_events	counter_domain	exclusivity	evidence_class	accepted_source
GEMM	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	114099368	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
GEMM	tag_bank_conflicts	Tag-bank conflict	25214976	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
GEMM	mshr_entry_full_events	MSHR entry full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
GEMM	mshr_merge_full_events	MSHR merge full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
GEMM	miss_queue_downstream_full_events	missqueue/downstream full	49091	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
2DConvolution	pib_full_events	PIB full	122219084	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
2DConvolution	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	5576660	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
2DConvolution	tag_bank_conflicts	Tag-bank conflict	15720960	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
2DConvolution	mshr_entry_full_events	MSHR entry full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
2DConvolution	mshr_merge_full_events	MSHR merge full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
2DConvolution	miss_queue_downstream_full_events	missqueue/downstream full	13	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
Btree	pib_full_events	PIB full	18175485	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
Btree	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	590	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
Btree	tag_bank_conflicts	Tag-bank conflict	1751328	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
Btree	mshr_entry_full_events	MSHR entry full	1622927	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
Btree	mshr_merge_full_events	MSHR merge full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
Btree	miss_queue_downstream_full_events	missqueue/downstream full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
DWT2D	pib_full_events	PIB full	8289065	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
DWT2D	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	1417779	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
DWT2D	tag_bank_conflicts	Tag-bank conflict	1225446	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
DWT2D	mshr_entry_full_events	MSHR entry full	346268	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
DWT2D	mshr_merge_full_events	MSHR merge full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
DWT2D	miss_queue_downstream_full_events	missqueue/downstream full	18367	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
Gaussian	pib_full_events	PIB full	3706501	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
Gaussian	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	29611524	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
Gaussian	tag_bank_conflicts	Tag-bank conflict	8502071	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
Gaussian	mshr_entry_full_events	MSHR entry full	2025717	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
Gaussian	mshr_merge_full_events	MSHR merge full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
Gaussian	miss_queue_downstream_full_events	missqueue/downstream full	78330	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
Hotspot1	pib_full_events	PIB full	5037171	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
Hotspot1	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	24303354	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
Hotspot1	tag_bank_conflicts	Tag-bank conflict	577925	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
Hotspot1	mshr_entry_full_events	MSHR entry full	866624	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
Hotspot1	mshr_merge_full_events	MSHR merge full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
Hotspot1	miss_queue_downstream_full_events	missqueue/downstream full	15056	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
LUD	pib_full_events	PIB full	5720827	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
LUD	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	6288688	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
LUD	tag_bank_conflicts	Tag-bank conflict	1040112	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
LUD	mshr_entry_full_events	MSHR entry full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
LUD	mshr_merge_full_events	MSHR merge full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
LUD	miss_queue_downstream_full_events	missqueue/downstream full	1372	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
NN	pib_full_events	PIB full	57768	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
NN	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
NN	tag_bank_conflicts	Tag-bank conflict	20045	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
NN	mshr_entry_full_events	MSHR entry full	89427	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
NN	mshr_merge_full_events	MSHR merge full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
NN	miss_queue_downstream_full_events	missqueue/downstream full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
MRI-Q	pib_full_events	PIB full	420442	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
MRI-Q	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	104423	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
MRI-Q	tag_bank_conflicts	Tag-bank conflict	65376	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
MRI-Q	mshr_entry_full_events	MSHR entry full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
MRI-Q	mshr_merge_full_events	MSHR merge full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
MRI-Q	miss_queue_downstream_full_events	missqueue/downstream full	0	Base-mode accumulated event counter	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/structural_pressure.tsv
