item	input_path	expected_sha256_or_commit	actual_sha256_or_commit	verification	role	evidence_class
FAST64_7_bound_compact_input	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_physical_plot.tsv	6f4830c101367fa180fba0436acb23dfc9e74f6bae888c061bc2af2af3af0f6b	6f4830c101367fa180fba0436acb23dfc9e74f6bae888c061bc2af2af3af0f6b	PASS_SHA256_EQUAL	Stage4 primary, Stage5 analysis, or Stage6 sensitivity evidence	ACCEPTED_FAST64_EVIDENCE
FAST64_7_bound_compact_input	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_pib_plot.tsv	ea50d25be55dca4f4c5f5f2d128f0e6ba7c515acc33a7d49f83c6673506b4fee	ea50d25be55dca4f4c5f5f2d128f0e6ba7c515acc33a7d49f83c6673506b4fee	PASS_SHA256_EQUAL	Stage4 primary, Stage5 analysis, or Stage6 sensitivity evidence	ACCEPTED_FAST64_EVIDENCE
FAST64_7_bound_compact_input	docs/dtc_l1/fast64/generated/fast64_6_sensitivity_v3/fast64_6_expected_deadlocks.tsv	6b12976e7a78883bce130048f4f4820b1ee9b80f5ecc4788df2d81a7f1ee8d47	6b12976e7a78883bce130048f4f4820b1ee9b80f5ecc4788df2d81a7f1ee8d47	PASS_SHA256_EQUAL	Stage4 primary, Stage5 analysis, or Stage6 sensitivity evidence	ACCEPTED_FAST64_EVIDENCE
FAST64_FINAL_compact_presentation_input	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/FAST12_summary.tsv	f576a81be0b52882aa738a074e0c31f5a4529efc10c54240338eda15f4ec02b4	f576a81be0b52882aa738a074e0c31f5a4529efc10c54240338eda15f4ec02b4	PASS_SHA256_FROZEN_IN_DERIVATION_MANIFEST	accepted review-package compact table	ACCEPTED_FAST64_EVIDENCE
FAST64_FINAL_compact_presentation_input	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/aggregate_membership.tsv	acac705b26859ea340b98f01f2c4baf60bc10b8f8c8efcec3b8bdb6299502a4c	acac705b26859ea340b98f01f2c4baf60bc10b8f8c8efcec3b8bdb6299502a4c	PASS_SHA256_FROZEN_IN_DERIVATION_MANIFEST	accepted review-package compact table	ACCEPTED_FAST64_EVIDENCE
FAST64_FINAL_compact_presentation_input	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/structural_pressure.tsv	836aab3f27394ef210af48bc0023ee2c5efca92c79575678608ed69fdce301da	836aab3f27394ef210af48bc0023ee2c5efca92c79575678608ed69fdce301da	PASS_SHA256_FROZEN_IN_DERIVATION_MANIFEST	accepted review-package compact table	ACCEPTED_FAST64_EVIDENCE
FAST64_FINAL_compact_presentation_input	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/io_oo_mechanism.tsv	88cb1f5f1904ed1b2c38133260d9e5ea8af984abc362ce93dfba587abd322747	88cb1f5f1904ed1b2c38133260d9e5ea8af984abc362ce93dfba587abd322747	PASS_SHA256_FROZEN_IN_DERIVATION_MANIFEST	accepted review-package compact table	ACCEPTED_FAST64_EVIDENCE
FAST64_FINAL_compact_presentation_input	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/traffic_pressure.tsv	3b77a052e6159831c2271e12f4555d7f97b08cf92ddcda15dd37060e80d149f3	3b77a052e6159831c2271e12f4555d7f97b08cf92ddcda15dd37060e80d149f3	PASS_SHA256_FROZEN_IN_DERIVATION_MANIFEST	accepted review-package compact table	ACCEPTED_FAST64_EVIDENCE
FAST64_FINAL_compact_presentation_input	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/causal_classification.tsv	f1249374f564499e5c1d18ee907ab6d5ffd9523dd9e6ee92ec9fd5f15c6ea675	f1249374f564499e5c1d18ee907ab6d5ffd9523dd9e6ee92ec9fd5f15c6ea675	PASS_SHA256_FROZEN_IN_DERIVATION_MANIFEST	accepted review-package compact table	ACCEPTED_FAST64_EVIDENCE
FAST64_FINAL_compact_presentation_input	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_logical_plot.tsv	fee2f86f1c769c4dae16af0a4bf723ed5fc568048a6719fe8843fb848d330f0e	fee2f86f1c769c4dae16af0a4bf723ed5fc568048a6719fe8843fb848d330f0e	PASS_SHA256_FROZEN_IN_DERIVATION_MANIFEST	accepted review-package compact table	ACCEPTED_FAST64_EVIDENCE
FAST64_FINAL_compact_presentation_input	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_physical_plot.tsv	6f4830c101367fa180fba0436acb23dfc9e74f6bae888c061bc2af2af3af0f6b	6f4830c101367fa180fba0436acb23dfc9e74f6bae888c061bc2af2af3af0f6b	PASS_SHA256_FROZEN_IN_DERIVATION_MANIFEST	accepted review-package compact table	ACCEPTED_FAST64_EVIDENCE
FAST64_FINAL_compact_presentation_input	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_pib_plot.tsv	ea50d25be55dca4f4c5f5f2d128f0e6ba7c515acc33a7d49f83c6673506b4fee	ea50d25be55dca4f4c5f5f2d128f0e6ba7c515acc33a7d49f83c6673506b4fee	PASS_SHA256_FROZEN_IN_DERIVATION_MANIFEST	accepted review-package compact table	ACCEPTED_FAST64_EVIDENCE
FAST64_FINAL_compact_presentation_input	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_expected_deadlocks.tsv	6b12976e7a78883bce130048f4f4820b1ee9b80f5ecc4788df2d81a7f1ee8d47	6b12976e7a78883bce130048f4f4820b1ee9b80f5ecc4788df2d81a7f1ee8d47	PASS_SHA256_FROZEN_IN_DERIVATION_MANIFEST	accepted review-package compact table	ACCEPTED_FAST64_EVIDENCE
FAST64_FINAL_compact_presentation_input	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/FAST64_7_INPUT_MANIFEST.tsv	5bdedcbddee215019bbc7ff76d13d43754715cb807d6d6c607025154d006861c	5bdedcbddee215019bbc7ff76d13d43754715cb807d6d6c607025154d006861c	PASS_SHA256_FROZEN_IN_DERIVATION_MANIFEST	accepted review-package compact table	ACCEPTED_FAST64_EVIDENCE
