workload,variant,legacy_port_activity,banked_aggregate_requests,banked_per_bank_activity,grants,conflicts,conflict_rate,arbitration_wait_cycles,hit_read,fill_write,wb_read,write,bypass
dwt2d,B0-Banked,NOT_EMITTED_BY_EPL2B0V1,1694536,NOT_EMITTED_BY_EPL2B0V1,847268,847268,0.500000,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
dwt2d,B0-Legacy,0,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,0,0.000000,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
gemm,B0-Banked,NOT_EMITTED_BY_EPL2B0V1,36958350,NOT_EMITTED_BY_EPL2B0V1,18479175,18479175,0.500000,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
gemm,B0-Legacy,0,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,0,0.000000,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
sad,B0-Banked,NOT_EMITTED_BY_EPL2B0V1,377546,NOT_EMITTED_BY_EPL2B0V1,188772,188774,0.500003,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
sad,B0-Legacy,0,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,0,0.000000,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
sgemm,B0-Banked,NOT_EMITTED_BY_EPL2B0V1,3647386,NOT_EMITTED_BY_EPL2B0V1,1823693,1823693,0.500000,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
sgemm,B0-Legacy,0,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,0,0.000000,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
spmv,B0-Banked,NOT_EMITTED_BY_EPL2B0V1,845260,NOT_EMITTED_BY_EPL2B0V1,422630,422630,0.500000,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
spmv,B0-Legacy,0,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,0,0.000000,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
vectorAdd_4M,B0-Banked,NOT_EMITTED_BY_EPL2B0V1,2000000,NOT_EMITTED_BY_EPL2B0V1,1000000,1000000,0.500000,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
vectorAdd_4M,B0-Legacy,0,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,0,0,0.000000,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1
