workload,variant,blocker,eligible_samples,blocked_cycles,blocked_events,blocking_ratio,blocked_density_events_per_sample,telemetry_note
FWT_11_19,B0-Legacy,Payload,10979136,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_11_19,B0-Legacy,Bank,10979136,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_11_19,B0-Legacy,L1,10979136,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_11_19,B0-Legacy,Lower path,10979136,NOT_EMITTED_BY_EPL2B0V1,119765,NOT_EMITTED_BY_EPL2B0V1,0.010908418,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_7_21,B0-Banked,Tag/Set,36158848,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_7_21,B0-Banked,Line-MSHR,36158848,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_7_21,B0-Banked,DescriptorPool,36158848,NOT_EMITTED_BY_EPL2B0V1,1064208,NOT_EMITTED_BY_EPL2B0V1,0.029431469,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_7_21,B0-Banked,PerAddressCap,36158848,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_7_21,B0-Banked,WAD,36158848,NOT_EMITTED_BY_EPL2B0V1,1133790,NOT_EMITTED_BY_EPL2B0V1,0.031355811,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_7_21,B0-Banked,Payload,36158848,NOT_EMITTED_BY_EPL2B0V1,10223668,NOT_EMITTED_BY_EPL2B0V1,0.282743189,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_7_21,B0-Banked,Bank,36158848,NOT_EMITTED_BY_EPL2B0V1,10223668,NOT_EMITTED_BY_EPL2B0V1,0.282743189,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_7_21,B0-Banked,L1,36158848,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_7_21,B0-Banked,Lower path,36158848,NOT_EMITTED_BY_EPL2B0V1,1064160,NOT_EMITTED_BY_EPL2B0V1,0.029430141,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_7_21,B0-Legacy,Tag/Set,31581824,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_7_21,B0-Legacy,Line-MSHR,31581824,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_7_21,B0-Legacy,DescriptorPool,31581824,NOT_EMITTED_BY_EPL2B0V1,1189823,NOT_EMITTED_BY_EPL2B0V1,0.037674296,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_7_21,B0-Legacy,PerAddressCap,31581824,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_7_21,B0-Legacy,WAD,31581824,NOT_EMITTED_BY_EPL2B0V1,1329767,NOT_EMITTED_BY_EPL2B0V1,0.042105453,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_7_21,B0-Legacy,Payload,31581824,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_7_21,B0-Legacy,Bank,31581824,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_7_21,B0-Legacy,L1,31581824,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
FWT_7_21,B0-Legacy,Lower path,31581824,NOT_EMITTED_BY_EPL2B0V1,1190064,NOT_EMITTED_BY_EPL2B0V1,0.037681927,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
btree,B0-Banked,Tag/Set,8165248,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
btree,B0-Banked,Line-MSHR,8165248,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
btree,B0-Banked,DescriptorPool,8165248,NOT_EMITTED_BY_EPL2B0V1,421,NOT_EMITTED_BY_EPL2B0V1,0.000051560,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
btree,B0-Banked,PerAddressCap,8165248,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
btree,B0-Banked,WAD,8165248,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
btree,B0-Banked,Payload,8165248,NOT_EMITTED_BY_EPL2B0V1,1372811,NOT_EMITTED_BY_EPL2B0V1,0.168128512,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
btree,B0-Banked,Bank,8165248,NOT_EMITTED_BY_EPL2B0V1,1372811,NOT_EMITTED_BY_EPL2B0V1,0.168128512,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
btree,B0-Banked,L1,8165248,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
btree,B0-Banked,Lower path,8165248,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
btree,B0-Legacy,Tag/Set,8080576,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
btree,B0-Legacy,Line-MSHR,8080576,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
btree,B0-Legacy,DescriptorPool,8080576,NOT_EMITTED_BY_EPL2B0V1,674,NOT_EMITTED_BY_EPL2B0V1,0.000083410,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
btree,B0-Legacy,PerAddressCap,8080576,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
btree,B0-Legacy,WAD,8080576,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
btree,B0-Legacy,Payload,8080576,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
btree,B0-Legacy,Bank,8080576,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
btree,B0-Legacy,L1,8080576,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
btree,B0-Legacy,Lower path,8080576,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
cfd_097k,B0-Banked,Tag/Set,5334336,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
cfd_097k,B0-Banked,Line-MSHR,5334336,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
cfd_097k,B0-Banked,DescriptorPool,5334336,NOT_EMITTED_BY_EPL2B0V1,234,NOT_EMITTED_BY_EPL2B0V1,0.000043867,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
cfd_097k,B0-Banked,PerAddressCap,5334336,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
cfd_097k,B0-Banked,WAD,5334336,NOT_EMITTED_BY_EPL2B0V1,7724,NOT_EMITTED_BY_EPL2B0V1,0.001447978,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
cfd_097k,B0-Banked,Payload,5334336,NOT_EMITTED_BY_EPL2B0V1,1115988,NOT_EMITTED_BY_EPL2B0V1,0.209208419,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
cfd_097k,B0-Banked,Bank,5334336,NOT_EMITTED_BY_EPL2B0V1,1115988,NOT_EMITTED_BY_EPL2B0V1,0.209208419,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
cfd_097k,B0-Banked,L1,5334336,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
cfd_097k,B0-Banked,Lower path,5334336,NOT_EMITTED_BY_EPL2B0V1,234,NOT_EMITTED_BY_EPL2B0V1,0.000043867,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
cfd_097k,B0-Legacy,Tag/Set,5091520,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
cfd_097k,B0-Legacy,Line-MSHR,5091520,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
cfd_097k,B0-Legacy,DescriptorPool,5091520,NOT_EMITTED_BY_EPL2B0V1,64,NOT_EMITTED_BY_EPL2B0V1,0.000012570,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
cfd_097k,B0-Legacy,PerAddressCap,5091520,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
cfd_097k,B0-Legacy,WAD,5091520,NOT_EMITTED_BY_EPL2B0V1,9511,NOT_EMITTED_BY_EPL2B0V1,0.001868008,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
cfd_097k,B0-Legacy,Payload,5091520,NOT_EMITTED_BY_EPL2B0V1,488,NOT_EMITTED_BY_EPL2B0V1,0.000095846,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
cfd_097k,B0-Legacy,Bank,5091520,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
cfd_097k,B0-Legacy,L1,5091520,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
cfd_097k,B0-Legacy,Lower path,5091520,NOT_EMITTED_BY_EPL2B0V1,64,NOT_EMITTED_BY_EPL2B0V1,0.000012570,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
convolutionSeparable,B0-Banked,Tag/Set,18861504,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
convolutionSeparable,B0-Banked,Line-MSHR,18861504,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
convolutionSeparable,B0-Banked,DescriptorPool,18861504,NOT_EMITTED_BY_EPL2B0V1,2851183,NOT_EMITTED_BY_EPL2B0V1,0.151164138,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
convolutionSeparable,B0-Banked,PerAddressCap,18861504,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
convolutionSeparable,B0-Banked,WAD,18861504,NOT_EMITTED_BY_EPL2B0V1,2713737,NOT_EMITTED_BY_EPL2B0V1,0.143877021,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
convolutionSeparable,B0-Banked,Payload,18861504,NOT_EMITTED_BY_EPL2B0V1,2740681,NOT_EMITTED_BY_EPL2B0V1,0.145305539,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
convolutionSeparable,B0-Banked,Bank,18861504,NOT_EMITTED_BY_EPL2B0V1,2740681,NOT_EMITTED_BY_EPL2B0V1,0.145305539,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
convolutionSeparable,B0-Banked,L1,18861504,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
convolutionSeparable,B0-Banked,Lower path,18861504,NOT_EMITTED_BY_EPL2B0V1,2654659,NOT_EMITTED_BY_EPL2B0V1,0.140744821,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
convolutionSeparable,B0-Legacy,Tag/Set,18579712,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
convolutionSeparable,B0-Legacy,Line-MSHR,18579712,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
convolutionSeparable,B0-Legacy,DescriptorPool,18579712,NOT_EMITTED_BY_EPL2B0V1,3373327,NOT_EMITTED_BY_EPL2B0V1,0.181559703,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
convolutionSeparable,B0-Legacy,PerAddressCap,18579712,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
convolutionSeparable,B0-Legacy,WAD,18579712,NOT_EMITTED_BY_EPL2B0V1,3216482,NOT_EMITTED_BY_EPL2B0V1,0.173117969,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
convolutionSeparable,B0-Legacy,Payload,18579712,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
convolutionSeparable,B0-Legacy,Bank,18579712,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
convolutionSeparable,B0-Legacy,L1,18579712,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
convolutionSeparable,B0-Legacy,Lower path,18579712,NOT_EMITTED_BY_EPL2B0V1,3133633,NOT_EMITTED_BY_EPL2B0V1,0.168658858,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
dwt2d,B0-Banked,Tag/Set,10679104,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
dwt2d,B0-Banked,Line-MSHR,10679104,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
dwt2d,B0-Banked,DescriptorPool,10679104,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
dwt2d,B0-Banked,PerAddressCap,10679104,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
dwt2d,B0-Banked,WAD,10679104,NOT_EMITTED_BY_EPL2B0V1,33181,NOT_EMITTED_BY_EPL2B0V1,0.003107096,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
dwt2d,B0-Banked,Payload,10679104,NOT_EMITTED_BY_EPL2B0V1,847268,NOT_EMITTED_BY_EPL2B0V1,0.079338866,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
dwt2d,B0-Banked,Bank,10679104,NOT_EMITTED_BY_EPL2B0V1,847268,NOT_EMITTED_BY_EPL2B0V1,0.079338866,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
dwt2d,B0-Banked,L1,10679104,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
dwt2d,B0-Banked,Lower path,10679104,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
dwt2d,B0-Legacy,Tag/Set,10685504,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
dwt2d,B0-Legacy,Line-MSHR,10685504,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
dwt2d,B0-Legacy,DescriptorPool,10685504,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
dwt2d,B0-Legacy,PerAddressCap,10685504,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
dwt2d,B0-Legacy,WAD,10685504,NOT_EMITTED_BY_EPL2B0V1,29492,NOT_EMITTED_BY_EPL2B0V1,0.002760001,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
dwt2d,B0-Legacy,Payload,10685504,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
dwt2d,B0-Legacy,Bank,10685504,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
dwt2d,B0-Legacy,L1,10685504,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
dwt2d,B0-Legacy,Lower path,10685504,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
gemm,B0-Banked,Tag/Set,42963904,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
gemm,B0-Banked,Line-MSHR,42963904,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
gemm,B0-Banked,DescriptorPool,42963904,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
gemm,B0-Banked,PerAddressCap,42963904,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,NOT_EMITTED_BY_EPL2B0V1,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
gemm,B0-Banked,WAD,42963904,NOT_EMITTED_BY_EPL2B0V1,0,NOT_EMITTED_BY_EPL2B0V1,0.000000000,"EPL2B0V1 emits blocker events, not exclusive blocked-cycle attribution"
