v1_phase	v1_decode_step	phase_class	phase	decode_step	assignment_method	launch_count	accumulated_gpu_duration_ns	gpu_time_share_all_launches	launch_count_share_all_launches
DECODE	27	DECODE	DECODE	27	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3846730	0.024837336953584623	0.030337111053435995
DECODE	29	DECODE	DECODE	29	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3846218	0.024834031102505854	0.030337111053435995
DECODE	10	DECODE	DECODE	10	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3845992	0.024832571879178117	0.030337111053435995
DECODE	8	DECODE	DECODE	8	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3845099	0.024826806010011433	0.030337111053435995
DECODE	9	DECODE	DECODE	9	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3843850	0.024818741541266544	0.030337111053435995
DECODE	21	DECODE	DECODE	21	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3843720	0.024817902165016077	0.030337111053435995
DECODE	12	DECODE	DECODE	12	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3842249	0.024808404299905003	0.030337111053435995
DECODE	13	DECODE	DECODE	13	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3842249	0.024808404299905003	0.030337111053435995
DECODE	14	DECODE	DECODE	14	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3841511	0.024803639225498494	0.030337111053435995
DECODE	19	DECODE	DECODE	19	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3841349	0.024802593233555603	0.030337111053435995
DECODE	2	DECODE	DECODE	2	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3839690	0.024791881501251542	0.030337111053435995
DECODE	7	DECODE	DECODE	7	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3838824	0.024786289964075343	0.030337111053435995
DECODE	17	DECODE	DECODE	17	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3838056	0.02478133118745719	0.030337111053435995
DECODE	15	DECODE	DECODE	15	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3837928	0.024780504724687496	0.030337111053435995
DECODE	11	DECODE	DECODE	11	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3836682	0.02477245962616377	0.030337111053435995
DECODE	5	DECODE	DECODE	5	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3835017	0.024761709153417383	0.030337111053435995
DECODE	4	DECODE	DECODE	4	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3832360	0.024744553594205874	0.030337111053435995
DECODE	3	DECODE	DECODE	3	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3830601	0.024733196187862995	0.030337111053435995
DECODE	30	DECODE	DECODE	30	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3717770	0.024004675713119535	0.030337111053435995
DECODE	32	DECODE	DECODE	32	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3577224	0.023097206678516505	0.030337111053435995
DECODE	31	DECODE	DECODE	31	CUPTI_CORRELATED_RUNTIME_START_IN_SAME_THREAD_NVTX	1052	3575205	0.023084170519672688	0.030337111053435995
UNKNOWN		AUXILIARY	AUXILIARY		AUXILIARY_RUNTIME_START_OUTSIDE_ALL_C16_PHASE_RANGES	33	192864	0.0012452727782340182	0.0009516394151743231
