family,fields,state,variant,workload
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 1019, ""resident_pending_sector_avg"": 60}",MEASURED,B0-Legacy,scan
Bank,"{""bank0_logical_ops"": 0, ""bank_logical_ops"": 0, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Legacy,scan
L1D,"{""l1d_accesses"": 42764800, ""l1d_miss_queue_full"": 38533635, ""l1d_misses"": 35947209, ""l1d_mshr_entry_fail"": 124523721}",MEASURED,B0-Legacy,scan
Lower,"{""dram_bandwidth_util"": ""0.818652729"", ""dram_issue_attempt"": 63786355, ""dram_successful_read_issues"": 21405633, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 62160071, ""missq_avg"": 60, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 111}",MEASURED,B0-Legacy,scan
Temporal,"{""window_records"": 13792}",MEASURED,B0-Legacy,scan
Tag-way,"{""tag_way_alloc_block"": 222849, ""tag_way_alloc_need"": 24712819}",MEASURED,B0-Banked,scan
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 20943070}",MEASURED,B0-Banked,scan
Descriptor,"{""chain_depth_max"": 32, ""descriptor_need"": 83641439, ""descriptor_pool_full_block"": 60513316}",MEASURED,B0-Banked,scan
Per-address-cap,"{""per_address_cap_block"": 0, ""per_address_cap_check"": 62698369}",MEASURED,B0-Banked,scan
WAD,"{""wad_avg"": 57, ""wad_full_events"": 2318944, ""wad_hazard_events"": 585398, ""wad_hazard_wait_cycles"": 585398}",MEASURED,B0-Banked,scan
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 1019, ""resident_pending_sector_avg"": 60}",MEASURED,B0-Banked,scan
Bank,"{""bank0_logical_ops"": 7044581, ""bank_logical_ops"": 28244978, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Banked,scan
L1D,"{""l1d_accesses"": 42764800, ""l1d_miss_queue_full"": 38533635, ""l1d_misses"": 35947209, ""l1d_mshr_entry_fail"": 124523721}",MEASURED,B0-Banked,scan
Lower,"{""dram_bandwidth_util"": ""0.818652729"", ""dram_issue_attempt"": 63786355, ""dram_successful_read_issues"": 21405633, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 62160071, ""missq_avg"": 60, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 111}",MEASURED,B0-Banked,scan
Temporal,"{""window_records"": 13792}",MEASURED,B0-Banked,scan
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 179912}",MEASURED,B0-Legacy,spmv
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 184141}",MEASURED,B0-Legacy,spmv
Descriptor,"{""chain_depth_max"": 32, ""descriptor_need"": 755597, ""descriptor_pool_full_block"": 361635}",MEASURED,B0-Legacy,spmv
Per-address-cap,"{""per_address_cap_block"": 8598, ""per_address_cap_check"": 571456}",MEASURED,B0-Legacy,spmv
WAD,"{""wad_avg"": 0, ""wad_full_events"": 0, ""wad_hazard_events"": 0, ""wad_hazard_wait_cycles"": 0}",MEASURED,B0-Legacy,spmv
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 567, ""resident_pending_sector_avg"": 41}",MEASURED,B0-Legacy,spmv
Bank,"{""bank0_logical_ops"": 0, ""bank_logical_ops"": 0, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Legacy,spmv
L1D,"{""l1d_accesses"": 650620, ""l1d_miss_queue_full"": 73304, ""l1d_misses"": 432620, ""l1d_mshr_entry_fail"": 1399927}",MEASURED,B0-Legacy,spmv
Lower,"{""dram_bandwidth_util"": ""0.666052669"", ""dram_issue_attempt"": 375745, ""dram_successful_read_issues"": 375334, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 348466, ""missq_avg"": 15, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 47}",MEASURED,B0-Legacy,spmv
Temporal,"{""window_records"": 128}",MEASURED,B0-Legacy,spmv
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 179912}",MEASURED,B0-Banked,spmv
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 184141}",MEASURED,B0-Banked,spmv
Descriptor,"{""chain_depth_max"": 32, ""descriptor_need"": 755597, ""descriptor_pool_full_block"": 361635}",MEASURED,B0-Banked,spmv
Per-address-cap,"{""per_address_cap_block"": 8598, ""per_address_cap_check"": 571456}",MEASURED,B0-Banked,spmv
WAD,"{""wad_avg"": 0, ""wad_full_events"": 0, ""wad_hazard_events"": 0, ""wad_hazard_wait_cycles"": 0}",MEASURED,B0-Banked,spmv
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 567, ""resident_pending_sector_avg"": 41}",MEASURED,B0-Banked,spmv
Bank,"{""bank0_logical_ops"": 112637, ""bank_logical_ops"": 422502, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Banked,spmv
L1D,"{""l1d_accesses"": 650620, ""l1d_miss_queue_full"": 73304, ""l1d_misses"": 432620, ""l1d_mshr_entry_fail"": 1399927}",MEASURED,B0-Banked,spmv
Lower,"{""dram_bandwidth_util"": ""0.666052669"", ""dram_issue_attempt"": 375745, ""dram_successful_read_issues"": 375334, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 348466, ""missq_avg"": 15, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 47}",MEASURED,B0-Banked,spmv
Temporal,"{""window_records"": 128}",MEASURED,B0-Banked,spmv
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 2012678}",MEASURED,B0-Legacy,convolutionSeparable
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 1958245}",MEASURED,B0-Legacy,convolutionSeparable
Descriptor,"{""chain_depth_max"": 8, ""descriptor_need"": 5865143, ""descriptor_pool_full_block"": 3373327}",MEASURED,B0-Legacy,convolutionSeparable
Per-address-cap,"{""per_address_cap_block"": 0, ""per_address_cap_check"": 3906898}",MEASURED,B0-Legacy,convolutionSeparable
WAD,"{""wad_avg"": 27, ""wad_full_events"": 8266, ""wad_hazard_events"": 0, ""wad_hazard_wait_cycles"": 0}",MEASURED,B0-Legacy,convolutionSeparable
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 969, ""resident_pending_sector_avg"": 42}",MEASURED,B0-Legacy,convolutionSeparable
Bank,"{""bank0_logical_ops"": 0, ""bank_logical_ops"": 0, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Legacy,convolutionSeparable
L1D,"{""l1d_accesses"": 5289984, ""l1d_miss_queue_full"": 1460359, ""l1d_misses"": 5215696, ""l1d_mshr_entry_fail"": 2242333}",MEASURED,B0-Legacy,convolutionSeparable
Lower,"{""dram_bandwidth_util"": ""0.651093299"", ""dram_issue_attempt"": 5418276, ""dram_successful_read_issues"": 2359514, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 3133633, ""missq_avg"": 21, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 66}",MEASURED,B0-Legacy,convolutionSeparable
Temporal,"{""window_records"": 1856}",MEASURED,B0-Legacy,convolutionSeparable
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 2012678}",MEASURED,B0-Banked,convolutionSeparable
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 1958245}",MEASURED,B0-Banked,convolutionSeparable
Descriptor,"{""chain_depth_max"": 8, ""descriptor_need"": 5865143, ""descriptor_pool_full_block"": 3373327}",MEASURED,B0-Banked,convolutionSeparable
Per-address-cap,"{""per_address_cap_block"": 0, ""per_address_cap_check"": 3906898}",MEASURED,B0-Banked,convolutionSeparable
WAD,"{""wad_avg"": 27, ""wad_full_events"": 8266, ""wad_hazard_events"": 0, ""wad_hazard_wait_cycles"": 0}",MEASURED,B0-Banked,convolutionSeparable
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 969, ""resident_pending_sector_avg"": 42}",MEASURED,B0-Banked,convolutionSeparable
Bank,"{""bank0_logical_ops"": 674668, ""bank_logical_ops"": 2740470, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Banked,convolutionSeparable
L1D,"{""l1d_accesses"": 5289984, ""l1d_miss_queue_full"": 1460359, ""l1d_misses"": 5215696, ""l1d_mshr_entry_fail"": 2242333}",MEASURED,B0-Banked,convolutionSeparable
Lower,"{""dram_bandwidth_util"": ""0.651093299"", ""dram_issue_attempt"": 5418276, ""dram_successful_read_issues"": 2359514, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 3133633, ""missq_avg"": 21, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 66}",MEASURED,B0-Banked,convolutionSeparable
Temporal,"{""window_records"": 1856}",MEASURED,B0-Banked,convolutionSeparable
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 113091}",MEASURED,B0-Legacy,cfd_097k
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 53418}",MEASURED,B0-Legacy,cfd_097k
Descriptor,"{""chain_depth_max"": 5, ""descriptor_need"": 212610, ""descriptor_pool_full_block"": 64}",MEASURED,B0-Legacy,cfd_097k
Per-address-cap,"{""per_address_cap_block"": 0, ""per_address_cap_check"": 159192}",MEASURED,B0-Legacy,cfd_097k
WAD,"{""wad_avg"": 2, ""wad_full_events"": 0, ""wad_hazard_events"": 9367, ""wad_hazard_wait_cycles"": 9367}",MEASURED,B0-Legacy,cfd_097k
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 488, ""resident_payload_avg"": 756, ""resident_pending_sector_avg"": 3}",MEASURED,B0-Legacy,cfd_097k
Bank,"{""bank0_logical_ops"": 0, ""bank_logical_ops"": 0, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Legacy,cfd_097k
L1D,"{""l1d_accesses"": 1539872, ""l1d_miss_queue_full"": 780328, ""l1d_misses"": 1328553, ""l1d_mshr_entry_fail"": 454367}",MEASURED,B0-Legacy,cfd_097k
Lower,"{""dram_bandwidth_util"": ""0.176294446"", ""dram_issue_attempt"": 350321, ""dram_successful_read_issues"": 212524, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 64, ""missq_avg"": 0, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 13}",MEASURED,B0-Legacy,cfd_097k
Temporal,"{""window_records"": 480}",MEASURED,B0-Legacy,cfd_097k
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 113103}",MEASURED,B0-Banked,cfd_097k
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 53454}",MEASURED,B0-Banked,cfd_097k
Descriptor,"{""chain_depth_max"": 4, ""descriptor_need"": 212597, ""descriptor_pool_full_block"": 0}",MEASURED,B0-Banked,cfd_097k
Per-address-cap,"{""per_address_cap_block"": 0, ""per_address_cap_check"": 159143}",MEASURED,B0-Banked,cfd_097k
WAD,"{""wad_avg"": 2, ""wad_full_events"": 0, ""wad_hazard_events"": 9408, ""wad_hazard_wait_cycles"": 9408}",MEASURED,B0-Banked,cfd_097k
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 762, ""resident_pending_sector_avg"": 3}",MEASURED,B0-Banked,cfd_097k
Bank,"{""bank0_logical_ops"": 224017, ""bank_logical_ops"": 1093466, ""bank_true_conflict_ops"": 16166, ""bank_wait_cycles"": 16166}",MEASURED,B0-Banked,cfd_097k
L1D,"{""l1d_accesses"": 1539872, ""l1d_miss_queue_full"": 786287, ""l1d_misses"": 1333347, ""l1d_mshr_entry_fail"": 461031}",MEASURED,B0-Banked,cfd_097k
Lower,"{""dram_bandwidth_util"": ""0.172253655"", ""dram_issue_attempt"": 348079, ""dram_successful_read_issues"": 212564, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 0, ""missq_avg"": 0, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 13}",MEASURED,B0-Banked,cfd_097k
Temporal,"{""window_records"": 512}",MEASURED,B0-Banked,cfd_097k
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 306102}",MEASURED,B0-Legacy,dwt2d
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 111818}",MEASURED,B0-Legacy,dwt2d
Descriptor,"{""chain_depth_max"": 9, ""descriptor_need"": 446140, ""descriptor_pool_full_block"": 0}",MEASURED,B0-Legacy,dwt2d
Per-address-cap,"{""per_address_cap_block"": 0, ""per_address_cap_check"": 334322}",MEASURED,B0-Legacy,dwt2d
WAD,"{""wad_avg"": 8, ""wad_full_events"": 74044, ""wad_hazard_events"": 19521, ""wad_hazard_wait_cycles"": 19521}",MEASURED,B0-Legacy,dwt2d
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 967, ""resident_pending_sector_avg"": 4}",MEASURED,B0-Legacy,dwt2d
Bank,"{""bank0_logical_ops"": 0, ""bank_logical_ops"": 0, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Legacy,dwt2d
L1D,"{""l1d_accesses"": 1704000, ""l1d_miss_queue_full"": 1929192, ""l1d_misses"": 1641970, ""l1d_mshr_entry_fail"": 0}",MEASURED,B0-Legacy,dwt2d
Lower,"{""dram_bandwidth_util"": ""0.272531667"", ""dram_issue_attempt"": 883065, ""dram_successful_read_issues"": 437976, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 0, ""missq_avg"": 0, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 17}",MEASURED,B0-Legacy,dwt2d
Temporal,"{""window_records"": 1056}",MEASURED,B0-Legacy,dwt2d
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 306102}",MEASURED,B0-Banked,dwt2d
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 111818}",MEASURED,B0-Banked,dwt2d
Descriptor,"{""chain_depth_max"": 9, ""descriptor_need"": 446140, ""descriptor_pool_full_block"": 0}",MEASURED,B0-Banked,dwt2d
Per-address-cap,"{""per_address_cap_block"": 0, ""per_address_cap_check"": 334322}",MEASURED,B0-Banked,dwt2d
WAD,"{""wad_avg"": 8, ""wad_full_events"": 74044, ""wad_hazard_events"": 19521, ""wad_hazard_wait_cycles"": 19521}",MEASURED,B0-Banked,dwt2d
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 967, ""resident_pending_sector_avg"": 4}",MEASURED,B0-Banked,dwt2d
Bank,"{""bank0_logical_ops"": 199200, ""bank_logical_ops"": 847374, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Banked,dwt2d
L1D,"{""l1d_accesses"": 1704000, ""l1d_miss_queue_full"": 1929192, ""l1d_misses"": 1641970, ""l1d_mshr_entry_fail"": 0}",MEASURED,B0-Banked,dwt2d
Lower,"{""dram_bandwidth_util"": ""0.272531667"", ""dram_issue_attempt"": 883065, ""dram_successful_read_issues"": 437976, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 0, ""missq_avg"": 0, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 17}",MEASURED,B0-Banked,dwt2d
Temporal,"{""window_records"": 1056}",MEASURED,B0-Banked,dwt2d
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 69907}",MEASURED,B0-Legacy,sad
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 848}",MEASURED,B0-Legacy,sad
Descriptor,"{""chain_depth_max"": 16, ""descriptor_need"": 6402, ""descriptor_pool_full_block"": 0}",MEASURED,B0-Legacy,sad
Per-address-cap,"{""per_address_cap_block"": 0, ""per_address_cap_check"": 5554}",MEASURED,B0-Legacy,sad
WAD,"{""wad_avg"": 0, ""wad_full_events"": 0, ""wad_hazard_events"": 0, ""wad_hazard_wait_cycles"": 0}",MEASURED,B0-Legacy,sad
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 2, ""resident_payload_avg"": 301, ""resident_pending_sector_avg"": 0}",MEASURED,B0-Legacy,sad
Bank,"{""bank0_logical_ops"": 0, ""bank_logical_ops"": 0, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Legacy,sad
L1D,"{""l1d_accesses"": 505098, ""l1d_miss_queue_full"": 340795, ""l1d_misses"": 422873, ""l1d_mshr_entry_fail"": 0}",MEASURED,B0-Legacy,sad
Lower,"{""dram_bandwidth_util"": ""0.006725926"", ""dram_issue_attempt"": 5958, ""dram_successful_read_issues"": 1983, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 0, ""missq_avg"": 0, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 0}",MEASURED,B0-Legacy,sad
Temporal,"{""window_records"": 704}",MEASURED,B0-Legacy,sad
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 69907}",MEASURED,B0-Banked,sad
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 848}",MEASURED,B0-Banked,sad
Descriptor,"{""chain_depth_max"": 16, ""descriptor_need"": 6402, ""descriptor_pool_full_block"": 0}",MEASURED,B0-Banked,sad
Per-address-cap,"{""per_address_cap_block"": 0, ""per_address_cap_check"": 5554}",MEASURED,B0-Banked,sad
WAD,"{""wad_avg"": 0, ""wad_full_events"": 0, ""wad_hazard_events"": 0, ""wad_hazard_wait_cycles"": 0}",MEASURED,B0-Banked,sad
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 301, ""resident_pending_sector_avg"": 0}",MEASURED,B0-Banked,sad
Bank,"{""bank0_logical_ops"": 40709, ""bank_logical_ops"": 188826, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Banked,sad
L1D,"{""l1d_accesses"": 505098, ""l1d_miss_queue_full"": 340795, ""l1d_misses"": 422873, ""l1d_mshr_entry_fail"": 0}",MEASURED,B0-Banked,sad
Lower,"{""dram_bandwidth_util"": ""0.006725926"", ""dram_issue_attempt"": 5958, ""dram_successful_read_issues"": 1983, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 0, ""missq_avg"": 0, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 0}",MEASURED,B0-Banked,sad
Temporal,"{""window_records"": 704}",MEASURED,B0-Banked,sad
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 98272}",MEASURED,B0-Legacy,sgemm
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 116218}",MEASURED,B0-Legacy,sgemm
Descriptor,"{""chain_depth_max"": 32, ""descriptor_need"": 1162247, ""descriptor_pool_full_block"": 0}",MEASURED,B0-Legacy,sgemm
Per-address-cap,"{""per_address_cap_block"": 1409, ""per_address_cap_check"": 1046029}",MEASURED,B0-Legacy,sgemm
WAD,"{""wad_avg"": 0, ""wad_full_events"": 0, ""wad_hazard_events"": 0, ""wad_hazard_wait_cycles"": 0}",MEASURED,B0-Legacy,sgemm
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 521, ""resident_pending_sector_avg"": 0}",MEASURED,B0-Legacy,sgemm
Bank,"{""bank0_logical_ops"": 0, ""bank_logical_ops"": 0, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Legacy,sgemm
L1D,"{""l1d_accesses"": 9698304, ""l1d_miss_queue_full"": 331698, ""l1d_misses"": 2452480, ""l1d_mshr_entry_fail"": 0}",MEASURED,B0-Legacy,sgemm
Lower,"{""dram_bandwidth_util"": ""0.046244951"", ""dram_issue_attempt"": 393088, ""dram_successful_read_issues"": 393088, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 0, ""missq_avg"": 0, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 0}",MEASURED,B0-Legacy,sgemm
Temporal,"{""window_records"": 2240}",MEASURED,B0-Legacy,sgemm
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 98272}",MEASURED,B0-Banked,sgemm
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 116218}",MEASURED,B0-Banked,sgemm
Descriptor,"{""chain_depth_max"": 32, ""descriptor_need"": 1162247, ""descriptor_pool_full_block"": 0}",MEASURED,B0-Banked,sgemm
Per-address-cap,"{""per_address_cap_block"": 1409, ""per_address_cap_check"": 1046029}",MEASURED,B0-Banked,sgemm
WAD,"{""wad_avg"": 0, ""wad_full_events"": 0, ""wad_hazard_events"": 0, ""wad_hazard_wait_cycles"": 0}",MEASURED,B0-Banked,sgemm
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 521, ""resident_pending_sector_avg"": 0}",MEASURED,B0-Banked,sgemm
Bank,"{""bank0_logical_ops"": 457720, ""bank_logical_ops"": 1819898, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Banked,sgemm
L1D,"{""l1d_accesses"": 9698304, ""l1d_miss_queue_full"": 331698, ""l1d_misses"": 2452480, ""l1d_mshr_entry_fail"": 0}",MEASURED,B0-Banked,sgemm
Lower,"{""dram_bandwidth_util"": ""0.046244951"", ""dram_issue_attempt"": 393088, ""dram_successful_read_issues"": 393088, ""dram_to_l2_return_path_block"": 0, ""l2_to_dram_full_block"": 0, ""missq_avg"": 0, ""returnq_occ_avg"": 0, ""scheduler_occ_avg"": 0}",MEASURED,B0-Banked,sgemm
Temporal,"{""window_records"": 2240}",MEASURED,B0-Banked,sgemm
Tag-way,"{""tag_way_alloc_block"": 0, ""tag_way_alloc_need"": 135047}",MEASURED,B0-Legacy,btree
Line-MSHR,"{""line_mshr_full_block"": 0, ""line_mshr_need"": 139249}",MEASURED,B0-Legacy,btree
Descriptor,"{""chain_depth_max"": 32, ""descriptor_need"": 477174, ""descriptor_pool_full_block"": 0}",MEASURED,B0-Legacy,btree
Per-address-cap,"{""per_address_cap_block"": 674, ""per_address_cap_check"": 337925}",MEASURED,B0-Legacy,btree
WAD,"{""wad_avg"": 0, ""wad_full_events"": 0, ""wad_hazard_events"": 0, ""wad_hazard_wait_cycles"": 0}",MEASURED,B0-Legacy,btree
Payload,"{""payload_capacity_allocation_denial"": 0, ""payload_service_port_denial"": 0, ""resident_payload_avg"": 717, ""resident_pending_sector_avg"": 2}",MEASURED,B0-Legacy,btree
Bank,"{""bank0_logical_ops"": 0, ""bank_logical_ops"": 0, ""bank_true_conflict_ops"": 0, ""bank_wait_cycles"": 0}",MEASURED,B0-Legacy,btree
L1D,"{""l1d_accesses"": 4249841, ""l1d_miss_queue_full"": 233530, ""l1d_misses"": 1340267, ""l1d_mshr_entry_fail"": 0}",MEASURED,B0-Legacy,btree
