candidate_id	suite	workload	primary_domain	access_tags	op_mix	Base_pressure_tags	evidence_confidence	historical_wall_time	cost_quartile	eligibility
E52-11	CUDA SDK	vectorAdd_6000000	OTHER_SOURCE_BACKED_COMPUTE	REGULAR_COALESCED;STREAMING_LOW_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_LOW;MSHR_PRESSURE_LOW;TAG_LINE_ALLOC_PRESSURE_LOW;DOWNSTREAM_PRESSURE_LOW;COMPUTE_HEAVY_LOW	source-static	4-8m	COST_Q1	ELIGIBLE
E52-12	Accel-Sim ubench	atomic_add_bw	OTHER_SOURCE_BACKED_COMPUTE	ATOMIC_UPDATE;IRREGULAR_SCATTER	atomic-heavy	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_LOW	source-static	33-35m	COST_Q3	INELIGIBLE_E1_MICROBENCH
E52-13	Accel-Sim ubench	atomic_add_bw_conflict	OTHER_SOURCE_BACKED_COMPUTE	ATOMIC_UPDATE;HIGH_TEMPORAL_REUSE	atomic-heavy	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_LOW	source-static	1h26-1h32	COST_Q4	INELIGIBLE_E1_MICROBENCH
E52-14	Accel-Sim ubench	l2_bw_32f	OTHER_SOURCE_BACKED_COMPUTE	REGULAR_COALESCED;STREAMING_LOW_REUSE	load-dominated	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_LOW	source-static	1h11-1h21	COST_Q4	INELIGIBLE_E1_MICROBENCH
E52-15	Accel-Sim ubench	l2_bw_64f	OTHER_SOURCE_BACKED_COMPUTE	REGULAR_COALESCED;STREAMING_LOW_REUSE	load-dominated	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_LOW	source-static	2h25-2h28	COST_Q4	INELIGIBLE_E1_MICROBENCH
E52-16	Accel-Sim ubench	mem_bw	OTHER_SOURCE_BACKED_COMPUTE	REGULAR_COALESCED;STREAMING_LOW_REUSE	load-dominated	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_LOW	source-static	25-43m	COST_Q3	INELIGIBLE_E1_MICROBENCH
E52-17	Accel-Sim ubench	mem_lat	OTHER_SOURCE_BACKED_COMPUTE	POINTER_GRAPH_LIKE;IRREGULAR_GATHER	load-dominated	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_LOW	source-static	2.5-3m	COST_Q1	INELIGIBLE_E1_MICROBENCH
E52-18	Rodinia	cfd_097k	OTHER_SOURCE_BACKED_COMPUTE	IRREGULAR_GATHER;SPARSE_INDIRECT;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_MED	source-static	5-6m	COST_Q1	ELIGIBLE
E52-19	Rodinia	srad_trim	STENCIL_STRUCTURED_GRID	REGULAR_COALESCED;HIGH_SPATIAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_MED	source-static	18m	COST_Q2	INELIGIBLE_E5_DERIVED_TRIMMED
E52-20	Rodinia	btree	SEARCH_SORT_SCAN_REDUCTION	POINTER_GRAPH_LIKE;IRREGULAR_GATHER	load-dominated	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_LOW	source-static	8-14m	COST_Q2	ELIGIBLE
E52-21	Rodinia	dwt2d	IMAGE_SIGNAL_PROCESSING	REGULAR_STRIDED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_MED	source-static	unknown	COST_UNKNOWN_OR_BOUNDED	ELIGIBLE
E52-22	Rodinia	gaussian	DENSE_LINEAR_ALGEBRA	REGULAR_COALESCED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_LOW;MSHR_PRESSURE_LOW;TAG_LINE_ALLOC_PRESSURE_LOW;DOWNSTREAM_PRESSURE_LOW;COMPUTE_HEAVY_HIGH	source-static	19-21m	COST_Q3	ELIGIBLE
E52-23	Rodinia	hotspot1	STENCIL_STRUCTURED_GRID	REGULAR_COALESCED;HIGH_SPATIAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_MED	source-static	unknown	COST_UNKNOWN_OR_BOUNDED	ELIGIBLE
E52-24	Rodinia	lud	DENSE_LINEAR_ALGEBRA	REGULAR_COALESCED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_HIGH	source-static	unknown	COST_UNKNOWN_OR_BOUNDED	ELIGIBLE
E52-25	Rodinia	nn	SEARCH_SORT_SCAN_REDUCTION	IRREGULAR_GATHER;STREAMING_LOW_REUSE	load-dominated	PIB_PRESSURE_LOW;MSHR_PRESSURE_LOW;TAG_LINE_ALLOC_PRESSURE_LOW;DOWNSTREAM_PRESSURE_LOW;COMPUTE_HEAVY_LOW	source-static	3-4s	COST_Q1	ELIGIBLE
E52-26	Rodinia	bfs	GRAPH_TRAVERSAL	POINTER_GRAPH_LIKE;IRREGULAR_GATHER;ATOMIC_UPDATE	atomic-present	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_LOW	source-static	unknown	COST_UNKNOWN_OR_BOUNDED	ELIGIBLE
E52-27	Parboil	bfs	GRAPH_TRAVERSAL	POINTER_GRAPH_LIKE;IRREGULAR_GATHER;ATOMIC_UPDATE	atomic-present	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_LOW	source-static	9-14m	COST_Q2	ELIGIBLE
E52-28	Parboil	cutcp	PARTICLE_PHYSICS_NBODY	REGULAR_COALESCED;IRREGULAR_GATHER;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_MED	source-static	1h37-2h09	COST_Q4	ELIGIBLE
E52-29	Parboil	histo	IMAGE_SIGNAL_PROCESSING	ATOMIC_UPDATE;IRREGULAR_SCATTER;HIGH_TEMPORAL_REUSE	atomic-heavy	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_LOW	source-static	45m-2h12	COST_Q4	ELIGIBLE
E52-30	Parboil	mri-q	IMAGE_SIGNAL_PROCESSING	REGULAR_COALESCED;STREAMING_LOW_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_MED	source-static	9-16m	COST_Q2	ELIGIBLE
E52-31	Parboil	sad	IMAGE_SIGNAL_PROCESSING	REGULAR_COALESCED;HIGH_SPATIAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_LOW;MSHR_PRESSURE_LOW;TAG_LINE_ALLOC_PRESSURE_LOW;DOWNSTREAM_PRESSURE_LOW;COMPUTE_HEAVY_MED	source-static	2-5m	COST_Q1	ELIGIBLE
E52-32	Parboil	sgemm	DENSE_LINEAR_ALGEBRA	REGULAR_COALESCED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_HIGH	source-static	12-26m	COST_Q2	ELIGIBLE
E52-33	Parboil	spmv	SPARSE_LINEAR_ALGEBRA	SPARSE_INDIRECT;IRREGULAR_GATHER;STREAMING_LOW_REUSE	load-dominated	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_LOW	source-static	1-2.5m	COST_Q1	INELIGIBLE_E6_PAPER10_DUPLICATE
E52-34	Parboil	stencil	STENCIL_STRUCTURED_GRID	REGULAR_COALESCED;HIGH_SPATIAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_MED	source-static	43-66m	COST_Q3	ELIGIBLE
E52-35	PolyBench	atax	DENSE_LINEAR_ALGEBRA	REGULAR_COALESCED;STREAMING_LOW_REUSE	load-dominated	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_LOW	source-static	13-29m	COST_Q4	INELIGIBLE_E6_PAPER10_DUPLICATE
E52-36	PolyBench	bicg	DENSE_LINEAR_ALGEBRA	REGULAR_COALESCED;STREAMING_LOW_REUSE	load-dominated	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_LOW	source-static	13-16m	COST_Q2	INELIGIBLE_E6_PAPER10_DUPLICATE
E52-37	PolyBench	mvt	DENSE_LINEAR_ALGEBRA	REGULAR_COALESCED;STREAMING_LOW_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_LOW	source-static	13-17m	COST_Q2	INELIGIBLE_E6_PAPER10_DUPLICATE
E52-38	PolyBench	gesummv	DENSE_LINEAR_ALGEBRA	REGULAR_COALESCED;STREAMING_LOW_REUSE	load-dominated	PIB_PRESSURE_HIGH;MSHR_PRESSURE_HIGH;TAG_LINE_ALLOC_PRESSURE_HIGH;DOWNSTREAM_PRESSURE_HIGH;COMPUTE_HEAVY_LOW	source-static	16-20m	COST_Q2	INELIGIBLE_E6_PAPER10_DUPLICATE
E52-39	PolyBench	2DConvolution	STENCIL_STRUCTURED_GRID	REGULAR_COALESCED;HIGH_SPATIAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_MED	source-static	24-46m	COST_Q3	INELIGIBLE_E6_PAPER10_DUPLICATE
E52-40	PolyBench	3DConvolution	STENCIL_STRUCTURED_GRID	REGULAR_COALESCED;HIGH_SPATIAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_MED	source-static	26-40m	COST_Q3	ELIGIBLE
E52-41	PolyBench	3mm	DENSE_LINEAR_ALGEBRA	REGULAR_COALESCED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_LOW;MSHR_PRESSURE_LOW;TAG_LINE_ALLOC_PRESSURE_LOW;DOWNSTREAM_PRESSURE_LOW;COMPUTE_HEAVY_HIGH	source-static	1h44-2h24	COST_Q4	ELIGIBLE
E52-42	PolyBench	gemm	DENSE_LINEAR_ALGEBRA	REGULAR_COALESCED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_MED;MSHR_PRESSURE_MED;TAG_LINE_ALLOC_PRESSURE_MED;DOWNSTREAM_PRESSURE_MED;COMPUTE_HEAVY_HIGH	source-static	27-67m	COST_Q3	ELIGIBLE
E52-43	Mars	ss	SEARCH_SORT_SCAN_REDUCTION	IRREGULAR_GATHER;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_UNKNOWN;MSHR_PRESSURE_UNKNOWN;TAG_LINE_ALLOC_PRESSURE_UNKNOWN;DOWNSTREAM_PRESSURE_UNKNOWN;COMPUTE_HEAVY_MED	trace-symbol-inferred	3h44 bounded	COST_UNKNOWN_OR_BOUNDED	INELIGIBLE_E4_E8_BOUNDED_ONLY
E52-44	SHOC	fft	SEARCH_SORT_SCAN_REDUCTION	REGULAR_STRIDED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_UNKNOWN;MSHR_PRESSURE_UNKNOWN;TAG_LINE_ALLOC_PRESSURE_UNKNOWN;DOWNSTREAM_PRESSURE_UNKNOWN;COMPUTE_HEAVY_MED	trace-symbol-inferred	bounded	COST_UNKNOWN_OR_BOUNDED	INELIGIBLE_E4_E8_BOUNDED_ONLY
E52-45	SHOC	sort	SEARCH_SORT_SCAN_REDUCTION	REGULAR_STRIDED;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_UNKNOWN;MSHR_PRESSURE_UNKNOWN;TAG_LINE_ALLOC_PRESSURE_UNKNOWN;DOWNSTREAM_PRESSURE_UNKNOWN;COMPUTE_HEAVY_MED	trace-symbol-inferred	bounded	COST_UNKNOWN_OR_BOUNDED	INELIGIBLE_E4_E8_BOUNDED_ONLY
E52-46	SHOC	gemm	DENSE_LINEAR_ALGEBRA	REGULAR_COALESCED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_UNKNOWN;MSHR_PRESSURE_UNKNOWN;TAG_LINE_ALLOC_PRESSURE_UNKNOWN;DOWNSTREAM_PRESSURE_UNKNOWN;COMPUTE_HEAVY_HIGH	trace-symbol-inferred	bounded	COST_UNKNOWN_OR_BOUNDED	INELIGIBLE_E4_E8_BOUNDED_ONLY
E52-47	SHOC	redc	SEARCH_SORT_SCAN_REDUCTION	REGULAR_COALESCED;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_UNKNOWN;MSHR_PRESSURE_UNKNOWN;TAG_LINE_ALLOC_PRESSURE_UNKNOWN;DOWNSTREAM_PRESSURE_UNKNOWN;COMPUTE_HEAVY_LOW	trace-symbol-inferred	bounded	COST_UNKNOWN_OR_BOUNDED	INELIGIBLE_E4_E8_BOUNDED_ONLY
E52-48	ISPASS	ispass_bfs	GRAPH_TRAVERSAL	POINTER_GRAPH_LIKE;IRREGULAR_GATHER;ATOMIC_UPDATE	atomic-present	PIB_PRESSURE_UNKNOWN;MSHR_PRESSURE_UNKNOWN;TAG_LINE_ALLOC_PRESSURE_UNKNOWN;DOWNSTREAM_PRESSURE_UNKNOWN;COMPUTE_HEAVY_LOW	trace-symbol-inferred	unknown	COST_UNKNOWN_OR_BOUNDED	INELIGIBLE_E2_E4_E8_REHYDRATION_REQUIRED
E52-49	ISPASS	ispass_lps	OTHER_SOURCE_BACKED_COMPUTE	REGULAR_COALESCED;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_UNKNOWN;MSHR_PRESSURE_UNKNOWN;TAG_LINE_ALLOC_PRESSURE_UNKNOWN;DOWNSTREAM_PRESSURE_UNKNOWN;COMPUTE_HEAVY_MED	trace-symbol-inferred	91-146s	COST_Q4	INELIGIBLE_E2_E4_E8_REHYDRATION_REQUIRED
E52-50	ISPASS	ispass_ray	GRAPH_TRAVERSAL	POINTER_GRAPH_LIKE;IRREGULAR_GATHER	load-dominated	PIB_PRESSURE_UNKNOWN;MSHR_PRESSURE_UNKNOWN;TAG_LINE_ALLOC_PRESSURE_UNKNOWN;DOWNSTREAM_PRESSURE_UNKNOWN;COMPUTE_HEAVY_MED	trace-symbol-inferred	unknown	COST_UNKNOWN_OR_BOUNDED	INELIGIBLE_E2_E4_E8_REHYDRATION_REQUIRED
E52-51	ISPASS	ispass_lib	OTHER_SOURCE_BACKED_COMPUTE	MIXED_READ_WRITE;HIGH_TEMPORAL_REUSE	balanced load/store	PIB_PRESSURE_UNKNOWN;MSHR_PRESSURE_UNKNOWN;TAG_LINE_ALLOC_PRESSURE_UNKNOWN;DOWNSTREAM_PRESSURE_UNKNOWN;COMPUTE_HEAVY_MED	trace-symbol-inferred	unknown	COST_UNKNOWN_OR_BOUNDED	INELIGIBLE_E2_E4_E8_REHYDRATION_REQUIRED
E52-52	Pannotia	fw_block	DYNAMIC_PROGRAMMING	REGULAR_COALESCED;HIGH_TEMPORAL_REUSE;MIXED_READ_WRITE	balanced load/store	PIB_PRESSURE_UNKNOWN;MSHR_PRESSURE_UNKNOWN;TAG_LINE_ALLOC_PRESSURE_UNKNOWN;DOWNSTREAM_PRESSURE_UNKNOWN;COMPUTE_HEAVY_HIGH	trace-symbol-inferred	unknown	COST_UNKNOWN_OR_BOUNDED	INELIGIBLE_E2_E4_E8_REHYDRATION_REQUIRED
