experiment_id	workload	mode	core_sha	framework_sha	config_hash	source_hash	ptx_hash	input_hash	parser_schema	state
M5E2-scalarProd_13920-IO	scalarProd_13920	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-scalarProd_13920-OO	scalarProd_13920	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-scan-BASE	scan	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-scan-IO	scan	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-scan-OO	scan	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-sortingNetworks-BASE	sortingNetworks	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-sortingNetworks-IO	sortingNetworks	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-sortingNetworks-OO	sortingNetworks	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-transpose-BASE	transpose	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-transpose-IO	transpose	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-transpose-OO	transpose	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-vectorAdd_6000000-BASE	vectorAdd_6000000	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-vectorAdd_6000000-IO	vectorAdd_6000000	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-vectorAdd_6000000-OO	vectorAdd_6000000	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-cfd_097k-BASE	cfd_097k	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-cfd_097k-IO	cfd_097k	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-cfd_097k-OO	cfd_097k	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-btree-BASE	btree	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-btree-IO	btree	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-btree-OO	btree	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-dwt2d-BASE	dwt2d	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-dwt2d-IO	dwt2d	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-dwt2d-OO	dwt2d	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-gaussian-BASE	gaussian	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-gaussian-IO	gaussian	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-gaussian-OO	gaussian	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-hotspot1-BASE	hotspot1	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-hotspot1-IO	hotspot1	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-hotspot1-OO	hotspot1	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-lud-BASE	lud	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-lud-IO	lud	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-lud-OO	lud	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-bfs-BASE	bfs	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-bfs-IO	bfs	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-bfs-OO	bfs	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-cutcp-BASE	cutcp	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-cutcp-IO	cutcp	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-cutcp-OO	cutcp	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-histo-BASE	histo	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-histo-IO	histo	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-histo-OO	histo	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-mri-q-BASE	mri-q	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-mri-q-IO	mri-q	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-mri-q-OO	mri-q	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-sad-BASE	sad	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-sad-IO	sad	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-sad-OO	sad	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-stencil-BASE	stencil	PAPER_BASE	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-stencil-IO	stencil	PAPER_IO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
M5E2-stencil-OO	stencil	PAPER_OO	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_M5_2_ANCHOR	PENDING_E1	PENDING_E1	PENDING_E1	PENDING_M5_2_ANCHOR	BLOCKED_M5_2_ANCHOR
