candidate_id	suite	workload	eligibility	disposition_reason	domain	cost_quartile	prior_pass_evidence
E52-37	PolyBench	mvt	INELIGIBLE_E6_PAPER10_DUPLICATE	INELIGIBLE_E6_PAPER10_DUPLICATE	DENSE_LINEAR_ALGEBRA	COST_Q2	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL
E52-38	PolyBench	gesummv	INELIGIBLE_E6_PAPER10_DUPLICATE	INELIGIBLE_E6_PAPER10_DUPLICATE	DENSE_LINEAR_ALGEBRA	COST_Q2	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL
E52-39	PolyBench	2DConvolution	INELIGIBLE_E6_PAPER10_DUPLICATE	INELIGIBLE_E6_PAPER10_DUPLICATE	STENCIL_STRUCTURED_GRID	COST_Q3	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL
E52-40	PolyBench	3DConvolution	ELIGIBLE	E7 near-duplicate crowding; selected Parboil 3-D stencil plus 2-D convolution/hotspot cover structured grids	STENCIL_STRUCTURED_GRID	COST_Q3	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL
E52-42	PolyBench	gemm	ELIGIBLE	E7 dense-family crowding; selected 3mm and Gaussian, with sgemm as alternate	DENSE_LINEAR_ALGEBRA	COST_Q3	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=PRIMARY_FULL
E52-43	Mars	ss	INELIGIBLE_E4_E8_BOUNDED_ONLY	INELIGIBLE_E4_E8_BOUNDED_ONLY	SEARCH_SORT_SCAN_REDUCTION	COST_UNKNOWN_OR_BOUNDED	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=V100_BOUNDED
E52-44	SHOC	fft	INELIGIBLE_E4_E8_BOUNDED_ONLY	INELIGIBLE_E4_E8_BOUNDED_ONLY	SEARCH_SORT_SCAN_REDUCTION	COST_UNKNOWN_OR_BOUNDED	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=V100_BOUNDED
E52-45	SHOC	sort	INELIGIBLE_E4_E8_BOUNDED_ONLY	INELIGIBLE_E4_E8_BOUNDED_ONLY	SEARCH_SORT_SCAN_REDUCTION	COST_UNKNOWN_OR_BOUNDED	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=V100_BOUNDED
E52-46	SHOC	gemm	INELIGIBLE_E4_E8_BOUNDED_ONLY	INELIGIBLE_E4_E8_BOUNDED_ONLY	DENSE_LINEAR_ALGEBRA	COST_UNKNOWN_OR_BOUNDED	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=V100_BOUNDED
E52-47	SHOC	redc	INELIGIBLE_E4_E8_BOUNDED_ONLY	INELIGIBLE_E4_E8_BOUNDED_ONLY	SEARCH_SORT_SCAN_REDUCTION	COST_UNKNOWN_OR_BOUNDED	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=V100_BOUNDED
E52-48	ISPASS	ispass_bfs	INELIGIBLE_E2_E4_E8_REHYDRATION_REQUIRED	INELIGIBLE_E2_E4_E8_REHYDRATION_REQUIRED	GRAPH_TRAVERSAL	COST_UNKNOWN_OR_BOUNDED	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=V100_SPECIAL
E52-49	ISPASS	ispass_lps	INELIGIBLE_E2_E4_E8_REHYDRATION_REQUIRED	INELIGIBLE_E2_E4_E8_REHYDRATION_REQUIRED	OTHER_SOURCE_BACKED_COMPUTE	COST_Q4	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=V100_SPECIAL
E52-50	ISPASS	ispass_ray	INELIGIBLE_E2_E4_E8_REHYDRATION_REQUIRED	INELIGIBLE_E2_E4_E8_REHYDRATION_REQUIRED	GRAPH_TRAVERSAL	COST_UNKNOWN_OR_BOUNDED	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=V100_SPECIAL
E52-51	ISPASS	ispass_lib	INELIGIBLE_E2_E4_E8_REHYDRATION_REQUIRED	INELIGIBLE_E2_E4_E8_REHYDRATION_REQUIRED	OTHER_SOURCE_BACKED_COMPUTE	COST_UNKNOWN_OR_BOUNDED	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=V100_SPECIAL
E52-52	Pannotia	fw_block	INELIGIBLE_E2_E4_E8_REHYDRATION_REQUIRED	INELIGIBLE_E2_E4_E8_REHYDRATION_REQUIRED	DYNAMIC_PROGRAMMING	COST_UNKNOWN_OR_BOUNDED	decoupled_l2_workload_roster_under_5h.md + memory_plan; cohort=V100_SPECIAL
