comparison	roi	operator_class	baseline_id	candidate_id	baseline_cycles	candidate_cycles	cycle_delta_candidate_minus_baseline	vm_l1_tlb_misses_delta	vm_l2_tlb_misses_delta	vm_translation_walk_starts_delta	vm_pte_requests_delta	vm_pte_dram_responses_delta	vm_translation_requester_latency_cycles_total_delta	vm_weight_segment_hits_delta	vm_weight_segment_l2_suppressed_delta
C13-CAP-P320_vs_C12-PREFILL-F0-LNONE	prefill	UNRESOLVED	C12-PREFILL-F0-LNONE	C13-CAP-P320	6450	6450	0	0	0	0	0	0	0	0	0
C13-CAP-P768S10_vs_C12-PREFILL-F0-LNONE	prefill	ATTENTION_CORE	C12-PREFILL-F0-LNONE	C13-CAP-P768S10	623662	620660	-3002	29	-623	-110	-110	-50	-264005	0	0
C13-CAP-P768S10_vs_C12-PREFILL-F0-LNONE	prefill	ATTENTION_PROJECTION	C12-PREFILL-F0-LNONE	C13-CAP-P768S10	6676148	6592448	-83700	5296715	-3925	-1314	-1323	-387	-2345035	5309614	5309614
C13-CAP-P768S10_vs_C12-PREFILL-F0-LNONE	prefill	EMBEDDING_OUTPUT	C12-PREFILL-F0-LNONE	C13-CAP-P768S10	17652323	17434108	-218215	16417077	-16442	-10649	-10687	-4527	-8357990	16449635	16449635
C13-CAP-P768S10_vs_C12-PREFILL-F0-LNONE	prefill	FFN_MLP	C12-PREFILL-F0-LNONE	C13-CAP-P768S10	20573515	20486237	-87278	25222448	-11626	-6130	-6130	-1574	-7389835	25278336	25278336
C13-CAP-P768S10_vs_C12-PREFILL-F0-LNONE	prefill	NORM	C12-PREFILL-F0-LNONE	C13-CAP-P768S10	1458060	1440333	-17727	1047072	-560	-16	-30	-30	-577975	1048576	1048576
C13-CAP-P768S10_vs_C12-PREFILL-F0-LNONE	prefill	OTHER_COMPUTE	C12-PREFILL-F0-LNONE	C13-CAP-P768S10	15500080	15478364	-21716	-3454	-4468	-364	-364	-135	-4183669	0	0
C13-CAP-P768S10_vs_C12-PREFILL-F0-LNONE	prefill	UNRESOLVED	C12-PREFILL-F0-LNONE	C13-CAP-P768S10	6450	6450	0	0	0	0	0	0	0	0	0
C13-SEL-P10_vs_C13-SEL-P10-CTRL-NEWBIN	prefill	ATTENTION_CORE	C13-SEL-P10-CTRL-NEWBIN	C13-SEL-P10	620660	618714	-1946	9	-10	0	0	0	-3434	0	0
C13-SEL-P10_vs_C13-SEL-P10-CTRL-NEWBIN	prefill	ATTENTION_PROJECTION	C13-SEL-P10-CTRL-NEWBIN	C13-SEL-P10	6592448	6605828	13380	4456	-11	0	0	0	62554	4408	4408
C13-SEL-P10_vs_C13-SEL-P10-CTRL-NEWBIN	prefill	EMBEDDING_OUTPUT	C13-SEL-P10-CTRL-NEWBIN	C13-SEL-P10	17434108	17563754	129646	-16417077	9910	8016	8037	2021	5599279	-16449635	-16449635
C13-SEL-P10_vs_C13-SEL-P10-CTRL-NEWBIN	prefill	FFN_MLP	C13-SEL-P10-CTRL-NEWBIN	C13-SEL-P10	20486237	20486838	601	-288	0	0	0	0	-27114	-249	-249
C13-SEL-P10_vs_C13-SEL-P10-CTRL-NEWBIN	prefill	NORM	C13-SEL-P10-CTRL-NEWBIN	C13-SEL-P10	1440333	1442368	2035	67	0	0	0	0	6621	0	0
C13-SEL-P10_vs_C13-SEL-P10-CTRL-NEWBIN	prefill	OTHER_COMPUTE	C13-SEL-P10-CTRL-NEWBIN	C13-SEL-P10	15478364	15478529	165	232	-221	0	0	0	-78077	0	0
C13-SEL-P10_vs_C13-SEL-P10-CTRL-NEWBIN	prefill	UNRESOLVED	C13-SEL-P10-CTRL-NEWBIN	C13-SEL-P10	6450	6450	0	0	0	0	0	0	0	0	0
C13-SEL-D10_vs_C13-SEL-D10-CTRL-NEWBIN	decode1	ATTENTION_CORE	C13-SEL-D10-CTRL-NEWBIN	C13-SEL-D10	504777	506082	1305	26	-3	0	0	0	725	0	0
C13-SEL-D10_vs_C13-SEL-D10-CTRL-NEWBIN	decode1	ATTENTION_PROJECTION	C13-SEL-D10-CTRL-NEWBIN	C13-SEL-D10	3797533	3798231	698	-567	25	0	0	0	8468	-567	-567
C13-SEL-D10_vs_C13-SEL-D10-CTRL-NEWBIN	decode1	EMBEDDING_OUTPUT	C13-SEL-D10-CTRL-NEWBIN	C13-SEL-D10	3733950	3774798	40848	-4218150	8046	8016	8059	2056	5530121	-4226182	-4226182
C13-SEL-D10_vs_C13-SEL-D10-CTRL-NEWBIN	decode1	FFN_MLP	C13-SEL-D10-CTRL-NEWBIN	C13-SEL-D10	21630472	21630863	391	0	0	0	0	0	1	0	0
C13-SEL-D10_vs_C13-SEL-D10-CTRL-NEWBIN	decode1	NORM	C13-SEL-D10-CTRL-NEWBIN	C13-SEL-D10	284078	287485	3407	0	0	0	0	0	-9	0	0
C13-SEL-D10_vs_C13-SEL-D10-CTRL-NEWBIN	decode1	OTHER_COMPUTE	C13-SEL-D10-CTRL-NEWBIN	C13-SEL-D10	4475156	4467345	-7811	42	-37	0	-2	-1	-32255	0	0
C13-SEL-D10_vs_C13-SEL-D10-CTRL-NEWBIN	decode1	UNRESOLVED	C13-SEL-D10-CTRL-NEWBIN	C13-SEL-D10	6093	6098	5	0	0	0	0	0	0	0	0
