row	pc	dynamic_insts	active_lanes	generated_accesses	tx32	tx64	tx128
P34_10_80_STREAM_CONTROL	0x10230	896	28672	3584	3584	0	0
P34_10_80_STREAM_CONTROL	0x10260	896	28672	3584	3584	0	0
P34_10_80_STREAM_CONTROL	0x10290	896	28672	3584	3584	0	0
P34_10_80_STREAM_CONTROL	0x102c0	896	28672	3584	3584	0	0
P34_10_80_STREAM_CONTROL	0x102f0	896	28672	3584	3584	0	0
P34_10_80_STREAM_CONTROL	0x10310	896	28672	3584	3584	0	0
P34_5_80_STREAM	0x530	896	28672	1792	1792	0	0
P34_5_80_STREAM	0x800	896	28672	3584	3584	0	0
P34_5_80_STREAM	0x830	896	28672	896	896	0	0
P34_5_80_STREAM	0x8b0	896	28672	3584	3584	0	0
P34_5_80_STREAM	0x960	896	28672	1792	1792	0	0
P34_5_80_STREAM	0x9a0	896	28672	3584	3584	0	0
P34_5_80_STREAM	0x9d0	896	28672	3584	3584	0	0
P34_5_80_STREAM	0xa20	896	28672	1792	1792	0	0
P34_5_80_STREAM	0xa60	896	28672	3588	3588	0	0
P34_5_80_STREAM	0xa80	896	28672	3592	3592	0	0
P34_5_80_STREAM	0xa90	896	28672	3591	3591	0	0
P34_5_80_STREAM	0xab0	896	28672	1792	1792	0	0
P34_5_80_STREAM	0xae0	896	28672	896	896	0	0
P34_5_80_STREAM	0xb70	896	28672	3693	3693	0	0
P34_5_80_STREAM	0xba0	896	28672	3704	3704	0	0
P34_5_80_STREAM	0xbc0	896	28672	3762	3762	0	0
P34_5_80_STREAM	0xc00	896	28672	3878	3878	0	0
P34_5_80_STREAM	0xc40	896	28672	3952	3952	0	0
P34_5_80_STREAM	0xc80	896	28672	4013	4013	0	0
P34_5_80_STREAM	0xcb0	896	28672	4178	4178	0	0
P34_5_80_STREAM	0xcf0	896	28672	4226	4226	0	0
P34_5_80_STREAM	0xd20	896	28672	4122	4122	0	0
P34_5_80_STREAM	0xf50	896	28672	3584	3584	0	0
P34_5_80_STREAM	0xf70	896	28672	3588	3588	0	0
P34_5_80_STREAM	0xf90	896	28672	3588	3588	0	0
P34_5_80_STREAM	0xfa0	896	28672	3596	3596	0	0
P34_5_80_STREAM	0xfb0	896	28672	3594	3594	0	0
P34_5_80_STREAM	0xfc0	896	28672	896	896	0	0
P34_5_80_STREAM	0xfd0	896	28672	896	896	0	0
P34_5_80_STREAM	0x1030	896	28672	3624	3624	0	0
P34_5_80_STREAM	0x1050	896	28672	3623	3623	0	0
P34_5_80_STREAM	0x1070	896	28672	3630	3630	0	0
P34_5_80_STREAM	0x12f0	896	28672	896	896	0	0
P34_5_80_STREAM	0x1330	896	28672	896	896	0	0
P34_5_80_STREAM	0x1380	896	28672	896	896	0	0
P34_5_80_STREAM	0x1390	896	28672	896	896	0	0
P34_5_80_STREAM	0x1710	896	28672	896	896	0	0
P34_5_80_STREAM	0x1930	896	28672	896	896	0	0
P34_5_80_STREAM	0x1970	896	28672	896	896	0	0
P34_5_80_STREAM	0x3090	840	26880	3360	3360	0	0
P34_5_80_STREAM	0x30c0	840	26880	3360	3360	0	0
P34_5_80_STREAM	0x30f0	840	26880	3360	3360	0	0
P34_5_80_STREAM	0x3120	840	26880	3360	3360	0	0
P34_5_80_STREAM	0x3150	840	26880	3360	3360	0	0
P34_5_80_STREAM	0x3180	840	26880	3360	3360	0	0
P34_5_80_STREAM	0x31a0	840	26880	3360	3360	0	0
P34_5_80_STREAM	0x31b0	840	26880	3360	3360	0	0
P34_5_80_STREAM	0x80d0	896	28672	896	896	0	0
P34_5_80_STREAM	0x80e0	896	28672	896	896	0	0
P34_5_80_STREAM	0x8140	896	28672	896	896	0	0
P34_5_80_STREAM	0x8150	896	28672	896	896	0	0
P34_5_80_STREAM	0x81b0	840	26880	840	840	0	0
P34_5_80_STREAM	0x81e0	840	26880	840	840	0	0
P34_5_80_STREAM	0x8210	5880	188160	5880	5880	0	0
P34_5_80_STREAM	0x8220	5880	188160	11760	11760	0	0
P34_5_80_STREAM	0x8230	5880	188160	11760	11760	0	0
P34_5_80_STREAM	0x8240	5880	188160	5880	5880	0	0
P34_5_80_STREAM	0x8350	5880	188160	23520	23520	0	0
P34_5_80_STREAM	0x8380	5880	188160	23520	23520	0	0
P34_5_80_STREAM	0x83b0	5880	188160	23520	23520	0	0
P34_5_80_STREAM	0x83e0	5880	188160	23520	23520	0	0
P34_5_80_STREAM	0x8410	5880	188160	23520	23520	0	0
P34_5_80_STREAM	0x8440	5880	188160	23520	23520	0	0
P34_5_80_STREAM	0x8460	5880	188160	23520	23520	0	0
P34_5_80_STREAM	0x8470	5880	188160	23520	23520	0	0
P34_5_80_STREAM	0x84a0	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0x84c0	6720	215040	13440	13440	0	0
P34_5_80_STREAM	0x84d0	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0x84e0	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0x84f0	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0x8500	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0x8510	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0x8520	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0x8630	6720	215040	26880	26880	0	0
P34_5_80_STREAM	0x8680	6720	215040	26880	26880	0	0
P34_5_80_STREAM	0x86d0	6720	215040	26880	26880	0	0
P34_5_80_STREAM	0x8710	6720	215040	26880	26880	0	0
P34_5_80_STREAM	0x8720	6720	215040	26880	26880	0	0
P34_5_80_STREAM	0x8730	6720	215040	26880	26880	0	0
P34_5_80_STREAM	0x8740	6720	215040	26880	26880	0	0
P34_5_80_STREAM	0x8750	6720	215040	26880	26880	0	0
P34_5_80_STREAM	0x8950	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0x8a60	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0x8ab0	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0x9290	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0x92d0	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0xa810	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0xc5f0	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0xc630	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0xc670	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0xe8e0	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0xe910	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0xe950	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0xe990	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0xe9c0	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0xe9e0	6720	215040	6720	6720	0	0
P34_5_80_STREAM	0xea20	896	28672	896	896	0	0
P34_5_80_STREAM	0xea30	896	28672	896	896	0	0
P34_5_80_STREAM	0xea40	896	28672	896	896	0	0
P34_5_80_STREAM	0xea50	896	28672	896	896	0	0
P34_5_80_STREAM	0xf510	896	28672	896	896	0	0
P34_5_80_STREAM	0xf560	896	28672	1792	1792	0	0
P34_5_80_STREAM	0xffa0	896	7168	896	896	0	0
P34_5_80_STREAM	0xffb0	896	7168	896	896	0	0
P34_5_80_STREAM	0x100e0	896	7168	896	896	0	0
P34_5_80_STREAM	0x10100	896	7168	896	896	0	0
P34_5_80_STREAM	0x10110	896	7168	896	896	0	0
P34_5_80_STREAM	0x10120	896	7168	896	896	0	0
P34_5_80_STREAM	0x101d0	896	28672	3584	3584	0	0
P34_5_80_STREAM	0x10200	896	28672	3584	3584	0	0
P34_5_80_STREAM	0x10230	896	28672	3584	3584	0	0
P34_5_80_STREAM	0x10260	896	28672	3584	3584	0	0
P34_5_80_STREAM	0x10290	896	28672	3584	3584	0	0
P34_5_80_STREAM	0x102c0	896	28672	3584	3584	0	0
P34_5_80_STREAM	0x102f0	896	28672	3584	3584	0	0
P34_5_80_STREAM	0x10310	896	28672	3584	3584	0	0
P34_0_80_STREAM	0x530	896	28672	1792	1792	0	0
P34_0_80_STREAM	0x800	896	28672	3626	3626	0	0
P34_0_80_STREAM	0x830	896	28672	896	896	0	0
P34_0_80_STREAM	0x8b0	896	28672	3654	3654	0	0
P34_0_80_STREAM	0x960	896	28672	1792	1792	0	0
P34_0_80_STREAM	0x9a0	896	28672	3630	3630	0	0
P34_0_80_STREAM	0x9d0	896	28672	3669	3669	0	0
P34_0_80_STREAM	0xa20	896	28672	1792	1792	0	0
P34_0_80_STREAM	0xa60	896	28672	3705	3705	0	0
P34_0_80_STREAM	0xa80	896	28672	3796	3796	0	0
P34_0_80_STREAM	0xa90	896	28672	3806	3806	0	0
P34_0_80_STREAM	0xab0	896	28672	1792	1792	0	0
P34_0_80_STREAM	0xae0	896	28672	896	896	0	0
P34_0_80_STREAM	0xb70	896	28672	4790	4790	0	0
P34_0_80_STREAM	0xba0	896	28672	5515	5515	0	0
P34_0_80_STREAM	0xbc0	896	28672	6251	6251	0	0
P34_0_80_STREAM	0xc00	896	28672	7329	7329	0	0
P34_0_80_STREAM	0xc40	896	28672	8590	8590	0	0
P34_0_80_STREAM	0xc80	896	28672	9229	9229	0	0
P34_0_80_STREAM	0xcb0	896	28672	9952	9952	0	0
P34_0_80_STREAM	0xcf0	896	28672	10694	10694	0	0
P34_0_80_STREAM	0xd20	896	28672	11220	11220	0	0
P34_0_80_STREAM	0xf50	896	28672	3623	3623	0	0
P34_0_80_STREAM	0xf70	896	28672	3701	3701	0	0
P34_0_80_STREAM	0xf90	896	28672	3835	3835	0	0
P34_0_80_STREAM	0xfa0	896	28672	3813	3813	0	0
P34_0_80_STREAM	0xfb0	896	28672	3872	3872	0	0
P34_0_80_STREAM	0xfc0	896	28672	896	896	0	0
P34_0_80_STREAM	0xfd0	896	28672	896	896	0	0
P34_0_80_STREAM	0x1030	896	28672	4228	4228	0	0
P34_0_80_STREAM	0x1050	896	28672	4311	4311	0	0
P34_0_80_STREAM	0x1070	896	28672	4348	4348	0	0
P34_0_80_STREAM	0x12f0	896	28672	896	896	0	0
P34_0_80_STREAM	0x1330	896	28672	896	896	0	0
P34_0_80_STREAM	0x1380	896	28672	896	896	0	0
P34_0_80_STREAM	0x1390	896	28672	896	896	0	0
P34_0_80_STREAM	0x1710	896	28672	896	896	0	0
P34_0_80_STREAM	0x1930	896	28672	896	896	0	0
P34_0_80_STREAM	0x1970	896	28672	896	896	0	0
P34_0_80_STREAM	0x3090	840	26880	3372	3372	0	0
P34_0_80_STREAM	0x30c0	840	26880	3535	3535	0	0
P34_0_80_STREAM	0x30f0	840	26880	3784	3784	0	0
P34_0_80_STREAM	0x3120	840	26880	4181	4181	0	0
P34_0_80_STREAM	0x3150	840	26880	4730	4730	0	0
P34_0_80_STREAM	0x3180	840	26880	5201	5201	0	0
P34_0_80_STREAM	0x31a0	840	26880	5514	5514	0	0
P34_0_80_STREAM	0x31b0	840	26880	5775	5775	0	0
P34_0_80_STREAM	0x80d0	896	28672	896	896	0	0
P34_0_80_STREAM	0x80e0	896	28672	896	896	0	0
P34_0_80_STREAM	0x8140	896	28672	896	896	0	0
P34_0_80_STREAM	0x8150	896	28672	896	896	0	0
P34_0_80_STREAM	0x81b0	840	26880	840	840	0	0
P34_0_80_STREAM	0x81e0	840	26880	840	840	0	0
P34_0_80_STREAM	0x8210	5880	188160	5880	5880	0	0
P34_0_80_STREAM	0x8220	5880	188160	11760	11760	0	0
P34_0_80_STREAM	0x8230	5880	188160	11760	11760	0	0
P34_0_80_STREAM	0x8240	5880	188160	5880	5880	0	0
P34_0_80_STREAM	0x8350	5880	188160	24400	24400	0	0
P34_0_80_STREAM	0x8380	5880	188160	24845	24845	0	0
P34_0_80_STREAM	0x83b0	5880	188160	25401	25401	0	0
P34_0_80_STREAM	0x83e0	5880	188160	25933	25933	0	0
P34_0_80_STREAM	0x8410	5880	188160	26710	26710	0	0
P34_0_80_STREAM	0x8440	5880	188160	27496	27496	0	0
P34_0_80_STREAM	0x8460	5880	188160	28318	28318	0	0
P34_0_80_STREAM	0x8470	5880	188160	28636	28636	0	0
P34_0_80_STREAM	0x84a0	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0x84c0	6720	215040	13440	13440	0	0
P34_0_80_STREAM	0x84d0	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0x84e0	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0x84f0	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0x8500	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0x8510	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0x8520	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0x8630	6720	215040	27148	27148	0	0
P34_0_80_STREAM	0x8680	6720	215040	27318	27318	0	0
P34_0_80_STREAM	0x86d0	6720	215040	27506	27506	0	0
P34_0_80_STREAM	0x8710	6720	215040	28143	28143	0	0
P34_0_80_STREAM	0x8720	6720	215040	28534	28534	0	0
P34_0_80_STREAM	0x8730	6720	215040	28699	28699	0	0
P34_0_80_STREAM	0x8740	6720	215040	29451	29451	0	0
P34_0_80_STREAM	0x8750	6720	215040	29741	29741	0	0
P34_0_80_STREAM	0x8950	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0x8a60	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0x8ab0	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0x9290	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0x92d0	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0xa810	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0xc5f0	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0xc630	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0xc670	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0xe8e0	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0xe910	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0xe950	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0xe990	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0xe9c0	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0xe9e0	6720	215040	6720	6720	0	0
P34_0_80_STREAM	0xea20	896	28672	896	896	0	0
P34_0_80_STREAM	0xea30	896	28672	896	896	0	0
P34_0_80_STREAM	0xea40	896	28672	896	896	0	0
P34_0_80_STREAM	0xea50	896	28672	896	896	0	0
P34_0_80_STREAM	0xf510	896	28672	896	896	0	0
P34_0_80_STREAM	0xf560	896	28672	1792	1792	0	0
P34_0_80_STREAM	0xffa0	896	7168	896	896	0	0
P34_0_80_STREAM	0xffb0	896	7168	896	896	0	0
P34_0_80_STREAM	0x100e0	896	7168	896	896	0	0
P34_0_80_STREAM	0x10100	896	7168	896	896	0	0
P34_0_80_STREAM	0x10110	896	7168	896	896	0	0
P34_0_80_STREAM	0x10120	896	7168	896	896	0	0
P34_0_80_STREAM	0x101d0	896	28672	3584	3584	0	0
P34_0_80_STREAM	0x10200	896	28672	3585	3585	0	0
P34_0_80_STREAM	0x10230	896	28672	3584	3584	0	0
P34_0_80_STREAM	0x10260	896	28672	3584	3584	0	0
P34_0_80_STREAM	0x10290	896	28672	3585	3585	0	0
P34_0_80_STREAM	0x102c0	896	28672	3584	3584	0	0
P34_0_80_STREAM	0x102f0	896	28672	3584	3584	0	0
P34_0_80_STREAM	0x10310	896	28672	3584	3584	0	0
P34_0_0_STREAM	0x530	896	28672	1792	1792	0	0
P34_0_0_STREAM	0x800	896	28672	3584	3584	0	0
P34_0_0_STREAM	0x830	896	28672	896	896	0	0
P34_0_0_STREAM	0x8b0	896	28672	3584	3584	0	0
P34_0_0_STREAM	0x960	896	28672	1792	1792	0	0
P34_0_0_STREAM	0x9a0	896	28672	3619	3619	0	0
P34_0_0_STREAM	0x9d0	896	28672	3648	3648	0	0
P34_0_0_STREAM	0xa20	896	28672	1792	1792	0	0
P34_0_0_STREAM	0xa60	896	28672	3974	3974	0	0
P34_0_0_STREAM	0xa80	896	28672	4393	4393	0	0
P34_0_0_STREAM	0xa90	896	28672	4443	4443	0	0
P34_0_0_STREAM	0xab0	896	28672	1792	1792	0	0
P34_0_0_STREAM	0xae0	896	28672	896	896	0	0
P34_0_0_STREAM	0xb70	896	28672	6240	6240	0	0
P34_0_0_STREAM	0xba0	896	28672	7265	7265	0	0
P34_0_0_STREAM	0xbc0	896	28672	8119	8119	0	0
P34_0_0_STREAM	0xc00	896	28672	9319	9319	0	0
P34_0_0_STREAM	0xc40	896	28672	10311	10311	0	0
P34_0_0_STREAM	0xc80	896	28672	11019	11019	0	0
P34_0_0_STREAM	0xcb0	896	28672	11264	11264	0	0
P34_0_0_STREAM	0xcf0	896	28672	11752	11752	0	0
P34_0_0_STREAM	0xd20	896	28672	11955	11955	0	0
P34_0_0_STREAM	0xf50	896	28672	3596	3596	0	0
P34_0_0_STREAM	0xf70	896	28672	3671	3671	0	0
P34_0_0_STREAM	0xf90	896	28672	3750	3750	0	0
P34_0_0_STREAM	0xfa0	896	28672	3822	3822	0	0
P34_0_0_STREAM	0xfb0	896	28672	3865	3865	0	0
P34_0_0_STREAM	0xfc0	896	28672	896	896	0	0
P34_0_0_STREAM	0xfd0	896	28672	896	896	0	0
P34_0_0_STREAM	0x1030	896	28672	3935	3935	0	0
P34_0_0_STREAM	0x1050	896	28672	3959	3959	0	0
P34_0_0_STREAM	0x1070	896	28672	4041	4041	0	0
P34_0_0_STREAM	0x12f0	896	28672	896	896	0	0
P34_0_0_STREAM	0x1330	896	28672	896	896	0	0
P34_0_0_STREAM	0x1380	896	28672	896	896	0	0
P34_0_0_STREAM	0x1390	896	28672	896	896	0	0
P34_0_0_STREAM	0x1710	896	28672	896	896	0	0
P34_0_0_STREAM	0x1930	896	28672	896	896	0	0
P34_0_0_STREAM	0x1970	896	28672	896	896	0	0
P34_0_0_STREAM	0x3090	840	26880	3383	3383	0	0
P34_0_0_STREAM	0x30c0	840	26880	3608	3608	0	0
P34_0_0_STREAM	0x30f0	840	26880	3854	3854	0	0
P34_0_0_STREAM	0x3120	840	26880	4284	4284	0	0
P34_0_0_STREAM	0x3150	840	26880	4898	4898	0	0
P34_0_0_STREAM	0x3180	840	26880	5276	5276	0	0
P34_0_0_STREAM	0x31a0	840	26880	5499	5499	0	0
P34_0_0_STREAM	0x31b0	840	26880	5655	5655	0	0
P34_0_0_STREAM	0x80d0	896	28672	896	896	0	0
P34_0_0_STREAM	0x80e0	896	28672	896	896	0	0
P34_0_0_STREAM	0x8140	896	28672	896	896	0	0
P34_0_0_STREAM	0x8150	896	28672	896	896	0	0
P34_0_0_STREAM	0x81b0	840	26880	840	840	0	0
P34_0_0_STREAM	0x81e0	840	26880	840	840	0	0
P34_0_0_STREAM	0x8210	5880	188160	5880	5880	0	0
P34_0_0_STREAM	0x8220	5880	188160	11760	11760	0	0
P34_0_0_STREAM	0x8230	5880	188160	11760	11760	0	0
P34_0_0_STREAM	0x8240	5880	188160	5880	5880	0	0
P34_0_0_STREAM	0x8350	5880	188160	24090	24090	0	0
P34_0_0_STREAM	0x8380	5880	188160	24473	24473	0	0
P34_0_0_STREAM	0x83b0	5880	188160	24717	24717	0	0
P34_0_0_STREAM	0x83e0	5880	188160	25183	25183	0	0
P34_0_0_STREAM	0x8410	5880	188160	25640	25640	0	0
