suite_id	status	global_launch_index	phase	decode_step	normalized_kernel_family	semantic_category	exact_implementation	grid	block	decode_behavior	representative_duration_ns	stratum_launch_count_selection_pool	stratum_gpu_duration_ns_selection_pool	observed_tags	selection_reason
R22	PROVISIONAL_PRE_GATE	22076	DECODE	21	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3621,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7008	41	288032	NONE	RARE_STRUCTURALLY_DISTINCT
R23	PROVISIONAL_PRE_GATE	23129	DECODE	22	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3623,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7008	40	281248	NONE	RARE_STRUCTURALLY_DISTINCT
R24	PROVISIONAL_PRE_GATE	24181	DECODE	23	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3625,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7040	43	302593	NONE	RARE_STRUCTURALLY_DISTINCT
R25	PROVISIONAL_PRE_GATE	25277	DECODE	24	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3626,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7040	36	253152	NONE	RARE_STRUCTURALLY_DISTINCT
R26	PROVISIONAL_PRE_GATE	26330	DECODE	25	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3628,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7040	37	260481	NONE	RARE_STRUCTURALLY_DISTINCT
R27	PROVISIONAL_PRE_GATE	27427	DECODE	26	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3630,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7040	40	282016	NONE	RARE_STRUCTURALLY_DISTINCT
R28	PROVISIONAL_PRE_GATE	28479	DECODE	27	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3632,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7040	39	274912	NONE	RARE_STRUCTURALLY_DISTINCT
R29	PROVISIONAL_PRE_GATE	29446	DECODE	28	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3633,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7040	40	281856	NONE	RARE_STRUCTURALLY_DISTINCT
R30	PROVISIONAL_PRE_GATE	30500	DECODE	29	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3635,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	7040	36	253825	NONE	RARE_STRUCTURALLY_DISTINCT
R31	PROVISIONAL_PRE_GATE	31639	DECODE	30	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3637,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	6976	37	244129	NONE	RARE_STRUCTURALLY_DISTINCT
R32	PROVISIONAL_PRE_GATE	32605	DECODE	31	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3639,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	6112	37	226304	NONE	RARE_STRUCTURALLY_DISTINCT
R33	PROVISIONAL_PRE_GATE	33659	DECODE	32	AT_NATIVE_ELEMENTWISE	COPY_LAYOUT	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3640,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	6112	35	214178	NONE	RARE_STRUCTURALLY_DISTINCT
R34	PROVISIONAL_PRE_GATE	1023	DECODE	1	AT_NATIVE_REDUCE	ELEMENTWISE	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4>>(T3)	1,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	2240	1255	2782982	NONE	HIGH_TIME_PHASE_FAMILY
R35	PROVISIONAL_PRE_GATE	990	DECODE	1	AT_NATIVE_UNROLLED_ELEMENTWISE	COPY_LAYOUT	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	1,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	1344	53	65824	NONE	RARE_STRUCTURALLY_DISTINCT
R36	PROVISIONAL_PRE_GATE	1070	DECODE	1	AT_NATIVE_UNROLLED_ELEMENTWISE	COPY_LAYOUT	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	2,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	2176	1276	2748295	NONE	HIGH_TIME_PHASE_FAMILY
R37	PROVISIONAL_PRE_GATE	1007	DECODE	1	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	992	1823	1799204	NONE	HIGH_TIME_PHASE_FAMILY
R38	PROVISIONAL_PRE_GATE	2840	DECODE	2	COPY_KERNEL	UNKNOWN	void at::native::<unnamed>::CatArrayBatchedCopy_contig<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)	152,2,1	512,1,1	DECODE_ALL_STEPS_STABLE	3424	1213	4061127	NONE	HIGH_TIME_PHASE_FAMILY
R39	PROVISIONAL_PRE_GATE	1244	DECODE	1	CUBLAS_GEMV	UNKNOWN	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	1216,1,1	16,4,1	DECODE_ALL_STEPS_STABLE	16096	1233	19874722	LONG_DECODE_GEMV_OBSERVED	HIGH_TIME_PHASE_FAMILY;LONG_DECODE_GEMV_OBSERVED
R40	PROVISIONAL_PRE_GATE	1043	DECODE	1	CUBLAS_GEMV	UNKNOWN	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	224,1,1	32,4,1	DECODE_ALL_STEPS_STABLE	4448	1231	5482057	ORDINARY_DECODE_GEMV_OBSERVED	ORDINARY_DECODE_GEMV_OBSERVED
R41	PROVISIONAL_PRE_GATE	1748	DECODE	1	PYTORCH_FLASH_FWD	ATTENTION_CORE	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0>(pytorch_flash::Flash_fwd_params)	1,9,14	128,1,1	DECODE_ALL_STEPS_STABLE	13024	610	7878410	DECODE_FLASH_UNRESOLVED_VARIANT	DECODE_FLASH_UNRESOLVED_VARIANT;HIGH_TIME_PHASE_FAMILY
R42	PROVISIONAL_PRE_GATE	25	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3584,1,1	128,1,1	NOT_APPLICABLE	6944	77	547712	NONE	HIGH_TIME_PHASE_FAMILY
R43	PROVISIONAL_PRE_GATE	411	PREFILL	UNKNOWN	AT_NATIVE_UNROLLED_ELEMENTWISE	COPY_LAYOUT	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	3584,1,1	128,1,1	NOT_APPLICABLE	7584	39	293440	NONE	HIGH_TIME_PHASE_FAMILY
R44	PROVISIONAL_PRE_GATE	288	PREFILL	UNKNOWN	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	19456,1,1	128,1,1	NOT_APPLICABLE	22944	21	485188	NONE	HIGH_TIME_PHASE_FAMILY
R45	PROVISIONAL_PRE_GATE	144	PREFILL	UNKNOWN	COPY_KERNEL	UNKNOWN	void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)	152,2,1	512,1,1	NOT_APPLICABLE	12576	37	317026	NONE	HIGH_TIME_PHASE_FAMILY
R46	PROVISIONAL_PRE_GATE	220	PREFILL	UNKNOWN	CUBLAS_GEMM	UNKNOWN	ampere_fp16_s16816gemm_fp16_64x64_ldg8_relu_f2f_stages_64x5_tn	2,32,1	128,1,1	NOT_APPLICABLE	9280	39	362848	PREFILL_GEMM_VARIANT	RARE_STRUCTURALLY_DISTINCT
