suite_id	phase	decode_step	normalized_kernel_family	grid	block	asset_status	new_capture_action	match_count	accepted_target	payload_sha256	join_basis
R24	DECODE	23	AT_NATIVE_ELEMENTWISE	3625,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R25	DECODE	24	AT_NATIVE_ELEMENTWISE	3626,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R26	DECODE	25	AT_NATIVE_ELEMENTWISE	3628,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R27	DECODE	26	AT_NATIVE_ELEMENTWISE	3630,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R28	DECODE	27	AT_NATIVE_ELEMENTWISE	3632,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R29	DECODE	28	AT_NATIVE_ELEMENTWISE	3633,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R30	DECODE	29	AT_NATIVE_ELEMENTWISE	3635,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R31	DECODE	30	AT_NATIVE_ELEMENTWISE	3637,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R32	DECODE	31	AT_NATIVE_ELEMENTWISE	3639,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R33	DECODE	32	AT_NATIVE_ELEMENTWISE	3640,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R34	DECODE	1	AT_NATIVE_REDUCE	1,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R35	DECODE	1	AT_NATIVE_UNROLLED_ELEMENTWISE	1,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R38	DECODE	2	COPY_KERNEL	152,2,1	512,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R40	DECODE	1	CUBLAS_GEMV	224,1,1	32,4,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R42	PREFILL	UNKNOWN	AT_NATIVE_ELEMENTWISE	3584,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R43	PREFILL	UNKNOWN	AT_NATIVE_UNROLLED_ELEMENTWISE	3584,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R44	PREFILL	UNKNOWN	AT_NATIVE_VECTORIZED_ELEMENTWISE	19456,1,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R45	PREFILL	UNKNOWN	COPY_KERNEL	152,2,1	512,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
R46	PREFILL	UNKNOWN	CUBLAS_GEMM	2,32,1	128,1,1	MISSING_SIM_TRACE	NOT_REQUESTED_PENDING_REVIEW	0	NONE	NONE	STRICT_PHASE_GRID_BLOCK_STEP; FUNCTION_TEXT_FORMAT_RECONCILIATION_PENDING
