status	phase	normalized_kernel_family	semantic_category	exact_implementation	grid	block	decode_behavior	selection_pool_duration_ns	confidence	reason
PROVISIONAL_PRE_GATE	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 5)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	19456,1,1	128,1,1	NOT_APPLICABLE	340448	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	CUBLAS_GEMM	UNKNOWN	ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_tn	7,16,4	128,1,1	NOT_APPLICABLE	4187496	LOW	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3584,1,1	128,1,1	NOT_APPLICABLE	119489	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	PREFILL	CUBLAS_GEMM	UNKNOWN	void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(T1::Params)	128,75,1	256,1,1	NOT_APPLICABLE	6155566	LOW	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	AUXILIARY	AT_NATIVE_REDUCE	ELEMENTWISE	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::Half, at::native::ArgMaxOps<float>, unsigned int, long, (int)4>>(T3)	1,19,1	512,1,1	NOT_APPLICABLE	145760	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	OTHER_EXACT_IMPLEMENTATION	UNKNOWN	void at::native::<unnamed>::indexSelectSmallIndex<c10::Half, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)	7,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	53984	LOW	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)	1,1,1	64,1,1	DECODE_PARTIAL_STEPS_STABLE	22848	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	AT_NATIVE_UNROLLED_ELEMENTWISE	COPY_LAYOUT	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	1,1,1	128,1,1	DECODE_PARTIAL_STEPS_STABLE	35552	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	COPY_KERNEL	UNKNOWN	void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)3, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)	1,2,1	128,1,1	DECODE_PARTIAL_STEPS_STABLE	40416	LOW	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	1,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	36896	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	1,1,1	128,1,1	DECODE_PARTIAL_STEPS_STABLE	33728	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)	1,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	47360	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	AT_NATIVE_UNROLLED_ELEMENTWISE	COPY_LAYOUT	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	2,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	2486341	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	2,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	1228485	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)	1,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	1219494	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	1,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	1247876	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	4,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	1721412	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	1333217	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	CUBLAS_GEMV	UNKNOWN	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	32,1,1	32,4,1	DECODE_ALL_STEPS_STABLE	3572074	LOW	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	COPY_KERNEL	UNKNOWN	void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)	152,2,1	512,1,1	DECODE_ALL_STEPS_EARLY_HEAVIER	2443972	LOW	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	1,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	1552713	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	1,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	1920643	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char *, (int)3>>(int, T2, T3)	1,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	607074	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	PYTORCH_FLASH_FWD	ATTENTION_CORE	void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (int)8, (int)4, (bool)1>(pytorch_flash::Flash_fwd_params)	2,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	1732804	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 5)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	10,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	717282	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	CUBLAS_GEMV	UNKNOWN	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	224,1,1	16,4,1	DECODE_ALL_STEPS_STABLE	9325400	LOW	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	10,1,1	128,1,1	DECODE_ALL_STEPS_STABLE	613569	MEDIUM	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	CUBLAS_GEMV	UNKNOWN	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	18992,1,1	8,8,1	DECODE_ALL_STEPS_STABLE	12289115	LOW	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	CUBLAS_GEMM	UNKNOWN	void gemmk1_kernel<int, float, (int)256, (int)5, (bool)1, (bool)0, (bool)0, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float, (int)0>(cublasGemmk1Params<T2, T9, T10, T11, T12, biasType<T11::value_type, T12>::type>)	1,1,1	256,1,1	DECODE_PARTIAL_STEPS_STABLE	33088	LOW	NOT_SELECTED_WITHIN_PROVISIONAL_BUDGET
PROVISIONAL_PRE_GATE	DECODE	PYTORCH_FLASH_FWD	ATTENTION_CORE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	LOW	SPLITKV_TAG_NOT_SOURCE_SUPPORTED_BY_V1_INPUT
PROVISIONAL_PRE_GATE	DECODE	PYTORCH_FLASH_FWD	ATTENTION_CORE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	LOW	COMBINE_TAG_NOT_SOURCE_SUPPORTED_BY_V1_INPUT
