roi	operator_class	metric	metric_scope	unit	numerator	denominator	value	source
decode1	OTHER_COMPUTE	kernel_count	EXACT_PER_KERNEL	kernels			576	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	UNRESOLVED	kernel_count	EXACT_PER_KERNEL	kernels			1	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	ATTENTION_CORE	gpu_sim_cycle	EXACT_PER_KERNEL	cycles			505269	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	ATTENTION_PROJECTION	gpu_sim_cycle	EXACT_PER_KERNEL	cycles			3824007	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	EMBEDDING_OUTPUT	gpu_sim_cycle	EXACT_PER_KERNEL	cycles			3781703	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	FFN_MLP	gpu_sim_cycle	EXACT_PER_KERNEL	cycles			21665136	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	NORM	gpu_sim_cycle	EXACT_PER_KERNEL	cycles			301294	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	OTHER_COMPUTE	gpu_sim_cycle	EXACT_PER_KERNEL	cycles			4481119	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	UNRESOLVED	gpu_sim_cycle	EXACT_PER_KERNEL	cycles			6098	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	ATTENTION_CORE	gpu_sim_insn	EXACT_PER_KERNEL	instructions			296643842	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	ATTENTION_PROJECTION	gpu_sim_insn	EXACT_PER_KERNEL	instructions			488833024	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	EMBEDDING_OUTPUT	gpu_sim_insn	EXACT_PER_KERNEL	instructions			870055936	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	FFN_MLP	gpu_sim_insn	EXACT_PER_KERNEL	instructions			1592721408	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	NORM	gpu_sim_insn	EXACT_PER_KERNEL	instructions			22302720	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	OTHER_COMPUTE	gpu_sim_insn	EXACT_PER_KERNEL	instructions			857983425	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
decode1	UNRESOLVED	gpu_sim_insn	EXACT_PER_KERNEL	instructions			11432	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/run.log sha256=96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d
