compute_index	trace_filename	weight_refs	kv_refs	unknown_refs	weight_pages	kv_pages	unknown_pages	parameter_names
28	kernel-1492-ctx_0x55d98da1ddf0.traceg.xz	0	0	12288			2139121594,2139121599	NONE
29	kernel-1493-ctx_0x55d98da1ddf0.traceg.xz	0	0	3072			2139121598,2139121599	NONE
30	kernel-1494-ctx_0x55d98da1ddf0.traceg.xz	0	0	3072			2139121594,2139121598	NONE
31	kernel-1495-ctx_0x55d98da1ddf0.traceg.xz	0	0	1024			2139121594	NONE
32	kernel-1496-ctx_0x55d98da1ddf0.traceg.xz	0	0	2048			2139121594,2139121598	NONE
33	kernel-1497-ctx_0x55d98da1ddf0.traceg.xz	0	0	3072			2139121594,2139121598	NONE
34	kernel-1498-ctx_0x55d98da1ddf0.traceg.xz	0	0	768			2139121598	NONE
35	kernel-1499-ctx_0x55d98da1ddf0.traceg.xz	0	132096	1024		2139054060,2139054061,2139121568,2139121569,2139121570	2139121598	NONE
36	kernel-1500-ctx_0x55d98da1ddf0.traceg.xz	0	132096	1024		2139054078,2139054079,2139121570,2139121571,2139121572	2139121594	NONE
37	kernel-1501-ctx_0x55d98da1ddf0.traceg.xz	0	532480	0		2139056554,2139056555,2139056556,2139056557,2139056558,2139056559,2139056560,2139056561,2139056562,2139121568,2139121569,2139121570		NONE
38	kernel-1502-ctx_0x55d98da1ddf0.traceg.xz	0	332800	199680		2139056562,2139056563,2139056564,2139121570,2139121571,2139121572	2139056564,2139056565,2139056566,2139056567,2139056568,2139056569,2139056570	NONE
39	kernel-1503-ctx_0x55d98da1ddf0.traceg.xz	0	41600	1133504		2139056554,2139056555,2139056556,2139056557,2139056558,2139056559,2139056560,2139056561,2139056562,2139056563,2139056564	0,255,2139056564,2139056565,2139056566,2139056567,2139056568,2139056569,2139056570,2139121594,2139121598,2139121599	NONE
40	kernel-1504-ctx_0x55d98da1ddf0.traceg.xz	131072	0	2576384	2139022720,2139022721,2139022722,2139022723,2139022724,2139022725,2139022726,2139022727,2139022728,2139022729,2139022730,2139022731,2139022732,2139022733,2139022734,2139022735,2139022736,2139022737,2139022738,2139022739,2139022740,2139022741,2139022742,2139022743,2139022744,2139022745,2139022746,2139022747,2139022748,2139022749,2139022750,2139022751		0,2139121594,2139121599,2139165952	model.layers.0.self_attn.o_proj.weight
41	kernel-1506-ctx_0x55d98da1ddf0.traceg.xz	0	0	12288			2139054018,2139121594,2139121598,2139121599	NONE
42	kernel-1507-ctx_0x55d98da1ddf0.traceg.xz	0	0	32768			2139054018,2139121598,2139121599	NONE
43	kernel-1508-ctx_0x55d98da1ddf0.traceg.xz	0	0	8192			2139054018,2139054019	NONE
44	kernel-1509-ctx_0x55d98da1ddf0.traceg.xz	0	0	5128			0,2139054019,2139121594	NONE
45	kernel-1510-ctx_0x55d98da1ddf0.traceg.xz	0	0	16			2139121594	NONE
46	kernel-1511-ctx_0x55d98da1ddf0.traceg.xz	0	0	16			2139121594	NONE
47	kernel-1512-ctx_0x55d98da1ddf0.traceg.xz	0	0	49152			2139054018,2139054019,2139121594	NONE
48	kernel-1513-ctx_0x55d98da1ddf0.traceg.xz	0	0	8192			2139054019,2139121599	NONE
49	kernel-1514-ctx_0x55d98da1ddf0.traceg.xz	16384	0	32768	2139023136		2139054018,2139121599	model.layers.0.post_attention_layernorm.weight
50	kernel-1515-ctx_0x55d98da1ddf0.traceg.xz	524288	0	9752576	2139022752,2139022753,2139022754,2139022755,2139022756,2139022757,2139022758,2139022759,2139022760,2139022761,2139022762,2139022763,2139022764,2139022765,2139022766,2139022767,2139022768,2139022769,2139022770,2139022771,2139022772,2139022773,2139022774,2139022775,2139022776,2139022777,2139022778,2139022779,2139022780,2139022781,2139022782,2139022783,2139022784,2139022785,2139022786,2139022787,2139022788,2139022789,2139022790,2139022791,2139022792,2139022793,2139022794,2139022795,2139022796,2139022797,2139022798,2139022799,2139022800,2139022801,2139022802,2139022803,2139022804,2139022805,2139022806,2139022807,2139022808,2139022809,2139022810,2139022811,2139022812,2139022813,2139022814,2139022815,2139022816,2139022817,2139022818,2139022819,2139022820,2139022821,2139022822,2139022823,2139022824,2139022825,2139022826,2139022827,2139022828,2139022829,2139022830,2139022831,2139022832,2139022833,2139022834,2139022835,2139022836,2139022837,2139022838,2139022839,2139022840,2139022841,2139022842,2139022843,2139022844,2139022845,2139022846,2139022847,2139022848,2139022849,2139022850,2139022851,2139022852,2139022853,2139022854,2139022855,2139022856,2139022857,2139022858,2139022859,2139022860,2139022861,2139022862,2139022863,2139022864,2139022865,2139022866,2139022867,2139022868,2139022869,2139022870,2139022871,2139022872,2139022873,2139022874,2139022875,2139022876,2139022877,2139022878,2139022879		0,2139054018,2139121599,2139165952	model.layers.0.mlp.gate_proj.weight
51	kernel-1516-ctx_0x55d98da1ddf0.traceg.xz	0	0	8192			2139054018,2139121599	NONE
52	kernel-1517-ctx_0x55d98da1ddf0.traceg.xz	524288	0	9752576	2139022880,2139022881,2139022882,2139022883,2139022884,2139022885,2139022886,2139022887,2139022888,2139022889,2139022890,2139022891,2139022892,2139022893,2139022894,2139022895,2139022896,2139022897,2139022898,2139022899,2139022900,2139022901,2139022902,2139022903,2139022904,2139022905,2139022906,2139022907,2139022908,2139022909,2139022910,2139022911,2139022912,2139022913,2139022914,2139022915,2139022916,2139022917,2139022918,2139022919,2139022920,2139022921,2139022922,2139022923,2139022924,2139022925,2139022926,2139022927,2139022928,2139022929,2139022930,2139022931,2139022932,2139022933,2139022934,2139022935,2139022936,2139022937,2139022938,2139022939,2139022940,2139022941,2139022942,2139022943,2139022944,2139022945,2139022946,2139022947,2139022948,2139022949,2139022950,2139022951,2139022952,2139022953,2139022954,2139022955,2139022956,2139022957,2139022958,2139022959,2139022960,2139022961,2139022962,2139022963,2139022964,2139022965,2139022966,2139022967,2139022968,2139022969,2139022970,2139022971,2139022972,2139022973,2139022974,2139022975,2139022976,2139022977,2139022978,2139022979,2139022980,2139022981,2139022982,2139022983,2139022984,2139022985,2139022986,2139022987,2139022988,2139022989,2139022990,2139022991,2139022992,2139022993,2139022994,2139022995,2139022996,2139022997,2139022998,2139022999,2139023000,2139023001,2139023002,2139023003,2139023004,2139023005,2139023006,2139023007		0,2139054018,2139121599,2139165952	model.layers.0.mlp.up_proj.weight
53	kernel-1518-ctx_0x55d98da1ddf0.traceg.xz	0	0	12288			2139054018,2139054019,2139121599	NONE
54	kernel-1519-ctx_0x55d98da1ddf0.traceg.xz	524288	0	9752576	2139023008,2139023009,2139023010,2139023011,2139023012,2139023013,2139023014,2139023015,2139023016,2139023017,2139023018,2139023019,2139023020,2139023021,2139023022,2139023023,2139023024,2139023025,2139023026,2139023027,2139023028,2139023029,2139023030,2139023031,2139023032,2139023033,2139023034,2139023035,2139023036,2139023037,2139023038,2139023039,2139023040,2139023041,2139023042,2139023043,2139023044,2139023045,2139023046,2139023047,2139023048,2139023049,2139023050,2139023051,2139023052,2139023053,2139023054,2139023055,2139023056,2139023057,2139023058,2139023059,2139023060,2139023061,2139023062,2139023063,2139023064,2139023065,2139023066,2139023067,2139023068,2139023069,2139023070,2139023071,2139023072,2139023073,2139023074,2139023075,2139023076,2139023077,2139023078,2139023079,2139023080,2139023081,2139023082,2139023083,2139023084,2139023085,2139023086,2139023087,2139023088,2139023089,2139023090,2139023091,2139023092,2139023093,2139023094,2139023095,2139023096,2139023097,2139023098,2139023099,2139023100,2139023101,2139023102,2139023103,2139023104,2139023105,2139023106,2139023107,2139023108,2139023109,2139023110,2139023111,2139023112,2139023113,2139023114,2139023115,2139023116,2139023117,2139023118,2139023119,2139023120,2139023121,2139023122,2139023123,2139023124,2139023125,2139023126,2139023127,2139023128,2139023129,2139023130,2139023131,2139023132,2139023133,2139023134,2139023135		0,2139054018,2139054019,2139165952	model.layers.0.mlp.down_proj.weight
55	kernel-1521-ctx_0x55d98da1ddf0.traceg.xz	0	0	12288			2139054019,2139121598,2139121599	NONE
56	kernel-1522-ctx_0x55d98da1ddf0.traceg.xz	0	0	32768			2139054018,2139121599	NONE
57	kernel-1523-ctx_0x55d98da1ddf0.traceg.xz	0	0	8192			2139054018,2139054019	NONE
58	kernel-1524-ctx_0x55d98da1ddf0.traceg.xz	0	0	5128			0,2139054019,2139121594	NONE
59	kernel-1525-ctx_0x55d98da1ddf0.traceg.xz	0	0	16			2139121594	NONE
60	kernel-1526-ctx_0x55d98da1ddf0.traceg.xz	0	0	16			2139121594	NONE
61	kernel-1527-ctx_0x55d98da1ddf0.traceg.xz	0	0	49152			2139054018,2139054019,2139121594	NONE
62	kernel-1528-ctx_0x55d98da1ddf0.traceg.xz	0	0	8192			2139054019,2139121598,2139121599	NONE
63	kernel-1529-ctx_0x55d98da1ddf0.traceg.xz	16384	0	32768	2139023600		2139054018,2139121598,2139121599	model.layers.1.input_layernorm.weight
64	kernel-1530-ctx_0x55d98da1ddf0.traceg.xz	131072	0	845824	2139023136,2139023137,2139023138,2139023139,2139023140,2139023141,2139023142,2139023143,2139023144,2139023145,2139023146,2139023147,2139023148,2139023149,2139023150,2139023151,2139023152,2139023153,2139023154,2139023155,2139023156,2139023157,2139023158,2139023159,2139023160,2139023161,2139023162,2139023163,2139023164,2139023165,2139023166,2139023167,2139023168		0,2139030560,2139054018,2139054019,2139054020,2139054021	model.layers.1.self_attn.q_proj.weight
65	kernel-1531-ctx_0x55d98da1ddf0.traceg.xz	0	0	36864			2139030560,2139121594	NONE
66	kernel-1532-ctx_0x55d98da1ddf0.traceg.xz	32768	0	782336	2139023168,2139023169,2139023170,2139023171,2139023172,2139023173,2139023174,2139023175,2139023176		0,2139030560,2139054018,2139165952	model.layers.1.self_attn.k_proj.weight
67	kernel-1533-ctx_0x55d98da1ddf0.traceg.xz	0	0	17408			2139030560,2139121594	NONE
68	kernel-1534-ctx_0x55d98da1ddf0.traceg.xz	32768	0	782336	2139023176,2139023177,2139023178,2139023179,2139023180,2139023181,2139023182,2139023183,2139023184		0,2139030560,2139054018,2139165952	model.layers.1.self_attn.v_proj.weight
69	kernel-1535-ctx_0x55d98da1ddf0.traceg.xz	0	0	17408			2139030560,2139121594	NONE
70	kernel-1536-ctx_0x55d98da1ddf0.traceg.xz	0	0	12288			2139121594,2139121599	NONE
71	kernel-1537-ctx_0x55d98da1ddf0.traceg.xz	0	0	4096			2139121594,2139121598	NONE
72	kernel-1538-ctx_0x55d98da1ddf0.traceg.xz	0	0	8192			2139121594,2139121598,2139121599	NONE
73	kernel-1539-ctx_0x55d98da1ddf0.traceg.xz	0	0	12288			2139121594,2139121598,2139121599	NONE
74	kernel-1540-ctx_0x55d98da1ddf0.traceg.xz	0	0	3072			2139121598,2139121599	NONE
75	kernel-1541-ctx_0x55d98da1ddf0.traceg.xz	0	0	3072			2139121594,2139121599	NONE
76	kernel-1542-ctx_0x55d98da1ddf0.traceg.xz	0	0	1024			2139121594	NONE
77	kernel-1543-ctx_0x55d98da1ddf0.traceg.xz	0	0	2048			2139121594,2139121599	NONE
78	kernel-1544-ctx_0x55d98da1ddf0.traceg.xz	0	0	3072			2139121594,2139121599	NONE
79	kernel-1545-ctx_0x55d98da1ddf0.traceg.xz	0	0	768			2139121599	NONE
80	kernel-1546-ctx_0x55d98da1ddf0.traceg.xz	0	132096	1024		2139054064,2139054065,2139121572,2139121573,2139121574	2139121599	NONE
81	kernel-1547-ctx_0x55d98da1ddf0.traceg.xz	0	132096	1024		2139054058,2139054059,2139056554,2139056555,2139056556	2139121594	NONE
82	kernel-1548-ctx_0x55d98da1ddf0.traceg.xz	0	532480	0		2139056556,2139056557,2139056558,2139056559,2139056560,2139056561,2139056562,2139056563,2139056564,2139121572,2139121573,2139121574		NONE
83	kernel-1549-ctx_0x55d98da1ddf0.traceg.xz	0	266240	266240		2139056554,2139056555,2139056556	2139056576,2139056577,2139056578,2139056579,2139056580,2139056581,2139056582,2139056583,2139056584	NONE
84	kernel-1550-ctx_0x55d98da1ddf0.traceg.xz	0	33280	1141824		2139056556,2139056557,2139056558,2139056559,2139056560,2139056561,2139056562,2139056563,2139056564	0,255,2139056576,2139056577,2139056578,2139056579,2139056580,2139056581,2139056582,2139056583,2139056584,2139121594,2139121598	NONE
85	kernel-1551-ctx_0x55d98da1ddf0.traceg.xz	131072	0	2576384	2139023184,2139023185,2139023186,2139023187,2139023188,2139023189,2139023190,2139023191,2139023192,2139023193,2139023194,2139023195,2139023196,2139023197,2139023198,2139023199,2139023200,2139023201,2139023202,2139023203,2139023204,2139023205,2139023206,2139023207,2139023208,2139023209,2139023210,2139023211,2139023212,2139023213,2139023214,2139023215,2139023216		0,2139054018,2139121594,2139165952	model.layers.1.self_attn.o_proj.weight
86	kernel-1553-ctx_0x55d98da1ddf0.traceg.xz	0	0	12288			2139054019,2139121599	NONE
87	kernel-1554-ctx_0x55d98da1ddf0.traceg.xz	0	0	32768			2139054018,2139054019	NONE
88	kernel-1555-ctx_0x55d98da1ddf0.traceg.xz	0	0	8192			2139054018,2139121574,2139121575	NONE
89	kernel-1556-ctx_0x55d98da1ddf0.traceg.xz	0	0	5128			0,2139121574,2139121575,2139121594	NONE
90	kernel-1557-ctx_0x55d98da1ddf0.traceg.xz	0	0	16			2139121594	NONE
91	kernel-1558-ctx_0x55d98da1ddf0.traceg.xz	0	0	16			2139121594	NONE
92	kernel-1559-ctx_0x55d98da1ddf0.traceg.xz	0	0	49152			2139054018,2139121574,2139121575,2139121594	NONE
93	kernel-1560-ctx_0x55d98da1ddf0.traceg.xz	0	0	8192			2139121574,2139121575,2139121598,2139121599	NONE
94	kernel-1561-ctx_0x55d98da1ddf0.traceg.xz	16384	0	32768	2139023600		2139121575,2139121598,2139121599	model.layers.1.post_attention_layernorm.weight
95	kernel-1562-ctx_0x55d98da1ddf0.traceg.xz	524288	0	9752576	2139023216,2139023217,2139023218,2139023219,2139023220,2139023221,2139023222,2139023223,2139023224,2139023225,2139023226,2139023227,2139023228,2139023229,2139023230,2139023231,2139023232,2139023233,2139023234,2139023235,2139023236,2139023237,2139023238,2139023239,2139023240,2139023241,2139023242,2139023243,2139023244,2139023245,2139023246,2139023247,2139023248,2139023249,2139023250,2139023251,2139023252,2139023253,2139023254,2139023255,2139023256,2139023257,2139023258,2139023259,2139023260,2139023261,2139023262,2139023263,2139023264,2139023265,2139023266,2139023267,2139023268,2139023269,2139023270,2139023271,2139023272,2139023273,2139023274,2139023275,2139023276,2139023277,2139023278,2139023279,2139023280,2139023281,2139023282,2139023283,2139023284,2139023285,2139023286,2139023287,2139023288,2139023289,2139023290,2139023291,2139023292,2139023293,2139023294,2139023295,2139023296,2139023297,2139023298,2139023299,2139023300,2139023301,2139023302,2139023303,2139023304,2139023305,2139023306,2139023307,2139023308,2139023309,2139023310,2139023311,2139023312,2139023313,2139023314,2139023315,2139023316,2139023317,2139023318,2139023319,2139023320,2139023321,2139023322,2139023323,2139023324,2139023325,2139023326,2139023327,2139023328,2139023329,2139023330,2139023331,2139023332,2139023333,2139023334,2139023335,2139023336,2139023337,2139023338,2139023339,2139023340,2139023341,2139023342,2139023343,2139023344		0,2139121575,2139121598,2139121599,2139165952	model.layers.1.mlp.gate_proj.weight
96	kernel-1563-ctx_0x55d98da1ddf0.traceg.xz	0	0	8192			2139121574,2139121598,2139121599	NONE
97	kernel-1564-ctx_0x55d98da1ddf0.traceg.xz	524288	0	9752576	2139023344,2139023345,2139023346,2139023347,2139023348,2139023349,2139023350,2139023351,2139023352,2139023353,2139023354,2139023355,2139023356,2139023357,2139023358,2139023359,2139023360,2139023361,2139023362,2139023363,2139023364,2139023365,2139023366,2139023367,2139023368,2139023369,2139023370,2139023371,2139023372,2139023373,2139023374,2139023375,2139023376,2139023377,2139023378,2139023379,2139023380,2139023381,2139023382,2139023383,2139023384,2139023385,2139023386,2139023387,2139023388,2139023389,2139023390,2139023391,2139023392,2139023393,2139023394,2139023395,2139023396,2139023397,2139023398,2139023399,2139023400,2139023401,2139023402,2139023403,2139023404,2139023405,2139023406,2139023407,2139023408,2139023409,2139023410,2139023411,2139023412,2139023413,2139023414,2139023415,2139023416,2139023417,2139023418,2139023419,2139023420,2139023421,2139023422,2139023423,2139023424,2139023425,2139023426,2139023427,2139023428,2139023429,2139023430,2139023431,2139023432,2139023433,2139023434,2139023435,2139023436,2139023437,2139023438,2139023439,2139023440,2139023441,2139023442,2139023443,2139023444,2139023445,2139023446,2139023447,2139023448,2139023449,2139023450,2139023451,2139023452,2139023453,2139023454,2139023455,2139023456,2139023457,2139023458,2139023459,2139023460,2139023461,2139023462,2139023463,2139023464,2139023465,2139023466,2139023467,2139023468,2139023469,2139023470,2139023471,2139023472		0,2139121574,2139121575,2139165952	model.layers.1.mlp.up_proj.weight
98	kernel-1565-ctx_0x55d98da1ddf0.traceg.xz	0	0	12288			2139121574,2139121575,2139121598,2139121599	NONE
99	kernel-1566-ctx_0x55d98da1ddf0.traceg.xz	524288	0	9752576	2139023472,2139023473,2139023474,2139023475,2139023476,2139023477,2139023478,2139023479,2139023480,2139023481,2139023482,2139023483,2139023484,2139023485,2139023486,2139023487,2139023488,2139023489,2139023490,2139023491,2139023492,2139023493,2139023494,2139023495,2139023496,2139023497,2139023498,2139023499,2139023500,2139023501,2139023502,2139023503,2139023504,2139023505,2139023506,2139023507,2139023508,2139023509,2139023510,2139023511,2139023512,2139023513,2139023514,2139023515,2139023516,2139023517,2139023518,2139023519,2139023520,2139023521,2139023522,2139023523,2139023524,2139023525,2139023526,2139023527,2139023528,2139023529,2139023530,2139023531,2139023532,2139023533,2139023534,2139023535,2139023536,2139023537,2139023538,2139023539,2139023540,2139023541,2139023542,2139023543,2139023544,2139023545,2139023546,2139023547,2139023548,2139023549,2139023550,2139023551,2139023552,2139023553,2139023554,2139023555,2139023556,2139023557,2139023558,2139023559,2139023560,2139023561,2139023562,2139023563,2139023564,2139023565,2139023566,2139023567,2139023568,2139023569,2139023570,2139023571,2139023572,2139023573,2139023574,2139023575,2139023576,2139023577,2139023578,2139023579,2139023580,2139023581,2139023582,2139023583,2139023584,2139023585,2139023586,2139023587,2139023588,2139023589,2139023590,2139023591,2139023592,2139023593,2139023594,2139023595,2139023596,2139023597,2139023598,2139023599,2139023600		0,2139121574,2139121598,2139121599,2139165952	model.layers.1.mlp.down_proj.weight
100	kernel-1568-ctx_0x55d98da1ddf0.traceg.xz	0	0	12288			2139054019,2139121574,2139121575	NONE
101	kernel-1569-ctx_0x55d98da1ddf0.traceg.xz	0	0	32768			2139121574,2139121598,2139121599	NONE
102	kernel-1570-ctx_0x55d98da1ddf0.traceg.xz	0	0	8192			2139121574,2139121575,2139121598,2139121599	NONE
103	kernel-1571-ctx_0x55d98da1ddf0.traceg.xz	0	0	5128			0,2139121574,2139121575,2139121594	NONE
104	kernel-1572-ctx_0x55d98da1ddf0.traceg.xz	0	0	16			2139121594	NONE
105	kernel-1573-ctx_0x55d98da1ddf0.traceg.xz	0	0	16			2139121594	NONE
106	kernel-1574-ctx_0x55d98da1ddf0.traceg.xz	0	0	49152			2139121574,2139121575,2139121594,2139121598,2139121599	NONE
107	kernel-1575-ctx_0x55d98da1ddf0.traceg.xz	0	0	8192			2139121574,2139121575,2139121598,2139121599	NONE
108	kernel-1576-ctx_0x55d98da1ddf0.traceg.xz	16384	0	32768	2139024064		2139121598,2139121599	model.layers.2.input_layernorm.weight
109	kernel-1577-ctx_0x55d98da1ddf0.traceg.xz	131072	0	845824	2139023600,2139023601,2139023602,2139023603,2139023604,2139023605,2139023606,2139023607,2139023608,2139023609,2139023610,2139023611,2139023612,2139023613,2139023614,2139023615,2139023616,2139023617,2139023618,2139023619,2139023620,2139023621,2139023622,2139023623,2139023624,2139023625,2139023626,2139023627,2139023628,2139023629,2139023630,2139023631,2139023632		0,2139030560,2139121599,2139121600,2139121601,2139121602,2139121603	model.layers.2.self_attn.q_proj.weight
110	kernel-1578-ctx_0x55d98da1ddf0.traceg.xz	0	0	36864			2139030560,2139121594	NONE
111	kernel-1579-ctx_0x55d98da1ddf0.traceg.xz	32768	0	782336	2139023632,2139023633,2139023634,2139023635,2139023636,2139023637,2139023638,2139023639,2139023640		0,2139030560,2139121599,2139165952	model.layers.2.self_attn.k_proj.weight
112	kernel-1580-ctx_0x55d98da1ddf0.traceg.xz	0	0	17408			2139030560,2139121594	NONE
113	kernel-1581-ctx_0x55d98da1ddf0.traceg.xz	32768	0	782336	2139023640,2139023641,2139023642,2139023643,2139023644,2139023645,2139023646,2139023647,2139023648		0,2139030560,2139121599,2139165952	model.layers.2.self_attn.v_proj.weight
114	kernel-1582-ctx_0x55d98da1ddf0.traceg.xz	0	0	17408			2139030560,2139121594	NONE
115	kernel-1583-ctx_0x55d98da1ddf0.traceg.xz	0	0	12288			2139121594,2139121599	NONE
116	kernel-1584-ctx_0x55d98da1ddf0.traceg.xz	0	0	4096			2139121594,2139121598	NONE
117	kernel-1585-ctx_0x55d98da1ddf0.traceg.xz	0	0	8192			2139121594,2139121598,2139121599	NONE
118	kernel-1586-ctx_0x55d98da1ddf0.traceg.xz	0	0	12288			2139121594,2139121598,2139121599	NONE
119	kernel-1587-ctx_0x55d98da1ddf0.traceg.xz	0	0	3072			2139121598,2139121599	NONE
120	kernel-1588-ctx_0x55d98da1ddf0.traceg.xz	0	0	3072			2139121594,2139121599	NONE
121	kernel-1589-ctx_0x55d98da1ddf0.traceg.xz	0	0	1024			2139121594	NONE
122	kernel-1590-ctx_0x55d98da1ddf0.traceg.xz	0	0	2048			2139121594,2139121599	NONE
123	kernel-1591-ctx_0x55d98da1ddf0.traceg.xz	0	0	3072			2139121594,2139121599	NONE
124	kernel-1592-ctx_0x55d98da1ddf0.traceg.xz	0	0	768			2139121599	NONE
125	kernel-1593-ctx_0x55d98da1ddf0.traceg.xz	0	132096	1024		2139054058,2139054059,2139054060,2139054068,2139054069	2139121599	NONE
126	kernel-1594-ctx_0x55d98da1ddf0.traceg.xz	0	132096	1024		2139054062,2139054063,2139056556,2139056557,2139056558	2139121594	NONE
127	kernel-1595-ctx_0x55d98da1ddf0.traceg.xz	0	465920	66560		2139054058,2139054059,2139054060,2139056558,2139056559,2139056560,2139056561,2139056562,2139056563,2139056564	2139056564,2139056565,2139056566	NONE
128	kernel-1596-ctx_0x55d98da1ddf0.traceg.xz	0	266240	266240		2139056556,2139056557,2139056558	2139056576,2139056577,2139056578,2139056579,2139056580,2139056581,2139056582,2139056583,2139056584	NONE
129	kernel-1597-ctx_0x55d98da1ddf0.traceg.xz	0	24960	1150144		2139056558,2139056559,2139056560,2139056561,2139056562,2139056563,2139056564	0,255,2139056564,2139056565,2139056566,2139056576,2139056577,2139056578,2139056579,2139056580,2139056581,2139056582,2139056583,2139056584,2139121594,2139121598	NONE
130	kernel-1598-ctx_0x55d98da1ddf0.traceg.xz	131072	0	2576384	2139023648,2139023649,2139023650,2139023651,2139023652,2139023653,2139023654,2139023655,2139023656,2139023657,2139023658,2139023659,2139023660,2139023661,2139023662,2139023663,2139023664,2139023665,2139023666,2139023667,2139023668,2139023669,2139023670,2139023671,2139023672,2139023673,2139023674,2139023675,2139023676,2139023677,2139023678,2139023679,2139023680		0,2139121574,2139121575,2139121594,2139165952	model.layers.2.self_attn.o_proj.weight
131	kernel-1600-ctx_0x55d98da1ddf0.traceg.xz	0	0	12288			2139121574,2139121575	NONE
132	kernel-1601-ctx_0x55d98da1ddf0.traceg.xz	0	0	32768			2139121574,2139121575,2139121598,2139121599	NONE
133	kernel-1602-ctx_0x55d98da1ddf0.traceg.xz	0	0	8192			2139054018,2139121598,2139121599	NONE
134	kernel-1603-ctx_0x55d98da1ddf0.traceg.xz	0	0	5128			0,2139054018,2139121594	NONE
135	kernel-1604-ctx_0x55d98da1ddf0.traceg.xz	0	0	16			2139121594	NONE
136	kernel-1605-ctx_0x55d98da1ddf0.traceg.xz	0	0	16			2139121594	NONE
137	kernel-1606-ctx_0x55d98da1ddf0.traceg.xz	0	0	49152			2139054018,2139121594,2139121598,2139121599	NONE
138	kernel-1607-ctx_0x55d98da1ddf0.traceg.xz	0	0	8192			2139054018,2139121575	NONE
