roi	arm_family	lseg	operator_class	metric	value	note
prefill	F7	10	ATTENTION_CORE	gpu_sim_cycle	622301	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	ATTENTION_PROJECTION	gpu_sim_cycle	6601177	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	EMBEDDING_OUTPUT	gpu_sim_cycle	18754068	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	FFN_MLP	gpu_sim_cycle	20478345	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	NORM	gpu_sim_cycle	1441714	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	OTHER_COMPUTE	gpu_sim_cycle	15466833	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	UNRESOLVED	gpu_sim_cycle	6450	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	ATTENTION_CORE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	ATTENTION_PROJECTION	vm_weight_segment_hits	5310451	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	EMBEDDING_OUTPUT	vm_weight_segment_hits	16455481	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	FFN_MLP	vm_weight_segment_hits	25278226	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	NORM	vm_weight_segment_hits	1048576	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	OTHER_COMPUTE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	UNRESOLVED	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	ATTENTION_CORE	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	ATTENTION_PROJECTION	vm_weight_segment_l2_suppressed	5310451	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	EMBEDDING_OUTPUT	vm_weight_segment_l2_suppressed	16455481	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	FFN_MLP	vm_weight_segment_l2_suppressed	25278226	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	NORM	vm_weight_segment_l2_suppressed	1048576	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	OTHER_COMPUTE	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	UNRESOLVED	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	10	FULL_ROI	gpu_tot_sim_cycle	63370888	full-ROI anchor; compare only within same ROI
prefill	F7	20	ATTENTION_CORE	gpu_sim_cycle	623975	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	ATTENTION_PROJECTION	gpu_sim_cycle	8392922	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	EMBEDDING_OUTPUT	gpu_sim_cycle	21810020	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	FFN_MLP	gpu_sim_cycle	28017863	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	NORM	gpu_sim_cycle	1756333	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	OTHER_COMPUTE	gpu_sim_cycle	15523613	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	UNRESOLVED	gpu_sim_cycle	6466	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	ATTENTION_CORE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	ATTENTION_PROJECTION	vm_weight_segment_hits	5248400	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	EMBEDDING_OUTPUT	vm_weight_segment_hits	16449536	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	FFN_MLP	vm_weight_segment_hits	25180124	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	NORM	vm_weight_segment_hits	1048576	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	OTHER_COMPUTE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	UNRESOLVED	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	ATTENTION_CORE	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	ATTENTION_PROJECTION	vm_weight_segment_l2_suppressed	5248400	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	EMBEDDING_OUTPUT	vm_weight_segment_l2_suppressed	16449536	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	FFN_MLP	vm_weight_segment_l2_suppressed	25180124	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	NORM	vm_weight_segment_l2_suppressed	1048576	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	OTHER_COMPUTE	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	UNRESOLVED	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F7	20	FULL_ROI	gpu_tot_sim_cycle	76131192	full-ROI anchor; compare only within same ROI
prefill	F8	5	ATTENTION_CORE	gpu_sim_cycle	618924	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	ATTENTION_PROJECTION	gpu_sim_cycle	6092710	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	EMBEDDING_OUTPUT	gpu_sim_cycle	18397497	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	FFN_MLP	gpu_sim_cycle	17908833	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	NORM	gpu_sim_cycle	1305957	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	OTHER_COMPUTE	gpu_sim_cycle	15486974	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	UNRESOLVED	gpu_sim_cycle	6460	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	ATTENTION_CORE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	ATTENTION_PROJECTION	vm_weight_segment_hits	5696767	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	EMBEDDING_OUTPUT	vm_weight_segment_hits	16491780	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	FFN_MLP	vm_weight_segment_hits	26417356	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	NORM	vm_weight_segment_hits	1048576	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	OTHER_COMPUTE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	UNRESOLVED	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	ATTENTION_CORE	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	ATTENTION_PROJECTION	vm_weight_segment_l2_suppressed	5696767	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	EMBEDDING_OUTPUT	vm_weight_segment_l2_suppressed	16491780	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	FFN_MLP	vm_weight_segment_l2_suppressed	26417356	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	NORM	vm_weight_segment_l2_suppressed	1048576	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	OTHER_COMPUTE	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	UNRESOLVED	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	ATTENTION_CORE	vm_l2_tlb_subentry_hits	8042	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	ATTENTION_PROJECTION	vm_l2_tlb_subentry_hits	13184	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	EMBEDDING_OUTPUT	vm_l2_tlb_subentry_hits	153610	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	FFN_MLP	vm_l2_tlb_subentry_hits	43495	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	NORM	vm_l2_tlb_subentry_hits	64817	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	OTHER_COMPUTE	vm_l2_tlb_subentry_hits	607946	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	UNRESOLVED	vm_l2_tlb_subentry_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	5	FULL_ROI	gpu_tot_sim_cycle	59817355	full-ROI anchor; compare only within same ROI
prefill	F8	10	ATTENTION_CORE	gpu_sim_cycle	620660	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	ATTENTION_PROJECTION	gpu_sim_cycle	6592448	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	EMBEDDING_OUTPUT	gpu_sim_cycle	18751011	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	FFN_MLP	gpu_sim_cycle	20486237	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	NORM	gpu_sim_cycle	1440333	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	OTHER_COMPUTE	gpu_sim_cycle	15478364	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	UNRESOLVED	gpu_sim_cycle	6450	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	ATTENTION_CORE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	ATTENTION_PROJECTION	vm_weight_segment_hits	5309614	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	EMBEDDING_OUTPUT	vm_weight_segment_hits	16455114	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	FFN_MLP	vm_weight_segment_hits	25278336	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	NORM	vm_weight_segment_hits	1048576	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	OTHER_COMPUTE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	UNRESOLVED	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	ATTENTION_CORE	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	ATTENTION_PROJECTION	vm_weight_segment_l2_suppressed	5309614	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	EMBEDDING_OUTPUT	vm_weight_segment_l2_suppressed	16455114	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	FFN_MLP	vm_weight_segment_l2_suppressed	25278336	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	NORM	vm_weight_segment_l2_suppressed	1048576	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	OTHER_COMPUTE	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	UNRESOLVED	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	ATTENTION_CORE	vm_l2_tlb_subentry_hits	8053	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	ATTENTION_PROJECTION	vm_l2_tlb_subentry_hits	13165	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	EMBEDDING_OUTPUT	vm_l2_tlb_subentry_hits	157747	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	FFN_MLP	vm_l2_tlb_subentry_hits	43474	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	NORM	vm_l2_tlb_subentry_hits	64504	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	OTHER_COMPUTE	vm_l2_tlb_subentry_hits	606982	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	UNRESOLVED	vm_l2_tlb_subentry_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	10	FULL_ROI	gpu_tot_sim_cycle	63375503	full-ROI anchor; compare only within same ROI
prefill	F8	20	ATTENTION_CORE	gpu_sim_cycle	622530	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	ATTENTION_PROJECTION	gpu_sim_cycle	8400229	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	EMBEDDING_OUTPUT	gpu_sim_cycle	21816319	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	FFN_MLP	gpu_sim_cycle	28018691	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	NORM	gpu_sim_cycle	1757790	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	OTHER_COMPUTE	gpu_sim_cycle	15522252	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	UNRESOLVED	gpu_sim_cycle	6466	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	ATTENTION_CORE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	ATTENTION_PROJECTION	vm_weight_segment_hits	5249235	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	EMBEDDING_OUTPUT	vm_weight_segment_hits	16449536	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	FFN_MLP	vm_weight_segment_hits	25179541	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	NORM	vm_weight_segment_hits	1048576	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	OTHER_COMPUTE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	UNRESOLVED	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	ATTENTION_CORE	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	ATTENTION_PROJECTION	vm_weight_segment_l2_suppressed	5249235	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	EMBEDDING_OUTPUT	vm_weight_segment_l2_suppressed	16449536	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	FFN_MLP	vm_weight_segment_l2_suppressed	25179541	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	NORM	vm_weight_segment_l2_suppressed	1048576	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	OTHER_COMPUTE	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	UNRESOLVED	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	ATTENTION_CORE	vm_l2_tlb_subentry_hits	8062	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	ATTENTION_PROJECTION	vm_l2_tlb_subentry_hits	13133	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	EMBEDDING_OUTPUT	vm_l2_tlb_subentry_hits	158108	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	FFN_MLP	vm_l2_tlb_subentry_hits	43309	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	NORM	vm_l2_tlb_subentry_hits	64536	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	OTHER_COMPUTE	vm_l2_tlb_subentry_hits	607338	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	UNRESOLVED	vm_l2_tlb_subentry_hits	0	exact per-kernel raw-log attribution; no causal performance claim
prefill	F8	20	FULL_ROI	gpu_tot_sim_cycle	76144277	full-ROI anchor; compare only within same ROI
decode1	F7	5	ATTENTION_CORE	gpu_sim_cycle	505056	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	ATTENTION_PROJECTION	gpu_sim_cycle	3774110	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	EMBEDDING_OUTPUT	gpu_sim_cycle	3748422	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	FFN_MLP	gpu_sim_cycle	21171979	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	NORM	gpu_sim_cycle	285151	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	OTHER_COMPUTE	gpu_sim_cycle	4468218	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	UNRESOLVED	gpu_sim_cycle	6093	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	ATTENTION_CORE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	ATTENTION_PROJECTION	vm_weight_segment_hits	707985	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	EMBEDDING_OUTPUT	vm_weight_segment_hits	4560114	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	FFN_MLP	vm_weight_segment_hits	3145728	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	NORM	vm_weight_segment_hits	16384	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	OTHER_COMPUTE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	UNRESOLVED	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	ATTENTION_CORE	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	ATTENTION_PROJECTION	vm_weight_segment_l2_suppressed	707985	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	EMBEDDING_OUTPUT	vm_weight_segment_l2_suppressed	4560114	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	FFN_MLP	vm_weight_segment_l2_suppressed	3145728	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	NORM	vm_weight_segment_l2_suppressed	16384	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	OTHER_COMPUTE	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	UNRESOLVED	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	5	FULL_ROI	gpu_tot_sim_cycle	33959029	full-ROI anchor; compare only within same ROI
decode1	F7	10	ATTENTION_CORE	gpu_sim_cycle	504777	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	ATTENTION_PROJECTION	gpu_sim_cycle	3797533	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	EMBEDDING_OUTPUT	gpu_sim_cycle	3733950	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	FFN_MLP	gpu_sim_cycle	21630472	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	NORM	gpu_sim_cycle	284078	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	OTHER_COMPUTE	gpu_sim_cycle	4475156	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	UNRESOLVED	gpu_sim_cycle	6093	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	ATTENTION_CORE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	ATTENTION_PROJECTION	vm_weight_segment_hits	665482	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	EMBEDDING_OUTPUT	vm_weight_segment_hits	4226182	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	FFN_MLP	vm_weight_segment_hits	3145728	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	NORM	vm_weight_segment_hits	16384	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	OTHER_COMPUTE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	UNRESOLVED	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	ATTENTION_CORE	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	ATTENTION_PROJECTION	vm_weight_segment_l2_suppressed	665482	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	EMBEDDING_OUTPUT	vm_weight_segment_l2_suppressed	4226182	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	FFN_MLP	vm_weight_segment_l2_suppressed	3145728	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	NORM	vm_weight_segment_l2_suppressed	16384	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	OTHER_COMPUTE	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	UNRESOLVED	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	10	FULL_ROI	gpu_tot_sim_cycle	34432059	full-ROI anchor; compare only within same ROI
decode1	F7	20	ATTENTION_CORE	gpu_sim_cycle	507273	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	ATTENTION_PROJECTION	gpu_sim_cycle	3852559	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	EMBEDDING_OUTPUT	gpu_sim_cycle	4376481	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	FFN_MLP	gpu_sim_cycle	22535896	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	NORM	gpu_sim_cycle	284166	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	OTHER_COMPUTE	gpu_sim_cycle	4473258	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	UNRESOLVED	gpu_sim_cycle	6098	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	ATTENTION_CORE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	ATTENTION_PROJECTION	vm_weight_segment_hits	655421	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	EMBEDDING_OUTPUT	vm_weight_segment_hits	4104764	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	FFN_MLP	vm_weight_segment_hits	3145728	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	NORM	vm_weight_segment_hits	16384	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	OTHER_COMPUTE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	UNRESOLVED	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	ATTENTION_CORE	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	ATTENTION_PROJECTION	vm_weight_segment_l2_suppressed	655421	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	EMBEDDING_OUTPUT	vm_weight_segment_l2_suppressed	4104764	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	FFN_MLP	vm_weight_segment_l2_suppressed	3145728	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	NORM	vm_weight_segment_l2_suppressed	16384	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	OTHER_COMPUTE	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	UNRESOLVED	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F7	20	FULL_ROI	gpu_tot_sim_cycle	36035731	full-ROI anchor; compare only within same ROI
decode1	F8	5	ATTENTION_CORE	gpu_sim_cycle	505056	exact per-kernel raw-log attribution; no causal performance claim
decode1	F8	5	ATTENTION_PROJECTION	gpu_sim_cycle	3774110	exact per-kernel raw-log attribution; no causal performance claim
decode1	F8	5	EMBEDDING_OUTPUT	gpu_sim_cycle	3748422	exact per-kernel raw-log attribution; no causal performance claim
decode1	F8	5	FFN_MLP	gpu_sim_cycle	21171979	exact per-kernel raw-log attribution; no causal performance claim
decode1	F8	5	NORM	gpu_sim_cycle	285151	exact per-kernel raw-log attribution; no causal performance claim
decode1	F8	5	OTHER_COMPUTE	gpu_sim_cycle	4468218	exact per-kernel raw-log attribution; no causal performance claim
decode1	F8	5	UNRESOLVED	gpu_sim_cycle	6093	exact per-kernel raw-log attribution; no causal performance claim
decode1	F8	5	ATTENTION_CORE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F8	5	ATTENTION_PROJECTION	vm_weight_segment_hits	707985	exact per-kernel raw-log attribution; no causal performance claim
decode1	F8	5	EMBEDDING_OUTPUT	vm_weight_segment_hits	4560114	exact per-kernel raw-log attribution; no causal performance claim
decode1	F8	5	FFN_MLP	vm_weight_segment_hits	3145728	exact per-kernel raw-log attribution; no causal performance claim
decode1	F8	5	NORM	vm_weight_segment_hits	16384	exact per-kernel raw-log attribution; no causal performance claim
decode1	F8	5	OTHER_COMPUTE	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F8	5	UNRESOLVED	vm_weight_segment_hits	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F8	5	ATTENTION_CORE	vm_weight_segment_l2_suppressed	0	exact per-kernel raw-log attribution; no causal performance claim
decode1	F8	5	ATTENTION_PROJECTION	vm_weight_segment_l2_suppressed	707985	exact per-kernel raw-log attribution; no causal performance claim
decode1	F8	5	EMBEDDING_OUTPUT	vm_weight_segment_l2_suppressed	4560114	exact per-kernel raw-log attribution; no causal performance claim
