roi	operator_class	object_class	metric	metric_scope	unit	value	source
prefill	NORM	UNKNOWN	unique_64kb_pages	TRACE_DERIVED	pages	128	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	OTHER_COMPUTE	UNKNOWN	lane_references	TRACE_DERIVED	lane_refs	307614912	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	OTHER_COMPUTE	UNKNOWN	unique_64kb_pages	TRACE_DERIVED	pages	314	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	UNRESOLVED	UNKNOWN	lane_references	TRACE_DERIVED	lane_refs	6400	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill	UNRESOLVED	UNKNOWN	unique_64kb_pages	TRACE_DERIVED	pages	2	immutable traces; C12 list sha256=a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
decode1	ATTENTION_CORE	WEIGHT	lane_references	TRACE_DERIVED	lane_refs	0	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	ATTENTION_CORE	WEIGHT	unique_64kb_pages	TRACE_DERIVED	pages	0	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	ATTENTION_PROJECTION	WEIGHT	lane_references	TRACE_DERIVED	lane_refs	5242880	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	ATTENTION_PROJECTION	WEIGHT	unique_64kb_pages	TRACE_DERIVED	pages	1294	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	EMBEDDING_OUTPUT	WEIGHT	lane_references	TRACE_DERIVED	lane_refs	32849920	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	EMBEDDING_OUTPUT	WEIGHT	unique_64kb_pages	TRACE_DERIVED	pages	8016	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	FFN_MLP	WEIGHT	lane_references	TRACE_DERIVED	lane_refs	25165824	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	FFN_MLP	WEIGHT	unique_64kb_pages	TRACE_DERIVED	pages	6158	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	NORM	WEIGHT	lane_references	TRACE_DERIVED	lane_refs	540672	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	NORM	WEIGHT	unique_64kb_pages	TRACE_DERIVED	pages	17	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	OTHER_COMPUTE	WEIGHT	lane_references	TRACE_DERIVED	lane_refs	0	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	OTHER_COMPUTE	WEIGHT	unique_64kb_pages	TRACE_DERIVED	pages	0	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	UNRESOLVED	WEIGHT	lane_references	TRACE_DERIVED	lane_refs	0	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	UNRESOLVED	WEIGHT	unique_64kb_pages	TRACE_DERIVED	pages	0	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	ATTENTION_CORE	KV_CACHE	lane_references	TRACE_DERIVED	lane_refs	268416	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	ATTENTION_CORE	KV_CACHE	unique_64kb_pages	TRACE_DERIVED	pages	13	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	ATTENTION_PROJECTION	KV_CACHE	lane_references	TRACE_DERIVED	lane_refs	149504	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	ATTENTION_PROJECTION	KV_CACHE	unique_64kb_pages	TRACE_DERIVED	pages	7	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	EMBEDDING_OUTPUT	KV_CACHE	lane_references	TRACE_DERIVED	lane_refs	7695360	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	EMBEDDING_OUTPUT	KV_CACHE	unique_64kb_pages	TRACE_DERIVED	pages	5	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	FFN_MLP	KV_CACHE	lane_references	TRACE_DERIVED	lane_refs	1896448	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	FFN_MLP	KV_CACHE	unique_64kb_pages	TRACE_DERIVED	pages	4	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	NORM	KV_CACHE	lane_references	TRACE_DERIVED	lane_refs	212992	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	NORM	KV_CACHE	unique_64kb_pages	TRACE_DERIVED	pages	5	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	OTHER_COMPUTE	KV_CACHE	lane_references	TRACE_DERIVED	lane_refs	15692544	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	OTHER_COMPUTE	KV_CACHE	unique_64kb_pages	TRACE_DERIVED	pages	82	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	UNRESOLVED	KV_CACHE	lane_references	TRACE_DERIVED	lane_refs	0	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	UNRESOLVED	KV_CACHE	unique_64kb_pages	TRACE_DERIVED	pages	0	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	ATTENTION_CORE	UNKNOWN	lane_references	TRACE_DERIVED	lane_refs	18533248	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	ATTENTION_CORE	UNKNOWN	unique_64kb_pages	TRACE_DERIVED	pages	32	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	ATTENTION_PROJECTION	UNKNOWN	lane_references	TRACE_DERIVED	lane_refs	79640576	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	ATTENTION_PROJECTION	UNKNOWN	unique_64kb_pages	TRACE_DERIVED	pages	22	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	EMBEDDING_OUTPUT	UNKNOWN	lane_references	TRACE_DERIVED	lane_refs	144962048	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	EMBEDDING_OUTPUT	UNKNOWN	unique_64kb_pages	TRACE_DERIVED	pages	35	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	FFN_MLP	UNKNOWN	lane_references	TRACE_DERIVED	lane_refs	466227200	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	FFN_MLP	UNKNOWN	unique_64kb_pages	TRACE_DERIVED	pages	8	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	NORM	UNKNOWN	lane_references	TRACE_DERIVED	lane_refs	868352	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	NORM	UNKNOWN	unique_64kb_pages	TRACE_DERIVED	pages	6	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	OTHER_COMPUTE	UNKNOWN	lane_references	TRACE_DERIVED	lane_refs	11688315	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	OTHER_COMPUTE	UNKNOWN	unique_64kb_pages	TRACE_DERIVED	pages	34	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	UNRESOLVED	UNKNOWN	lane_references	TRACE_DERIVED	lane_refs	162	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
decode1	UNRESOLVED	UNKNOWN	unique_64kb_pages	TRACE_DERIVED	pages	2	immutable traces; C12 list sha256=b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
