roi	profile	layer	class	outcome	count
decode1	generic	L1D	OTHER	SECTOR_MISS	0
decode1	generic	L1D	PTE_L0	HIT	0
decode1	generic	L1D	PTE_L0	HIT_RESERVED	0
decode1	generic	L1D	PTE_L0	MISS	0
decode1	generic	L1D	PTE_L0	MSHR_HIT	0
decode1	generic	L1D	PTE_L0	RESERVATION_FAIL	0
decode1	generic	L1D	PTE_L0	SECTOR_MISS	0
decode1	generic	L1D	PTE_L1	HIT	0
decode1	generic	L1D	PTE_L1	HIT_RESERVED	0
decode1	generic	L1D	PTE_L1	MISS	0
decode1	generic	L1D	PTE_L1	MSHR_HIT	0
decode1	generic	L1D	PTE_L1	RESERVATION_FAIL	0
decode1	generic	L1D	PTE_L1	SECTOR_MISS	0
decode1	generic	L1D	PTE_L2	HIT	0
decode1	generic	L1D	PTE_L2	HIT_RESERVED	0
decode1	generic	L1D	PTE_L2	MISS	0
decode1	generic	L1D	PTE_L2	MSHR_HIT	0
decode1	generic	L1D	PTE_L2	RESERVATION_FAIL	0
decode1	generic	L1D	PTE_L2	SECTOR_MISS	0
decode1	generic	L1D	PTE_L3	HIT	0
decode1	generic	L1D	PTE_L3	HIT_RESERVED	0
decode1	generic	L1D	PTE_L3	MISS	0
decode1	generic	L1D	PTE_L3	MSHR_HIT	0
decode1	generic	L1D	PTE_L3	RESERVATION_FAIL	0
decode1	generic	L1D	PTE_L3	SECTOR_MISS	0
decode1	ideal	DATA_L2	DATA_KV_CACHE	HIT	2568788
decode1	ideal	DATA_L2	DATA_KV_CACHE	HIT_RESERVED	0
decode1	ideal	DATA_L2	DATA_KV_CACHE	MISS	272946
decode1	ideal	DATA_L2	DATA_KV_CACHE	MSHR_HIT	0
decode1	ideal	DATA_L2	DATA_KV_CACHE	RESERVATION_FAIL	84202
decode1	ideal	DATA_L2	DATA_KV_CACHE	SECTOR_MISS	0
decode1	ideal	DATA_L2	DATA_UNKNOWN	HIT	27732445
decode1	ideal	DATA_L2	DATA_UNKNOWN	HIT_RESERVED	0
decode1	ideal	DATA_L2	DATA_UNKNOWN	MISS	23897508
decode1	ideal	DATA_L2	DATA_UNKNOWN	MSHR_HIT	0
decode1	ideal	DATA_L2	DATA_UNKNOWN	RESERVATION_FAIL	2852747
decode1	ideal	DATA_L2	DATA_UNKNOWN	SECTOR_MISS	0
decode1	ideal	DATA_L2	DATA_WEIGHT	HIT	10142
decode1	ideal	DATA_L2	DATA_WEIGHT	HIT_RESERVED	0
decode1	ideal	DATA_L2	DATA_WEIGHT	MISS	9293737
decode1	ideal	DATA_L2	DATA_WEIGHT	MSHR_HIT	0
decode1	ideal	DATA_L2	DATA_WEIGHT	RESERVATION_FAIL	348038
decode1	ideal	DATA_L2	DATA_WEIGHT	SECTOR_MISS	0
decode1	ideal	DATA_L2	OTHER	HIT	0
decode1	ideal	DATA_L2	OTHER	HIT_RESERVED	0
decode1	ideal	DATA_L2	OTHER	MISS	0
decode1	ideal	DATA_L2	OTHER	MSHR_HIT	0
decode1	ideal	DATA_L2	OTHER	RESERVATION_FAIL	0
decode1	ideal	DATA_L2	OTHER	SECTOR_MISS	0
decode1	ideal	DATA_L2	PTE_L0	HIT	0
decode1	ideal	DATA_L2	PTE_L0	HIT_RESERVED	0
decode1	ideal	DATA_L2	PTE_L0	MISS	0
decode1	ideal	DATA_L2	PTE_L0	MSHR_HIT	0
decode1	ideal	DATA_L2	PTE_L0	RESERVATION_FAIL	0
decode1	ideal	DATA_L2	PTE_L0	SECTOR_MISS	0
decode1	ideal	DATA_L2	PTE_L1	HIT	0
decode1	ideal	DATA_L2	PTE_L1	HIT_RESERVED	0
decode1	ideal	DATA_L2	PTE_L1	MISS	0
decode1	ideal	DATA_L2	PTE_L1	MSHR_HIT	0
decode1	ideal	DATA_L2	PTE_L1	RESERVATION_FAIL	0
decode1	ideal	DATA_L2	PTE_L1	SECTOR_MISS	0
decode1	ideal	DATA_L2	PTE_L2	HIT	0
decode1	ideal	DATA_L2	PTE_L2	HIT_RESERVED	0
decode1	ideal	DATA_L2	PTE_L2	MISS	0
decode1	ideal	DATA_L2	PTE_L2	MSHR_HIT	0
decode1	ideal	DATA_L2	PTE_L2	RESERVATION_FAIL	0
decode1	ideal	DATA_L2	PTE_L2	SECTOR_MISS	0
decode1	ideal	DATA_L2	PTE_L3	HIT	0
decode1	ideal	DATA_L2	PTE_L3	HIT_RESERVED	0
decode1	ideal	DATA_L2	PTE_L3	MISS	0
decode1	ideal	DATA_L2	PTE_L3	MSHR_HIT	0
decode1	ideal	DATA_L2	PTE_L3	RESERVATION_FAIL	0
decode1	ideal	DATA_L2	PTE_L3	SECTOR_MISS	0
decode1	ideal	L1D	DATA_KV_CACHE	HIT	167
decode1	ideal	L1D	DATA_KV_CACHE	HIT_RESERVED	0
decode1	ideal	L1D	DATA_KV_CACHE	MISS	760073
decode1	ideal	L1D	DATA_KV_CACHE	MSHR_HIT	0
decode1	ideal	L1D	DATA_KV_CACHE	RESERVATION_FAIL	423442
decode1	ideal	L1D	DATA_KV_CACHE	SECTOR_MISS	0
decode1	ideal	L1D	DATA_UNKNOWN	HIT	30093920
decode1	ideal	L1D	DATA_UNKNOWN	HIT_RESERVED	0
decode1	ideal	L1D	DATA_UNKNOWN	MISS	100985215
decode1	ideal	L1D	DATA_UNKNOWN	MSHR_HIT	0
decode1	ideal	L1D	DATA_UNKNOWN	RESERVATION_FAIL	29536059
decode1	ideal	L1D	DATA_UNKNOWN	SECTOR_MISS	0
decode1	ideal	L1D	DATA_WEIGHT	HIT	448
decode1	ideal	L1D	DATA_WEIGHT	HIT_RESERVED	0
decode1	ideal	L1D	DATA_WEIGHT	MISS	3557705
decode1	ideal	L1D	DATA_WEIGHT	MSHR_HIT	0
decode1	ideal	L1D	DATA_WEIGHT	RESERVATION_FAIL	10838146
decode1	ideal	L1D	DATA_WEIGHT	SECTOR_MISS	0
decode1	ideal	L1D	OTHER	HIT	0
decode1	ideal	L1D	OTHER	HIT_RESERVED	0
decode1	ideal	L1D	OTHER	MISS	0
decode1	ideal	L1D	OTHER	MSHR_HIT	0
decode1	ideal	L1D	OTHER	RESERVATION_FAIL	0
decode1	ideal	L1D	OTHER	SECTOR_MISS	0
decode1	ideal	L1D	PTE_L0	HIT	0
decode1	ideal	L1D	PTE_L0	HIT_RESERVED	0
decode1	ideal	L1D	PTE_L0	MISS	0
decode1	ideal	L1D	PTE_L0	MSHR_HIT	0
decode1	ideal	L1D	PTE_L0	RESERVATION_FAIL	0
decode1	ideal	L1D	PTE_L0	SECTOR_MISS	0
decode1	ideal	L1D	PTE_L1	HIT	0
decode1	ideal	L1D	PTE_L1	HIT_RESERVED	0
decode1	ideal	L1D	PTE_L1	MISS	0
decode1	ideal	L1D	PTE_L1	MSHR_HIT	0
decode1	ideal	L1D	PTE_L1	RESERVATION_FAIL	0
decode1	ideal	L1D	PTE_L1	SECTOR_MISS	0
decode1	ideal	L1D	PTE_L2	HIT	0
decode1	ideal	L1D	PTE_L2	HIT_RESERVED	0
decode1	ideal	L1D	PTE_L2	MISS	0
decode1	ideal	L1D	PTE_L2	MSHR_HIT	0
decode1	ideal	L1D	PTE_L2	RESERVATION_FAIL	0
decode1	ideal	L1D	PTE_L2	SECTOR_MISS	0
decode1	ideal	L1D	PTE_L3	HIT	0
decode1	ideal	L1D	PTE_L3	HIT_RESERVED	0
decode1	ideal	L1D	PTE_L3	MISS	0
decode1	ideal	L1D	PTE_L3	MSHR_HIT	0
decode1	ideal	L1D	PTE_L3	RESERVATION_FAIL	0
decode1	ideal	L1D	PTE_L3	SECTOR_MISS	0
decode1	paper	DATA_L2	DATA_KV_CACHE	HIT	1434599
decode1	paper	DATA_L2	DATA_KV_CACHE	HIT_RESERVED	0
decode1	paper	DATA_L2	DATA_KV_CACHE	MISS	266338
decode1	paper	DATA_L2	DATA_KV_CACHE	MSHR_HIT	0
decode1	paper	DATA_L2	DATA_KV_CACHE	RESERVATION_FAIL	50858
decode1	paper	DATA_L2	DATA_KV_CACHE	SECTOR_MISS	0
decode1	paper	DATA_L2	DATA_UNKNOWN	HIT	22902853
decode1	paper	DATA_L2	DATA_UNKNOWN	HIT_RESERVED	0
decode1	paper	DATA_L2	DATA_UNKNOWN	MISS	25227491
decode1	paper	DATA_L2	DATA_UNKNOWN	MSHR_HIT	0
decode1	paper	DATA_L2	DATA_UNKNOWN	RESERVATION_FAIL	4800706
decode1	paper	DATA_L2	DATA_UNKNOWN	SECTOR_MISS	0
decode1	paper	DATA_L2	DATA_WEIGHT	HIT	9647
decode1	paper	DATA_L2	DATA_WEIGHT	HIT_RESERVED	0
decode1	paper	DATA_L2	DATA_WEIGHT	MISS	8052833
decode1	paper	DATA_L2	DATA_WEIGHT	MSHR_HIT	0
decode1	paper	DATA_L2	DATA_WEIGHT	RESERVATION_FAIL	1148985
decode1	paper	DATA_L2	DATA_WEIGHT	SECTOR_MISS	0
decode1	paper	DATA_L2	OTHER	HIT	0
decode1	paper	DATA_L2	OTHER	HIT_RESERVED	0
decode1	paper	DATA_L2	OTHER	MISS	0
decode1	paper	DATA_L2	OTHER	MSHR_HIT	0
decode1	paper	DATA_L2	OTHER	RESERVATION_FAIL	0
decode1	paper	DATA_L2	OTHER	SECTOR_MISS	0
decode1	paper	DATA_L2	PTE_L0	HIT	0
decode1	paper	DATA_L2	PTE_L0	HIT_RESERVED	0
decode1	paper	DATA_L2	PTE_L0	MISS	2
decode1	paper	DATA_L2	PTE_L0	MSHR_HIT	0
decode1	paper	DATA_L2	PTE_L0	RESERVATION_FAIL	0
decode1	paper	DATA_L2	PTE_L0	SECTOR_MISS	0
decode1	paper	DATA_L2	PTE_L1	HIT	0
decode1	paper	DATA_L2	PTE_L1	HIT_RESERVED	0
decode1	paper	DATA_L2	PTE_L1	MISS	3
decode1	paper	DATA_L2	PTE_L1	MSHR_HIT	0
decode1	paper	DATA_L2	PTE_L1	RESERVATION_FAIL	0
decode1	paper	DATA_L2	PTE_L1	SECTOR_MISS	0
decode1	paper	DATA_L2	PTE_L2	HIT	34
decode1	paper	DATA_L2	PTE_L2	HIT_RESERVED	0
decode1	paper	DATA_L2	PTE_L2	MISS	56
decode1	paper	DATA_L2	PTE_L2	MSHR_HIT	0
decode1	paper	DATA_L2	PTE_L2	RESERVATION_FAIL	316
decode1	paper	DATA_L2	PTE_L2	SECTOR_MISS	0
decode1	paper	DATA_L2	PTE_L3	HIT	10725
decode1	paper	DATA_L2	PTE_L3	HIT_RESERVED	0
decode1	paper	DATA_L2	PTE_L3	MISS	4966
decode1	paper	DATA_L2	PTE_L3	MSHR_HIT	0
decode1	paper	DATA_L2	PTE_L3	RESERVATION_FAIL	141
decode1	paper	DATA_L2	PTE_L3	SECTOR_MISS	0
decode1	paper	L1D	DATA_KV_CACHE	HIT	68460
decode1	paper	L1D	DATA_KV_CACHE	HIT_RESERVED	0
decode1	paper	L1D	DATA_KV_CACHE	MISS	691780
decode1	paper	L1D	DATA_KV_CACHE	MSHR_HIT	0
decode1	paper	L1D	DATA_KV_CACHE	RESERVATION_FAIL	0
decode1	paper	L1D	DATA_KV_CACHE	SECTOR_MISS	0
decode1	paper	L1D	DATA_UNKNOWN	HIT	92271317
decode1	paper	L1D	DATA_UNKNOWN	HIT_RESERVED	0
decode1	paper	L1D	DATA_UNKNOWN	MISS	38809619
decode1	paper	L1D	DATA_UNKNOWN	MSHR_HIT	0
decode1	paper	L1D	DATA_UNKNOWN	RESERVATION_FAIL	495
decode1	paper	L1D	DATA_UNKNOWN	SECTOR_MISS	0
decode1	paper	L1D	DATA_WEIGHT	HIT	448
decode1	paper	L1D	DATA_WEIGHT	HIT_RESERVED	0
decode1	paper	L1D	DATA_WEIGHT	MISS	3555904
decode1	paper	L1D	DATA_WEIGHT	MSHR_HIT	0
decode1	paper	L1D	DATA_WEIGHT	RESERVATION_FAIL	215
decode1	paper	L1D	DATA_WEIGHT	SECTOR_MISS	0
decode1	paper	L1D	OTHER	HIT	0
decode1	paper	L1D	OTHER	HIT_RESERVED	0
decode1	paper	L1D	OTHER	MISS	0
decode1	paper	L1D	OTHER	MSHR_HIT	0
decode1	paper	L1D	OTHER	RESERVATION_FAIL	0
decode1	paper	L1D	OTHER	SECTOR_MISS	0
decode1	paper	L1D	PTE_L0	HIT	0
decode1	paper	L1D	PTE_L0	HIT_RESERVED	0
decode1	paper	L1D	PTE_L0	MISS	0
decode1	paper	L1D	PTE_L0	MSHR_HIT	0
decode1	paper	L1D	PTE_L0	RESERVATION_FAIL	0
decode1	paper	L1D	PTE_L0	SECTOR_MISS	0
decode1	paper	L1D	PTE_L1	HIT	0
decode1	paper	L1D	PTE_L1	HIT_RESERVED	0
decode1	paper	L1D	PTE_L1	MISS	0
decode1	paper	L1D	PTE_L1	MSHR_HIT	0
decode1	paper	L1D	PTE_L1	RESERVATION_FAIL	0
decode1	paper	L1D	PTE_L1	SECTOR_MISS	0
decode1	paper	L1D	PTE_L2	HIT	0
decode1	paper	L1D	PTE_L2	HIT_RESERVED	0
decode1	paper	L1D	PTE_L2	MISS	0
decode1	paper	L1D	PTE_L2	MSHR_HIT	0
decode1	paper	L1D	PTE_L2	RESERVATION_FAIL	0
decode1	paper	L1D	PTE_L2	SECTOR_MISS	0
decode1	paper	L1D	PTE_L3	HIT	0
decode1	paper	L1D	PTE_L3	HIT_RESERVED	0
decode1	paper	L1D	PTE_L3	MISS	0
decode1	paper	L1D	PTE_L3	MSHR_HIT	0
decode1	paper	L1D	PTE_L3	RESERVATION_FAIL	0
decode1	paper	L1D	PTE_L3	SECTOR_MISS	0
prefill	disabled	DATA_L2	DATA_KV_CACHE	HIT	1914060
prefill	disabled	DATA_L2	DATA_KV_CACHE	HIT_RESERVED	0
prefill	disabled	DATA_L2	DATA_KV_CACHE	MISS	470968
prefill	disabled	DATA_L2	DATA_KV_CACHE	MSHR_HIT	0
prefill	disabled	DATA_L2	DATA_KV_CACHE	RESERVATION_FAIL	53585
prefill	disabled	DATA_L2	DATA_KV_CACHE	SECTOR_MISS	0
prefill	disabled	DATA_L2	DATA_UNKNOWN	HIT	163863584
prefill	disabled	DATA_L2	DATA_UNKNOWN	HIT_RESERVED	0
prefill	disabled	DATA_L2	DATA_UNKNOWN	MISS	128378951
prefill	disabled	DATA_L2	DATA_UNKNOWN	MSHR_HIT	0
prefill	disabled	DATA_L2	DATA_UNKNOWN	RESERVATION_FAIL	15021731
prefill	disabled	DATA_L2	DATA_UNKNOWN	SECTOR_MISS	0
prefill	disabled	DATA_L2	DATA_WEIGHT	HIT	33685772
prefill	disabled	DATA_L2	DATA_WEIGHT	HIT_RESERVED	0
prefill	disabled	DATA_L2	DATA_WEIGHT	MISS	25366788
prefill	disabled	DATA_L2	DATA_WEIGHT	MSHR_HIT	0
prefill	disabled	DATA_L2	DATA_WEIGHT	RESERVATION_FAIL	4255330
prefill	disabled	DATA_L2	DATA_WEIGHT	SECTOR_MISS	0
prefill	disabled	DATA_L2	OTHER	HIT	0
prefill	disabled	DATA_L2	OTHER	HIT_RESERVED	0
prefill	disabled	DATA_L2	OTHER	MISS	0
prefill	disabled	DATA_L2	OTHER	MSHR_HIT	0
prefill	disabled	DATA_L2	OTHER	RESERVATION_FAIL	0
prefill	disabled	DATA_L2	OTHER	SECTOR_MISS	0
prefill	disabled	DATA_L2	PTE_L0	HIT	0
prefill	disabled	DATA_L2	PTE_L0	HIT_RESERVED	0
prefill	disabled	DATA_L2	PTE_L0	MISS	0
prefill	disabled	DATA_L2	PTE_L0	MSHR_HIT	0
prefill	disabled	DATA_L2	PTE_L0	RESERVATION_FAIL	0
prefill	disabled	DATA_L2	PTE_L0	SECTOR_MISS	0
prefill	disabled	DATA_L2	PTE_L1	HIT	0
prefill	disabled	DATA_L2	PTE_L1	HIT_RESERVED	0
prefill	disabled	DATA_L2	PTE_L1	MISS	0
prefill	disabled	DATA_L2	PTE_L1	MSHR_HIT	0
prefill	disabled	DATA_L2	PTE_L1	RESERVATION_FAIL	0
prefill	disabled	DATA_L2	PTE_L1	SECTOR_MISS	0
prefill	disabled	DATA_L2	PTE_L2	HIT	0
prefill	disabled	DATA_L2	PTE_L2	HIT_RESERVED	0
prefill	disabled	DATA_L2	PTE_L2	MISS	0
prefill	disabled	DATA_L2	PTE_L2	MSHR_HIT	0
prefill	disabled	DATA_L2	PTE_L2	RESERVATION_FAIL	0
prefill	disabled	DATA_L2	PTE_L2	SECTOR_MISS	0
prefill	disabled	DATA_L2	PTE_L3	HIT	0
prefill	disabled	DATA_L2	PTE_L3	HIT_RESERVED	0
prefill	disabled	DATA_L2	PTE_L3	MISS	0
prefill	disabled	DATA_L2	PTE_L3	MSHR_HIT	0
prefill	disabled	DATA_L2	PTE_L3	RESERVATION_FAIL	0
prefill	disabled	DATA_L2	PTE_L3	SECTOR_MISS	0
prefill	disabled	L1D	DATA_KV_CACHE	HIT	0
prefill	disabled	L1D	DATA_KV_CACHE	HIT_RESERVED	0
