roi	profile	scope	metric	value	provenance
decode1	disabled	MAX_MF_LATENCY	11	4201      3914      3874      3701      3932      4214      4111      3749      4075      3647      3953      3887      3867      3674      3932      3842	existing_gpgpu_sim_stat
decode1	disabled	MAX_MF_LATENCY	12	3923      3546      3638      3646      3707      3869      3758      3609      3862      3705      3819      3864      3968      3605      3816      3777	existing_gpgpu_sim_stat
decode1	disabled	MAX_MF_LATENCY	13	3763      3475      3824      3693      3770      3637      3638      3681      3700      3702      3846      3620      3730      3839      3892      3817	existing_gpgpu_sim_stat
decode1	disabled	MAX_MF_LATENCY	14	3811      3756      3963      3710      3820      3786      3880      4005      3903      3671      3947      3802      3830      3815      3799      3927	existing_gpgpu_sim_stat
decode1	disabled	MAX_MF_LATENCY	15	3926      4090      3899      4017      4301      4404      3927      3784      3997      3979      4101      4052      3979      4059      3988      4015	existing_gpgpu_sim_stat
decode1	disabled	MAX_MF_LATENCY	2	3982      3805      4323      3973      3874      4191      4127      4145      4122      3770      4257      3837      4089      4114      4423      3742	existing_gpgpu_sim_stat
decode1	disabled	MAX_MF_LATENCY	3	4136      3940      4051      4091      4187      4057      3887      3933      4264      3753      4340      4165      4132      3879      3984      4001	existing_gpgpu_sim_stat
decode1	disabled	MAX_MF_LATENCY	4	4133      4107      3965      4087      4118      4158      3905      4050      4023      4053      4049      4128      4357      4161      4186      4106	existing_gpgpu_sim_stat
decode1	disabled	MAX_MF_LATENCY	5	3864      3794      3859      3714      4094      3701      3922      4030      3902      3676      3683      3708      3831      4100      4081      3579	existing_gpgpu_sim_stat
decode1	disabled	MAX_MF_LATENCY	6	3946      3665      4043      4219      4558      3681      3798      3724      3885      3621      4076      3464      3934      4142      3910      3501	existing_gpgpu_sim_stat
decode1	disabled	MAX_MF_LATENCY	7	4069      4138      4318      4242      4181      4145      4365      4334      4354      4059      4104      4249      4347      4316      4479      4047	existing_gpgpu_sim_stat
decode1	disabled	MAX_MF_LATENCY	8	3909      3914      3890      3871      3894      3756      3740      3494      3819      3685      3834      3897      3808      3658      3661      3799	existing_gpgpu_sim_stat
decode1	disabled	MAX_MF_LATENCY	9	4414      4270      4110      3839      4199      4588      4090      4027      4315      3891      4441      4170      4286      4207      4216      4180	existing_gpgpu_sim_stat
decode1	disabled	MAX_SERVICE_SAME_ROW	0	7809      7982      7405      7992      6510     10024      6726      8062      6496      6492      6337      7416      6147      7531      7984      7601	existing_gpgpu_sim_stat
decode1	disabled	MAX_SERVICE_SAME_ROW	1	7528      7590      7436      8265      6728      8201      6706      8190      6623      6836      6652      7626      6453      7632      7075      9698	existing_gpgpu_sim_stat
decode1	disabled	MAX_SERVICE_SAME_ROW	10	8266      7503      7480      7960      6761     13009      6677      8059      7496      7742      6881      7551      6373      7739      8020      8091	existing_gpgpu_sim_stat
decode1	disabled	MAX_SERVICE_SAME_ROW	11	7625      7378      6817      8128      6427      8160      7912      8065      6833      7082      6235      7771      6463      7744      8423      7674	existing_gpgpu_sim_stat
decode1	disabled	MAX_SERVICE_SAME_ROW	12	7748      7551      7943      8163      6575     12014      7404      8084      7487      7483      6225      7680      6999      7705      6320      7688	existing_gpgpu_sim_stat
decode1	disabled	MAX_SERVICE_SAME_ROW	13	7397      7367      7351      7759      6397      7763      6695      7815      7274      6756      7022      7371      6382      7423      6437      8076	existing_gpgpu_sim_stat
decode1	disabled	MAX_SERVICE_SAME_ROW	14	7727      7468      6789      8097      7008     11019      6413      8316      6503      7488      6219      7567      7028      7544      6181      7665	existing_gpgpu_sim_stat
decode1	disabled	MAX_SERVICE_SAME_ROW	15	7016      6754      6700      7738      6246      7739      7902      7849      6802      6837      6483      7353      6326      7533      6436      8134	existing_gpgpu_sim_stat
decode1	disabled	MAX_SERVICE_SAME_ROW	2	7467      7486      7752      7940      7390      9029      7494      8286      6497      6493      6337      7389      6164      7590      6385      7630	existing_gpgpu_sim_stat
decode1	disabled	MAX_SERVICE_SAME_ROW	3	6777      6795      7085      8174      6726      8135      7662      8125      6639      6866      6150      7625      6436      7677      6910      8051	existing_gpgpu_sim_stat
decode1	disabled	MAX_SERVICE_SAME_ROW	4	7563      7555      8000      8239      6528      8034      6755      8063      7918      6494      6217      7592      6518      8077      7441      8033	existing_gpgpu_sim_stat
decode1	disabled	MAX_SERVICE_SAME_ROW	5	7440      7923      7438      7887      6483      7923      6399      7937      6716      6722      7029      7330      6308      7366      6792      7543	existing_gpgpu_sim_stat
decode1	disabled	MAX_SERVICE_SAME_ROW	6	7666      7463      6402      7950      6527      7039      8094      8340      6499      6495      7268      7548      6459      7596      7469      8065	existing_gpgpu_sim_stat
decode1	disabled	MAX_SERVICE_SAME_ROW	7	6991      6815      6474      8101      6622      8146      7427      8166      6495      6491      7935      7911      6294      7624      6280      7705	existing_gpgpu_sim_stat
decode1	disabled	MAX_SERVICE_SAME_ROW	8	7816      7550      7501      7912      6696      6302      7359      8114      7426      7729      6247      7518      6195      7581      6597      8135	existing_gpgpu_sim_stat
decode1	disabled	MAX_SERVICE_SAME_ROW	9	7414      7405      7611      8155      6211      8200      6416      8101      7319      7366      6203      7743      6447      7676      6099      7685	existing_gpgpu_sim_stat
decode1	disabled	READ_ACCESSES	0	124808    124632    124640    124456    125240    125081    125832    125784    124484    124372    124408    124352    125036    124956    125354    125328	existing_gpgpu_sim_stat
decode1	disabled	READ_ACCESSES	1	124808    124632    124644    124464    125238    125076    125876    125836    124452    124364    124428    124336    125000    124944    125332    125252	existing_gpgpu_sim_stat
decode1	disabled	READ_ACCESSES	10	124748    124632    124640    124456    125188    125029    125780    125696    124476    124372    124408    124352    125020    124940    125644    125620	existing_gpgpu_sim_stat
decode1	disabled	READ_ACCESSES	11	124868    124632    124644    124464    125190    125032    125748    125700    124444    124372    124428    124344    124988    124948    125616    125508	existing_gpgpu_sim_stat
decode1	disabled	READ_ACCESSES	12	124808    124632    124640    124456    125144    124985    125588    125512    124452    124380    124436    124344    125052    125020    125628    125584	existing_gpgpu_sim_stat
decode1	disabled	READ_ACCESSES	13	124808    124632    124644    124464    125206    124988    125642    125600    124476    124380    124404    124336    125084    125004    125560    125496	existing_gpgpu_sim_stat
decode1	disabled	READ_ACCESSES	14	124808    124632    124640    124456    125144    124985    125616    125544    124460    124380    124440    124344    125000    124932    125564    125520	existing_gpgpu_sim_stat
decode1	disabled	READ_ACCESSES	15	124808    124632    124644    124464    125143    124980    125656    125592    124484    124380    124404    124328    125028    124948    125472    125408	existing_gpgpu_sim_stat
decode1	disabled	READ_ACCESSES	2	124808    124632    124640    124456    125240    125081    125832    125776    124492    124380    124408    124352    125056    124984    125354    125328	existing_gpgpu_sim_stat
decode1	disabled	READ_ACCESSES	3	124808    124572    124644    124464    125244    125080    125824    125812    124452    124372    124436    124344    125032    124976    125332    125252	existing_gpgpu_sim_stat
decode1	disabled	READ_ACCESSES	4	124812    124636    124640    124456    125296    125137    125748    125684    124452    124380    124440    124352    124976    124924    125508    125488	existing_gpgpu_sim_stat
decode1	disabled	READ_ACCESSES	5	124812    124696    124644    124464    125292    125128    125834    125832    124492    124380    124404    124336    125024    124944    125448    125368	existing_gpgpu_sim_stat
decode1	disabled	READ_ACCESSES	6	124812    124636    124640    124456    125296    125137    125756    125696    124460    124380    124440    124344    124964    124916    125434    125408	existing_gpgpu_sim_stat
decode1	disabled	READ_ACCESSES	7	124872    124636    124644    124464    125352    125128    125840    125824    124476    124372    124404    124336    125028    124948    125348    125268	existing_gpgpu_sim_stat
decode1	disabled	READ_ACCESSES	8	124808    124632    124640    124456    125200    125041    125604    125520    124484    124372    124420    124352    124960    124888    125484    125464	existing_gpgpu_sim_stat
decode1	disabled	READ_ACCESSES	9	124748    124632    124644    124464    125199    125036    125596    125544    124460    124372    124436    124344    124932    124880    125436    125372	existing_gpgpu_sim_stat
decode1	disabled	ROW_ACCESSES_PER_ACTIVATE	0	6.397261  6.454135  6.460732  6.491983  6.385165  6.400364  6.474448  6.510446  6.498393  6.542448  6.510342  6.514203  6.444739  6.471673  6.430307  6.449606	existing_gpgpu_sim_stat
decode1	disabled	ROW_ACCESSES_PER_ACTIVATE	1	6.420056  6.454466  6.477918  6.510243  6.415908  6.445491  6.450646  6.498365  6.577900  6.591967  6.449707  6.478654  6.450643  6.469299  6.438593  6.442375	existing_gpgpu_sim_stat
decode1	disabled	ROW_ACCESSES_PER_ACTIVATE	10	6.458039  6.458714  6.448361  6.480146  6.390993  6.415978  6.504835  6.547094  6.508256  6.519104  6.481217  6.496809  6.403831  6.438599  6.432634  6.451252	existing_gpgpu_sim_stat
decode1	disabled	ROW_ACCESSES_PER_ACTIVATE	11	6.411302  6.459045  6.418927  6.457553  6.416810  6.451552  6.509320  6.548781  6.521155  6.551161  6.420459  6.452531  6.490625  6.518708  6.445018  6.468420	existing_gpgpu_sim_stat
decode1	disabled	ROW_ACCESSES_PER_ACTIVATE	12	6.415598  6.452934  6.453276  6.500233  6.420239  6.448125  6.478135  6.491813  6.546571  6.567855  6.502180  6.501116  6.464468  6.485276  6.438692  6.445919	existing_gpgpu_sim_stat
decode1	disabled	ROW_ACCESSES_PER_ACTIVATE	13	6.463277  6.486839  6.443886  6.468151  6.405700  6.435285  6.477458  6.500179  6.467417  6.480855  6.471299  6.501376  6.420051  6.442530  6.401046  6.430167	existing_gpgpu_sim_stat
decode1	disabled	ROW_ACCESSES_PER_ACTIVATE	14	6.419518  6.429870  6.427257  6.467790  6.399586  6.437401  6.493352  6.514655  6.521542  6.530632  6.476171  6.485960  6.467472  6.490569  6.466091  6.492933	existing_gpgpu_sim_stat
decode1	disabled	ROW_ACCESSES_PER_ACTIVATE	15	6.401919  6.438088  6.452870  6.485918  6.445942  6.461927  6.476394  6.504636  6.477960  6.516362  6.494452  6.516529  6.412126  6.451272  6.444219  6.476084	existing_gpgpu_sim_stat
decode1	disabled	ROW_ACCESSES_PER_ACTIVATE	2	6.436007  6.473938  6.463212  6.511672  6.406294  6.437611  6.482874  6.521286  6.522140  6.531265  6.456987  6.463428  6.462714  6.484222  6.433968  6.455206	existing_gpgpu_sim_stat
decode1	disabled	ROW_ACCESSES_PER_ACTIVATE	3	6.373560  6.405333  6.439578  6.464133  6.435087  6.455153  6.446928  6.485771  6.571002  6.605950  6.471773  6.492507  6.458847  6.501158  6.456394  6.470744	existing_gpgpu_sim_stat
decode1	disabled	ROW_ACCESSES_PER_ACTIVATE	4	6.394444  6.412505  6.405310  6.450172  6.434761  6.427673  6.436702  6.481431  6.522042  6.544523  6.445347  6.481159  6.436882  6.459241  6.454140  6.482723	existing_gpgpu_sim_stat
decode1	disabled	ROW_ACCESSES_PER_ACTIVATE	5	6.342989  6.370153  6.431078  6.456889  6.406981  6.429877  6.463086  6.498646  6.462236  6.500026  6.445485  6.464271  6.446224  6.461916  6.415620  6.448673	existing_gpgpu_sim_stat
decode1	disabled	ROW_ACCESSES_PER_ACTIVATE	6	6.430786  6.459688  6.428798  6.471355  6.395987  6.418064  6.480754  6.492591  6.535621  6.525663  6.451985  6.462348  6.460905  6.481320  6.426152  6.454855	existing_gpgpu_sim_stat
decode1	disabled	ROW_ACCESSES_PER_ACTIVATE	7	6.369542  6.392478  6.420136  6.450149  6.395636  6.426774  6.471611  6.525241  6.460975  6.494788  6.472126  6.520154  6.413618  6.464995  6.427979  6.457911	existing_gpgpu_sim_stat
decode1	disabled	ROW_ACCESSES_PER_ACTIVATE	8	6.390493  6.414078  6.426753  6.431485  6.415591  6.472083  6.498209  6.528658  6.513511  6.545787  6.472795  6.489737  6.439708  6.473665  6.473711  6.476319	existing_gpgpu_sim_stat
decode1	disabled	ROW_ACCESSES_PER_ACTIVATE	9	6.459465  6.484090  6.444091  6.462029  6.392718  6.420065  6.504919  6.520294  6.516666  6.525323  6.441999  6.472212  6.470561  6.490179  6.391243  6.402933	existing_gpgpu_sim_stat
decode1	disabled	WRITE_ACCESSES	0	5256      5256      4240      4240      6252      6252      5460      5460      3428      3428      3456      3456      5536      5536      6784      6788	existing_gpgpu_sim_stat
decode1	disabled	WRITE_ACCESSES	1	5256      5256      4240      4240      6261      6260      5452      5452      3428      3428      3456      3456      5524      5528      6780      6780	existing_gpgpu_sim_stat
decode1	disabled	WRITE_ACCESSES	10	5200      5200      4180      4180      6156      6156      5480      5480      3440      3440      3392      3392      5464      5464      6760      6756	existing_gpgpu_sim_stat
decode1	disabled	WRITE_ACCESSES	11	5200      5200      4180      4180      6168      6164      5464      5464      3440      3440      3392      3392      5460      5460      6744      6748	existing_gpgpu_sim_stat
decode1	disabled	WRITE_ACCESSES	12	5188      5188      4176      4176      6212      6212      5456      5456      3476      3476      3392      3392      5572      5564      6840      6840	existing_gpgpu_sim_stat
decode1	disabled	WRITE_ACCESSES	13	5188      5188      4176      4176      6200      6196      5472      5472      3476      3476      3392      3392      5564      5568      6848      6848	existing_gpgpu_sim_stat
decode1	disabled	WRITE_ACCESSES	14	5188      5188      4180      4180      6220      6220      5472      5472      3484      3484      3392      3392      5420      5420      6884      6888	existing_gpgpu_sim_stat
decode1	disabled	WRITE_ACCESSES	15	5188      5188      4180      4180      6205      6204      5488      5488      3484      3484      3392      3392      5420      5420      6896      6896	existing_gpgpu_sim_stat
decode1	disabled	WRITE_ACCESSES	2	5248      5248      4252      4252      6316      6316      5448      5452      3428      3428      3456      3456      5548      5548      6816      6816	existing_gpgpu_sim_stat
decode1	disabled	WRITE_ACCESSES	3	5248      5248      4252      4252      6347      6332      5444      5444      3428      3428      3456      3456      5548      5548      6816      6816	existing_gpgpu_sim_stat
decode1	disabled	WRITE_ACCESSES	4	5248      5248      4180      4180      6184      6184      5456      5460      3424      3424      3456      3456      5520      5520      6864      6864	existing_gpgpu_sim_stat
decode1	disabled	WRITE_ACCESSES	5	5248      5248      4180      4180      6188      6188      5464      5464      3424      3424      3456      3456      5520      5520      6864      6864	existing_gpgpu_sim_stat
decode1	disabled	WRITE_ACCESSES	6	5260      5260      4172      4172      6248      6248      5456      5456      3416      3416      3456      3456      5516      5516      6804      6804	existing_gpgpu_sim_stat
decode1	disabled	WRITE_ACCESSES	7	5260      5260      4172      4172      6252      6252      5464      5464      3416      3416      3456      3456      5512      5512      6804      6804	existing_gpgpu_sim_stat
decode1	disabled	WRITE_ACCESSES	8	5208      5208      4192      4192      6160      6160      5484      5484      3448      3448      3392      3392      5368      5368      6820      6820	existing_gpgpu_sim_stat
decode1	disabled	WRITE_ACCESSES	9	5208      5208      4192      4192      6201      6168      5468      5468      3448      3448      3392      3392      5364      5364      6820      6828	existing_gpgpu_sim_stat
decode1	ideal	AVG_MF_LATENCY	0	2378      2372       862       848       948       926      1242      1220       884       947       964       961       970       978       946       938	existing_gpgpu_sim_stat
decode1	ideal	AVG_MF_LATENCY	1	2460      2500       885       876       976       950      1224      1286       985       976       943       985      1029      1009       972       949	existing_gpgpu_sim_stat
decode1	ideal	AVG_MF_LATENCY	10	2536      2536       911       893      1008       990      1359      1338       965      1008      1029      1022      1018      1042      1181      1174	existing_gpgpu_sim_stat
decode1	ideal	AVG_MF_LATENCY	11	2542      2516       905       894       997       967      1353      1350      1017      1007       983      1017      1060      1040      1116      1133	existing_gpgpu_sim_stat
decode1	ideal	AVG_MF_LATENCY	12	2500      2498       903       890       993       964      1291      1280      1012      1009       975      1018      1067      1038      1120      1135	existing_gpgpu_sim_stat
decode1	ideal	AVG_MF_LATENCY	13	2502      2535       900       884       986       966      1283      1266       954       995      1016      1011      1005      1025      1152      1129	existing_gpgpu_sim_stat
decode1	ideal	AVG_MF_LATENCY	14	2495      2532       892       880       980       951      1277      1271      1003       991       967      1003      1047      1032      1098      1128	existing_gpgpu_sim_stat
decode1	ideal	AVG_MF_LATENCY	15	2494      2490       899       884       989       969      1271      1262       951       994      1014      1005      1016      1024      1157      1136	existing_gpgpu_sim_stat
decode1	ideal	AVG_MF_LATENCY	2	2488      2524       887       872       979       959      1207      1186       935       974       995       985       995      1012       968       961	existing_gpgpu_sim_stat
decode1	ideal	AVG_MF_LATENCY	3	2483      2468       880       871       978       952      1265      1211       977       969       935       977      1024      1003       964       942	existing_gpgpu_sim_stat
decode1	ideal	AVG_MF_LATENCY	4	2796      2734       889       877       976       949      1208      1200       984       976       954       982      1029      1013       990       974	existing_gpgpu_sim_stat
decode1	ideal	AVG_MF_LATENCY	5	2725      2741       879       865       963       944      1197      1187       913       969       987       977       988      1001       964       953	existing_gpgpu_sim_stat
decode1	ideal	AVG_MF_LATENCY	6	2819      2797       888       876       980       956      1196      1190       983       977       939       982      1030      1011       988       967	existing_gpgpu_sim_stat
decode1	ideal	AVG_MF_LATENCY	7	2771      2729       891       877       992       970      1207      1192       920       974       994       984       997      1007       975       963	existing_gpgpu_sim_stat
decode1	ideal	AVG_MF_LATENCY	8	2495      2476       886       869       980       964      1236      1219       927       967       992       981       979      1008      1007      1002	existing_gpgpu_sim_stat
decode1	ideal	AVG_MF_LATENCY	9	2507      2519       878       870       971       942      1178      1228       977       969       945       978      1025      1001       983       960	existing_gpgpu_sim_stat
decode1	ideal	GLOBAL	average row locality	32301550/4997782 = 6.463177	existing_gpgpu_sim_stat
decode1	ideal	GLOBAL	averagemflatency	630	existing_gpgpu_sim_stat
decode1	ideal	GLOBAL	avg_icnt2mem_latency	208	existing_gpgpu_sim_stat
decode1	ideal	GLOBAL	avg_icnt2sh_latency	61	existing_gpgpu_sim_stat
decode1	ideal	GLOBAL	avg_mrq_latency	34	existing_gpgpu_sim_stat
decode1	ideal	GLOBAL	max_icnt2mem_latency	3990	existing_gpgpu_sim_stat
decode1	ideal	GLOBAL	max_icnt2sh_latency	888	existing_gpgpu_sim_stat
decode1	ideal	GLOBAL	maxmflatency	4633	existing_gpgpu_sim_stat
decode1	ideal	GLOBAL	maxmrqlatency	1920	existing_gpgpu_sim_stat
decode1	ideal	GLOBAL	total dram reads	31979218	existing_gpgpu_sim_stat
decode1	ideal	GLOBAL	total dram writes	1289178	existing_gpgpu_sim_stat
decode1	ideal	MAX_CONCURRENT_SAME_ROW	0	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	ideal	MAX_CONCURRENT_SAME_ROW	1	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	ideal	MAX_CONCURRENT_SAME_ROW	10	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	ideal	MAX_CONCURRENT_SAME_ROW	11	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	ideal	MAX_CONCURRENT_SAME_ROW	12	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	ideal	MAX_CONCURRENT_SAME_ROW	13	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	ideal	MAX_CONCURRENT_SAME_ROW	14	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	ideal	MAX_CONCURRENT_SAME_ROW	15	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	ideal	MAX_CONCURRENT_SAME_ROW	2	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	ideal	MAX_CONCURRENT_SAME_ROW	3	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	ideal	MAX_CONCURRENT_SAME_ROW	4	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	ideal	MAX_CONCURRENT_SAME_ROW	5	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	ideal	MAX_CONCURRENT_SAME_ROW	6	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	ideal	MAX_CONCURRENT_SAME_ROW	7	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	ideal	MAX_CONCURRENT_SAME_ROW	8	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	ideal	MAX_CONCURRENT_SAME_ROW	9	64        64        64        64        64        64        64        64        64        64        64        64        64        64        64        64	existing_gpgpu_sim_stat
decode1	ideal	MAX_MF_LATENCY	0	3768      3839      3980      3780      3896      3733      3930      3867      3953      3951      3852      3747      3870      3819      4226      3700	existing_gpgpu_sim_stat
decode1	ideal	MAX_MF_LATENCY	1	4210      4346      4323      4009      4091      3979      4187      3807      4252      3693      4116      4108      4633      4191      4283      4219	existing_gpgpu_sim_stat
decode1	ideal	MAX_MF_LATENCY	10	3909      4006      3954      3881      3868      3941      4005      3911      3897      3901      3954      3879      4036      4033      3881      3904	existing_gpgpu_sim_stat
decode1	ideal	MAX_MF_LATENCY	11	4201      3914      3874      3701      3932      4214      4111      3749      4075      3647      3953      3887      3867      3674      3932      3842	existing_gpgpu_sim_stat
decode1	ideal	MAX_MF_LATENCY	12	3923      3546      3638      3646      3707      3869      3758      3609      3862      3705      3819      3864      3968      3605      3816      3777	existing_gpgpu_sim_stat
decode1	ideal	MAX_MF_LATENCY	13	3763      3475      3824      3693      3770      3637      3638      3681      3700      3702      3846      3620      3730      3839      3892      3817	existing_gpgpu_sim_stat
