roi	profile	incoming_class	victim_class	count
decode1	ideal	DATA_WEIGHT	DATA_UNKNOWN	3735302
decode1	ideal	DATA_WEIGHT	DATA_WEIGHT	550241
decode1	ideal	DATA_WEIGHT	OTHER	0
decode1	ideal	DATA_WEIGHT	PTE_L0	0
decode1	ideal	DATA_WEIGHT	PTE_L1	0
decode1	ideal	DATA_WEIGHT	PTE_L2	0
decode1	ideal	DATA_WEIGHT	PTE_L3	0
decode1	ideal	OTHER	DATA_KV_CACHE	0
decode1	ideal	OTHER	DATA_UNKNOWN	0
decode1	ideal	OTHER	DATA_WEIGHT	0
decode1	ideal	OTHER	OTHER	0
decode1	ideal	OTHER	PTE_L0	0
decode1	ideal	OTHER	PTE_L1	0
decode1	ideal	OTHER	PTE_L2	0
decode1	ideal	OTHER	PTE_L3	0
decode1	ideal	PTE_L0	DATA_KV_CACHE	0
decode1	ideal	PTE_L0	DATA_UNKNOWN	0
decode1	ideal	PTE_L0	DATA_WEIGHT	0
decode1	ideal	PTE_L0	OTHER	0
decode1	ideal	PTE_L0	PTE_L0	0
decode1	ideal	PTE_L0	PTE_L1	0
decode1	ideal	PTE_L0	PTE_L2	0
decode1	ideal	PTE_L0	PTE_L3	0
decode1	ideal	PTE_L1	DATA_KV_CACHE	0
decode1	ideal	PTE_L1	DATA_UNKNOWN	0
decode1	ideal	PTE_L1	DATA_WEIGHT	0
decode1	ideal	PTE_L1	OTHER	0
decode1	ideal	PTE_L1	PTE_L0	0
decode1	ideal	PTE_L1	PTE_L1	0
decode1	ideal	PTE_L1	PTE_L2	0
decode1	ideal	PTE_L1	PTE_L3	0
decode1	ideal	PTE_L2	DATA_KV_CACHE	0
decode1	ideal	PTE_L2	DATA_UNKNOWN	0
decode1	ideal	PTE_L2	DATA_WEIGHT	0
decode1	ideal	PTE_L2	OTHER	0
decode1	ideal	PTE_L2	PTE_L0	0
decode1	ideal	PTE_L2	PTE_L1	0
decode1	ideal	PTE_L2	PTE_L2	0
decode1	ideal	PTE_L2	PTE_L3	0
decode1	ideal	PTE_L3	DATA_KV_CACHE	0
decode1	ideal	PTE_L3	DATA_UNKNOWN	0
decode1	ideal	PTE_L3	DATA_WEIGHT	0
decode1	ideal	PTE_L3	OTHER	0
decode1	ideal	PTE_L3	PTE_L0	0
decode1	ideal	PTE_L3	PTE_L1	0
decode1	ideal	PTE_L3	PTE_L2	0
decode1	ideal	PTE_L3	PTE_L3	0
decode1	paper	DATA_KV_CACHE	DATA_KV_CACHE	5
decode1	paper	DATA_KV_CACHE	DATA_UNKNOWN	25852
decode1	paper	DATA_KV_CACHE	DATA_WEIGHT	1363
decode1	paper	DATA_KV_CACHE	OTHER	0
decode1	paper	DATA_KV_CACHE	PTE_L0	0
decode1	paper	DATA_KV_CACHE	PTE_L1	0
decode1	paper	DATA_KV_CACHE	PTE_L2	0
decode1	paper	DATA_KV_CACHE	PTE_L3	0
decode1	paper	DATA_UNKNOWN	DATA_KV_CACHE	29959
decode1	paper	DATA_UNKNOWN	DATA_UNKNOWN	471970
decode1	paper	DATA_UNKNOWN	DATA_WEIGHT	3273444
decode1	paper	DATA_UNKNOWN	OTHER	0
decode1	paper	DATA_UNKNOWN	PTE_L0	2
decode1	paper	DATA_UNKNOWN	PTE_L1	1
decode1	paper	DATA_UNKNOWN	PTE_L2	15
decode1	paper	DATA_UNKNOWN	PTE_L3	525
decode1	paper	DATA_WEIGHT	DATA_KV_CACHE	1417
decode1	paper	DATA_WEIGHT	DATA_UNKNOWN	3996016
decode1	paper	DATA_WEIGHT	DATA_WEIGHT	199947
decode1	paper	DATA_WEIGHT	OTHER	0
decode1	paper	DATA_WEIGHT	PTE_L0	0
decode1	paper	DATA_WEIGHT	PTE_L1	0
decode1	paper	DATA_WEIGHT	PTE_L2	20
decode1	paper	DATA_WEIGHT	PTE_L3	575
decode1	paper	OTHER	DATA_KV_CACHE	0
decode1	paper	OTHER	DATA_UNKNOWN	0
decode1	paper	OTHER	DATA_WEIGHT	0
decode1	paper	OTHER	OTHER	0
decode1	paper	OTHER	PTE_L0	0
decode1	paper	OTHER	PTE_L1	0
decode1	paper	OTHER	PTE_L2	0
decode1	paper	OTHER	PTE_L3	0
decode1	paper	PTE_L0	DATA_KV_CACHE	0
decode1	paper	PTE_L0	DATA_UNKNOWN	1
decode1	paper	PTE_L0	DATA_WEIGHT	0
decode1	paper	PTE_L0	OTHER	0
decode1	paper	PTE_L0	PTE_L0	0
decode1	paper	PTE_L0	PTE_L1	0
decode1	paper	PTE_L0	PTE_L2	0
decode1	paper	PTE_L0	PTE_L3	0
decode1	paper	PTE_L1	DATA_KV_CACHE	0
decode1	paper	PTE_L1	DATA_UNKNOWN	1
decode1	paper	PTE_L1	DATA_WEIGHT	0
decode1	paper	PTE_L1	OTHER	0
decode1	paper	PTE_L1	PTE_L0	0
decode1	paper	PTE_L1	PTE_L1	0
decode1	paper	PTE_L1	PTE_L2	0
decode1	paper	PTE_L1	PTE_L3	0
decode1	paper	PTE_L2	DATA_KV_CACHE	0
decode1	paper	PTE_L2	DATA_UNKNOWN	15
decode1	paper	PTE_L2	DATA_WEIGHT	16
decode1	paper	PTE_L2	OTHER	0
decode1	paper	PTE_L2	PTE_L0	0
decode1	paper	PTE_L2	PTE_L1	0
decode1	paper	PTE_L2	PTE_L2	0
decode1	paper	PTE_L2	PTE_L3	0
decode1	paper	PTE_L3	DATA_KV_CACHE	18
decode1	paper	PTE_L3	DATA_UNKNOWN	618
decode1	paper	PTE_L3	DATA_WEIGHT	508
decode1	paper	PTE_L3	OTHER	0
decode1	paper	PTE_L3	PTE_L0	0
decode1	paper	PTE_L3	PTE_L1	0
decode1	paper	PTE_L3	PTE_L2	0
decode1	paper	PTE_L3	PTE_L3	0
prefill	disabled	DATA_KV_CACHE	DATA_KV_CACHE	0
prefill	disabled	DATA_KV_CACHE	DATA_UNKNOWN	1685
prefill	disabled	DATA_KV_CACHE	DATA_WEIGHT	0
prefill	disabled	DATA_KV_CACHE	OTHER	0
prefill	disabled	DATA_KV_CACHE	PTE_L0	0
prefill	disabled	DATA_KV_CACHE	PTE_L1	0
prefill	disabled	DATA_KV_CACHE	PTE_L2	0
prefill	disabled	DATA_KV_CACHE	PTE_L3	0
prefill	disabled	DATA_UNKNOWN	DATA_KV_CACHE	545
prefill	disabled	DATA_UNKNOWN	DATA_UNKNOWN	10404070
prefill	disabled	DATA_UNKNOWN	DATA_WEIGHT	244501
prefill	disabled	DATA_UNKNOWN	OTHER	0
prefill	disabled	DATA_UNKNOWN	PTE_L0	0
prefill	disabled	DATA_UNKNOWN	PTE_L1	0
prefill	disabled	DATA_UNKNOWN	PTE_L2	0
prefill	disabled	DATA_UNKNOWN	PTE_L3	0
prefill	disabled	DATA_WEIGHT	DATA_KV_CACHE	0
prefill	disabled	DATA_WEIGHT	DATA_UNKNOWN	11476038
prefill	disabled	DATA_WEIGHT	DATA_WEIGHT	727070
prefill	disabled	DATA_WEIGHT	OTHER	0
prefill	disabled	DATA_WEIGHT	PTE_L0	0
prefill	disabled	DATA_WEIGHT	PTE_L1	0
prefill	disabled	DATA_WEIGHT	PTE_L2	0
prefill	disabled	DATA_WEIGHT	PTE_L3	0
prefill	disabled	OTHER	DATA_KV_CACHE	0
prefill	disabled	OTHER	DATA_UNKNOWN	0
prefill	disabled	OTHER	DATA_WEIGHT	0
prefill	disabled	OTHER	OTHER	0
prefill	disabled	OTHER	PTE_L0	0
prefill	disabled	OTHER	PTE_L1	0
prefill	disabled	OTHER	PTE_L2	0
prefill	disabled	OTHER	PTE_L3	0
prefill	disabled	PTE_L0	DATA_KV_CACHE	0
prefill	disabled	PTE_L0	DATA_UNKNOWN	0
prefill	disabled	PTE_L0	DATA_WEIGHT	0
prefill	disabled	PTE_L0	OTHER	0
prefill	disabled	PTE_L0	PTE_L0	0
prefill	disabled	PTE_L0	PTE_L1	0
prefill	disabled	PTE_L0	PTE_L2	0
prefill	disabled	PTE_L0	PTE_L3	0
prefill	disabled	PTE_L1	DATA_KV_CACHE	0
prefill	disabled	PTE_L1	DATA_UNKNOWN	0
prefill	disabled	PTE_L1	DATA_WEIGHT	0
prefill	disabled	PTE_L1	OTHER	0
prefill	disabled	PTE_L1	PTE_L0	0
prefill	disabled	PTE_L1	PTE_L1	0
prefill	disabled	PTE_L1	PTE_L2	0
prefill	disabled	PTE_L1	PTE_L3	0
prefill	disabled	PTE_L2	DATA_KV_CACHE	0
prefill	disabled	PTE_L2	DATA_UNKNOWN	0
prefill	disabled	PTE_L2	DATA_WEIGHT	0
prefill	disabled	PTE_L2	OTHER	0
prefill	disabled	PTE_L2	PTE_L0	0
prefill	disabled	PTE_L2	PTE_L1	0
prefill	disabled	PTE_L2	PTE_L2	0
prefill	disabled	PTE_L2	PTE_L3	0
prefill	disabled	PTE_L3	DATA_KV_CACHE	0
prefill	disabled	PTE_L3	DATA_UNKNOWN	0
prefill	disabled	PTE_L3	DATA_WEIGHT	0
prefill	disabled	PTE_L3	OTHER	0
prefill	disabled	PTE_L3	PTE_L0	0
prefill	disabled	PTE_L3	PTE_L1	0
prefill	disabled	PTE_L3	PTE_L2	0
prefill	disabled	PTE_L3	PTE_L3	0
prefill	generic	DATA_KV_CACHE	DATA_KV_CACHE	0
prefill	generic	DATA_KV_CACHE	DATA_UNKNOWN	1824
prefill	generic	DATA_KV_CACHE	DATA_WEIGHT	0
prefill	generic	DATA_KV_CACHE	OTHER	0
prefill	generic	DATA_KV_CACHE	PTE_L0	0
prefill	generic	DATA_KV_CACHE	PTE_L1	0
prefill	generic	DATA_KV_CACHE	PTE_L2	0
prefill	generic	DATA_KV_CACHE	PTE_L3	5
prefill	generic	DATA_UNKNOWN	DATA_KV_CACHE	0
prefill	generic	DATA_UNKNOWN	DATA_UNKNOWN	10849861
prefill	generic	DATA_UNKNOWN	DATA_WEIGHT	1045
prefill	generic	DATA_UNKNOWN	OTHER	0
prefill	generic	DATA_UNKNOWN	PTE_L0	0
prefill	generic	DATA_UNKNOWN	PTE_L1	0
prefill	generic	DATA_UNKNOWN	PTE_L2	16
prefill	generic	DATA_UNKNOWN	PTE_L3	2088
prefill	generic	DATA_WEIGHT	DATA_KV_CACHE	0
prefill	generic	DATA_WEIGHT	DATA_UNKNOWN	12106351
prefill	generic	DATA_WEIGHT	DATA_WEIGHT	653
prefill	generic	DATA_WEIGHT	OTHER	0
prefill	generic	DATA_WEIGHT	PTE_L0	1
prefill	generic	DATA_WEIGHT	PTE_L1	1
prefill	generic	DATA_WEIGHT	PTE_L2	12
prefill	generic	DATA_WEIGHT	PTE_L3	1976
prefill	generic	OTHER	DATA_KV_CACHE	0
prefill	generic	OTHER	DATA_UNKNOWN	0
prefill	generic	OTHER	DATA_WEIGHT	0
prefill	generic	OTHER	OTHER	0
prefill	generic	OTHER	PTE_L0	0
prefill	generic	OTHER	PTE_L1	0
prefill	generic	OTHER	PTE_L2	0
prefill	generic	OTHER	PTE_L3	0
prefill	generic	PTE_L0	DATA_KV_CACHE	0
prefill	generic	PTE_L0	DATA_UNKNOWN	1
prefill	generic	PTE_L0	DATA_WEIGHT	0
prefill	generic	PTE_L0	OTHER	0
prefill	generic	PTE_L0	PTE_L0	0
prefill	generic	PTE_L0	PTE_L1	0
prefill	generic	PTE_L0	PTE_L2	0
prefill	generic	PTE_L0	PTE_L3	0
prefill	generic	PTE_L1	DATA_KV_CACHE	0
prefill	generic	PTE_L1	DATA_UNKNOWN	1
prefill	generic	PTE_L1	DATA_WEIGHT	0
prefill	generic	PTE_L1	OTHER	0
prefill	generic	PTE_L1	PTE_L0	0
prefill	generic	PTE_L1	PTE_L1	0
prefill	generic	PTE_L1	PTE_L2	0
prefill	generic	PTE_L1	PTE_L3	0
prefill	generic	PTE_L2	DATA_KV_CACHE	0
prefill	generic	PTE_L2	DATA_UNKNOWN	34
prefill	generic	PTE_L2	DATA_WEIGHT	0
prefill	generic	PTE_L2	OTHER	0
prefill	generic	PTE_L2	PTE_L0	0
prefill	generic	PTE_L2	PTE_L1	0
prefill	generic	PTE_L2	PTE_L2	0
prefill	generic	PTE_L2	PTE_L3	0
prefill	generic	PTE_L3	DATA_KV_CACHE	0
prefill	generic	PTE_L3	DATA_UNKNOWN	4384
prefill	generic	PTE_L3	DATA_WEIGHT	0
prefill	generic	PTE_L3	OTHER	0
prefill	generic	PTE_L3	PTE_L0	0
prefill	generic	PTE_L3	PTE_L1	0
prefill	generic	PTE_L3	PTE_L2	0
prefill	generic	PTE_L3	PTE_L3	0
prefill	ideal	DATA_KV_CACHE	DATA_KV_CACHE	0
prefill	ideal	DATA_KV_CACHE	DATA_UNKNOWN	1685
prefill	ideal	DATA_KV_CACHE	DATA_WEIGHT	0
prefill	ideal	DATA_KV_CACHE	OTHER	0
prefill	ideal	DATA_KV_CACHE	PTE_L0	0
prefill	ideal	DATA_KV_CACHE	PTE_L1	0
prefill	ideal	DATA_KV_CACHE	PTE_L2	0
prefill	ideal	DATA_KV_CACHE	PTE_L3	0
prefill	ideal	DATA_UNKNOWN	DATA_KV_CACHE	545
prefill	ideal	DATA_UNKNOWN	DATA_UNKNOWN	10404070
prefill	ideal	DATA_UNKNOWN	DATA_WEIGHT	244501
prefill	ideal	DATA_UNKNOWN	OTHER	0
prefill	ideal	DATA_UNKNOWN	PTE_L0	0
prefill	ideal	DATA_UNKNOWN	PTE_L1	0
prefill	ideal	DATA_UNKNOWN	PTE_L2	0
prefill	ideal	DATA_UNKNOWN	PTE_L3	0
prefill	ideal	DATA_WEIGHT	DATA_KV_CACHE	0
prefill	ideal	DATA_WEIGHT	DATA_UNKNOWN	11476038
prefill	ideal	DATA_WEIGHT	DATA_WEIGHT	727070
prefill	ideal	DATA_WEIGHT	OTHER	0
prefill	ideal	DATA_WEIGHT	PTE_L0	0
prefill	ideal	DATA_WEIGHT	PTE_L1	0
prefill	ideal	DATA_WEIGHT	PTE_L2	0
prefill	ideal	DATA_WEIGHT	PTE_L3	0
prefill	ideal	OTHER	DATA_KV_CACHE	0
prefill	ideal	OTHER	DATA_UNKNOWN	0
prefill	ideal	OTHER	DATA_WEIGHT	0
prefill	ideal	OTHER	OTHER	0
prefill	ideal	OTHER	PTE_L0	0
prefill	ideal	OTHER	PTE_L1	0
prefill	ideal	OTHER	PTE_L2	0
prefill	ideal	OTHER	PTE_L3	0
prefill	ideal	PTE_L0	DATA_KV_CACHE	0
prefill	ideal	PTE_L0	DATA_UNKNOWN	0
prefill	ideal	PTE_L0	DATA_WEIGHT	0
prefill	ideal	PTE_L0	OTHER	0
prefill	ideal	PTE_L0	PTE_L0	0
prefill	ideal	PTE_L0	PTE_L1	0
prefill	ideal	PTE_L0	PTE_L2	0
prefill	ideal	PTE_L0	PTE_L3	0
prefill	ideal	PTE_L1	DATA_KV_CACHE	0
prefill	ideal	PTE_L1	DATA_UNKNOWN	0
prefill	ideal	PTE_L1	DATA_WEIGHT	0
prefill	ideal	PTE_L1	OTHER	0
prefill	ideal	PTE_L1	PTE_L0	0
prefill	ideal	PTE_L1	PTE_L1	0
prefill	ideal	PTE_L1	PTE_L2	0
prefill	ideal	PTE_L1	PTE_L3	0
prefill	ideal	PTE_L2	DATA_KV_CACHE	0
prefill	ideal	PTE_L2	DATA_UNKNOWN	0
prefill	ideal	PTE_L2	DATA_WEIGHT	0
prefill	ideal	PTE_L2	OTHER	0
prefill	ideal	PTE_L2	PTE_L0	0
prefill	ideal	PTE_L2	PTE_L1	0
prefill	ideal	PTE_L2	PTE_L2	0
prefill	ideal	PTE_L2	PTE_L3	0
prefill	ideal	PTE_L3	DATA_KV_CACHE	0
prefill	ideal	PTE_L3	DATA_UNKNOWN	0
prefill	ideal	PTE_L3	DATA_WEIGHT	0
prefill	ideal	PTE_L3	OTHER	0
prefill	ideal	PTE_L3	PTE_L0	0
prefill	ideal	PTE_L3	PTE_L1	0
prefill	ideal	PTE_L3	PTE_L2	0
prefill	ideal	PTE_L3	PTE_L3	0
prefill	paper	DATA_KV_CACHE	DATA_KV_CACHE	10113
prefill	paper	DATA_KV_CACHE	DATA_UNKNOWN	18557
prefill	paper	DATA_KV_CACHE	DATA_WEIGHT	21
prefill	paper	DATA_KV_CACHE	OTHER	0
prefill	paper	DATA_KV_CACHE	PTE_L0	0
prefill	paper	DATA_KV_CACHE	PTE_L1	0
prefill	paper	DATA_KV_CACHE	PTE_L2	0
prefill	paper	DATA_KV_CACHE	PTE_L3	3
prefill	paper	DATA_UNKNOWN	DATA_KV_CACHE	16482
prefill	paper	DATA_UNKNOWN	DATA_UNKNOWN	12042483
prefill	paper	DATA_UNKNOWN	DATA_WEIGHT	2808
prefill	paper	DATA_UNKNOWN	OTHER	0
prefill	paper	DATA_UNKNOWN	PTE_L0	0
prefill	paper	DATA_UNKNOWN	PTE_L1	1
prefill	paper	DATA_UNKNOWN	PTE_L2	14
prefill	paper	DATA_UNKNOWN	PTE_L3	1941
prefill	paper	DATA_WEIGHT	DATA_KV_CACHE	525
prefill	paper	DATA_WEIGHT	DATA_UNKNOWN	15776415
prefill	paper	DATA_WEIGHT	DATA_WEIGHT	7890
prefill	paper	DATA_WEIGHT	OTHER	0
prefill	paper	DATA_WEIGHT	PTE_L0	1
prefill	paper	DATA_WEIGHT	PTE_L1	0
prefill	paper	DATA_WEIGHT	PTE_L2	10
prefill	paper	DATA_WEIGHT	PTE_L3	1707
prefill	paper	OTHER	DATA_KV_CACHE	0
prefill	paper	OTHER	DATA_UNKNOWN	0
prefill	paper	OTHER	DATA_WEIGHT	0
prefill	paper	OTHER	OTHER	0
prefill	paper	OTHER	PTE_L0	0
prefill	paper	OTHER	PTE_L1	0
prefill	paper	OTHER	PTE_L2	0
prefill	paper	OTHER	PTE_L3	0
prefill	paper	PTE_L0	DATA_KV_CACHE	0
prefill	paper	PTE_L0	DATA_UNKNOWN	1
prefill	paper	PTE_L0	DATA_WEIGHT	0
prefill	paper	PTE_L0	OTHER	0
prefill	paper	PTE_L0	PTE_L0	0
prefill	paper	PTE_L0	PTE_L1	0
prefill	paper	PTE_L0	PTE_L2	0
prefill	paper	PTE_L0	PTE_L3	0
prefill	paper	PTE_L1	DATA_KV_CACHE	0
prefill	paper	PTE_L1	DATA_UNKNOWN	1
prefill	paper	PTE_L1	DATA_WEIGHT	0
prefill	paper	PTE_L1	OTHER	0
prefill	paper	PTE_L1	PTE_L0	0
prefill	paper	PTE_L1	PTE_L1	0
prefill	paper	PTE_L1	PTE_L2	0
prefill	paper	PTE_L1	PTE_L3	0
prefill	paper	PTE_L2	DATA_KV_CACHE	1
prefill	paper	PTE_L2	DATA_UNKNOWN	33
prefill	paper	PTE_L2	DATA_WEIGHT	0
prefill	paper	PTE_L2	OTHER	0
prefill	paper	PTE_L2	PTE_L0	0
prefill	paper	PTE_L2	PTE_L1	0
prefill	paper	PTE_L2	PTE_L2	0
prefill	paper	PTE_L2	PTE_L3	0
prefill	paper	PTE_L3	DATA_KV_CACHE	3
prefill	paper	PTE_L3	DATA_UNKNOWN	4167
prefill	paper	PTE_L3	DATA_WEIGHT	1
prefill	paper	PTE_L3	OTHER	0
prefill	paper	PTE_L3	PTE_L0	0
prefill	paper	PTE_L3	PTE_L1	0
prefill	paper	PTE_L3	PTE_L2	0
prefill	paper	PTE_L3	PTE_L3	4
