stage	relative_path	sha256
C4	failed_attempts/20260908T045514Z_partial_locality_builder/TRANSLATION_TOTALS.tsv	4b93693a71025131a6d669aa2afa712e5398a2e28ba63ce30783f42d7331bf3a
C4	failed_attempts/20260908T045514Z_partial_locality_builder/WINDOW_TELEMETRY_INVENTORY.tsv	4ac4f929e0a12738973894949ed250baebc8afe1806ad9b7916bf81d57ee6c4b
C4	offline/decode1_locality.sqlite	6fddbb373a61efb4f816fecfe8ac4fd31b7f61f17b8f6b4ca1ef1e4fb6a46aa0
C4	offline/decode1_locality.tsv	b457eabb4342f4434334f089b6df380b4adce175a47699a77fb32a40680359e4
C4	offline/prefill_locality.sqlite	6488b7af248fcea1ba3c5b0665b48f801c1e96b3a043ac56cf8b203194eea00c
C4	offline/prefill_locality.tsv	0bce7c87cc538d6fc09e681e7b310dc05d142c6b6efee23b0fba65612ff054c2
C3	decode1-disabled/RUN_MANIFEST.tsv	a70dce240519e2c447bd51bc29c295b9ff3913cdbf7ae604f8cb3fbccc8a8baf
C3	decode1-disabled/run.log	e3d992c35d965e735f0a3c1980001f1bbd3b3e3b153ff13371ca6aeaf417ac62
C3	decode1-disabled/traces/kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
C3	decode1-ideal/RUN_MANIFEST.tsv	88d515e14d5c264b8b985344d4c5149972ba7e70fe2e7429124342507c2e1d89
C3	decode1-ideal/run.log	55e73aabde651e3952db1728d797d25a8a130edda0d9670215fd3a8ee57d721e
C3	decode1-ideal/traces/kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
C3	decode1-generic/RUN_MANIFEST.tsv	7474315fa3696369be592a6de43a458014e87396ad77f817ce18727d1e4c4fe6
C3	decode1-generic/run.log	a2a2a5849051d1e85e807bc8bb3bcd7ddbe31cf8cb7e0e276650999dca1ad687
C3	decode1-generic/traces/kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
C3	decode1-paper/RUN_MANIFEST.tsv	598bd44b54579f32cb9e5fc5eb37b33832dc0297119088c849ed54e62dff55fc
C3	decode1-paper/run.log	b8fc44b7c218780662aff1709a34a7a977fc0d304b8a2f5b2a2cca9a88c86093
C3	decode1-paper/traces/kernelslist.g	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc
C3	prefill-disabled/RUN_MANIFEST.tsv	dab55a3e79cd7aa8902832bad42d7260348092d2072c9984ec2bccce49ba3e41
C3	prefill-disabled/run.log	70e5db937b9c4df97a6b61feab26aa087dbf479861038a4a81bf4684dc767627
C3	prefill-disabled/traces/kernelslist.g	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
C3	prefill-ideal/RUN_MANIFEST.tsv	70a40e358fded737fd373c877d2e1d000286f8b02d5ad9d7169d49946741d5e6
C3	prefill-ideal/run.log	87fceaba90dd4d8ca872988e86ff150b15278ef9e279ef54c18bdf43451a5d26
C3	prefill-ideal/traces/kernelslist.g	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
C3	prefill-generic/RUN_MANIFEST.tsv	a1646b7154c4d3959f833c2ebe14e0c32e26d990c694e00923baef5b6bc3d1d8
C3	prefill-generic/run.log	d47a5b34c520a572f1b2a9e814716aefe1cf55862e73f1f5a8067f151eacc62d
C3	prefill-generic/traces/kernelslist.g	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
C3	prefill-paper/RUN_MANIFEST.tsv	cf48192aae81dc102832d9d718500642b5051e2001db386a85128fb000f43342
C3	prefill-paper/run.log	99ab399410bd3d80d044de3a836ac0a91e3f72fd2e9620e65146b4d3c3b750c3
C3	prefill-paper/traces/kernelslist.g	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
