arm	roi	profile	artifact_path	sha256
prefill-disabled	prefill	disabled	/workspace/m4c-c3-formal-20260905-v1/prefill-disabled/traces/kernelslist.g	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill-disabled	prefill	disabled	/workspace/vm-m4b-stage-f96b7ea9-5bdd4b55/prefill-semantic/compute-only-kernelslist.g	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill-disabled	prefill	disabled	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/configs/vm_tlb/M4C_CONTROL_VM_DISABLED.config	77574cac02f0ad478ad0910de72839309a6efb70f62006aab794cc94613d456f
prefill-disabled	prefill	disabled	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/configs/vm_tlb/object_maps/M4C_PREFILL_OBJECT_MAP.tsv	7ec6e868f8190ba6493124cb518753ccc7d14cbbd2ad169777cac9fbd6742a85
prefill-disabled	prefill	disabled	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/gpu-simulator/configs/tested-cfgs/SM86_RTX3070/trace.config	a46fe47a14f3ca4116a35c5bf1dc156f4e861484b91278e8b3f6e09519bd7e5b
prefill-disabled	prefill	disabled	/workspace/worktrees/gpgpu-sim-vm-llm-m4b-integration/configs/tested-cfgs/SM86_RTX3070/gpgpusim.config	f6b480d66fb04a948c04e1a5b65527600f3959ac561dcfa2de0b6632e864fe9c
prefill-ideal	prefill	ideal	/workspace/m4c-c3-formal-20260905-v1/prefill-ideal/gpgpusim.config	ccd81626bf1cf3524f01b4d19ba480a07c0110d69c2a4259b4df40ad8398fb1e
prefill-ideal	prefill	ideal	/workspace/m4c-c3-formal-20260905-v1/prefill-ideal/traces/kernelslist.g	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill-ideal	prefill	ideal	/workspace/vm-m4b-stage-f96b7ea9-5bdd4b55/prefill-semantic/compute-only-kernelslist.g	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill-ideal	prefill	ideal	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/configs/vm_tlb/M4C_CONTROL_VM_IDEAL_IDENTITY.config	c7f9f6582a40719a21d7969fc039405ce49961134b0ffc1ffa03b02afa7ec2e1
prefill-ideal	prefill	ideal	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/configs/vm_tlb/object_maps/M4C_PREFILL_OBJECT_MAP.tsv	7ec6e868f8190ba6493124cb518753ccc7d14cbbd2ad169777cac9fbd6742a85
prefill-ideal	prefill	ideal	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/gpu-simulator/configs/tested-cfgs/SM86_RTX3070/trace.config	a46fe47a14f3ca4116a35c5bf1dc156f4e861484b91278e8b3f6e09519bd7e5b
prefill-ideal	prefill	ideal	/workspace/worktrees/gpgpu-sim-vm-llm-m4b-integration/configs/tested-cfgs/SM86_RTX3070/gpgpusim.config	f6b480d66fb04a948c04e1a5b65527600f3959ac561dcfa2de0b6632e864fe9c
prefill-generic	prefill	generic	/workspace/m4c-c3-formal-20260905-v1/prefill-generic/gpgpusim.config	8a9a92a8743ee1c4797faabe588ef13dff039dc84b678a07849f4bfb8ebe4579
prefill-generic	prefill	generic	/workspace/m4c-c3-formal-20260905-v1/prefill-generic/traces/kernelslist.g	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill-generic	prefill	generic	/workspace/vm-m4b-stage-f96b7ea9-5bdd4b55/prefill-semantic/compute-only-kernelslist.g	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill-generic	prefill	generic	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/configs/vm_tlb/M4C_GENERIC_M3_LLM_BASELINE.config	13e3952bda1b9390419388ce81b296785bc0b1200e3755922eb6ff0b2ac52caa
prefill-generic	prefill	generic	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/configs/vm_tlb/object_maps/M4C_PREFILL_OBJECT_MAP.tsv	7ec6e868f8190ba6493124cb518753ccc7d14cbbd2ad169777cac9fbd6742a85
prefill-generic	prefill	generic	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/gpu-simulator/configs/tested-cfgs/SM86_RTX3070/trace.config	a46fe47a14f3ca4116a35c5bf1dc156f4e861484b91278e8b3f6e09519bd7e5b
prefill-generic	prefill	generic	/workspace/worktrees/gpgpu-sim-vm-llm-m4b-integration/configs/tested-cfgs/SM86_RTX3070/gpgpusim.config	f6b480d66fb04a948c04e1a5b65527600f3959ac561dcfa2de0b6632e864fe9c
prefill-paper	prefill	paper	/workspace/m4c-c3-formal-20260905-v1/prefill-paper/gpgpusim.config	e81685018af78edcbd223971a19ea6f8fe9ac50c217acaa8d7e5d4c1bd3a56b4
prefill-paper	prefill	paper	/workspace/m4c-c3-formal-20260905-v1/prefill-paper/traces/kernelslist.g	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill-paper	prefill	paper	/workspace/vm-m4b-stage-f96b7ea9-5bdd4b55/prefill-semantic/compute-only-kernelslist.g	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f
prefill-paper	prefill	paper	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/configs/vm_tlb/M4C_PAPER_PLATFORM_SHELL_NO_SUBENTRY.config	08fc1543e5804b75b7fa660521c9786bd84cc1cc49b7a652cfc6bbe3639b1ba9
prefill-paper	prefill	paper	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/configs/vm_tlb/object_maps/M4C_PREFILL_OBJECT_MAP.tsv	7ec6e868f8190ba6493124cb518753ccc7d14cbbd2ad169777cac9fbd6742a85
prefill-paper	prefill	paper	/workspace/worktrees/accel-sim-vm-llm-m4b-integration/gpu-simulator/configs/tested-cfgs/SM86_RTX3070/trace.config	a46fe47a14f3ca4116a35c5bf1dc156f4e861484b91278e8b3f6e09519bd7e5b
prefill-paper	prefill	paper	/workspace/worktrees/gpgpu-sim-vm-llm-m4b-integration/configs/tested-cfgs/SM86_RTX3070/gpgpusim.config	f6b480d66fb04a948c04e1a5b65527600f3959ac561dcfa2de0b6632e864fe9c
