roi	profile	class	metric	value
prefill	disabled	DATA_UNKNOWN	write_bytes	1032190592
prefill	disabled	DATA_UNKNOWN	write_requests	8063989
prefill	disabled	DATA_WEIGHT	bytes	556397888
prefill	disabled	DATA_WEIGHT	read_bytes	556397888
prefill	disabled	DATA_WEIGHT	read_requests	17387434
prefill	disabled	DATA_WEIGHT	requests	17387434
prefill	disabled	DATA_WEIGHT	write_bytes	0
prefill	disabled	DATA_WEIGHT	write_requests	0
prefill	disabled	OTHER	bytes	0
prefill	disabled	OTHER	read_bytes	0
prefill	disabled	OTHER	read_requests	0
prefill	disabled	OTHER	requests	0
prefill	disabled	OTHER	write_bytes	0
prefill	disabled	OTHER	write_requests	0
prefill	disabled	PTE_L0	bytes	0
prefill	disabled	PTE_L0	read_bytes	0
prefill	disabled	PTE_L0	read_requests	0
prefill	disabled	PTE_L0	requests	0
prefill	disabled	PTE_L0	write_bytes	0
prefill	disabled	PTE_L0	write_requests	0
prefill	disabled	PTE_L1	bytes	0
prefill	disabled	PTE_L1	read_bytes	0
prefill	disabled	PTE_L1	read_requests	0
prefill	disabled	PTE_L1	requests	0
prefill	disabled	PTE_L1	write_bytes	0
prefill	disabled	PTE_L1	write_requests	0
prefill	disabled	PTE_L2	bytes	0
prefill	disabled	PTE_L2	read_bytes	0
prefill	disabled	PTE_L2	read_requests	0
prefill	disabled	PTE_L2	requests	0
prefill	disabled	PTE_L2	write_bytes	0
prefill	disabled	PTE_L2	write_requests	0
prefill	disabled	PTE_L3	bytes	0
prefill	disabled	PTE_L3	read_bytes	0
prefill	disabled	PTE_L3	read_requests	0
prefill	disabled	PTE_L3	requests	0
prefill	disabled	PTE_L3	write_bytes	0
prefill	disabled	PTE_L3	write_requests	0
prefill	generic	DATA_KV_CACHE	bytes	58528
prefill	generic	DATA_KV_CACHE	read_bytes	58528
prefill	generic	DATA_KV_CACHE	read_requests	1829
prefill	generic	DATA_KV_CACHE	requests	1829
prefill	generic	DATA_KV_CACHE	write_bytes	0
prefill	generic	DATA_KV_CACHE	write_requests	0
prefill	generic	DATA_UNKNOWN	bytes	3511245504
prefill	generic	DATA_UNKNOWN	read_bytes	2478973120
prefill	generic	DATA_UNKNOWN	read_requests	77467910
prefill	generic	DATA_UNKNOWN	requests	85532538
prefill	generic	DATA_UNKNOWN	write_bytes	1032272384
prefill	generic	DATA_UNKNOWN	write_requests	8064628
prefill	generic	DATA_WEIGHT	bytes	460605344
prefill	generic	DATA_WEIGHT	read_bytes	460605344
prefill	generic	DATA_WEIGHT	read_requests	14393917
prefill	generic	DATA_WEIGHT	requests	14393917
prefill	generic	DATA_WEIGHT	write_bytes	0
prefill	generic	DATA_WEIGHT	write_requests	0
prefill	generic	OTHER	bytes	0
prefill	generic	OTHER	read_bytes	0
prefill	generic	OTHER	read_requests	0
prefill	generic	OTHER	requests	0
prefill	generic	OTHER	write_bytes	0
prefill	generic	OTHER	write_requests	0
prefill	generic	PTE_L0	bytes	64
prefill	generic	PTE_L0	read_bytes	64
prefill	generic	PTE_L0	read_requests	2
prefill	generic	PTE_L0	requests	2
prefill	generic	PTE_L0	write_bytes	0
prefill	generic	PTE_L0	write_requests	0
prefill	generic	PTE_L1	bytes	64
prefill	generic	PTE_L1	read_bytes	64
prefill	generic	PTE_L1	read_requests	2
prefill	generic	PTE_L1	requests	2
prefill	generic	PTE_L1	write_bytes	0
prefill	generic	PTE_L1	write_requests	0
prefill	generic	PTE_L2	bytes	1216
prefill	generic	PTE_L2	read_bytes	1216
prefill	generic	PTE_L2	read_requests	38
prefill	generic	PTE_L2	requests	38
prefill	generic	PTE_L2	write_bytes	0
prefill	generic	PTE_L2	write_requests	0
prefill	generic	PTE_L3	bytes	330944
prefill	generic	PTE_L3	read_bytes	330944
prefill	generic	PTE_L3	read_requests	10342
prefill	generic	PTE_L3	requests	10342
prefill	generic	PTE_L3	write_bytes	0
prefill	generic	PTE_L3	write_requests	0
prefill	ideal	DATA_KV_CACHE	bytes	125408
prefill	ideal	DATA_KV_CACHE	read_bytes	125408
prefill	ideal	DATA_KV_CACHE	read_requests	3919
prefill	ideal	DATA_KV_CACHE	requests	3919
prefill	ideal	DATA_KV_CACHE	write_bytes	0
prefill	ideal	DATA_KV_CACHE	write_requests	0
prefill	ideal	DATA_UNKNOWN	bytes	3401233824
prefill	ideal	DATA_UNKNOWN	read_bytes	2369043232
prefill	ideal	DATA_UNKNOWN	read_requests	74032601
prefill	ideal	DATA_UNKNOWN	requests	82096590
prefill	ideal	DATA_UNKNOWN	write_bytes	1032190592
prefill	ideal	DATA_UNKNOWN	write_requests	8063989
prefill	ideal	DATA_WEIGHT	bytes	556397888
prefill	ideal	DATA_WEIGHT	read_bytes	556397888
prefill	ideal	DATA_WEIGHT	read_requests	17387434
prefill	ideal	DATA_WEIGHT	requests	17387434
prefill	ideal	DATA_WEIGHT	write_bytes	0
prefill	ideal	DATA_WEIGHT	write_requests	0
prefill	ideal	OTHER	bytes	0
prefill	ideal	OTHER	read_bytes	0
prefill	ideal	OTHER	read_requests	0
prefill	ideal	OTHER	requests	0
prefill	ideal	OTHER	write_bytes	0
prefill	ideal	OTHER	write_requests	0
prefill	ideal	PTE_L0	bytes	0
prefill	ideal	PTE_L0	read_bytes	0
prefill	ideal	PTE_L0	read_requests	0
prefill	ideal	PTE_L0	requests	0
prefill	ideal	PTE_L0	write_bytes	0
prefill	ideal	PTE_L0	write_requests	0
prefill	ideal	PTE_L1	bytes	0
prefill	ideal	PTE_L1	read_bytes	0
prefill	ideal	PTE_L1	read_requests	0
prefill	ideal	PTE_L1	requests	0
prefill	ideal	PTE_L1	write_bytes	0
prefill	ideal	PTE_L1	write_requests	0
prefill	ideal	PTE_L2	bytes	0
prefill	ideal	PTE_L2	read_bytes	0
prefill	ideal	PTE_L2	read_requests	0
prefill	ideal	PTE_L2	requests	0
prefill	ideal	PTE_L2	write_bytes	0
prefill	ideal	PTE_L2	write_requests	0
prefill	ideal	PTE_L3	bytes	0
prefill	ideal	PTE_L3	read_bytes	0
prefill	ideal	PTE_L3	read_requests	0
prefill	ideal	PTE_L3	requests	0
prefill	ideal	PTE_L3	write_bytes	0
prefill	ideal	PTE_L3	write_requests	0
prefill	paper	DATA_KV_CACHE	bytes	4222592
prefill	paper	DATA_KV_CACHE	read_bytes	4222592
prefill	paper	DATA_KV_CACHE	read_requests	131956
prefill	paper	DATA_KV_CACHE	requests	131956
prefill	paper	DATA_KV_CACHE	write_bytes	0
prefill	paper	DATA_KV_CACHE	write_requests	0
prefill	paper	DATA_UNKNOWN	bytes	4021813600
prefill	paper	DATA_UNKNOWN	read_bytes	2980763744
prefill	paper	DATA_UNKNOWN	read_requests	93148867
prefill	paper	DATA_UNKNOWN	requests	101282069
prefill	paper	DATA_UNKNOWN	write_bytes	1041049856
prefill	paper	DATA_UNKNOWN	write_requests	8133202
prefill	paper	DATA_WEIGHT	bytes	583787936
prefill	paper	DATA_WEIGHT	read_bytes	583787936
prefill	paper	DATA_WEIGHT	read_requests	18243373
prefill	paper	DATA_WEIGHT	requests	18243373
prefill	paper	DATA_WEIGHT	write_bytes	0
prefill	paper	DATA_WEIGHT	write_requests	0
prefill	paper	OTHER	bytes	0
prefill	paper	OTHER	read_bytes	0
prefill	paper	OTHER	read_requests	0
prefill	paper	OTHER	requests	0
prefill	paper	OTHER	write_bytes	0
prefill	paper	OTHER	write_requests	0
prefill	paper	PTE_L0	bytes	64
prefill	paper	PTE_L0	read_bytes	64
prefill	paper	PTE_L0	read_requests	2
prefill	paper	PTE_L0	requests	2
prefill	paper	PTE_L0	write_bytes	0
prefill	paper	PTE_L0	write_requests	0
prefill	paper	PTE_L1	bytes	64
prefill	paper	PTE_L1	read_bytes	64
prefill	paper	PTE_L1	read_requests	2
prefill	paper	PTE_L1	requests	2
prefill	paper	PTE_L1	write_bytes	0
prefill	paper	PTE_L1	write_requests	0
prefill	paper	PTE_L2	bytes	1248
prefill	paper	PTE_L2	read_bytes	1248
prefill	paper	PTE_L2	read_requests	39
prefill	paper	PTE_L2	requests	39
prefill	paper	PTE_L2	write_bytes	0
prefill	paper	PTE_L2	write_requests	0
prefill	paper	PTE_L3	bytes	280032
prefill	paper	PTE_L3	read_bytes	280032
prefill	paper	PTE_L3	read_requests	8751
prefill	paper	PTE_L3	requests	8751
prefill	paper	PTE_L3	write_bytes	0
prefill	paper	PTE_L3	write_requests	0
