roi	profile	object_class	translation_source	l1d_outcome	l2_outcome	record_scope	count
decode1	generic	DATA_KV_CACHE	PTW	MISS	MISS	L1_L2	2094
decode1	generic	DATA_KV_CACHE	PTW	MISS	NA	L1_ONLY	2094
decode1	generic	DATA_UNKNOWN	L1_TLB_HIT	HIT	HIT	L1_L2	237
decode1	generic	DATA_UNKNOWN	L1_TLB_HIT	HIT	NA	L1_ONLY	39699071
decode1	generic	DATA_UNKNOWN	L1_TLB_HIT	MISS	HIT	L1_L2	20591340
decode1	generic	DATA_UNKNOWN	L1_TLB_HIT	MISS	MISS	L1_L2	388749
decode1	generic	DATA_UNKNOWN	L1_TLB_HIT	MISS	NA	L1_ONLY	26140243
decode1	generic	DATA_UNKNOWN	L1_TLB_HIT	MISS	RESERVATION_FAIL	L1_L2	244976
decode1	generic	DATA_UNKNOWN	L2_TLB_HIT	MISS	HIT	L1_L2	2432
decode1	generic	DATA_UNKNOWN	L2_TLB_HIT	MISS	MISS	L1_L2	21658
decode1	generic	DATA_UNKNOWN	L2_TLB_HIT	MISS	NA	L1_ONLY	24090
decode1	generic	DATA_UNKNOWN	PTW	MISS	HIT	L1_L2	50
decode1	generic	DATA_UNKNOWN	PTW	MISS	MISS	L1_L2	1574
decode1	generic	DATA_UNKNOWN	PTW	MISS	NA	L1_ONLY	1624
decode1	generic	DATA_UNKNOWN	PTW	MISS	RESERVATION_FAIL	L1_L2	820
decode1	generic	DATA_UNKNOWN	UNOBSERVED	HIT	HIT	L1_L2	18
decode1	generic	DATA_UNKNOWN	UNOBSERVED	HIT	NA	L1_ONLY	44596233
decode1	generic	DATA_UNKNOWN	UNOBSERVED	MISS	HIT	L1_L2	4175967
decode1	generic	DATA_UNKNOWN	UNOBSERVED	MISS	MISS	L1_L2	11557420
decode1	generic	DATA_UNKNOWN	UNOBSERVED	MISS	NA	L1_ONLY	20619675
decode1	generic	DATA_UNKNOWN	UNOBSERVED	MISS	RESERVATION_FAIL	L1_L2	834814
decode1	generic	DATA_WEIGHT	L1_TLB_HIT	HIT	NA	L1_ONLY	448
decode1	generic	DATA_WEIGHT	L1_TLB_HIT	MISS	HIT	L1_L2	9826
decode1	generic	DATA_WEIGHT	L1_TLB_HIT	MISS	MISS	L1_L2	3528892
decode1	generic	DATA_WEIGHT	L1_TLB_HIT	MISS	NA	L1_ONLY	3538718
decode1	generic	DATA_WEIGHT	L1_TLB_HIT	MISS	RESERVATION_FAIL	L1_L2	8559
decode1	generic	DATA_WEIGHT	L2_TLB_HIT	MISS	HIT	L1_L2	83
decode1	generic	DATA_WEIGHT	L2_TLB_HIT	MISS	MISS	L1_L2	7023
decode1	generic	DATA_WEIGHT	L2_TLB_HIT	MISS	NA	L1_ONLY	7106
decode1	generic	DATA_WEIGHT	L2_TLB_HIT	MISS	RESERVATION_FAIL	L1_L2	14
decode1	generic	DATA_WEIGHT	PTW	MISS	HIT	L1_L2	15
decode1	generic	DATA_WEIGHT	PTW	MISS	MISS	L1_L2	10065
decode1	generic	DATA_WEIGHT	PTW	MISS	NA	L1_ONLY	10080
decode1	generic	DATA_WEIGHT	PTW	MISS	RESERVATION_FAIL	L1_L2	2859
decode1	ideal	DATA_KV_CACHE	IDEAL_IDENTITY	HIT	NA	L1_ONLY	167
decode1	ideal	DATA_KV_CACHE	IDEAL_IDENTITY	MISS	HIT	L1_L2	468136
decode1	ideal	DATA_KV_CACHE	IDEAL_IDENTITY	MISS	MISS	L1_L2	226824
decode1	ideal	DATA_KV_CACHE	IDEAL_IDENTITY	MISS	NA	L1_ONLY	760073
decode1	ideal	DATA_KV_CACHE	IDEAL_IDENTITY	MISS	RESERVATION_FAIL	L1_L2	8710
decode1	ideal	DATA_KV_CACHE	IDEAL_IDENTITY	RESERVATION_FAIL	NA	L1_ONLY	423442
decode1	ideal	DATA_UNKNOWN	IDEAL_IDENTITY	HIT	HIT	L1_L2	237
decode1	ideal	DATA_UNKNOWN	IDEAL_IDENTITY	HIT	NA	L1_ONLY	11328302
decode1	ideal	DATA_UNKNOWN	IDEAL_IDENTITY	MISS	HIT	L1_L2	20916074
decode1	ideal	DATA_UNKNOWN	IDEAL_IDENTITY	MISS	MISS	L1_L2	410332
decode1	ideal	DATA_UNKNOWN	IDEAL_IDENTITY	MISS	NA	L1_ONLY	54617537
decode1	ideal	DATA_UNKNOWN	IDEAL_IDENTITY	MISS	RESERVATION_FAIL	L1_L2	617331
decode1	ideal	DATA_UNKNOWN	IDEAL_IDENTITY	RESERVATION_FAIL	NA	L1_ONLY	7384656
decode1	ideal	DATA_UNKNOWN	UNOBSERVED	HIT	HIT	L1_L2	18
decode1	ideal	DATA_UNKNOWN	UNOBSERVED	HIT	NA	L1_ONLY	18765618
decode1	ideal	DATA_UNKNOWN	UNOBSERVED	MISS	HIT	L1_L2	4103204
decode1	ideal	DATA_UNKNOWN	UNOBSERVED	MISS	MISS	L1_L2	11538924
decode1	ideal	DATA_UNKNOWN	UNOBSERVED	MISS	NA	L1_ONLY	46367678
decode1	ideal	DATA_UNKNOWN	UNOBSERVED	MISS	RESERVATION_FAIL	L1_L2	935342
decode1	ideal	DATA_UNKNOWN	UNOBSERVED	RESERVATION_FAIL	NA	L1_ONLY	22151403
decode1	ideal	DATA_WEIGHT	IDEAL_IDENTITY	HIT	NA	L1_ONLY	448
decode1	ideal	DATA_WEIGHT	IDEAL_IDENTITY	MISS	HIT	L1_L2	10142
decode1	ideal	DATA_WEIGHT	IDEAL_IDENTITY	MISS	MISS	L1_L2	3547563
decode1	ideal	DATA_WEIGHT	IDEAL_IDENTITY	MISS	NA	L1_ONLY	3557705
decode1	ideal	DATA_WEIGHT	IDEAL_IDENTITY	MISS	RESERVATION_FAIL	L1_L2	164993
decode1	ideal	DATA_WEIGHT	IDEAL_IDENTITY	RESERVATION_FAIL	NA	L1_ONLY	10838146
decode1	paper	DATA_KV_CACHE	L1_TLB_HIT	HIT	NA	L1_ONLY	68460
decode1	paper	DATA_KV_CACHE	L1_TLB_HIT	MISS	HIT	L1_L2	424290
decode1	paper	DATA_KV_CACHE	L1_TLB_HIT	MISS	MISS	L1_L2	223035
decode1	paper	DATA_KV_CACHE	L1_TLB_HIT	MISS	NA	L1_ONLY	683803
decode1	paper	DATA_KV_CACHE	L1_TLB_HIT	MISS	RESERVATION_FAIL	L1_L2	907
decode1	paper	DATA_KV_CACHE	L2_TLB_HIT	MISS	HIT	L1_L2	437
decode1	paper	DATA_KV_CACHE	L2_TLB_HIT	MISS	MISS	L1_L2	5699
decode1	paper	DATA_KV_CACHE	L2_TLB_HIT	MISS	NA	L1_ONLY	6136
decode1	paper	DATA_KV_CACHE	PTW	MISS	MISS	L1_L2	1841
decode1	paper	DATA_KV_CACHE	PTW	MISS	NA	L1_ONLY	1841
decode1	paper	DATA_UNKNOWN	L1_TLB_HIT	HIT	HIT	L1_L2	237
decode1	paper	DATA_UNKNOWN	L1_TLB_HIT	HIT	NA	L1_ONLY	45603403
decode1	paper	DATA_UNKNOWN	L1_TLB_HIT	MISS	HIT	L1_L2	15818057
decode1	paper	DATA_UNKNOWN	L1_TLB_HIT	MISS	MISS	L1_L2	425176
decode1	paper	DATA_UNKNOWN	L1_TLB_HIT	MISS	NA	L1_ONLY	20243514
decode1	paper	DATA_UNKNOWN	L1_TLB_HIT	MISS	RESERVATION_FAIL	L1_L2	407177
decode1	paper	DATA_UNKNOWN	L2_TLB_HIT	MISS	HIT	L1_L2	1534
decode1	paper	DATA_UNKNOWN	L2_TLB_HIT	MISS	MISS	L1_L2	15240
decode1	paper	DATA_UNKNOWN	L2_TLB_HIT	MISS	NA	L1_ONLY	16774
decode1	paper	DATA_UNKNOWN	PTW	MISS	HIT	L1_L2	13
decode1	paper	DATA_UNKNOWN	PTW	MISS	MISS	L1_L2	1324
decode1	paper	DATA_UNKNOWN	PTW	MISS	NA	L1_ONLY	1337
decode1	paper	DATA_UNKNOWN	PTW	MISS	RESERVATION_FAIL	L1_L2	557
decode1	paper	DATA_UNKNOWN	UNOBSERVED	HIT	HIT	L1_L2	18
decode1	paper	DATA_UNKNOWN	UNOBSERVED	HIT	NA	L1_ONLY	46667914
decode1	paper	DATA_UNKNOWN	UNOBSERVED	MISS	HIT	L1_L2	3288835
decode1	paper	DATA_UNKNOWN	UNOBSERVED	MISS	MISS	L1_L2	11578009
decode1	paper	DATA_UNKNOWN	UNOBSERVED	MISS	NA	L1_ONLY	18547994
decode1	paper	DATA_UNKNOWN	UNOBSERVED	MISS	RESERVATION_FAIL	L1_L2	830670
decode1	paper	DATA_UNKNOWN	UNOBSERVED	RESERVATION_FAIL	NA	L1_ONLY	495
decode1	paper	DATA_WEIGHT	L1_TLB_HIT	HIT	NA	L1_ONLY	448
decode1	paper	DATA_WEIGHT	L1_TLB_HIT	MISS	HIT	L1_L2	9526
decode1	paper	DATA_WEIGHT	L1_TLB_HIT	MISS	MISS	L1_L2	3529920
decode1	paper	DATA_WEIGHT	L1_TLB_HIT	MISS	NA	L1_ONLY	3539446
decode1	paper	DATA_WEIGHT	L1_TLB_HIT	MISS	RESERVATION_FAIL	L1_L2	70035
decode1	paper	DATA_WEIGHT	L1_TLB_HIT	RESERVATION_FAIL	NA	L1_ONLY	215
decode1	paper	DATA_WEIGHT	L2_TLB_HIT	MISS	HIT	L1_L2	82
decode1	paper	DATA_WEIGHT	L2_TLB_HIT	MISS	MISS	L1_L2	6834
decode1	paper	DATA_WEIGHT	L2_TLB_HIT	MISS	NA	L1_ONLY	6916
decode1	paper	DATA_WEIGHT	L2_TLB_HIT	MISS	RESERVATION_FAIL	L1_L2	819
decode1	paper	DATA_WEIGHT	PTW	MISS	HIT	L1_L2	39
decode1	paper	DATA_WEIGHT	PTW	MISS	MISS	L1_L2	9503
decode1	paper	DATA_WEIGHT	PTW	MISS	NA	L1_ONLY	9542
decode1	paper	DATA_WEIGHT	PTW	MISS	RESERVATION_FAIL	L1_L2	4608
prefill	disabled	DATA_KV_CACHE	VM_DISABLED	MISS	HIT	L1_L2	1187840
prefill	disabled	DATA_KV_CACHE	VM_DISABLED	MISS	MISS	L1_L2	457728
prefill	disabled	DATA_KV_CACHE	VM_DISABLED	MISS	NA	L1_ONLY	1645568
prefill	disabled	DATA_KV_CACHE	VM_DISABLED	RESERVATION_FAIL	NA	L1_ONLY	116502
prefill	disabled	DATA_UNKNOWN	UNOBSERVED	HIT	NA	L1_ONLY	989787
prefill	disabled	DATA_UNKNOWN	UNOBSERVED	MISS	HIT	L1_L2	5615412
prefill	disabled	DATA_UNKNOWN	UNOBSERVED	MISS	MISS	L1_L2	40445590
prefill	disabled	DATA_UNKNOWN	UNOBSERVED	MISS	NA	L1_ONLY	46360789
prefill	disabled	DATA_UNKNOWN	UNOBSERVED	MISS	RESERVATION_FAIL	L1_L2	1935651
prefill	disabled	DATA_UNKNOWN	UNOBSERVED	RESERVATION_FAIL	NA	L1_ONLY	71706676
prefill	disabled	DATA_UNKNOWN	VM_DISABLED	HIT	HIT	L1_L2	14784
prefill	disabled	DATA_UNKNOWN	VM_DISABLED	HIT	NA	L1_ONLY	719418
prefill	disabled	DATA_UNKNOWN	VM_DISABLED	MISS	HIT	L1_L2	2406780
prefill	disabled	DATA_UNKNOWN	VM_DISABLED	MISS	MISS	L1_L2	15403989
prefill	disabled	DATA_UNKNOWN	VM_DISABLED	MISS	NA	L1_ONLY	18387379
prefill	disabled	DATA_UNKNOWN	VM_DISABLED	MISS	RESERVATION_FAIL	L1_L2	793581
prefill	disabled	DATA_UNKNOWN	VM_DISABLED	RESERVATION_FAIL	NA	L1_ONLY	51630498
prefill	disabled	DATA_WEIGHT	VM_DISABLED	HIT	NA	L1_ONLY	805081
prefill	disabled	DATA_WEIGHT	VM_DISABLED	MISS	HIT	L1_L2	105305
prefill	disabled	DATA_WEIGHT	VM_DISABLED	MISS	MISS	L1_L2	11975
prefill	disabled	DATA_WEIGHT	VM_DISABLED	MISS	NA	L1_ONLY	309031
prefill	disabled	DATA_WEIGHT	VM_DISABLED	MISS	RESERVATION_FAIL	L1_L2	19617
prefill	generic	DATA_KV_CACHE	L1_TLB_HIT	MISS	HIT	L1_L2	1171006
prefill	generic	DATA_KV_CACHE	L1_TLB_HIT	MISS	MISS	L1_L2	439102
prefill	generic	DATA_KV_CACHE	L1_TLB_HIT	MISS	NA	L1_ONLY	1610108
prefill	generic	DATA_KV_CACHE	L2_TLB_HIT	MISS	HIT	L1_L2	16834
prefill	generic	DATA_KV_CACHE	L2_TLB_HIT	MISS	MISS	L1_L2	16275
prefill	generic	DATA_KV_CACHE	L2_TLB_HIT	MISS	NA	L1_ONLY	33109
prefill	generic	DATA_KV_CACHE	PTW	MISS	MISS	L1_L2	2351
prefill	generic	DATA_KV_CACHE	PTW	MISS	NA	L1_ONLY	2351
prefill	generic	DATA_UNKNOWN	L1_TLB_HIT	HIT	HIT	L1_L2	14784
prefill	generic	DATA_UNKNOWN	L1_TLB_HIT	HIT	NA	L1_ONLY	1056796
prefill	generic	DATA_UNKNOWN	L1_TLB_HIT	MISS	HIT	L1_L2	2165896
prefill	generic	DATA_UNKNOWN	L1_TLB_HIT	MISS	MISS	L1_L2	14579679
prefill	generic	DATA_UNKNOWN	L1_TLB_HIT	MISS	NA	L1_ONLY	16981402
prefill	generic	DATA_UNKNOWN	L1_TLB_HIT	MISS	RESERVATION_FAIL	L1_L2	188003
prefill	generic	DATA_UNKNOWN	L1_TLB_HIT	RESERVATION_FAIL	NA	L1_ONLY	4413134
prefill	generic	DATA_UNKNOWN	L2_TLB_HIT	MISS	HIT	L1_L2	71185
prefill	generic	DATA_UNKNOWN	L2_TLB_HIT	MISS	MISS	L1_L2	974159
prefill	generic	DATA_UNKNOWN	L2_TLB_HIT	MISS	NA	L1_ONLY	1045344
prefill	generic	DATA_UNKNOWN	L2_TLB_HIT	MISS	RESERVATION_FAIL	L1_L2	3436
prefill	generic	DATA_UNKNOWN	L2_TLB_HIT	RESERVATION_FAIL	NA	L1_ONLY	479917
prefill	generic	DATA_UNKNOWN	PTW	MISS	HIT	L1_L2	42
prefill	generic	DATA_UNKNOWN	PTW	MISS	MISS	L1_L2	23213
prefill	generic	DATA_UNKNOWN	PTW	MISS	NA	L1_ONLY	23255
prefill	generic	DATA_UNKNOWN	PTW	MISS	RESERVATION_FAIL	L1_L2	268
prefill	generic	DATA_UNKNOWN	UNOBSERVED	HIT	NA	L1_ONLY	1185646
prefill	generic	DATA_UNKNOWN	UNOBSERVED	MISS	HIT	L1_L2	5242895
prefill	generic	DATA_UNKNOWN	UNOBSERVED	MISS	MISS	L1_L2	40818299
prefill	generic	DATA_UNKNOWN	UNOBSERVED	MISS	NA	L1_ONLY	46164930
prefill	generic	DATA_UNKNOWN	UNOBSERVED	MISS	RESERVATION_FAIL	L1_L2	564340
prefill	generic	DATA_UNKNOWN	UNOBSERVED	RESERVATION_FAIL	NA	L1_ONLY	9210626
prefill	generic	DATA_WEIGHT	L1_TLB_HIT	HIT	NA	L1_ONLY	933334
prefill	generic	DATA_WEIGHT	L1_TLB_HIT	MISS	HIT	L1_L2	105173
prefill	generic	DATA_WEIGHT	L1_TLB_HIT	MISS	MISS	L1_L2	10551
prefill	generic	DATA_WEIGHT	L1_TLB_HIT	MISS	NA	L1_ONLY	179030
prefill	generic	DATA_WEIGHT	L1_TLB_HIT	MISS	RESERVATION_FAIL	L1_L2	4289
prefill	generic	DATA_WEIGHT	L2_TLB_HIT	MISS	HIT	L1_L2	261
prefill	generic	DATA_WEIGHT	L2_TLB_HIT	MISS	MISS	L1_L2	586
prefill	generic	DATA_WEIGHT	L2_TLB_HIT	MISS	NA	L1_ONLY	847
prefill	generic	DATA_WEIGHT	L2_TLB_HIT	MISS	RESERVATION_FAIL	L1_L2	195
prefill	generic	DATA_WEIGHT	PTW	MISS	HIT	L1_L2	174
prefill	generic	DATA_WEIGHT	PTW	MISS	MISS	L1_L2	727
prefill	generic	DATA_WEIGHT	PTW	MISS	NA	L1_ONLY	901
prefill	generic	DATA_WEIGHT	PTW	MISS	RESERVATION_FAIL	L1_L2	16630
prefill	ideal	DATA_KV_CACHE	IDEAL_IDENTITY	MISS	HIT	L1_L2	1187840
prefill	ideal	DATA_KV_CACHE	IDEAL_IDENTITY	MISS	MISS	L1_L2	457728
prefill	ideal	DATA_KV_CACHE	IDEAL_IDENTITY	MISS	NA	L1_ONLY	1645568
prefill	ideal	DATA_KV_CACHE	IDEAL_IDENTITY	RESERVATION_FAIL	NA	L1_ONLY	116502
prefill	ideal	DATA_UNKNOWN	IDEAL_IDENTITY	HIT	HIT	L1_L2	14784
prefill	ideal	DATA_UNKNOWN	IDEAL_IDENTITY	HIT	NA	L1_ONLY	719418
prefill	ideal	DATA_UNKNOWN	IDEAL_IDENTITY	MISS	HIT	L1_L2	2406780
prefill	ideal	DATA_UNKNOWN	IDEAL_IDENTITY	MISS	MISS	L1_L2	15403989
prefill	ideal	DATA_UNKNOWN	IDEAL_IDENTITY	MISS	NA	L1_ONLY	18387379
prefill	ideal	DATA_UNKNOWN	IDEAL_IDENTITY	MISS	RESERVATION_FAIL	L1_L2	793581
prefill	ideal	DATA_UNKNOWN	IDEAL_IDENTITY	RESERVATION_FAIL	NA	L1_ONLY	51630498
prefill	ideal	DATA_UNKNOWN	UNOBSERVED	HIT	NA	L1_ONLY	989787
prefill	ideal	DATA_UNKNOWN	UNOBSERVED	MISS	HIT	L1_L2	5615412
prefill	ideal	DATA_UNKNOWN	UNOBSERVED	MISS	MISS	L1_L2	40445590
prefill	ideal	DATA_UNKNOWN	UNOBSERVED	MISS	NA	L1_ONLY	46360789
prefill	ideal	DATA_UNKNOWN	UNOBSERVED	MISS	RESERVATION_FAIL	L1_L2	1935651
prefill	ideal	DATA_UNKNOWN	UNOBSERVED	RESERVATION_FAIL	NA	L1_ONLY	71706676
prefill	ideal	DATA_WEIGHT	IDEAL_IDENTITY	HIT	NA	L1_ONLY	805081
prefill	ideal	DATA_WEIGHT	IDEAL_IDENTITY	MISS	HIT	L1_L2	105305
prefill	ideal	DATA_WEIGHT	IDEAL_IDENTITY	MISS	MISS	L1_L2	11975
prefill	ideal	DATA_WEIGHT	IDEAL_IDENTITY	MISS	NA	L1_ONLY	309031
prefill	ideal	DATA_WEIGHT	IDEAL_IDENTITY	MISS	RESERVATION_FAIL	L1_L2	19617
prefill	paper	DATA_KV_CACHE	L1_TLB_HIT	HIT	NA	L1_ONLY	1290
prefill	paper	DATA_KV_CACHE	L1_TLB_HIT	MISS	HIT	L1_L2	997337
prefill	paper	DATA_KV_CACHE	L1_TLB_HIT	MISS	MISS	L1_L2	617311
prefill	paper	DATA_KV_CACHE	L1_TLB_HIT	MISS	NA	L1_ONLY	1617342
prefill	paper	DATA_KV_CACHE	L2_TLB_HIT	MISS	HIT	L1_L2	8069
prefill	paper	DATA_KV_CACHE	L2_TLB_HIT	MISS	MISS	L1_L2	16452
prefill	paper	DATA_KV_CACHE	L2_TLB_HIT	MISS	NA	L1_ONLY	24521
prefill	paper	DATA_KV_CACHE	PTW	MISS	MISS	L1_L2	2415
prefill	paper	DATA_KV_CACHE	PTW	MISS	NA	L1_ONLY	2415
prefill	paper	DATA_UNKNOWN	L1_TLB_HIT	HIT	HIT	L1_L2	14784
prefill	paper	DATA_UNKNOWN	L1_TLB_HIT	HIT	NA	L1_ONLY	998301
prefill	paper	DATA_UNKNOWN	L1_TLB_HIT	MISS	HIT	L1_L2	1445955
prefill	paper	DATA_UNKNOWN	L1_TLB_HIT	MISS	MISS	L1_L2	15425476
prefill	paper	DATA_UNKNOWN	L1_TLB_HIT	MISS	NA	L1_ONLY	17156041
prefill	paper	DATA_UNKNOWN	L1_TLB_HIT	MISS	RESERVATION_FAIL	L1_L2	355856
prefill	paper	DATA_UNKNOWN	L1_TLB_HIT	RESERVATION_FAIL	NA	L1_ONLY	28092570
prefill	paper	DATA_UNKNOWN	L2_TLB_HIT	MISS	HIT	L1_L2	29621
prefill	paper	DATA_UNKNOWN	L2_TLB_HIT	MISS	MISS	L1_L2	906409
prefill	paper	DATA_UNKNOWN	L2_TLB_HIT	MISS	NA	L1_ONLY	936030
prefill	paper	DATA_UNKNOWN	L2_TLB_HIT	MISS	RESERVATION_FAIL	L1_L2	9002
prefill	paper	DATA_UNKNOWN	L2_TLB_HIT	RESERVATION_FAIL	NA	L1_ONLY	2865071
prefill	paper	DATA_UNKNOWN	PTW	MISS	HIT	L1_L2	31
prefill	paper	DATA_UNKNOWN	PTW	MISS	MISS	L1_L2	16394
prefill	paper	DATA_UNKNOWN	PTW	MISS	NA	L1_ONLY	16425
prefill	paper	DATA_UNKNOWN	PTW	MISS	RESERVATION_FAIL	L1_L2	273
prefill	paper	DATA_UNKNOWN	PTW	RESERVATION_FAIL	NA	L1_ONLY	2
prefill	paper	DATA_UNKNOWN	UNOBSERVED	HIT	NA	L1_ONLY	1233289
prefill	paper	DATA_UNKNOWN	UNOBSERVED	MISS	HIT	L1_L2	3571748
prefill	paper	DATA_UNKNOWN	UNOBSERVED	MISS	MISS	L1_L2	42485532
prefill	paper	DATA_UNKNOWN	UNOBSERVED	MISS	NA	L1_ONLY	46117287
prefill	paper	DATA_UNKNOWN	UNOBSERVED	MISS	RESERVATION_FAIL	L1_L2	974236
prefill	paper	DATA_UNKNOWN	UNOBSERVED	RESERVATION_FAIL	NA	L1_ONLY	59366197
prefill	paper	DATA_WEIGHT	L1_TLB_HIT	HIT	NA	L1_ONLY	990373
prefill	paper	DATA_WEIGHT	L1_TLB_HIT	MISS	HIT	L1_L2	81796
prefill	paper	DATA_WEIGHT	L1_TLB_HIT	MISS	MISS	L1_L2	10442
prefill	paper	DATA_WEIGHT	L1_TLB_HIT	MISS	NA	L1_ONLY	122409
prefill	paper	DATA_WEIGHT	L1_TLB_HIT	MISS	RESERVATION_FAIL	L1_L2	4996
prefill	paper	DATA_WEIGHT	L2_TLB_HIT	MISS	HIT	L1_L2	131
prefill	paper	DATA_WEIGHT	L2_TLB_HIT	MISS	MISS	L1_L2	472
prefill	paper	DATA_WEIGHT	L2_TLB_HIT	MISS	NA	L1_ONLY	603
prefill	paper	DATA_WEIGHT	L2_TLB_HIT	MISS	RESERVATION_FAIL	L1_L2	228
prefill	paper	DATA_WEIGHT	PTW	MISS	HIT	L1_L2	62
prefill	paper	DATA_WEIGHT	PTW	MISS	MISS	L1_L2	665
prefill	paper	DATA_WEIGHT	PTW	MISS	NA	L1_ONLY	727
prefill	paper	DATA_WEIGHT	PTW	MISS	RESERVATION_FAIL	L1_L2	8080
