suite,application,input_or_dataset,asset_family,trace_list,trace_tree_bytes,kernel_count,trace_reported_insts,trace_stats_status,same_tree_historical_result,kernel_symbols,sass_binary_version,trace_sha256,kernelslist_sha256,runnable_status,missing_kernel_files,provenance_path,tracer_sha256,cuda_nvcc,capture_gpu,capture_case,framework_at_capture,provenance_missing
CUTLASS,cutlass_perf_test,__seed_2020___dist_0____m_2560___n_16___k_2560___kernels_wmma_gemm_nn____iterations_5___providers_cutlass,other-local-copy,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/cutlass.stage/cutlass/11.0/cutlass_perf_test/__seed_2020___dist_0____m_2560___n_16___k_2560___kernels_wmma_gemm_nn____iterations_5___providers_cutlass/traces/kernelslist.g,2263437141,7,30097760,available,MISSING (no result adjacent to this trace asset),_ZN7cutlass4gemm16gemm_kernel_nolbINS0_12GemmMainloopINS0_10GemmTraitsINS0_14WmmaGemmConfigILNS_12MatrixLayout4KindE1ELS6_1ENS_5ShapeILi64ELi128ELi128ELi1EEE6__halfS9_ffNS7_ILi64ELi32ELi64ELi1EEENS7_ILi16ELi16ELi16ELi1EEELi8ELi8ELi8ELi8ELi4ELi4ELi4EEENS0_16GlobalLoadStreamILNS_11GemmOperand4KindE0ENS0_20GemmGlobalIteratorAbINS0_20GemmGlobalTileTraitsILSF_0ELS6_1EKS9_NS7_ILi1ELi64ELi128ELi1EEENS7_ILi1ELi8ELi32ELi1EEELi8EEEiEENS_17TileStoreIteratorINS0_27GemmSharedStoreTileAbTraitsIS9_NS7_ILi1ELi64ELi136ELi1EEENS7_ILi1ELi16ELi16ELi1EEELi8EEES9_LNS_15IteratorAdvance4KindE1ELNS_11MemorySpace4KindE1EiS9_LNS_19FragmentElementType4KindE0ENS7_ILi0ELi0ELi0ELi0EEEEENS_4CopyINS_8FragmentIS9_Li32ELm16EEEEEEENSD_ILSF_1ENSG_INSH_ILSF_1ELS6_1ESI_NS7_ILi1ELi128ELi64ELi1EEENS7_ILi1ELi4ELi64ELi1EEELi8EEEiEENSN_INSO_IS9_NS7_ILi1ELi128ELi72ELi1EEENS7_ILi1ELi32ELi8ELi1EEELi8EEES9_LST_1ELSV_1EiS9_LSX_0ESY_EES13_EENS0_16SharedLoadStreamINS_16TileLoadIteratorINS0_29WmmaGemmSharedLoadTileATraitsILS6_1ES9_SP_NS7_ILi1ELi4ELi2ELi1EEELi16ENS7_ILi1ELi1ELi4ELi1EEENS7_ILi2176ELi0ELi32ELi0EEESB_EES9_LST_1ELSV_1EiNS_10WmmaMatrixILSF_0ELS6_1ES9_SB_EELSX_1ESY_EENS10_INS11_IS1M_Li4ELm16EEEEEEENS1E_INS1F_INS0_29WmmaGemmSharedLoadTileBTraitsILS6_1ES9_S19_S1H_Li1152ENS7_ILi1ELi1ELi2ELi1EEENS7_ILi16ELi0ELi4608ELi1EEESB_EES9_LST_1ELSV_1EiNS1L_ILSF_1ELS6_1ES9_SB_EELSX_1ESY_EENS10_INS11_IS1V_Li2ELm16EEEEEEENS0_12GemmEpilogueINS0_28SimplifiedGemmEpilogueTraitsISC_NS0_13LinearScalingIfNS0_19FragmentMultiplyAddIffLb1EEEEEiNS0_28WmmaGemmEpilogueTraitsHelperISC_fS25_iEEEEEENS0_20IdentityBlockSwizzleEiNS0_17ClearAccumulatorsIfLi1EEEEEEEEEvNT_6ParamsE,70,MISSING (no recorded per-trace SHA256),50b5d7ffff894e814bf059d7124ecfee45319fa756050d3f3bf56e5e36419339,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
CUTLASS,cutlass_perf_test,__seed_2020___dist_0____m_2560___n_16___k_2560___kernels_wmma_gemm_nn____iterations_5___providers_cutlass,incomplete-or-failed,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/cutlass.stage.partial_20260813_001254/cutlass/11.0/cutlass_perf_test/__seed_2020___dist_0____m_2560___n_16___k_2560___kernels_wmma_gemm_nn____iterations_5___providers_cutlass/traces/kernelslist.g,447993539,7,30097760,available,MISSING (no result adjacent to this trace asset),<missing-trace-file>;_ZN7cutlass4gemm16gemm_kernel_nolbINS0_12GemmMainloopINS0_10GemmTraitsINS0_14WmmaGemmConfigILNS_12MatrixLayout4KindE1ELS6_1ENS_5ShapeILi64ELi128ELi128ELi1EEE6__halfS9_ffNS7_ILi64ELi32ELi64ELi1EEENS7_ILi16ELi16ELi16ELi1EEELi8ELi8ELi8ELi8ELi4ELi4ELi4EEENS0_16GlobalLoadStreamILNS_11GemmOperand4KindE0ENS0_20GemmGlobalIteratorAbINS0_20GemmGlobalTileTraitsILSF_0ELS6_1EKS9_NS7_ILi1ELi64ELi128ELi1EEENS7_ILi1ELi8ELi32ELi1EEELi8EEEiEENS_17TileStoreIteratorINS0_27GemmSharedStoreTileAbTraitsIS9_NS7_ILi1ELi64ELi136ELi1EEENS7_ILi1ELi16ELi16ELi1EEELi8EEES9_LNS_15IteratorAdvance4KindE1ELNS_11MemorySpace4KindE1EiS9_LNS_19FragmentElementType4KindE0ENS7_ILi0ELi0ELi0ELi0EEEEENS_4CopyINS_8FragmentIS9_Li32ELm16EEEEEEENSD_ILSF_1ENSG_INSH_ILSF_1ELS6_1ESI_NS7_ILi1ELi128ELi64ELi1EEENS7_ILi1ELi4ELi64ELi1EEELi8EEEiEENSN_INSO_IS9_NS7_ILi1ELi128ELi72ELi1EEENS7_ILi1ELi32ELi8ELi1EEELi8EEES9_LST_1ELSV_1EiS9_LSX_0ESY_EES13_EENS0_16SharedLoadStreamINS_16TileLoadIteratorINS0_29WmmaGemmSharedLoadTileATraitsILS6_1ES9_SP_NS7_ILi1ELi4ELi2ELi1EEELi16ENS7_ILi1ELi1ELi4ELi1EEENS7_ILi2176ELi0ELi32ELi0EEESB_EES9_LST_1ELSV_1EiNS_10WmmaMatrixILSF_0ELS6_1ES9_SB_EELSX_1ESY_EENS10_INS11_IS1M_Li4ELm16EEEEEEENS1E_INS1F_INS0_29WmmaGemmSharedLoadTileBTraitsILS6_1ES9_S19_S1H_Li1152ENS7_ILi1ELi1ELi2ELi1EEENS7_ILi16ELi0ELi4608ELi1EEESB_EES9_LST_1ELSV_1EiNS1L_ILSF_1ELS6_1ES9_SB_EELSX_1ESY_EENS10_INS11_IS1V_Li2ELm16EEEEEEENS0_12GemmEpilogueINS0_28SimplifiedGemmEpilogueTraitsISC_NS0_13LinearScalingIfNS0_19FragmentMultiplyAddIffLb1EEEEEiNS0_28WmmaGemmEpilogueTraitsHelperISC_fS25_iEEEEEENS0_20IdentityBlockSwizzleEiNS0_17ClearAccumulatorsIfLi1EEEEEEEEEvNT_6ParamsE,70,MISSING (no recorded per-trace SHA256),50b5d7ffff894e814bf059d7124ecfee45319fa756050d3f3bf56e5e36419339,DO NOT RUN without review: incomplete/failed staging copy,5,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
CUTLASS,cutlass_perf_test,__seed_2020___dist_0____m_2560___n_16___k_2560___kernels_wmma_gemm_nn____iterations_5___providers_cutlass,incomplete-or-failed,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/cutlass.stage.partial_20260813_001537/cutlass/11.0/cutlass_perf_test/__seed_2020___dist_0____m_2560___n_16___k_2560___kernels_wmma_gemm_nn____iterations_5___providers_cutlass/traces/kernelslist.g,397748931,7,30097760,available,MISSING (no result adjacent to this trace asset),<missing-trace-file>;_ZN7cutlass4gemm16gemm_kernel_nolbINS0_12GemmMainloopINS0_10GemmTraitsINS0_14WmmaGemmConfigILNS_12MatrixLayout4KindE1ELS6_1ENS_5ShapeILi64ELi128ELi128ELi1EEE6__halfS9_ffNS7_ILi64ELi32ELi64ELi1EEENS7_ILi16ELi16ELi16ELi1EEELi8ELi8ELi8ELi8ELi4ELi4ELi4EEENS0_16GlobalLoadStreamILNS_11GemmOperand4KindE0ENS0_20GemmGlobalIteratorAbINS0_20GemmGlobalTileTraitsILSF_0ELS6_1EKS9_NS7_ILi1ELi64ELi128ELi1EEENS7_ILi1ELi8ELi32ELi1EEELi8EEEiEENS_17TileStoreIteratorINS0_27GemmSharedStoreTileAbTraitsIS9_NS7_ILi1ELi64ELi136ELi1EEENS7_ILi1ELi16ELi16ELi1EEELi8EEES9_LNS_15IteratorAdvance4KindE1ELNS_11MemorySpace4KindE1EiS9_LNS_19FragmentElementType4KindE0ENS7_ILi0ELi0ELi0ELi0EEEEENS_4CopyINS_8FragmentIS9_Li32ELm16EEEEEEENSD_ILSF_1ENSG_INSH_ILSF_1ELS6_1ESI_NS7_ILi1ELi128ELi64ELi1EEENS7_ILi1ELi4ELi64ELi1EEELi8EEEiEENSN_INSO_IS9_NS7_ILi1ELi128ELi72ELi1EEENS7_ILi1ELi32ELi8ELi1EEELi8EEES9_LST_1ELSV_1EiS9_LSX_0ESY_EES13_EENS0_16SharedLoadStreamINS_16TileLoadIteratorINS0_29WmmaGemmSharedLoadTileATraitsILS6_1ES9_SP_NS7_ILi1ELi4ELi2ELi1EEELi16ENS7_ILi1ELi1ELi4ELi1EEENS7_ILi2176ELi0ELi32ELi0EEESB_EES9_LST_1ELSV_1EiNS_10WmmaMatrixILSF_0ELS6_1ES9_SB_EELSX_1ESY_EENS10_INS11_IS1M_Li4ELm16EEEEEEENS1E_INS1F_INS0_29WmmaGemmSharedLoadTileBTraitsILS6_1ES9_S19_S1H_Li1152ENS7_ILi1ELi1ELi2ELi1EEENS7_ILi16ELi0ELi4608ELi1EEESB_EES9_LST_1ELSV_1EiNS1L_ILSF_1ELS6_1ES9_SB_EELSX_1ESY_EENS10_INS11_IS1V_Li2ELm16EEEEEEENS0_12GemmEpilogueINS0_28SimplifiedGemmEpilogueTraitsISC_NS0_13LinearScalingIfNS0_19FragmentMultiplyAddIffLb1EEEEEiNS0_28WmmaGemmEpilogueTraitsHelperISC_fS25_iEEEEEENS0_20IdentityBlockSwizzleEiNS0_17ClearAccumulatorsIfLi1EEEEEEEEEvNT_6ParamsE,70,MISSING (no recorded per-trace SHA256),50b5d7ffff894e814bf059d7124ecfee45319fa756050d3f3bf56e5e36419339,DO NOT RUN without review: incomplete/failed staging copy,5,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
Parboil,parboil-bfs,_i___data_NY_input_graph_input_dat__o_bfs_NY_out,other-local-copy,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-bfs/_i___data_NY_input_graph_input_dat__o_bfs_NY_out/traces/kernelslist.g,298925500,11,7467956,available,MISSING (no result adjacent to this trace asset),_Z17BFS_in_GPU_kernelPiS_P4int2S1_S_S_iS_iiS_;_Z26BFS_kernel_multi_blk_inGPUPiS_P4int2S1_S_S_S_S_iiS_S_S_S_,70,MISSING (no recorded per-trace SHA256),882fd55a2ddb91a6d6114043bd093c405d7c46f0ae4a927cd8ff9fbda0818e5c,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
Parboil,parboil-cutcp,_i___data_small_input_watbox_sl40_pqr__o_lattice_dat,other-local-copy,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-cutcp/_i___data_small_input_watbox_sl40_pqr__o_lattice_dat/traces/kernelslist.g,11010883345,11,317226925,available,MISSING (no result adjacent to this trace asset),_Z37cuda_cutoff_potential_lattice6overlapiiP6float4fffPfi,70,MISSING (no recorded per-trace SHA256),a21cfdc93626042376fe0e10a0e2d464de829cf3fc0834ba1535f08b4080f37a,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
Parboil,parboil-histo,_i___data_default_input_img_bin__o_ref_bmp____20_4,other-local-copy,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-histo/_i___data_default_input_img_bin__o_ref_bmp____20_4/traces/kernelslist.g,3211145027,80,73885150,available,MISSING (no result adjacent to this trace asset),_Z17histo_main_kernelP6uchar4jjjjjPjS1_S1_;_Z18histo_final_kerneljjjjPjS_S_S_;_Z20histo_prescan_kernelPjiS_;_Z26histo_intermediates_kernelP5uint2jjjP6uchar4,70,MISSING (no recorded per-trace SHA256),a315b91f798e0be6a2baf951819143bab00fff48215fa4c88e730857644f75fa,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
Parboil,parboil-mri-q,_i___data_small_input_32_32_32_dataset_bin__o_32_32_32_dataset_out,other-local-copy,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-mri-q/_i___data_small_input_32_32_32_dataset_bin__o_32_32_32_dataset_out/traces/kernelslist.g,1747845704,4,45697632,available,MISSING (no result adjacent to this trace asset),_Z12ComputeQ_GPUiiPfS_S_S_S_;_Z17ComputePhiMag_GPUPfS_S_i,70,MISSING (no recorded per-trace SHA256),e2282e93dffade84b1039a5ac4cbccbe0f34a1f2852520f9a16ffcc9996528a5,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
Parboil,parboil-sad,_i___data_default_input_reference_bin___data_default_input_frame_bin__o_out_bin,other-local-copy,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sad/_i___data_default_input_reference_bin___data_default_input_frame_bin__o_out_bin/traces/kernelslist.g,223841862,3,5278086,available,MISSING (no result adjacent to this trace asset),_Z11mb_sad_calcPtS_ii;_Z17larger_sad_calc_8Ptii;_Z18larger_sad_calc_16Ptii,70,MISSING (no recorded per-trace SHA256),36c0931b5a7cd780dc16fd5466cba2ed31d4a2c1dbf062721f55bbcef1d7a2a8,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
Parboil,parboil-sgemm,_i___data_medium_input_matrix1_txt___data_medium_input_matrix2t_txt___data_medium_input_matrix2t_txt__o_matrix3_txt,other-local-copy,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sgemm/_i___data_medium_input_matrix1_txt___data_medium_input_matrix2t_txt___data_medium_input_matrix2t_txt__o_matrix3_txt/traces/kernelslist.g,2216170035,1,51847488,available,MISSING (no result adjacent to this trace asset),_Z9mysgemmNTPKfiS0_iPfiiff,70,MISSING (no recorded per-trace SHA256),0a0d21711ff3f3de1604fc0a243d5be2df5155147bb09bc4533bd017b62f5913,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
Parboil,parboil-spmv,_i___data_large_input_Dubcova3_mtx_bin___data_large_input_vector_bin__o_Dubcova3_mtx_out,other-local-copy,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-spmv/_i___data_large_input_Dubcova3_mtx_bin___data_large_input_vector_bin__o_Dubcova3_mtx_out/traces/kernelslist.g,34529277,1,MISSING,unparseable stats.csv,MISSING (no result adjacent to this trace asset),_Z8spmv_jdsPfPKfPKiS3_S1_S3_i,70,MISSING (no recorded per-trace SHA256),da1065944705e52eb270304233f0865cf80f7618b5597f73af7096d20a194394,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
Parboil,parboil-stencil,_i___data_small_input_128x128x32_bin__o_128x128x32_out____128_128_32_100,other-local-copy,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-stencil/_i___data_small_input_128x128x32_bin__o_128x128x32_out____128_128_32_100/traces/kernelslist.g,3718166330,100,82610800,available,MISSING (no result adjacent to this trace asset),_Z24block2D_hybrid_coarsen_xffPfS_iii,70,MISSING (no recorded per-trace SHA256),80dad07812b3b36228930b6f29e5a517b1c2e379608d17ee349b87d6eddc2ead,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
Parboil,parboil-mri-gridding,_i___data_small_input_small_uks__o_output_txt____32_0,other-local-copy,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.mri.closeout.stage/parboil/11.0/parboil-mri-gridding/_i___data_small_input_small_uks__o_output_txt____32_0/traces/kernelslist.g,172595191567,51,383373222,available,MISSING (no result adjacent to this trace asset),_Z10uniformAddjPjS_;_Z12gridding_GPU17sampleArrayStructPjP6float2Pff;_Z14binning_kerneljP20ReconstructionSamplePjS1_S1_jj;_Z14reorder_kerneliPjP20ReconstructionSample17sampleArrayStruct;_Z14scan_L1_kerneljPjS_;_Z14splitRearrangeiiPjS_S_S_S_;_Z18scan_inter1_kernelPjj;_Z18scan_inter2_kernelPjj;_Z9splitSortiiPjS_S_,70,MISSING (no recorded per-trace SHA256),a6dbde187ce802d4c88441309463f15f89ce896b1eb22cea9e312ca612c180ff,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
Parboil,parboil-bfs,_i___data_NY_input_graph_input_dat__o_bfs_NY_out,other-local-copy,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.nUfmjg/parboil/11.0/parboil-bfs/_i___data_NY_input_graph_input_dat__o_bfs_NY_out/traces/kernelslist.g,298925500,11,7467956,available,MISSING (no result adjacent to this trace asset),_Z17BFS_in_GPU_kernelPiS_P4int2S1_S_S_iS_iiS_;_Z26BFS_kernel_multi_blk_inGPUPiS_P4int2S1_S_S_S_S_iiS_S_S_S_,70,MISSING (no recorded per-trace SHA256),882fd55a2ddb91a6d6114043bd093c405d7c46f0ae4a927cd8ff9fbda0818e5c,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
PolyBench,polybench-correlation,NO_ARGS,other-local-copy,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/polybench.correlation.closeout.stage/polybench/11.0/polybench-correlation/NO_ARGS/traces/kernelslist.g,33273280737,4,634493823,available,MISSING (no result adjacent to this trace asset),_Z10std_kernelPfS_S_;_Z11corr_kernelPfS_;_Z11mean_kernelPfS_;_Z13reduce_kernelPfS_S_,70,MISSING (no recorded per-trace SHA256),2b37a3734fd890bc032348acb9577fbe6f91cea8b39a255b5c73a9e6ce4dbe20,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
PolyBench,polybench-covariance,NO_ARGS,other-local-copy,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/polybench.covariance.closeout.stage/polybench/11.0/polybench-covariance/NO_ARGS/traces/kernelslist.g,33057933214,3,628986752,available,MISSING (no result adjacent to this trace asset),_Z11mean_kernelPfS_;_Z12covar_kernelPfS_;_Z13reduce_kernelPfS_,70,MISSING (no recorded per-trace SHA256),68f260c9eac72b7c6df0acf88c60aaaa3279ad2bef540665b694ea9271c64f45,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
PolyBench,polybench-3DConvolution,NO_ARGS,other-local-copy,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/polybench.rss-profile.stage/polybench/11.0/polybench-3DConvolution/NO_ARGS/traces/kernelslist.g,1083398792,254,26903680,available,MISSING (no result adjacent to this trace asset),_Z20convolution3D_kernelPfS_i,70,MISSING (no recorded per-trace SHA256),ca357a3312804307b48612d3e3999d2a798d62407b4502904d8ff31cb551de6f,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
CUDA SDK,BlackScholes,NO_ARGS,public-pretrace,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/BlackScholes/NO_ARGS/traces/kernelslist.g,22319003,1,MISSING,empty stats.csv,MISSING (no result adjacent to this trace asset),_Z15BlackScholesGPUPfS_S_S_S_ffi,70,MISSING (no recorded per-trace SHA256),5b22db0f6bd7897bf91d9554985c0e49afeae77af7f38b0f99ce4727d28fb298,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
CUDA SDK,convolutionSeparable,__size_3072,public-pretrace,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/convolutionSeparable/__size_3072/traces/kernelslist.g,6844895541,2,MISSING,empty stats.csv,MISSING (no result adjacent to this trace asset),_Z21convolutionRowsKernelPfS_iii;_Z24convolutionColumnsKernelPfS_iii,70,MISSING (no recorded per-trace SHA256),ab2290810368438cabf35a3c0fcb9686473aaa2235607a6e2bc0347f651ff484,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
CUDA SDK,fastWalshTransform,_logK_11__logD_19,public-pretrace,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_11__logD_19/traces/kernelslist.g,415269567,16,5460992,available,MISSING (no result adjacent to this trace asset),_Z14modulateKernelPfS_i;_Z15fwtBatch1KernelPfS_i;_Z15fwtBatch2KernelPfS_i,70,MISSING (no recorded per-trace SHA256),a91e2655cd672585257294d09834e7d6647350e6c9ece7769fea5cb38fb6d6f2,directly runnable,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,yes
