suite	workload	input	cohort	round1_decision	historical_runtime	runtime_tier	historical_peak_rss	rss_evidence	current_trace_path	current_asset_family	current_runnable	current_trace_tree_bytes	kernel_count	kernelslist_sha256	same_exact_trace_asset	trace_body_sha_status	trace_tree_sha256	trace_file_count_hashed	historical_result_source	estimated_risk
Rodinia	hotspot1	1024x1024,2iter	PRIMARY_FULL	RUN	unknown	UNKNOWN_OR_BOUNDED	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/hotspot-rodinia-3.1/1024_2_2___data_temp_1024___data_power_1024_output_out/traces/kernelslist.g	public-pretrace	directly runnable	1041309456	1	a731bfc2cbb90b51888e92f3fb188ff4fceb123612a7b1ceb1817bc752e89461	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	30166abe04c74ab4aeeb09a9f47b1b1082e9e2943948468abe1e7c9e78fd9bfb	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Rodinia	lud	matrix-512	PRIMARY_FULL	RUN	unknown	UNKNOWN_OR_BOUNDED	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/lud-rodinia-3.1/_i___data_512_dat/traces/kernelslist.g	public-pretrace	directly runnable	1515997918	94	6bf8f1fd5951793b1b2c563ee13203591e3d53d5985d4d1d6e3b5cf8f64a39e0	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	f73ca052ba8079498d0a765e937abb00a9aed3215d6acf9b086ecd3b676c2f2a	94	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Rodinia	nn	filelist-4	PRIMARY_FULL	RUN	3-4s	LT_1H	0.37GiB	X	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/nn-rodinia-3.1/__data_filelist_4__r_5__lat_30__lng_90/traces/kernelslist.g	public-pretrace	directly runnable	1987766	1	6b5e83e43dc74ae1b23312e1772d19a774b6c7397740c1bc1e0f572db77f8664	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	d1fc69c12b831a7a4dfeded63be6a34a136f82f37e06371b877196d39c53db79	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Rodinia	bfs	graph65536	PRIMARY_FULL	NEEDS_REVIEW	unknown	UNKNOWN_OR_BOUNDED	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/bfs-rodinia-3.1/__data_graph65536_txt/traces/kernelslist.g	public-pretrace	directly runnable	187716988	20	c903c6a8876373a32f212e34a9026759076c1728a1629cded59555552c65940a	HISTORY_INPUT_UNPROVEN	RECORDED_WAVE1_ONLY	1f0516e5a25e81ba9de01c47c65fab54c0258c7c5cd579498a4541cec012d1ac	20	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Parboil	bfs	NY graph	PRIMARY_FULL	RUN	9-14m	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-bfs/_i___data_NY_input_graph_input_dat__o_bfs_NY_out/traces/kernelslist.g	other-local-copy	directly runnable	298925500	11	882fd55a2ddb91a6d6114043bd093c405d7c46f0ae4a927cd8ff9fbda0818e5c	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	84fccc5caf7ea18715707cb41bc7e27272417167000ce3e7a2bfc94271f3f875	11	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Parboil	cutcp	watbox-sl40	PRIMARY_FULL	RUN	1h37-2h09	1_TO_4H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-cutcp/_i___data_small_input_watbox_sl40_pqr__o_lattice_dat/traces/kernelslist.g	other-local-copy	directly runnable	11010883345	11	a21cfdc93626042376fe0e10a0e2d464de829cf3fc0834ba1535f08b4080f37a	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	1c7121c2c33f212aa0134b412e1a6e88ec47244eb9c0e0016252ab270f8b53bf	11	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Parboil	histo	default img,20x4	PRIMARY_FULL	RUN	45m-2h12	1_TO_4H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-histo/_i___data_default_input_img_bin__o_ref_bmp____20_4/traces/kernelslist.g	other-local-copy	directly runnable	3211145027	80	a315b91f798e0be6a2baf951819143bab00fff48215fa4c88e730857644f75fa	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	c6314c77cd09d13fc2feeb592b8a60dfc751f0cfcb858b186a19323ee8228527	80	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Parboil	mri-q	32x32x32	PRIMARY_FULL	RUN	9-16m	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-mri-q/_i___data_small_input_32_32_32_dataset_bin__o_32_32_32_dataset_out/traces/kernelslist.g	other-local-copy	directly runnable	1747845704	4	e2282e93dffade84b1039a5ac4cbccbe0f34a1f2852520f9a16ffcc9996528a5	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	0e0373fd92e96634055144c47e641e1f80b04cd1693f68eff92aba184eaf0b87	4	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Parboil	sad	default	PRIMARY_FULL	RUN	2-5m	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sad/_i___data_default_input_reference_bin___data_default_input_frame_bin__o_out_bin/traces/kernelslist.g	other-local-copy	directly runnable	223841862	3	36c0931b5a7cd780dc16fd5466cba2ed31d4a2c1dbf062721f55bbcef1d7a2a8	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	be909956534aef607e5a34deab495acaa740ccc446514b3e98ffe11c65c3ef54	3	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Parboil	sgemm	medium	PRIMARY_FULL	RUN	12-26m	LT_1H	7.8GiB	X	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sgemm/_i___data_medium_input_matrix1_txt___data_medium_input_matrix2t_txt___data_medium_input_matrix2t_txt__o_matrix3_txt/traces/kernelslist.g	other-local-copy	directly runnable	2216170035	1	0a0d21711ff3f3de1604fc0a243d5be2df5155147bb09bc4533bd017b62f5913	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	2074532f89af5eb14da3c6263ac993c880aaec5332c8196d5fd24d0f864627e1	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Parboil	spmv	Dubcova3 large	PRIMARY_FULL	RUN	1-2.5m	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-spmv/_i___data_large_input_Dubcova3_mtx_bin___data_large_input_vector_bin__o_Dubcova3_mtx_out/traces/kernelslist.g	other-local-copy	directly runnable	34529277	1	da1065944705e52eb270304233f0865cf80f7618b5597f73af7096d20a194394	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	3c737fe717121f204a9b53fe27d58a926c42031ed5e9755f0ca1729c8e96c538	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
Parboil	stencil	128x128x32	PRIMARY_FULL	RUN	43-66m	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-stencil/_i___data_small_input_128x128x32_bin__o_128x128x32_out____128_128_32_100/traces/kernelslist.g	other-local-copy	directly runnable	3718166330	100	80dad07812b3b36228930b6f29e5a517b1c2e379608d17ee349b87d6eddc2ead	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	21bec879f2f94c747d87cda8032ac96138fe16b105e3a49a6d32deefc2ad1644	100	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
PolyBench	atax	NO_ARGS	PRIMARY_FULL	RUN	13-29m	LT_1H	1.53GiB	D	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-atax/NO_ARGS/traces/kernelslist.g	V100-NVBit-staged	directly runnable	238280936	2	b6dcd0e3807bd71449d2283f97ba43a91868cb761e7b4924dd3d3063340a94ba	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	88bdf5420f4761ed534099be6282d2127dd99580b266048d0d199bbc626fe68d	2	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
PolyBench	bicg	NO_ARGS	PRIMARY_FULL	RUN	13-16m	LT_1H	1.53GiB	D	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-bicg/NO_ARGS/traces/kernelslist.g	V100-NVBit-staged	directly runnable	238281448	2	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	db97ffe00f40e755831c4957f9ae20adf7337952464fbacd3fc3265fc2b18f7e	2	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
PolyBench	mvt	NO_ARGS	PRIMARY_FULL	RUN	13-17m	LT_1H	1.51GiB	D	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-bank-diagnosis/20260825-b07c0ad-full/traces/polybench/11.0/polybench-mvt/NO_ARGS/traces/kernelslist.g	historical-diagnosis-copy	directly runnable	238280934	2	f3f1e934a86753827094baaf935235d056d88241aec50ba7ccff99425c869944	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	3a35949abf0cf7b86b6fd2c9b2b59aab887a38240e41d0137a249c8ca993a5e5	2	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
PolyBench	gesummv	NO_ARGS	PRIMARY_FULL	RUN	16-20m	LT_1H	unknown	U	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-gesummv/NO_ARGS/traces/kernelslist.g	V100-NVBit-staged	directly runnable	316381690	1	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	338366e93eeacf5935d4224a1cbf1053815ee0c735887613153371dc40d15e06	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
PolyBench	2DConvolution	NO_ARGS	PRIMARY_FULL	RUN	24-46m	LT_1H	0.35GiB	X	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-2DConvolution/NO_ARGS/traces/kernelslist.g	V100-NVBit-staged	directly runnable	840990934	1	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	PATH_MATCH_NO_BODY_SHA	RECORDED_WAVE1_ONLY	c98ffea0c066696b07169982ff900aa5a07565cedc4bdf67843fcdde89f6d1a6	1	decoupled_l2_workload_roster_under_5h.md + memory_plan	trace-body SHA recorded for selected Wave-1 asset only
