run	static_index	classification	events	pages4k	pages64k	pages2m	lines128	format
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	148	EXECUTED_SHARD	524544	3074	193	7	32784	PASS
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	149	EXECUTED_SHARD	524544	3074	193	7	32784	PASS
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	150	EXECUTED_SHARD	524544	3074	193	7	32784	PASS
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	174	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	175	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	195	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	226	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s2-text_decode_nvbit-warp-mref-shard_v26-qk-mixed_20260917T130000Z_c26c26c26c26	254	EXECUTED_SHARD	32784	17	2	1	513	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	13	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	14	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	116	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	123	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	125	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	127	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	165	EXECUTED_SHARD	4198400	2	1	1	16	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	191	EXECUTED_SHARD	4198400	2	1	1	16	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	193	EXECUTED_SHARD	4198400	2	1	1	16	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	251	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	253	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	255	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	257	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	259	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	261	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	263	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	265	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	267	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	270	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	272	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	274	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	276	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	278	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	280	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	282	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	284	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	286	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	288	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	290	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	292	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	294	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	296	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	302	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	307	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	310	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	314	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	318	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	323	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	331	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	338	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	344	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	350	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	358	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	365	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	372	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	379	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	386	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	390	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	398	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	408	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	423	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	426	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	430	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	432	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	438	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	441	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	443	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	448	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	450	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	458	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	461	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	464	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	465	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	467	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	469	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	471	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	475	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	478	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	481	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	483	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	487	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	491	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	492	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	706	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	710	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	712	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	713	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	715	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	717	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	719	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	722	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	724	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	725	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	727	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	729	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	731	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	733	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	735	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	737	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	739	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	742	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	744	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	746	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	748	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	749	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	752	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	754	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	755	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	757	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	759	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	761	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	763	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	766	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	767	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	769	ZERO_EXECUTION_PROVEN	0	0	0	0	0	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	936	EXECUTED_SHARD	4194432	12290	769	25	393264	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	939	EXECUTED_SHARD	4194432	12290	769	25	393264	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	941	EXECUTED_SHARD	4194432	12290	769	25	393264	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	943	EXECUTED_SHARD	4194432	12290	769	25	393264	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	945	EXECUTED_SHARD	4194432	12290	769	25	393264	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	947	EXECUTED_SHARD	4194432	12290	769	25	393264	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	949	EXECUTED_SHARD	4194432	12290	769	25	393264	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	951	EXECUTED_SHARD	4194432	12290	769	25	393264	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	954	EXECUTED_SHARD	4194432	12290	769	25	393264	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	956	EXECUTED_SHARD	4194432	12290	769	25	393264	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	958	EXECUTED_SHARD	4194432	12290	769	25	393264	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	960	EXECUTED_SHARD	4194432	12290	769	25	393264	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	962	EXECUTED_SHARD	4194432	12290	769	25	393264	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	964	EXECUTED_SHARD	4194432	12290	769	25	393264	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	966	EXECUTED_SHARD	4194432	12290	769	25	393264	PASS
C16R_deepseek-v2-lite_s3-text_decode_nvbit-warp-mref-shard_v27-qk-mixed_20260917T140000Z_d27d27d27d27	967	EXECUTED_SHARD	4194432	12290	769	25	393264	PASS
