workload,variant,comparison,speedup,descriptor_block_d256,descriptor_block_d512,line_mshr_full_d256,line_mshr_full_d512,l2d_full_d256,l2d_full_d512,speedup_percent,descriptor_block_base,descriptor_block_cell,line_mshr_full_base,line_mshr_full_cell,l2d_full_base,l2d_full_cell
vectorAdd_4M,B0-Banked,D512_BANK_HR_VS_PROMOTED_PARENT,,,,,,,,0.46101123289907786,0.0,0.0,0.0,0.0,1724003.0,1757632.0
scan,B0-Banked,D512_META_HR_VS_PROMOTED_PARENT,,,,,,,,0.6403543743902951,0.0,0.0,19.0,0.0,58792353.0,58242238.0
scan,B0-Banked,D512_BANK_HR_VS_PROMOTED_PARENT,,,,,,,,-0.10099083694020683,0.0,0.0,19.0,0.0,58792353.0,59333640.0
spmv,B0-Banked,D512_META_HR_VS_PROMOTED_PARENT,,,,,,,,0.21693819388319824,0.0,0.0,0.0,0.0,288174.0,326460.0
spmv,B0-Banked,D512_BANK_HR_VS_PROMOTED_PARENT,,,,,,,,0.4905097035615258,0.0,0.0,0.0,8.0,288174.0,286572.0
convolutionSeparable,B0-Banked,D512_META_HR_VS_PROMOTED_PARENT,,,,,,,,0.6738901999965519,0.0,0.0,931416.0,1003039.0,2455970.0,2832992.0
convolutionSeparable,B0-Banked,D512_BANK_HR_VS_PROMOTED_PARENT,,,,,,,,-0.5269625781678222,0.0,0.0,931416.0,1091244.0,2455970.0,2773016.0
btree,B0-Banked,D512_META_HR_VS_PROMOTED_PARENT,,,,,,,,2.1669997815198183,0.0,0.0,0.0,0.0,0.0,0.0
btree,B0-Banked,D512_BANK_HR_VS_PROMOTED_PARENT,,,,,,,,1.912180159819199,0.0,0.0,0.0,0.0,0.0,0.0
sad,B0-Banked,D512_META_HR_VS_PROMOTED_PARENT,,,,,,,,0.7851281070397453,0.0,0.0,0.0,0.0,0.0,0.0
sad,B0-Banked,D512_BANK_HR_VS_PROMOTED_PARENT,,,,,,,,0.8990854131142534,0.0,0.0,0.0,0.0,0.0,0.0
FWT_7_21,B0-Banked,D512_META_HR_VS_PROMOTED_PARENT,,,,,,,,-0.1458104665330695,0.0,0.0,0.0,0.0,1077737.0,1077031.0
FWT_7_21,B0-Banked,D512_BANK_HR_VS_PROMOTED_PARENT,,,,,,,,0.3619264690105428,0.0,0.0,0.0,0.0,1077737.0,1079057.0
