cell,workload,variant,snapshot_status,channels,weighted_mean,p50,p95,max,n_cmd_sum
D256_BASE,cfd_097k,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.17225362499999997,0.172025,0.173202,0.173595,1956928
D512_BASE,cfd_097k,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.17225362499999997,0.172025,0.173202,0.173595,1956928
D256_BASE,cfd_097k,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.17629446875000002,0.176443,0.177314,0.177447,1911552
D512_BASE,cfd_097k,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.1767833125,0.176794,0.17807,0.178138,1904864
D256_BASE,convolutionSeparable,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6510933124999998,0.651066,0.651259,0.651342,6975584
D512_BASE,convolutionSeparable,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6466976562499999,0.646689,0.646826,0.646844,7021312
D256_BASE,convolutionSeparable,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6510933124999998,0.651066,0.651259,0.651342,6975584
D512_BASE,convolutionSeparable,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6466976562499999,0.646689,0.646826,0.646844,7021312
D256_BASE,dwt2d,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.2725316875,0.27251,0.272733,0.272925,4011776
D512_BASE,dwt2d,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.2725316875,0.27251,0.272733,0.272925,4011776
D256_BASE,dwt2d,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.2725316875,0.27251,0.272733,0.272925,4011776
D512_BASE,dwt2d,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.2725316875,0.27251,0.272733,0.272925,4011776
D256_BASE,gemm,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.007354000000000004,0.007354,0.007354,0.007354,13367872
D512_BASE,gemm,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.007354000000000004,0.007354,0.007354,0.007354,13367872
D256_BASE,gemm,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.007354000000000004,0.007354,0.007354,0.007354,13367872
D512_BASE,gemm,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.007354000000000004,0.007354,0.007354,0.007354,13367872
D256_BASE,sad,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.006726125,0.006716,0.006824,0.006836,2658816
D512_BASE,sad,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.006726125,0.006716,0.006824,0.006836,2658816
D256_BASE,sad,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.006726125,0.006716,0.006824,0.006836,2658816
D512_BASE,sad,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.006726125,0.006716,0.006824,0.006836,2658816
D256_BASE,scan,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.8186528124999998,0.818637,0.818721,0.818722,51852928
D512_BASE,scan,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.8166278124999999,0.816612,0.816696,0.816699,51981696
D256_BASE,scan,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.8186528124999998,0.818637,0.818721,0.818722,51852928
D512_BASE,scan,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.8166278124999999,0.816612,0.816696,0.816699,51981696
D256_BASE,sgemm,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.046245000000000036,0.04623,0.04626,0.04626,8500128
D512_BASE,sgemm,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.046245000000000036,0.04623,0.04626,0.04626,8500128
D256_BASE,sgemm,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.046245000000000036,0.04623,0.04626,0.04626,8500128
D512_BASE,sgemm,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.046245000000000036,0.04623,0.04626,0.04626,8500128
D256_BASE,spmv,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6660526249999998,0.665247,0.679557,0.685576,563520
D512_BASE,spmv,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6630031249999999,0.662201,0.676446,0.682437,566112
D256_BASE,spmv,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6660526249999998,0.665247,0.679557,0.685576,563520
D512_BASE,spmv,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6630031249999999,0.662201,0.676446,0.682437,566112
D256_BASE,vectorAdd_4M,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.7958373750000001,0.795656,0.796818,0.797036,1761888
D512_BASE,vectorAdd_4M,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.7899938750000001,0.789746,0.791693,0.792991,1775072
D256_BASE,vectorAdd_4M,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.7958373750000001,0.795656,0.796818,0.797036,1761888
D512_BASE,vectorAdd_4M,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.7899938750000001,0.789746,0.791693,0.792991,1775072
