cell,workload,variant,binding,runtime_config_composite_sha256,cycles,descriptor_need,descriptor_pool_full_block,descriptor_avg,descriptor_p95,line_mshr_avg,line_mshr_p95,line_mshr_full_block,per_address_cap_block,wad_full_events,bank_true_conflict_ops,l2_to_dram_full_block,scheduler_full_cycles,lower_admission_byte_rate_norm,native_dram_snapshot_status,native_dram_channels_observed,native_dram_data_bus_util_weighted_mean,l1_mshr_entry_fail,l1_miss_queue_full,l1_bank_latency_queue_conflict
D256_BASE,dwt2d,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,166961,446140,0,15,104,4,28,0,0,74044,0,0,161970,0.272531667,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.2725316875,,,
D512_BASE,dwt2d,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,166961,446140,0,15,104,4,28,0,0,74044,0,0,161970,0.272531667,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.2725316875,,,
D256_BASE,dwt2d,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,166961,446140,0,15,104,4,28,0,0,74044,0,0,161970,0.272531667,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.2725316875,,,
D512_BASE,dwt2d,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,166961,446140,0,15,104,4,28,0,0,74044,0,0,161970,0.272531667,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.2725316875,,,
D256_BASE,gemm,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,556340,162036,0,0,3,0,1,0,0,0,0,0,0,0.007353751,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.007354000000000004,,,
D512_BASE,gemm,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,556340,162036,0,0,3,0,1,0,0,0,0,0,0,0.007353751,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.007354000000000004,,,
D256_BASE,gemm,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,556340,162036,0,0,3,0,1,0,0,0,0,0,0,0.007353751,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.007354000000000004,,,
D512_BASE,gemm,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,556340,162036,0,0,3,0,1,0,0,0,0,0,0,0.007353751,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.007354000000000004,,,
D256_BASE,sad,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,110653,6402,0,0,0,0,0,0,0,0,0,0,0,0.006725926,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.006726125,,,
D512_BASE,sad,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,110653,6402,0,0,0,0,0,0,0,0,0,0,0,0.006725926,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.006726125,,,
D256_BASE,sad,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,110653,6402,0,0,0,0,0,0,0,0,0,0,0,0.006725926,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.006726125,,,
D512_BASE,sad,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,110653,6402,0,0,0,0,0,0,0,0,0,0,0,0.006725926,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.006726125,,,
D256_BASE,scan,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,2157997,83641439,60513316,207,256,60,82,0,0,2318944,0,62160071,18691183,0.818652729,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.8186528124999998,,,
D512_BASE,scan,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,2163356,80226602,0,237,322,67,95,19,0,2673263,0,58792353,18868498,0.816627838,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.8166278124999999,,,
D256_BASE,scan,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,2157997,83641439,60513316,207,256,60,82,0,0,2318944,0,62160071,18691183,0.818652729,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.8186528124999998,,,
D512_BASE,scan,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,2163356,80226602,0,237,322,67,95,19,0,2673263,0,58792353,18868498,0.816627838,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.8166278124999999,,,
D256_BASE,sgemm,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,353756,1162247,0,5,30,0,3,0,1409,0,0,0,0,0.046244951,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.046245000000000036,,,
D512_BASE,sgemm,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,353756,1162247,0,5,30,0,3,0,1409,0,0,0,0,0.046244951,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.046245000000000036,,,
D256_BASE,sgemm,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,353756,1162247,0,5,30,0,3,0,1409,0,0,0,0,0.046244951,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.046245000000000036,,,
D512_BASE,sgemm,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,353756,1162247,0,5,30,0,3,0,1409,0,0,0,0,0.046244951,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.046245000000000036,,,
D256_BASE,spmv,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,23453,755597,361635,142,256,41,87,0,8598,0,0,348466,217,0.666052669,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6660526249999998,,,
D512_BASE,spmv,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,23560,696157,0,179,382,50,116,0,21040,0,0,288174,124,0.663003081,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6630031249999999,,,
D256_BASE,spmv,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,23453,755597,361635,142,256,41,87,0,8598,0,0,348466,217,0.666052669,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6660526249999998,,,
D512_BASE,spmv,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,23560,696157,0,179,382,50,116,0,21040,0,0,288174,124,0.663003081,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6630031249999999,,,
D256_BASE,vectorAdd_4M,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,73325,3176663,2176663,223,256,58,71,0,0,0,0,2176661,496563,0.795837193,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.7958373750000001,,,
D512_BASE,vectorAdd_4M,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,73873,2724003,0,262,339,68,88,0,0,0,0,1724003,486133,0.789993871,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.7899938750000001,,,
D256_BASE,vectorAdd_4M,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,73325,3176663,2176663,223,256,58,71,0,0,0,0,2176661,496563,0.795837193,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.7958373750000001,,,
D512_BASE,vectorAdd_4M,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,73873,2724003,0,262,339,68,88,0,0,0,0,1724003,486133,0.789993871,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.7899938750000001,,,
D256_META_HR,vectorAdd_4M,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,3a5573ccac1e02e06d338e8d78e13a21676a1087ac24d94add9c7944e8b42112,73060.0,,2113501.0,,,,,0.0,,,,2113484.0,974970.0,0.798541743,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,0.0,193143.0,36761.0
D256_BANK_HR,vectorAdd_4M,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,304c7b50822bdbb57189c94af50b16d17d03913c033798e8489b9189cc170810,73562.0,,2131844.0,,,,,0.0,,,,2131844.0,983669.0,0.793091587,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,0.0,2857614.0,68228.0
D256_META_HR,scan,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,3a5573ccac1e02e06d338e8d78e13a21676a1087ac24d94add9c7944e8b42112,2151187.0,,59940635.0,,,,,0.0,,,,61625939.0,36575250.0,0.821245101,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,0.0,25450473.0,5777928.0
D256_BANK_HR,scan,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,304c7b50822bdbb57189c94af50b16d17d03913c033798e8489b9189cc170810,2160489.0,,61294765.0,,,,,0.0,,,,62681953.0,37261334.0,0.817701068,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,207543804.0,93948182.0,42265200.0
D256_META_HR,spmv,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,3a5573ccac1e02e06d338e8d78e13a21676a1087ac24d94add9c7944e8b42112,23740.0,,394994.0,,,,,0.0,,,,382721.0,0.0,0.669920341,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,650564.0,103646.0,326457.0
D256_BANK_HR,spmv,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,304c7b50822bdbb57189c94af50b16d17d03913c033798e8489b9189cc170810,23550.0,,355694.0,,,,,0.0,,,,343735.0,173.0,0.675337895,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,2746897.0,172268.0,581383.0
D256_META_HR,convolutionSeparable,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,3a5573ccac1e02e06d338e8d78e13a21676a1087ac24d94add9c7944e8b42112,290113.0,,3398874.0,,,,,0.0,,,,3168557.0,2318470.0,0.65121809,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,369373.0,1159965.0,3678629.0
D256_BANK_HR,convolutionSeparable,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,304c7b50822bdbb57189c94af50b16d17d03913c033798e8489b9189cc170810,292665.0,,3599654.0,,,,,0.0,,,,3351059.0,2577867.0,0.645704119,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,3760146.0,2502736.0,3885604.0
D256_META_HR,btree,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,3a5573ccac1e02e06d338e8d78e13a21676a1087ac24d94add9c7944e8b42112,123581.0,,67.0,,,,,0.0,,,,67.0,0.0,0.149005873,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,0.0,14.0,0.0
D256_BANK_HR,btree,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,304c7b50822bdbb57189c94af50b16d17d03913c033798e8489b9189cc170810,123890.0,,0.0,,,,,0.0,,,,0.0,0.0,0.148795511,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,0.0,809754.0,152743.0
D256_META_HR,sad,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,3a5573ccac1e02e06d338e8d78e13a21676a1087ac24d94add9c7944e8b42112,109791.0,,0.0,,,,,0.0,,,,0.0,0.0,0.006865516,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,0.0,14604.0,1736.0
D256_BANK_HR,sad,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,304c7b50822bdbb57189c94af50b16d17d03913c033798e8489b9189cc170810,109667.0,,0.0,,,,,0.0,,,,0.0,0.0,0.00687327,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,0.0,1207501.0,48410.0
D256_META_HR,FWT_7_21,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,3a5573ccac1e02e06d338e8d78e13a21676a1087ac24d94add9c7944e8b42112,498902.0,,1151809.0,,,,,0.0,,,,1151021.0,855754.0,0.161690473,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,0.0,18958642.0,6857225.0
D256_BANK_HR,FWT_7_21,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,304c7b50822bdbb57189c94af50b16d17d03913c033798e8489b9189cc170810,496654.0,,1171009.0,,,,,0.0,,,,1170376.0,869894.0,0.162197094,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,7356636.0,39061172.0,7758194.0
D512_META_HR,vectorAdd_4M,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,6fd73e4a6e322ba94a5aca2b242da448ac3593d995f7b2e3735a11c307c3c2c2,73435.0,,0.0,,,,,0.0,,,,1857242.0,972404.0,0.794965725,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,0.0,174235.0,33096.0
D512_BANK_HR,vectorAdd_4M,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,b4e08481e333ae8f469cc486d530e945697d6ed200a1910ff4151cc8a8e36fc2,73534.0,,0.0,,,,,0.0,,,,1757632.0,978205.0,0.793393219,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,0.0,2832970.0,65609.0
D512_META_HR,scan,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,6fd73e4a6e322ba94a5aca2b242da448ac3593d995f7b2e3735a11c307c3c2c2,2149591.0,,0.0,,,,,0.0,,,,58242238.0,36693299.0,0.821855879,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,0.0,25195338.0,5672904.0
D512_BANK_HR,scan,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,b4e08481e333ae8f469cc486d530e945697d6ed200a1910ff4151cc8a8e36fc2,2165543.0,,0.0,,,,,0.0,,,,59333640.0,37659149.0,0.815806823,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,228849306.0,92934665.0,48823951.0
D512_META_HR,spmv,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,6fd73e4a6e322ba94a5aca2b242da448ac3593d995f7b2e3735a11c307c3c2c2,23509.0,,0.0,,,,,0.0,,,,326460.0,0.0,0.676523907,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,660041.0,93697.0,324578.0
D512_BANK_HR,spmv,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,b4e08481e333ae8f469cc486d530e945697d6ed200a1910ff4151cc8a8e36fc2,23445.0,,0.0,,,,,8.0,,,,286572.0,195.0,0.678368553,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,2724270.0,174426.0,574302.0
D512_META_HR,convolutionSeparable,B0-Banked,REVIEW_PACK_BOUND_CONTRACT_PLUS_PROMOTION_STATUS,6fd73e4a6e322ba94a5aca2b242da448ac3593d995f7b2e3735a11c307c3c2c2,290255.0,,0.0,,,,,1003039.0,,,,2832992.0,2578828.0,0.650699482,NOT_RETAINED_IN_COMPACT_L1_REVIEW_TABLE,,,371947.0,1197460.0,3709654.0
