kind	classification	accepted_target	bundle	phase	candidate	exact_function	grid	block	decode_step	occurrence	payload_rel	payload_sha256	runner_index_sha256	producer_identity	simulator_qualification	rtx4080_v1_replay
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-gemv-primary-step24_20260918T075713Z_c4a404488907	DECODE	DECODE_GEMV_PRIMARY_STEP24	std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, false, true, true, false, 6, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half>, float>)	1216,1,1	16,4,1	24	10	traces/kernel-25463-ctx_0x648125b15f50.traceg.xz	06eb4458edb4b034a727cc4d7890ff8410e368d7f9adefbc3a65b690254a21a0	920e3b3f3289be2f72db5ca97b7d44f4e2cbfdffb1814fbe43ae2e4189b792e7	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REUSABLE_NOW	T2	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-gemv-primary-step16_20260918T074437Z_b0dfb1af1ae1	DECODE	DECODE_GEMV_PRIMARY_STEP16	std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, false, true, true, false, 6, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half>, float>)	1216,1,1	16,4,1	16	10	traces/kernel-17039-ctx_0x5ddb6907c160.traceg.xz	b87cd6cb6a2bc0f67e17616e26d1bf9091facad242d46a43f5f9c1ac274b6138	2a458d31a945cf11ce465b563582e6ab29292ae692bd3d2acd74bf4e8b5c2c4a	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	P1_ACCEPTED	YES
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_prefill_awma-route-b-nvbit1771-sim-native_q05-prefill-attn-flash_20260922T101218Z_48d2485ceddc	PREFILL	Q05_PREFILL_ATTN_FLASH	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	16,1,14	128,1,1	N/A	UNKNOWN	traces/kernel-34-ctx_0x5729c50e3b90.traceg.xz	280422308cc4f6882b9649156e6475f4573ebfa714f840127982eb820498f947	952fe8bc21bda3b9b6b105a112820f2b604350d2f2c2c2fc91ef76f40791cef4	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step24-occ23_20260918T212415Z_ea5e61f7550c	DECODE	DECODE_FLASH_PRIMARY_1_STEP24_OCC23	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 64, 256, 4, cutlass::half_t> >, false, false, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	1,9,14	128,1,1	24	23	traces/kernel-26225-ctx_0x5f8313d5ae30.traceg.xz	1d8ec37d4c44d23556d4820364b1a6dc39177e09710a99a5e0d0d05214d93d89	f2105be8d0232b0d61d0065cd8f2630df0ac7be688eeb004309e5ecb99655cdb	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_decode-gemv-primary-step8_20260918T073217Z_91ee6ec83623	DECODE	DECODE_GEMV_PRIMARY_STEP8	std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, false, true, true, false, 6, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half>, float>)	1216,1,1	16,4,1	8	10	traces/kernel-8615-ctx_0x55cbbe175c50.traceg.xz	a7cd41b534f27c8c16c24b07ae01b93d8a3c6c326e9c968b01961ea57af3ae7c	0a73b0871973e5b120fe2336d2c88d5ddcff72fea88391f94d58924b58548725	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step4_20260918T173233Z_2a72a7c2ac3c	DECODE	DECODE_FLASH_PRIMARY_1_STEP4	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 64, 256, 4, cutlass::half_t> >, false, false, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	1,9,14	128,1,1	4	17	traces/kernel-4907-ctx_0x608643abdb60.traceg.xz	c6ee4b1a747b60ac24da3842ddf6162ec8176c24f25041436c51aa5d5b39b51a	e1ac08bdf930a0c52abf971ce19b61c77268776285d524cc512899948a890818	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step1-occ23_20260918T194612Z_80a57e6b7699	DECODE	DECODE_FLASH_PRIMARY_1_STEP1_OCC23	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 64, 256, 4, cutlass::half_t> >, false, false, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	1,9,14	128,1,1	1	23	traces/kernel-2006-ctx_0x62f9d391c960.traceg.xz	66bb3ffc5ab46e40692d816e3a60d7f3fc022df2e4974b3a7191c2e8b583c43e	c298fcaadd57b31a36c9b4c9ec67e48fb2193f76b241b4e60f15232151f4e9cc	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step32-occ8_20260918T214559Z_9598fae02f1c	DECODE	DECODE_FLASH_PRIMARY_1_STEP32_OCC8	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 64, 256, 4, cutlass::half_t> >, false, false, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	1,9,14	128,1,1	32	8	traces/kernel-34004-ctx_0x5cfeadebbd90.traceg.xz	870a8ae11c48316f93ebd27727119ba3d7c823390ce8e651bd838d7e9d802dc0	3db4fd81e6bb870bbc20837f1d7a6bcf814c01edd89305eb80c1c07f0f173f68	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step1-occ8_20260918T193521Z_613b47bbde72	DECODE	DECODE_FLASH_PRIMARY_1_STEP1_OCC8	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 64, 256, 4, cutlass::half_t> >, false, false, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	1,9,14	128,1,1	1	8	traces/kernel-1361-ctx_0x56d164177220.traceg.xz	789da13e62ce22078776159f030146130e6cfb39191e0a2b1d043b9adc1f0e92	e90cb75364e4ac2245954b09f688ed578cf8a94c71150e12bee9accc8283dd30	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step24-occ8_20260918T211322Z_1f2536c3a62a	DECODE	DECODE_FLASH_PRIMARY_1_STEP24_OCC8	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 64, 256, 4, cutlass::half_t> >, false, false, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	1,9,14	128,1,1	24	8	traces/kernel-25580-ctx_0x640877c2bea0.traceg.xz	f741fee832bc1bea1de2876d2b8842d34e824c49fec8dc40a2cfad77670fefc1	c70dae17c7100769945b1fd0647046235d82f11bf57abe13bca4be00940d52ea	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-2-step24-occ23_20260919T000311Z_f731eb1e3766	DECODE	DECODE_FLASH_PRIMARY_2_STEP24_OCC23	void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 64, 256, 4, cutlass::half_t> >, 8, 4, true>(pytorch_flash::Flash_fwd_params)	2,1,1	128,1,1	24	23	traces/kernel-26226-ctx_0x5de62f536070.traceg.xz	f8c8602e9d52b7ccb10ba7fecb8e8f3f16ec2e456ad9d3a28e0a5b3cc4b1a279	d2a23c7bce030a11897ff173d9221c970f3ece7b98b27b69ca0309a7441b20c8	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step8-occ23_20260918T201857Z_b18810513873	DECODE	DECODE_FLASH_PRIMARY_1_STEP8_OCC23	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 64, 256, 4, cutlass::half_t> >, false, false, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	1,9,14	128,1,1	8	23	traces/kernel-9377-ctx_0x56658fd4b310.traceg.xz	c36e8846344414035299d4fee1a5b3197ba2f344a40e2b35d9dcc21adb4b0287	8d8e849243456efcd3baaaba45a5b64d534d14699c40d764f48f977da1b5b088	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-2-step16-occ23_20260918T233132Z_d53e5cf1ed31	DECODE	DECODE_FLASH_PRIMARY_2_STEP16_OCC23	void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 64, 256, 4, cutlass::half_t> >, 8, 4, true>(pytorch_flash::Flash_fwd_params)	2,1,1	128,1,1	16	23	traces/kernel-17802-ctx_0x5e19730e5920.traceg.xz	e624a2aff93a6826c73c27dd36d7a257d14c6110d1755b1acbf8c1597f1aa83b	fef0c72f6bdc4c3560cdddae3cabb92a81e9e8b56813a195e21b92684263b7b8	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step32_20260918T181849Z_ec68027e078b	DECODE	DECODE_FLASH_PRIMARY_1_STEP32	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 64, 256, 4, cutlass::half_t> >, false, false, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	1,9,14	128,1,1	32	17	traces/kernel-34391-ctx_0x56e2433b73d0.traceg.xz	3140c72a2ada4c42405d2b90ad00038e4c0c16c6bf270718e5aacaff32f7956d	d6f877b5dc441e534e20604b8086c262e679ccb8b4d92cc829203d1c8e5a2059	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step32-occ0_20260918T213506Z_2a78259b401b	DECODE	DECODE_FLASH_PRIMARY_1_STEP32_OCC0	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 64, 256, 4, cutlass::half_t> >, false, false, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	1,9,14	128,1,1	32	0	traces/kernel-33660-ctx_0x559d9c78b7f0.traceg.xz	80377c44002e042a2988007fdabc95fea1a97209dd6a8a810475ecca4301eae2	fb4aabcdc25d5828ea632e1cb981b768012fa721e71375483909a603ffd941b6	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
