scenario	phase	decode_step	global_launch_index	exact_function	grid	block	occurrence	occurrences_at_selector	model_authority	input_authority	driver_sha256	classification	traceg_audit	producer_compatibility
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)	152,2,1	512,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	2,1,1	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	1,1,1	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2,1,1	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (int)8, (int)4, (bool)1>(pytorch_flash::Flash_fwd_params)	2,1,1	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	4,1,1	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	1,1,1	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2,1,1	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	1,1,1	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	2,1,1	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)	1,1,1	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 5)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	10,1,1	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	10,1,1	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char *, (int)3>>(int, T2, T3)	1,1,1	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3635,1,1	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3630,1,1	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3633,1,1	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
