point_id	candidate	arm	nvtx	function	grid	block	launch_count	gpu_duration_ns	assignment
P1_FIXED_SPLIT_TRITON_256_B4	P1	FIXED_SPLIT_TRITON_256	QUAL=P1;ARM=FIXED_SPLIT_TRITON_256;LOGICAL_B=4;PHYSICAL_B=4;PHASE=CANARY	_split_stage1	504,1,1	256,1,1	1	15072	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P1_FIXED_SPLIT_TRITON_256_B4	P1	FIXED_SPLIT_TRITON_256	QUAL=P1;ARM=FIXED_SPLIT_TRITON_256;LOGICAL_B=4;PHYSICAL_B=4;PHASE=CANARY	_split_stage2	56,1,1	128,1,1	1	1536	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K256	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=256;PHASE=CANARY	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	2,1,1	128,1,1	2	4096	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K256	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=256;PHASE=CANARY	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	896,1,1	128,1,1	2	5728	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K256	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=256;PHASE=CANARY	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	1792,1,1	128,1,1	2	6560	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K256	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=256;PHASE=CANARY	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::maximum_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float, float) (instance 1)]>, at::detail::Array<char *, (int)3>>(int, T2, T3)	896,1,1	128,1,1	1	2592	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K256	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=256;PHASE=CANARY	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)	448,1,1	32,16,1	1	4064	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K256	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=256;PHASE=CANARY	void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)	8,1,1	64,1,1	1	896	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K256	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=256;PHASE=CANARY	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	28,1,1	128,1,1	1	1504	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K256	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=256;PHASE=CANARY	void at::native::radixSortKVInPlace<(int)2, (int)-1, (int)32, (int)32, float, long, unsigned int>(at::cuda::detail::TensorInfo<T5, T7>, T7, T7, T7, at::cuda::detail::TensorInfo<T6, T7>, T7, bool)	14,1,1	32,1,1	1	13248	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K256	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=256;PHASE=CANARY	void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)4, void at::native::_cuda_scatter_gather_internal_kernel<(bool)0, at::native::OpaqueType<(int)2>>::operator ()<at::native::TensorAssign>(at::TensorIterator &, long, long, long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	7168,1,1	128,1,1	2	33312	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K256	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=256;PHASE=CANARY	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0>(pytorch_flash::Flash_fwd_params)	1,8,14	128,1,1	1	21216	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K256	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=256;PHASE=CANARY	void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (int)8, (int)3, (bool)1>(pytorch_flash::Flash_fwd_params)	2,1,1	128,1,1	1	2656	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_READY_INDEX_K256	P2	READY_INDEX	QUAL=P2;ARM=READY_INDEX;TOP=256;PHASE=CANARY	void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)4, void at::native::_cuda_scatter_gather_internal_kernel<(bool)0, at::native::OpaqueType<(int)2>>::operator ()<at::native::TensorAssign>(at::TensorIterator &, long, long, long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	7168,1,1	128,1,1	2	33088	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_READY_INDEX_K256	P2	READY_INDEX	QUAL=P2;ARM=READY_INDEX;TOP=256;PHASE=CANARY	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0>(pytorch_flash::Flash_fwd_params)	1,8,14	128,1,1	1	21152	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_READY_INDEX_K256	P2	READY_INDEX	QUAL=P2;ARM=READY_INDEX;TOP=256;PHASE=CANARY	void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (int)8, (int)3, (bool)1>(pytorch_flash::Flash_fwd_params)	2,1,1	128,1,1	1	2624	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_STRONG_CUDA_GRAPH_K256	P2	STRONG_CUDA_GRAPH	QUAL=P2;ARM=STRONG_CUDA_GRAPH;TOP=256;PHASE=CANARY	void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<long>, at::detail::Array<char *, (int)1>>(int, T2, T3)	1,1,1	128,1,1	2	1760	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_STRONG_CUDA_GRAPH_K256	P2	STRONG_CUDA_GRAPH	QUAL=P2;ARM=STRONG_CUDA_GRAPH;TOP=256;PHASE=CANARY	CUDA_GRAPH_EXECUTION_GRAPH_LEVEL	graphId=1	graphExecId=2;captured_online_chain_reference_nodes=15	1	90688	CUPTI_GRAPH_TRACE_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K128	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=128;PHASE=CANARY	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	2,1,1	128,1,1	2	4064	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K128	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=128;PHASE=CANARY	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	896,1,1	128,1,1	2	5792	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K128	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=128;PHASE=CANARY	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	1792,1,1	128,1,1	2	6592	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K128	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=128;PHASE=CANARY	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::maximum_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float, float) (instance 1)]>, at::detail::Array<char *, (int)3>>(int, T2, T3)	896,1,1	128,1,1	1	2592	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K128	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=128;PHASE=CANARY	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)	448,1,1	32,16,1	1	4128	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K128	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=128;PHASE=CANARY	void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)	8,1,1	64,1,1	1	896	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K128	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=128;PHASE=CANARY	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	28,1,1	128,1,1	1	1504	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K128	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=128;PHASE=CANARY	void at::native::radixSortKVInPlace<(int)2, (int)-1, (int)32, (int)32, float, long, unsigned int>(at::cuda::detail::TensorInfo<T5, T7>, T7, T7, T7, at::cuda::detail::TensorInfo<T6, T7>, T7, bool)	14,1,1	32,1,1	1	13248	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K128	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=128;PHASE=CANARY	void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)4, void at::native::_cuda_scatter_gather_internal_kernel<(bool)0, at::native::OpaqueType<(int)2>>::operator ()<at::native::TensorAssign>(at::TensorIterator &, long, long, long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3584,1,1	128,1,1	2	18688	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K128	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=128;PHASE=CANARY	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0>(pytorch_flash::Flash_fwd_params)	1,8,14	128,1,1	1	12992	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_ONLINE_EAGER_K128	P2	ONLINE_EAGER	QUAL=P2;ARM=ONLINE_EAGER;TOP=128;PHASE=CANARY	void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (int)8, (int)3, (bool)1>(pytorch_flash::Flash_fwd_params)	2,1,1	128,1,1	1	2624	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_READY_INDEX_K128	P2	READY_INDEX	QUAL=P2;ARM=READY_INDEX;TOP=128;PHASE=CANARY	void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)4, void at::native::_cuda_scatter_gather_internal_kernel<(bool)0, at::native::OpaqueType<(int)2>>::operator ()<at::native::TensorAssign>(at::TensorIterator &, long, long, long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3584,1,1	128,1,1	2	18752	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_READY_INDEX_K128	P2	READY_INDEX	QUAL=P2;ARM=READY_INDEX;TOP=128;PHASE=CANARY	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0>(pytorch_flash::Flash_fwd_params)	1,8,14	128,1,1	1	13056	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_READY_INDEX_K128	P2	READY_INDEX	QUAL=P2;ARM=READY_INDEX;TOP=128;PHASE=CANARY	void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (int)8, (int)3, (bool)1>(pytorch_flash::Flash_fwd_params)	2,1,1	128,1,1	1	2624	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_STRONG_CUDA_GRAPH_K128	P2	STRONG_CUDA_GRAPH	QUAL=P2;ARM=STRONG_CUDA_GRAPH;TOP=128;PHASE=CANARY	void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<long>, at::detail::Array<char *, (int)1>>(int, T2, T3)	1,1,1	128,1,1	2	1760	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P2_STRONG_CUDA_GRAPH_K128	P2	STRONG_CUDA_GRAPH	QUAL=P2;ARM=STRONG_CUDA_GRAPH;TOP=128;PHASE=CANARY	CUDA_GRAPH_EXECUTION_GRAPH_LEVEL	graphId=1	graphExecId=2;captured_online_chain_reference_nodes=15	1	68768	CUPTI_GRAPH_TRACE_WITHIN_EXACT_CANARY_NVTX
