input_kind	role	M	implementation	state	median_ms	min_ms	max_ms	cv	samples_ms	pressure_median_ms	pressure_min_ms	pressure_max_ms	pressure_cv	pressure_samples_ms
TEXT	q_proj	1	AWQ_FP16_INPUT	WARM_A	0.03481600061058998	0.03379200026392937	0.07065600156784058	0.30219065010782675	[0.040063999593257904, 0.03481600061058998, 0.03481600061058998, 0.03452799841761589, 0.03379200026392937, 0.07065600156784058, 0.03711999952793121]	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT	q_proj	1	AWQ_FP16_INPUT	WARM_B	0.032735999673604965	0.031136000528931618	0.03302399814128876	0.018774670773520855	[0.03299200162291527, 0.032735999673604965, 0.03276799991726875, 0.031136000528931618, 0.03302399814128876, 0.032575998455286026, 0.03219199925661087]	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT	q_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	0.050144001841545105	0.04979199916124344	0.05215999856591225	0.015220765705587181	[0.05215999856591225, 0.050144001841545105, 0.050144001841545105, 0.050175998359918594, 0.04979199916124344, 0.04982399940490723, 0.049984000623226166]	0.4347839951515198	0.4331519901752472	0.4485119879245758	0.011356446355628826	[0.4485119879245758, 0.4362240135669708, 0.4339520037174225, 0.4331519901752472, 0.4352000057697296, 0.4347839951515198, 0.4341759979724884]
TEXT	q_proj	1	RAW_FP16	SPARSE_PAGE_PRESSURE	0.05315199866890907	0.05222399905323982	0.05939200147986412	0.04320537775101875	[0.05939200147986412, 0.05222399905323982, 0.05222399905323982, 0.05315199866890907, 0.0530879981815815, 0.05321599915623665, 0.053247999399900436]	0.04054399952292442	0.039903998374938965	3.438591957092285	2.2545481012521735	[3.438591957092285, 0.04633599892258644, 0.04054399952292442, 0.03993599861860275, 0.04508800059556961, 0.039903998374938965, 0.03993599861860275]
TEXT	q_proj	1	RAW_FP16	WARM_A	0.050175998359918594	0.027648000046610832	0.05119999870657921	0.16999366362843743	[0.027648000046610832, 0.05004800111055374, 0.05119999870657921, 0.050175998359918594, 0.050175998359918594, 0.050912000238895416, 0.05110400170087814]	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT	q_proj	1	RAW_FP16	WARM_B	0.04851200059056282	0.04809600114822388	0.04915200173854828	0.007780994037051506	[0.049056001007556915, 0.04841599985957146, 0.04835199937224388, 0.04851200059056282, 0.04899200052022934, 0.04915200173854828, 0.04809600114822388]	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT	up_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	0.07552000135183334	0.07475200295448303	0.07577600330114365	0.00566899106586454	[0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07542400062084198, 0.07552000135183334]	0.4106239974498749	0.4102720022201538	0.41152000427246094	0.000979478152656923	[0.4106239974498749, 0.4102720022201538, 0.41152000427246094, 0.4106239974498749, 0.4102720022201538, 0.4106239974498749, 0.4103359878063202]
TEXT	up_proj	1	AWQ_FP16_INPUT	SPARSE_PAGE_PRESSURE	0.04800000041723251	0.04608000069856644	0.04915200173854828	0.0177273490645441	[0.047807998955249786, 0.047968000173568726, 0.04915200173854828, 0.04825599864125252, 0.04608000069856644, 0.0480320006608963, 0.04800000041723251]	0.03612799942493439	0.03580800071358681	0.03686400130391121	0.011816756705382238	[0.035840000957250595, 0.036639999598264694, 0.03686400130391121, 0.03612799942493439, 0.03686400130391121, 0.03580800071358681, 0.03606399893760681]
TEXT	up_proj	1	AWQ_FP16_INPUT	WARM_A	0.04915200173854828	0.04608000069856644	0.050175998359918594	0.029474551636412227	[0.04608000069856644, 0.04915200173854828, 0.05008000135421753, 0.050175998359918594, 0.049215998500585556, 0.0469760000705719, 0.04848000034689903]	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT	up_proj	1	AWQ_FP16_INPUT	WARM_B	0.04608000069856644	0.04572800174355507	0.04684799909591675	0.007307462135074819	[0.04608000069856644, 0.04572800174355507, 0.04684799909591675, 0.04608000069856644, 0.04608000069856644, 0.04608000069856644, 0.045791998505592346]	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT	up_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	0.21193599700927734	0.21094399690628052	0.21196800470352173	0.0021470133464911137	[0.21094399690628052, 0.21196800470352173, 0.21190400421619415, 0.21196800470352173, 0.21094399690628052, 0.21196800470352173, 0.21193599700927734]	0.4102399945259094	0.40959998965263367	0.4106239974498749	0.0011496543231221212	[0.40959998965263367, 0.4102399945259094, 0.4106239974498749, 0.40959998965263367, 0.40959998965263367, 0.4106239974498749, 0.4105919897556305]
TEXT	up_proj	1	RAW_FP16	SPARSE_PAGE_PRESSURE	0.21196800470352173	0.21094399690628052	0.21241599321365356	0.001949292555369914	[0.21196800470352173, 0.21196800470352173, 0.21196800470352173, 0.21241599321365356, 0.21094399690628052, 0.21187199652194977, 0.21196800470352173]	0.03686400130391121	0.036479998379945755	0.03779200091958046	0.012393243388968685	[0.03686400130391121, 0.037567999213933945, 0.03759999945759773, 0.03779200091958046, 0.036479998379945755, 0.03686400130391121, 0.03686400130391121]
TEXT	up_proj	1	RAW_FP16	WARM_A	0.2115200012922287	0.21094399690628052	0.21196800470352173	0.0018301199817379328	[0.21094399690628052, 0.21158400177955627, 0.21094399690628052, 0.2115200012922287, 0.21094399690628052, 0.21164800226688385, 0.21196800470352173]	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT	up_proj	1	RAW_FP16	WARM_B	0.21094399690628052	0.21084800362586975	0.211776003241539	0.0014256816902095645	[0.21094399690628052, 0.21084800362586975, 0.21094399690628052, 0.2109760046005249, 0.21091200411319733, 0.211776003241539, 0.21091200411319733]	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT	up_proj	256	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	0.6594560146331787	0.6584320068359375	0.6604800224304199	0.0010990917666436342	[0.6584320068359375, 0.6593919992446899, 0.6596480011940002, 0.6601600050926208, 0.6594560146331787, 0.6584320068359375, 0.6604800224304199]	0.447488009929657	0.4454079866409302	0.4522239863872528	0.005193697559672922	[0.4506239891052246, 0.4522239863872528, 0.4454079866409302, 0.446368008852005, 0.4493120014667511, 0.447488009929657, 0.44646400213241577]
TEXT	up_proj	256	AWQ_FP16_INPUT	SPARSE_PAGE_PRESSURE	0.6643840074539185	0.6625279784202576	0.66457599401474	0.0010814514131822239	[0.6643840074539185, 0.66457599401474, 0.6643840074539185, 0.66457599401474, 0.6625279784202576, 0.66457599401474, 0.6635519862174988]	0.04403200000524521	0.043455999344587326	0.04598399996757507	0.01907253137517166	[0.04505600035190582, 0.04598399996757507, 0.043455999344587326, 0.04383999854326248, 0.04505600035190582, 0.043807998299598694, 0.04403200000524521]
TEXT	up_proj	256	AWQ_FP16_INPUT	WARM_A	0.66457599401474	0.6627839803695679	0.6687679886817932	0.003483800999321153	[0.6687679886817932, 0.6662399768829346, 0.66457599401474, 0.662880003452301, 0.6686720252037048, 0.6627839803695679, 0.6643840074539185]	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT	up_proj	256	AWQ_FP16_INPUT	WARM_B	0.6651840209960938	0.6621440052986145	0.6656000018119812	0.002035918882967711	[0.6656000018119812, 0.6656000018119812, 0.6621440052986145, 0.6641280055046082, 0.6651840209960938, 0.6652160286903381, 0.6625279784202576]	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT	up_proj	256	RAW_FP16	DENSE_MEMORY_PRESSURE	0.34723201394081116	0.3461120128631592	0.3481599986553192	0.0023743341672377003	[0.3481599986553192, 0.34643200039863586, 0.3461120128631592, 0.3481599986553192, 0.3481599986553192, 0.34668800234794617, 0.34723201394081116]	0.4246399998664856	0.42393600940704346	0.4256319999694824	0.0011317591830679538	[0.4256319999694824, 0.4246079921722412, 0.42451199889183044, 0.4249599874019623, 0.4249599874019623, 0.4246399998664856, 0.42393600940704346]
TEXT	up_proj	256	RAW_FP16	SPARSE_PAGE_PRESSURE	0.3481599986553192	0.34751999378204346	0.34883201122283936	0.0010100793387023957	[0.3481599986553192, 0.34751999378204346, 0.348224014043808, 0.34883201122283936, 0.34812799096107483, 0.3481599986553192, 0.3481599986553192]	0.04095999896526337	0.03993599861860275	0.043807998299598694	0.02850050996942596	[0.043807998299598694, 0.04095999896526337, 0.04073600098490715, 0.03993599861860275, 0.04198399931192398, 0.04057599976658821, 0.04095999896526337]
TEXT	up_proj	256	RAW_FP16	WARM_A	0.3461120128631592	0.34508800506591797	0.3491840064525604	0.003478606916803552	[0.3491840064525604, 0.34703999757766724, 0.3461120128631592, 0.34508800506591797, 0.3461120128631592, 0.346015989780426, 0.3461120128631592]	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT	up_proj	256	RAW_FP16	WARM_B	0.3461120128631592	0.3457919955253601	0.3468799889087677	0.0009041080744319371	[0.3461120128631592, 0.3468799889087677, 0.3461120128631592, 0.3463039994239807, 0.3460479974746704, 0.3457919955253601, 0.3461120128631592]	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
