model_variant	model_id	model_revision	scenario	input_class	batch	context_tokens	decode_steps	token_count	token_payload_sha256	binding_sha256	authority_path	authority_status	notes
Qwen2.5-7B-Instruct raw	Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	S2_CODE	CODE	1	2048	32	2048	f43eecda2d20c590b0a01bd21bb070a0dd53a8790394d1f7e038422a8cd4dc24	e3313161185d8fd109533058248224337099a65a0e3beb7ffa4b87fac9dfc29a	/root/share/c16_recovery_v3/staging/qwen2p5_7b_raw_p2_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_raw_reference/CODE_T2048.json	RUNTIME_BINDING	Exact token receipt path and hash
Qwen2.5-7B-Instruct raw	Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	S2_STRUCTURED	STRUCTURED	1	2048	32	2048	32eec8dc34f681e6dc0aa5500f6b458e5776d190a8d93e77745148a3a2e567bf	e3313161185d8fd109533058248224337099a65a0e3beb7ffa4b87fac9dfc29a	/root/share/c16_recovery_v3/staging/qwen2p5_7b_raw_p2_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_raw_reference/STRUCTURED_T2048.json	RUNTIME_BINDING	Exact token receipt path and hash
Qwen2.5-7B-Instruct raw	Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	S2_TEXT	TEXT	1	2048	32	2048	2424297397c48163f850a58928da9414a88def22042dd14d066b38d3b4c1f382	e3313161185d8fd109533058248224337099a65a0e3beb7ffa4b87fac9dfc29a	/root/share/c16_recovery_v3/staging/qwen2p5_7b_raw_p2_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_raw_reference/TEXT_T2048.json	RUNTIME_BINDING	Exact token receipt path and hash
Qwen2.5-7B-Instruct raw	Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	S3_TEXT	TEXT	1	8192	16	8192	719bdcd745d0afe1eabc0685811625ebbaede1081a5fa9118cbdc6753c801765	e3313161185d8fd109533058248224337099a65a0e3beb7ffa4b87fac9dfc29a	/root/share/c16_recovery_v3/staging/qwen2p5_7b_raw_p2_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_raw_reference/TEXT_T8192.json	RUNTIME_BINDING	Exact token receipt path and hash
Qwen2.5-7B-Instruct raw	Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	S4_STRUCTURED	STRUCTURED	4	2048	16	2048	32eec8dc34f681e6dc0aa5500f6b458e5776d190a8d93e77745148a3a2e567bf	e3313161185d8fd109533058248224337099a65a0e3beb7ffa4b87fac9dfc29a	/root/share/c16_recovery_v3/staging/qwen2p5_7b_raw_p2_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_raw_reference/STRUCTURED_T2048.json	RUNTIME_BINDING	S4 deliberately reuses the S2 structured payload
Qwen2.5-7B-Instruct-AWQ	Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	S0_TEXT	TEXT	1	128	4	128	129d5c524306f9fb5ded6e6072baf886a080f8b077f012bd5260574c76496bae	7e7280815a2a3203d6e9f4cdad0e8e198a5c4efddf15ab78e109fb8f5d2a3c8b	/root/share/c16_recovery_v3/staging/qwen2p5_7b_awq_p3_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/TEXT_T128.json	HASH_CLOSED_TOKEN_RECEIPT	Exact token receipt path and hash
Qwen2.5-7B-Instruct-AWQ	Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	S1_CODE	CODE	1	256	16	256	a79f553ec78365702856d349eb4abf7bba5f4ae02afefc060927b2541d56bfbf	UNKNOWN_FROM_AUTHORITY_BASIS	/root/share/c16_recovery_v3/staging/qwen2p5_7b_awq_p3_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/CODE_T256.json	HASH_CLOSED_TOKEN_RECEIPT	Exact token receipt path and hash
Qwen2.5-7B-Instruct-AWQ	Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	S2_CODE	CODE	1	2048	32	2048	931af717d4a542d94103533836f37d3c4147d0e325b2750535c71afbea23b774	UNKNOWN_FROM_AUTHORITY_BASIS	/root/share/c16_recovery_v3/staging/qwen2p5_7b_awq_p3_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/CODE_T2048.json	HASH_CLOSED_TOKEN_RECEIPT	Exact token receipt path and hash
Qwen2.5-7B-Instruct-AWQ	Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	S2_STRUCTURED	STRUCTURED	1	2048	32	2048	b3b929f5187758aa8e8bed0d9b6c4ceccc8f8de36a2a2c7900b3a3a7d47f7413	UNKNOWN_FROM_AUTHORITY_BASIS	/root/share/c16_recovery_v3/staging/qwen2p5_7b_awq_p3_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/STRUCTURED_T2048.json	HASH_CLOSED_TOKEN_RECEIPT	Exact token receipt path and hash
Qwen2.5-7B-Instruct-AWQ	Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	S2_TEXT	TEXT	1	2048	32	2048	a618c2c5efd25e81e04b43f0af467ceb966948ae9c4cc2cd51598f09398d5a95	UNKNOWN_FROM_AUTHORITY_BASIS	/root/share/c16_recovery_v3/staging/qwen2p5_7b_awq_p3_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/TEXT_T2048.json	HASH_CLOSED_TOKEN_RECEIPT	Exact token receipt path and hash
Qwen2.5-7B-Instruct-AWQ	Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	S3_TEXT	TEXT	1	8192	16	8192	49d92bb7e17b0721c9183cc5c5dc6aa732ae1f7411e09a9b8ef8559dcd9ad9c1	UNKNOWN_FROM_AUTHORITY_BASIS	/root/share/c16_recovery_v3/staging/qwen2p5_7b_awq_p3_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/TEXT_T8192.json	HASH_CLOSED_TOKEN_RECEIPT	Exact token receipt path and hash
Qwen2.5-7B-Instruct-AWQ	Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	S4_STRUCTURED	STRUCTURED	4	2048	16	2048	b3b929f5187758aa8e8bed0d9b6c4ceccc8f8de36a2a2c7900b3a3a7d47f7413	UNKNOWN_FROM_AUTHORITY_BASIS	/root/share/c16_recovery_v3/staging/qwen2p5_7b_awq_p3_inputs_v1/a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/STRUCTURED_T2048.json	HASH_CLOSED_TOKEN_RECEIPT	S4 deliberately reuses the S2 structured payload
Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	ALL	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	/root/share/c16_recovery_v3/models/qwen3_8b	NO_HISTORICAL_FROZEN_BINDING	preserved; no new binding created
