tensor_name	logical_group	decoder_layer_id	submodule_role	source_shard	source_shard_sha256_or_receipt_identity	dtype	shape	numel	exact_tensor_bytes
model.layers.1.self_attn.q_proj.weight	decoder layer 1 attention	1	attention:self_attn.q_proj.weight	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x3584	12845056	25690112
model.layers.1.self_attn.v_proj.bias	decoder layer 1 attention	1	attention:self_attn.v_proj.bias	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512	512	1024
model.layers.1.self_attn.v_proj.weight	decoder layer 1 attention	1	attention:self_attn.v_proj.weight	model-00001-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512x3584	1835008	3670016
model.layers.10.input_layernorm.weight	decoder layer 10 norm-other	10	norm-other:input_layernorm.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.10.mlp.down_proj.weight	decoder layer 10 MLP	10	MLP:mlp.down_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x18944	67895296	135790592
model.layers.10.mlp.gate_proj.weight	decoder layer 10 MLP	10	MLP:mlp.gate_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.10.mlp.up_proj.weight	decoder layer 10 MLP	10	MLP:mlp.up_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.10.post_attention_layernorm.weight	decoder layer 10 norm-other	10	norm-other:post_attention_layernorm.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.10.self_attn.k_proj.bias	decoder layer 10 attention	10	attention:self_attn.k_proj.bias	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512	512	1024
model.layers.10.self_attn.k_proj.weight	decoder layer 10 attention	10	attention:self_attn.k_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512x3584	1835008	3670016
model.layers.10.self_attn.o_proj.weight	decoder layer 10 attention	10	attention:self_attn.o_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x3584	12845056	25690112
model.layers.10.self_attn.q_proj.bias	decoder layer 10 attention	10	attention:self_attn.q_proj.bias	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.10.self_attn.q_proj.weight	decoder layer 10 attention	10	attention:self_attn.q_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x3584	12845056	25690112
model.layers.10.self_attn.v_proj.bias	decoder layer 10 attention	10	attention:self_attn.v_proj.bias	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512	512	1024
model.layers.10.self_attn.v_proj.weight	decoder layer 10 attention	10	attention:self_attn.v_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512x3584	1835008	3670016
model.layers.11.input_layernorm.weight	decoder layer 11 norm-other	11	norm-other:input_layernorm.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.11.mlp.down_proj.weight	decoder layer 11 MLP	11	MLP:mlp.down_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x18944	67895296	135790592
model.layers.11.mlp.gate_proj.weight	decoder layer 11 MLP	11	MLP:mlp.gate_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.11.mlp.up_proj.weight	decoder layer 11 MLP	11	MLP:mlp.up_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.11.post_attention_layernorm.weight	decoder layer 11 norm-other	11	norm-other:post_attention_layernorm.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.11.self_attn.k_proj.bias	decoder layer 11 attention	11	attention:self_attn.k_proj.bias	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512	512	1024
model.layers.11.self_attn.k_proj.weight	decoder layer 11 attention	11	attention:self_attn.k_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512x3584	1835008	3670016
model.layers.11.self_attn.o_proj.weight	decoder layer 11 attention	11	attention:self_attn.o_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x3584	12845056	25690112
model.layers.11.self_attn.q_proj.bias	decoder layer 11 attention	11	attention:self_attn.q_proj.bias	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.11.self_attn.q_proj.weight	decoder layer 11 attention	11	attention:self_attn.q_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x3584	12845056	25690112
model.layers.11.self_attn.v_proj.bias	decoder layer 11 attention	11	attention:self_attn.v_proj.bias	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512	512	1024
model.layers.11.self_attn.v_proj.weight	decoder layer 11 attention	11	attention:self_attn.v_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512x3584	1835008	3670016
model.layers.12.input_layernorm.weight	decoder layer 12 norm-other	12	norm-other:input_layernorm.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.12.mlp.down_proj.weight	decoder layer 12 MLP	12	MLP:mlp.down_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x18944	67895296	135790592
model.layers.12.mlp.gate_proj.weight	decoder layer 12 MLP	12	MLP:mlp.gate_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.12.mlp.up_proj.weight	decoder layer 12 MLP	12	MLP:mlp.up_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.12.post_attention_layernorm.weight	decoder layer 12 norm-other	12	norm-other:post_attention_layernorm.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.12.self_attn.k_proj.bias	decoder layer 12 attention	12	attention:self_attn.k_proj.bias	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512	512	1024
model.layers.12.self_attn.k_proj.weight	decoder layer 12 attention	12	attention:self_attn.k_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512x3584	1835008	3670016
model.layers.12.self_attn.o_proj.weight	decoder layer 12 attention	12	attention:self_attn.o_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x3584	12845056	25690112
model.layers.12.self_attn.q_proj.bias	decoder layer 12 attention	12	attention:self_attn.q_proj.bias	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.12.self_attn.q_proj.weight	decoder layer 12 attention	12	attention:self_attn.q_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x3584	12845056	25690112
model.layers.12.self_attn.v_proj.bias	decoder layer 12 attention	12	attention:self_attn.v_proj.bias	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512	512	1024
model.layers.12.self_attn.v_proj.weight	decoder layer 12 attention	12	attention:self_attn.v_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512x3584	1835008	3670016
model.layers.13.input_layernorm.weight	decoder layer 13 norm-other	13	norm-other:input_layernorm.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.13.mlp.down_proj.weight	decoder layer 13 MLP	13	MLP:mlp.down_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x18944	67895296	135790592
model.layers.13.mlp.gate_proj.weight	decoder layer 13 MLP	13	MLP:mlp.gate_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.13.mlp.up_proj.weight	decoder layer 13 MLP	13	MLP:mlp.up_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.13.post_attention_layernorm.weight	decoder layer 13 norm-other	13	norm-other:post_attention_layernorm.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.13.self_attn.k_proj.bias	decoder layer 13 attention	13	attention:self_attn.k_proj.bias	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512	512	1024
model.layers.13.self_attn.k_proj.weight	decoder layer 13 attention	13	attention:self_attn.k_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512x3584	1835008	3670016
model.layers.13.self_attn.o_proj.weight	decoder layer 13 attention	13	attention:self_attn.o_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x3584	12845056	25690112
model.layers.13.self_attn.q_proj.bias	decoder layer 13 attention	13	attention:self_attn.q_proj.bias	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.13.self_attn.q_proj.weight	decoder layer 13 attention	13	attention:self_attn.q_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x3584	12845056	25690112
model.layers.13.self_attn.v_proj.bias	decoder layer 13 attention	13	attention:self_attn.v_proj.bias	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512	512	1024
model.layers.13.self_attn.v_proj.weight	decoder layer 13 attention	13	attention:self_attn.v_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512x3584	1835008	3670016
model.layers.14.input_layernorm.weight	decoder layer 14 norm-other	14	norm-other:input_layernorm.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.14.mlp.down_proj.weight	decoder layer 14 MLP	14	MLP:mlp.down_proj.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x18944	67895296	135790592
model.layers.14.mlp.gate_proj.weight	decoder layer 14 MLP	14	MLP:mlp.gate_proj.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.14.mlp.up_proj.weight	decoder layer 14 MLP	14	MLP:mlp.up_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.14.post_attention_layernorm.weight	decoder layer 14 norm-other	14	norm-other:post_attention_layernorm.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.14.self_attn.k_proj.bias	decoder layer 14 attention	14	attention:self_attn.k_proj.bias	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512	512	1024
model.layers.14.self_attn.k_proj.weight	decoder layer 14 attention	14	attention:self_attn.k_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512x3584	1835008	3670016
model.layers.14.self_attn.o_proj.weight	decoder layer 14 attention	14	attention:self_attn.o_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x3584	12845056	25690112
model.layers.14.self_attn.q_proj.bias	decoder layer 14 attention	14	attention:self_attn.q_proj.bias	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.14.self_attn.q_proj.weight	decoder layer 14 attention	14	attention:self_attn.q_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x3584	12845056	25690112
model.layers.14.self_attn.v_proj.bias	decoder layer 14 attention	14	attention:self_attn.v_proj.bias	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512	512	1024
model.layers.14.self_attn.v_proj.weight	decoder layer 14 attention	14	attention:self_attn.v_proj.weight	model-00002-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512x3584	1835008	3670016
model.layers.15.input_layernorm.weight	decoder layer 15 norm-other	15	norm-other:input_layernorm.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.15.mlp.down_proj.weight	decoder layer 15 MLP	15	MLP:mlp.down_proj.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x18944	67895296	135790592
model.layers.15.mlp.gate_proj.weight	decoder layer 15 MLP	15	MLP:mlp.gate_proj.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.15.mlp.up_proj.weight	decoder layer 15 MLP	15	MLP:mlp.up_proj.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.15.post_attention_layernorm.weight	decoder layer 15 norm-other	15	norm-other:post_attention_layernorm.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.15.self_attn.k_proj.bias	decoder layer 15 attention	15	attention:self_attn.k_proj.bias	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512	512	1024
model.layers.15.self_attn.k_proj.weight	decoder layer 15 attention	15	attention:self_attn.k_proj.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512x3584	1835008	3670016
model.layers.15.self_attn.o_proj.weight	decoder layer 15 attention	15	attention:self_attn.o_proj.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x3584	12845056	25690112
model.layers.15.self_attn.q_proj.bias	decoder layer 15 attention	15	attention:self_attn.q_proj.bias	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.15.self_attn.q_proj.weight	decoder layer 15 attention	15	attention:self_attn.q_proj.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x3584	12845056	25690112
model.layers.15.self_attn.v_proj.bias	decoder layer 15 attention	15	attention:self_attn.v_proj.bias	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512	512	1024
model.layers.15.self_attn.v_proj.weight	decoder layer 15 attention	15	attention:self_attn.v_proj.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512x3584	1835008	3670016
model.layers.16.input_layernorm.weight	decoder layer 16 norm-other	16	norm-other:input_layernorm.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.16.mlp.down_proj.weight	decoder layer 16 MLP	16	MLP:mlp.down_proj.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x18944	67895296	135790592
model.layers.16.mlp.gate_proj.weight	decoder layer 16 MLP	16	MLP:mlp.gate_proj.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.16.mlp.up_proj.weight	decoder layer 16 MLP	16	MLP:mlp.up_proj.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.16.post_attention_layernorm.weight	decoder layer 16 norm-other	16	norm-other:post_attention_layernorm.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.16.self_attn.k_proj.bias	decoder layer 16 attention	16	attention:self_attn.k_proj.bias	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512	512	1024
model.layers.16.self_attn.k_proj.weight	decoder layer 16 attention	16	attention:self_attn.k_proj.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512x3584	1835008	3670016
model.layers.16.self_attn.o_proj.weight	decoder layer 16 attention	16	attention:self_attn.o_proj.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x3584	12845056	25690112
model.layers.16.self_attn.q_proj.bias	decoder layer 16 attention	16	attention:self_attn.q_proj.bias	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.16.self_attn.q_proj.weight	decoder layer 16 attention	16	attention:self_attn.q_proj.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x3584	12845056	25690112
model.layers.16.self_attn.v_proj.bias	decoder layer 16 attention	16	attention:self_attn.v_proj.bias	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512	512	1024
model.layers.16.self_attn.v_proj.weight	decoder layer 16 attention	16	attention:self_attn.v_proj.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512x3584	1835008	3670016
model.layers.17.input_layernorm.weight	decoder layer 17 norm-other	17	norm-other:input_layernorm.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.17.mlp.down_proj.weight	decoder layer 17 MLP	17	MLP:mlp.down_proj.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584x18944	67895296	135790592
model.layers.17.mlp.gate_proj.weight	decoder layer 17 MLP	17	MLP:mlp.gate_proj.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.17.mlp.up_proj.weight	decoder layer 17 MLP	17	MLP:mlp.up_proj.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	18944x3584	67895296	135790592
model.layers.17.post_attention_layernorm.weight	decoder layer 17 norm-other	17	norm-other:post_attention_layernorm.weight	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	3584	3584	7168
model.layers.17.self_attn.k_proj.bias	decoder layer 17 attention	17	attention:self_attn.k_proj.bias	model-00003-of-00004.safetensors	cee32868231b30f42f71fa89e523069b09d6a20455730825b70b5cfbc9411b0c	BF16	512	512	1024
