comparison	roi	operator_class	baseline_id	candidate_id	baseline_cycles	candidate_cycles	cycle_delta_candidate_minus_baseline	vm_l1_tlb_misses_delta	vm_l2_tlb_misses_delta	vm_translation_walk_starts_delta	vm_pte_requests_delta	vm_pte_dram_responses_delta	vm_translation_requester_latency_cycles_total_delta	vm_weight_segment_hits_delta	vm_weight_segment_l2_suppressed_delta	evidence_boundary
H2_B_vs_A	prefill	EMBEDDING_OUTPUT	C12-PREFILL-F0-LNONE	C13-CAP-P320-REPAIRED-EXACTMODE-A1	17652323	18922484	1270161	2	108295	29496	29533	25426	43238442	0	0	ASSOCIATION_NOT_CAUSALITY
H2_B_vs_A	prefill	FFN_MLP	C12-PREFILL-F0-LNONE	C13-CAP-P320-REPAIRED-EXACTMODE-A1	20573515	20633722	60207	138	2279	328	328	129	874908	0	0	ASSOCIATION_NOT_CAUSALITY
H2_B_vs_A	prefill	NORM	C12-PREFILL-F0-LNONE	C13-CAP-P320-REPAIRED-EXACTMODE-A1	1458060	1463654	5594	127	525	15	15	15	217346	0	0	ASSOCIATION_NOT_CAUSALITY
H2_B_vs_A	prefill	OTHER_COMPUTE	C12-PREFILL-F0-LNONE	C13-CAP-P320-REPAIRED-EXACTMODE-A1	15500080	15556727	56647	-2314	40175	3820	3820	1107	32490764	0	0	ASSOCIATION_NOT_CAUSALITY
H2_B_vs_A	prefill	UNRESOLVED	C12-PREFILL-F0-LNONE	C13-CAP-P320-REPAIRED-EXACTMODE-A1	6450	6450	0	0	0	0	0	0	0	0	0	ASSOCIATION_NOT_CAUSALITY
H2_C_vs_A	prefill	ATTENTION_CORE	C12-PREFILL-F0-LNONE	C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	623662	620660	-3002	29	-623	-110	-110	-50	-264005	0	0	ASSOCIATION_NOT_CAUSALITY
H2_C_vs_A	prefill	ATTENTION_PROJECTION	C12-PREFILL-F0-LNONE	C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	6676148	6592448	-83700	5296715	-3925	-1314	-1323	-387	-2345035	5309614	5309614	ASSOCIATION_NOT_CAUSALITY
H2_C_vs_A	prefill	EMBEDDING_OUTPUT	C12-PREFILL-F0-LNONE	C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	17652323	17442482	-209841	16417077	-15834	-10034	-10072	-3912	-8048962	16449635	16449635	ASSOCIATION_NOT_CAUSALITY
H2_C_vs_A	prefill	FFN_MLP	C12-PREFILL-F0-LNONE	C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	20573515	20486237	-87278	25222448	-11626	-6130	-6130	-1574	-7389835	25278336	25278336	ASSOCIATION_NOT_CAUSALITY
H2_C_vs_A	prefill	NORM	C12-PREFILL-F0-LNONE	C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	1458060	1440333	-17727	1047072	-560	-16	-30	-30	-577975	1048576	1048576	ASSOCIATION_NOT_CAUSALITY
H2_C_vs_A	prefill	OTHER_COMPUTE	C12-PREFILL-F0-LNONE	C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	15500080	15478364	-21716	-3454	-4468	-364	-364	-135	-4183669	0	0	ASSOCIATION_NOT_CAUSALITY
H2_C_vs_A	prefill	UNRESOLVED	C12-PREFILL-F0-LNONE	C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	6450	6450	0	0	0	0	0	0	0	0	0	ASSOCIATION_NOT_CAUSALITY
H1_PREFILL_SELECTIVE_vs_CONTROL	prefill	ATTENTION_CORE	C13-EQ-P320S10-NEWBIN-EXACTMODE	C13-SEL-P10-REPAIRED-EXACTMODE-A1	622301	619879	-2422	-46	-10	0	0	0	-4202	0	0	ASSOCIATION_NOT_CAUSALITY
H1_PREFILL_SELECTIVE_vs_CONTROL	prefill	ATTENTION_PROJECTION	C13-EQ-P320S10-NEWBIN-EXACTMODE	C13-SEL-P10-REPAIRED-EXACTMODE-A1	6601177	6599705	-1472	3141	-5	0	0	0	48710	3126	3126	ASSOCIATION_NOT_CAUSALITY
H1_PREFILL_SELECTIVE_vs_CONTROL	prefill	EMBEDDING_OUTPUT	C13-EQ-P320S10-NEWBIN-EXACTMODE	C13-SEL-P10-REPAIRED-EXACTMODE-A1	18754068	18923923	169855	-16422933	12467	8724	8802	2207	7147794	-16455481	-16455481	ASSOCIATION_NOT_CAUSALITY
H1_PREFILL_SELECTIVE_vs_CONTROL	prefill	FFN_MLP	C13-EQ-P320S10-NEWBIN-EXACTMODE	C13-SEL-P10-REPAIRED-EXACTMODE-A1	20478345	20487940	9595	3123	0	0	0	0	15920	3217	3217	ASSOCIATION_NOT_CAUSALITY
H1_PREFILL_SELECTIVE_vs_CONTROL	prefill	NORM	C13-EQ-P320S10-NEWBIN-EXACTMODE	C13-SEL-P10-REPAIRED-EXACTMODE-A1	1441714	1442104	390	35	0	0	0	0	4064	0	0	ASSOCIATION_NOT_CAUSALITY
H1_PREFILL_SELECTIVE_vs_CONTROL	prefill	OTHER_COMPUTE	C13-EQ-P320S10-NEWBIN-EXACTMODE	C13-SEL-P10-REPAIRED-EXACTMODE-A1	15466833	15477662	10829	602	-176	1	1	1	-142278	0	0	ASSOCIATION_NOT_CAUSALITY
H1_PREFILL_SELECTIVE_vs_CONTROL	prefill	UNRESOLVED	C13-EQ-P320S10-NEWBIN-EXACTMODE	C13-SEL-P10-REPAIRED-EXACTMODE-A1	6450	6450	0	0	0	0	0	0	0	0	0	ASSOCIATION_NOT_CAUSALITY
H1_DECODE_SELECTIVE_vs_CONTROL	decode1	ATTENTION_CORE	C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	C13-SEL-D10-REPAIRED-EXACTMODE-A1	504777	506082	1305	26	-3	0	0	0	725	0	0	ASSOCIATION_NOT_CAUSALITY
H1_DECODE_SELECTIVE_vs_CONTROL	decode1	ATTENTION_PROJECTION	C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	C13-SEL-D10-REPAIRED-EXACTMODE-A1	3797533	3798231	698	-567	25	0	0	0	8468	-567	-567	ASSOCIATION_NOT_CAUSALITY
H1_DECODE_SELECTIVE_vs_CONTROL	decode1	EMBEDDING_OUTPUT	C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	C13-SEL-D10-REPAIRED-EXACTMODE-A1	3733950	3787536	53586	-4218150	8055	8023	8066	2058	5426653	-4226182	-4226182	ASSOCIATION_NOT_CAUSALITY
H1_DECODE_SELECTIVE_vs_CONTROL	decode1	FFN_MLP	C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	C13-SEL-D10-REPAIRED-EXACTMODE-A1	21630472	21630863	391	0	0	0	0	0	1	0	0	ASSOCIATION_NOT_CAUSALITY
H1_DECODE_SELECTIVE_vs_CONTROL	decode1	NORM	C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	C13-SEL-D10-REPAIRED-EXACTMODE-A1	284078	287485	3407	0	0	0	0	0	-9	0	0	ASSOCIATION_NOT_CAUSALITY
H1_DECODE_SELECTIVE_vs_CONTROL	decode1	OTHER_COMPUTE	C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	C13-SEL-D10-REPAIRED-EXACTMODE-A1	4475156	4467345	-7811	42	-37	0	-2	-1	-32255	0	0	ASSOCIATION_NOT_CAUSALITY
H1_DECODE_SELECTIVE_vs_CONTROL	decode1	UNRESOLVED	C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	C13-SEL-D10-REPAIRED-EXACTMODE-A1	6093	6098	5	0	0	0	0	0	0	0	0	ASSOCIATION_NOT_CAUSALITY
