Generating SQLite file /data/c16/v6_awq/nsys_awq_s2.sqlite from /data/c16/v6_awq/nsys_awq_s2.nsys-rep
Processing [/data/c16/v6_awq/nsys_awq_s2.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)                                                  Name                                                
      1.5       12,190,499      2,663       4,577.7       1,024.0         864     346,882     34,772.1  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::Half, c10::Ha…
      1.4       11,212,895      1,680       6,674.3       6,688.0       6,336       7,136        144.8  void at::native::<unnamed>::CatArrayBatchedCopy_contig<at::native::<unnamed>::OpaqueType<(unsigned …
      1.3       10,046,227         28     358,793.8     357,697.5     349,538     371,009      5,728.9  void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)128, (int)64, (int…
      1.1        8,550,833      3,641       2,348.5       1,664.0       1,536      25,888      3,419.3  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      1.0        8,106,470      6,132       1,322.0         992.0         832      41,952      3,753.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, at::…
      0.8        6,553,791        896       7,314.5       1,056.0       1,024     209,793     34,913.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::silu_kernel(at::Tenso…
      0.7        5,597,629      1,848       3,029.0       2,592.0       1,632      38,784      4,692.0  void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>,…
      0.6        4,883,387         56      87,203.3      87,296.0      86,528      87,713        299.7  ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_stages_32x1_nn                                           
      0.6        4,879,861      1,856       2,629.2       1,920.0       1,216      32,640      4,211.1  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.6        4,814,130      1,888       2,549.9       2,016.0         992      20,960      3,203.8  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.6        4,577,528      1,824       2,509.6       2,240.0       2,144      12,992      1,572.5  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
      0.5        3,676,783      1,824       2,015.8         896.0         864      44,832      6,353.0  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scala…
      0.4        3,473,716      1,824       1,904.4       1,280.0       1,216      22,560      3,467.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.4        2,951,725      1,792       1,647.2       1,696.0       1,248       9,600      1,002.6  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.2        1,801,673        140      12,869.1       5,824.0       4,192      48,128     10,552.5  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.2        1,781,256        868       2,052.1       2,048.0       2,016       2,144         13.3  void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)12…
      0.2        1,737,602      1,824         952.6         928.0         864       1,184         60.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIter…
      0.2        1,707,431      1,824         936.1         896.0         832       1,792         80.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at…
      0.0          176,512         32       5,516.0       5,504.0       5,408       5,696         53.1  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::Half, at::native::ArgMax…
      0.0           56,769         31       1,831.3       1,760.0       1,696       2,336        145.0  void at::native::<unnamed>::indexSelectSmallIndex<c10::Half, long, unsigned int, (int)2, (int)2, (i…
      0.0           56,641         64         885.0         864.0         832       1,312         77.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…
      0.0           54,720          1      54,720.0      54,720.0      54,720      54,720          0.0  void at::native::<unnamed>::indexSelectLargeIndex<c10::Half, long, unsigned int, (int)2, (int)2, (i…
      0.0           47,168         31       1,521.5       1,504.0       1,504       1,696         36.8  void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::native::<unnamed>::OpaqueType<…
      0.0           38,464         32       1,202.0       1,184.0       1,120       1,632         80.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIterat…
      0.0           37,760         32       1,180.0       1,184.0       1,152       1,536         66.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIterat…
      0.0           36,128         31       1,165.4       1,152.0       1,120       1,248         24.5  void gemmk1_kernel<int, float, (int)256, (int)5, (bool)1, (bool)0, (bool)0, (bool)0, cublasGemvTens…
      0.0           25,728         32         804.0         800.0         768       1,024         42.8  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
      0.0            3,712          1       3,712.0       3,712.0       3,712       3,712          0.0  void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)4>,…
      0.0            1,376          1       1,376.0       1,376.0       1,376       1,376          0.0  void gemmk1_kernel<int, float, (int)256, (int)5, (bool)0, (bool)0, (bool)0, (bool)0, cublasGemvTens…

