roi	family	lseg	operator_class	metric	metric_scope	baseline_f0_value	candidate_value	delta_vs_f0	segment_hits	segment_l2_suppressed	finite_difference_from_prior	note
prefill	F8	5	FULL_ROI	gpu_sim_cycle	FULL_ROI_ONLY	62490238	59817355	-2672883	49654479	49654479	NA_AT_L5	measured point only; no extrapolation
prefill	F8	5	FFN_MLP	gpu_sim_cycle	EXACT_PER_KERNEL	20573515	17908833	-2664682	49654479	49654479	NA_AT_L5	measured point only; no extrapolation
prefill	F8	5	ATTENTION_PROJECTION	gpu_sim_cycle	EXACT_PER_KERNEL	6676148	6092710	-583438	49654479	49654479	NA_AT_L5	measured point only; no extrapolation
prefill	F8	5	EMBEDDING_OUTPUT	gpu_sim_cycle	EXACT_PER_KERNEL	17652323	18397497	745174	49654479	49654479	NA_AT_L5	measured point only; no extrapolation
prefill	F8	5	NORM	gpu_sim_cycle	EXACT_PER_KERNEL	1458060	1305957	-152103	49654479	49654479	NA_AT_L5	measured point only; no extrapolation
prefill	F8	10	FULL_ROI	gpu_sim_cycle	FULL_ROI_ONLY	62490238	63375503	885265	48091640	48091640	711629.6	measured point only; no extrapolation
prefill	F8	10	FFN_MLP	gpu_sim_cycle	EXACT_PER_KERNEL	20573515	20486237	-87278	48091640	48091640	515480.8	measured point only; no extrapolation
prefill	F8	10	ATTENTION_PROJECTION	gpu_sim_cycle	EXACT_PER_KERNEL	6676148	6592448	-83700	48091640	48091640	99947.6	measured point only; no extrapolation
prefill	F8	10	EMBEDDING_OUTPUT	gpu_sim_cycle	EXACT_PER_KERNEL	17652323	18751011	1098688	48091640	48091640	70702.8	measured point only; no extrapolation
prefill	F8	10	NORM	gpu_sim_cycle	EXACT_PER_KERNEL	1458060	1440333	-17727	48091640	48091640	26875.2	measured point only; no extrapolation
prefill	F8	20	FULL_ROI	gpu_sim_cycle	FULL_ROI_ONLY	62490238	76144277	13654039	47926888	47926888	1276877.4	measured point only; no extrapolation
prefill	F8	20	FFN_MLP	gpu_sim_cycle	EXACT_PER_KERNEL	20573515	28018691	7445176	47926888	47926888	753245.4	measured point only; no extrapolation
prefill	F8	20	ATTENTION_PROJECTION	gpu_sim_cycle	EXACT_PER_KERNEL	6676148	8400229	1724081	47926888	47926888	180778.1	measured point only; no extrapolation
prefill	F8	20	EMBEDDING_OUTPUT	gpu_sim_cycle	EXACT_PER_KERNEL	17652323	21816319	4163996	47926888	47926888	306530.8	measured point only; no extrapolation
prefill	F8	20	NORM	gpu_sim_cycle	EXACT_PER_KERNEL	1458060	1757790	299730	47926888	47926888	31745.7	measured point only; no extrapolation
decode1	F7	5	FULL_ROI	gpu_sim_cycle	FULL_ROI_ONLY	34564626	33959029	-605597	8430211	8430211	NA_AT_L5	measured point only; no extrapolation
decode1	F7	5	FFN_MLP	gpu_sim_cycle	EXACT_PER_KERNEL	21665136	21171979	-493157	8430211	8430211	NA_AT_L5	measured point only; no extrapolation
decode1	F7	5	ATTENTION_PROJECTION	gpu_sim_cycle	EXACT_PER_KERNEL	3824007	3774110	-49897	8430211	8430211	NA_AT_L5	measured point only; no extrapolation
decode1	F7	5	EMBEDDING_OUTPUT	gpu_sim_cycle	EXACT_PER_KERNEL	3781703	3748422	-33281	8430211	8430211	NA_AT_L5	measured point only; no extrapolation
decode1	F7	5	NORM	gpu_sim_cycle	EXACT_PER_KERNEL	301294	285151	-16143	8430211	8430211	NA_AT_L5	measured point only; no extrapolation
decode1	F7	10	FULL_ROI	gpu_sim_cycle	FULL_ROI_ONLY	34564626	34432059	-132567	8053776	8053776	94606.0	measured point only; no extrapolation
decode1	F7	10	FFN_MLP	gpu_sim_cycle	EXACT_PER_KERNEL	21665136	21630472	-34664	8053776	8053776	91698.6	measured point only; no extrapolation
decode1	F7	10	ATTENTION_PROJECTION	gpu_sim_cycle	EXACT_PER_KERNEL	3824007	3797533	-26474	8053776	8053776	4684.6	measured point only; no extrapolation
decode1	F7	10	EMBEDDING_OUTPUT	gpu_sim_cycle	EXACT_PER_KERNEL	3781703	3733950	-47753	8053776	8053776	-2894.4	measured point only; no extrapolation
decode1	F7	10	NORM	gpu_sim_cycle	EXACT_PER_KERNEL	301294	284078	-17216	8053776	8053776	-214.6	measured point only; no extrapolation
decode1	F7	20	FULL_ROI	gpu_sim_cycle	FULL_ROI_ONLY	34564626	36035731	1471105	7922297	7922297	160367.2	measured point only; no extrapolation
decode1	F7	20	FFN_MLP	gpu_sim_cycle	EXACT_PER_KERNEL	21665136	22535896	870760	7922297	7922297	90542.4	measured point only; no extrapolation
decode1	F7	20	ATTENTION_PROJECTION	gpu_sim_cycle	EXACT_PER_KERNEL	3824007	3852559	28552	7922297	7922297	5502.6	measured point only; no extrapolation
decode1	F7	20	EMBEDDING_OUTPUT	gpu_sim_cycle	EXACT_PER_KERNEL	3781703	4376481	594778	7922297	7922297	64253.1	measured point only; no extrapolation
decode1	F7	20	NORM	gpu_sim_cycle	EXACT_PER_KERNEL	301294	284166	-17128	7922297	7922297	8.8	measured point only; no extrapolation
decode1	F8	5	FULL_ROI	gpu_sim_cycle	FULL_ROI_ONLY	34564626	33959029	-605597	8430211	8430211	NA_AT_L5	measured point only; no extrapolation
decode1	F8	5	FFN_MLP	gpu_sim_cycle	EXACT_PER_KERNEL	21665136	21171979	-493157	8430211	8430211	NA_AT_L5	measured point only; no extrapolation
decode1	F8	5	ATTENTION_PROJECTION	gpu_sim_cycle	EXACT_PER_KERNEL	3824007	3774110	-49897	8430211	8430211	NA_AT_L5	measured point only; no extrapolation
decode1	F8	5	EMBEDDING_OUTPUT	gpu_sim_cycle	EXACT_PER_KERNEL	3781703	3748422	-33281	8430211	8430211	NA_AT_L5	measured point only; no extrapolation
decode1	F8	5	NORM	gpu_sim_cycle	EXACT_PER_KERNEL	301294	285151	-16143	8430211	8430211	NA_AT_L5	measured point only; no extrapolation
decode1	F8	10	FULL_ROI	gpu_sim_cycle	FULL_ROI_ONLY	34564626	34432059	-132567	8053776	8053776	94606.0	measured point only; no extrapolation
decode1	F8	10	FFN_MLP	gpu_sim_cycle	EXACT_PER_KERNEL	21665136	21630472	-34664	8053776	8053776	91698.6	measured point only; no extrapolation
decode1	F8	10	ATTENTION_PROJECTION	gpu_sim_cycle	EXACT_PER_KERNEL	3824007	3797533	-26474	8053776	8053776	4684.6	measured point only; no extrapolation
decode1	F8	10	EMBEDDING_OUTPUT	gpu_sim_cycle	EXACT_PER_KERNEL	3781703	3733950	-47753	8053776	8053776	-2894.4	measured point only; no extrapolation
decode1	F8	10	NORM	gpu_sim_cycle	EXACT_PER_KERNEL	301294	284078	-17216	8053776	8053776	-214.6	measured point only; no extrapolation
decode1	F8	20	FULL_ROI	gpu_sim_cycle	FULL_ROI_ONLY	34564626	36035731	1471105	7922297	7922297	160367.2	measured point only; no extrapolation
decode1	F8	20	FFN_MLP	gpu_sim_cycle	EXACT_PER_KERNEL	21665136	22535896	870760	7922297	7922297	90542.4	measured point only; no extrapolation
decode1	F8	20	ATTENTION_PROJECTION	gpu_sim_cycle	EXACT_PER_KERNEL	3824007	3852559	28552	7922297	7922297	5502.6	measured point only; no extrapolation
decode1	F8	20	EMBEDDING_OUTPUT	gpu_sim_cycle	EXACT_PER_KERNEL	3781703	4376481	594778	7922297	7922297	64253.1	measured point only; no extrapolation
decode1	F8	20	NORM	gpu_sim_cycle	EXACT_PER_KERNEL	301294	284166	-17128	7922297	7922297	8.8	measured point only; no extrapolation
