row_kind	roi	comparison	rank	compute_index	operator_class	layer_id	metric	baseline_value	candidate_value	delta	note
OPERATOR	prefill	F1_vs_F2			FFN_MLP		requester_translation_latency_cycles	398215519	398220805	5286	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			NORM		gpu_sim_cycle	1457652	1457544	-108	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			NORM		subentry_hits	UNATTRIBUTED	65231	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			NORM		subentry_misses	UNATTRIBUTED	35	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			NORM		l2_tlb_misses	595	595	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			NORM		translation_walk_starts	17	17	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			NORM		pte_dram_responses	32	32	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			NORM		requester_translation_latency_cycles	38202727	38202940	213	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			OTHER_COMPUTE		gpu_sim_cycle	15504765	15485190	-19575	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			OTHER_COMPUTE		subentry_hits	UNATTRIBUTED	610888	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			OTHER_COMPUTE		subentry_misses	UNATTRIBUTED	2725	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			OTHER_COMPUTE		l2_tlb_misses	10794	3280	-7514	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			OTHER_COMPUTE		translation_walk_starts	928	356	-572	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			OTHER_COMPUTE		pte_dram_responses	286	97	-189	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			OTHER_COMPUTE		requester_translation_latency_cycles	218100297	214102360	-3997937	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			UNRESOLVED		gpu_sim_cycle	6450	6450	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			UNRESOLVED		subentry_hits	UNATTRIBUTED	0	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			UNRESOLVED		subentry_misses	UNATTRIBUTED	0	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			UNRESOLVED		l2_tlb_misses	0	0	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			UNRESOLVED		translation_walk_starts	0	0	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			UNRESOLVED		pte_dram_responses	0	0	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			UNRESOLVED		requester_translation_latency_cycles	680	680	0	exact marker checkpoints; activity is not critical-path proof
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	1	691	EMBEDDING_OUTPUT	NA	subentry_hits	UNATTRIBUTED	176284	176284	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	2	422	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3953	3953	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	3	212	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3950	3950	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	4	394	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3948	3948	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	5	44	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3939	3939	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	6	688	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3939	3939	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	7	86	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3931	3931	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	8	352	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3931	3931	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	9	520	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3929	3929	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	10	226	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3925	3925	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	11	310	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3924	3924	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	12	380	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3923	3923	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	13	128	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3922	3922	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	14	142	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3921	3921	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	15	506	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3921	3921	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	16	646	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3921	3921	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	17	268	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3912	3912	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	18	548	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3910	3910	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	19	632	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3909	3909	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F1_vs_F2	20	674	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3907	3907	candidate-ranked activity; do not infer critical-path benefit
OPERATOR	prefill	F8-L5_vs_F7-L5			ATTENTION_CORE		gpu_sim_cycle	619732	618924	-808	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			ATTENTION_CORE		subentry_hits	UNATTRIBUTED	8042	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			ATTENTION_CORE		subentry_misses	UNATTRIBUTED	40	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			ATTENTION_CORE		l2_tlb_misses	123	89	-34	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			ATTENTION_CORE		translation_walk_starts	28	18	-10	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			ATTENTION_CORE		pte_dram_responses	13	8	-5	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			ATTENTION_CORE		requester_translation_latency_cycles	4287970	4267919	-20051	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			ATTENTION_PROJECTION		gpu_sim_cycle	6092758	6092710	-48	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			ATTENTION_PROJECTION		subentry_hits	UNATTRIBUTED	13184	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			ATTENTION_PROJECTION		subentry_misses	UNATTRIBUTED	15	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			ATTENTION_PROJECTION		l2_tlb_misses	76	47	-29	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			ATTENTION_PROJECTION		translation_walk_starts	17	13	-4	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			ATTENTION_PROJECTION		pte_dram_responses	8	6	-2	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			ATTENTION_PROJECTION		requester_translation_latency_cycles	76318946	76328451	9505	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			EMBEDDING_OUTPUT		gpu_sim_cycle	18473554	18397497	-76057	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			EMBEDDING_OUTPUT		subentry_hits	UNATTRIBUTED	153610	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			EMBEDDING_OUTPUT		subentry_misses	UNATTRIBUTED	91979	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			EMBEDDING_OUTPUT		l2_tlb_misses	113732	119995	6263	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			EMBEDDING_OUTPUT		translation_walk_starts	33297	47607	14310	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			EMBEDDING_OUTPUT		pte_dram_responses	29567	35525	5958	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			EMBEDDING_OUTPUT		requester_translation_latency_cycles	242928998	244686512	1757514	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			FFN_MLP		gpu_sim_cycle	17845382	17908833	63451	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			FFN_MLP		subentry_hits	UNATTRIBUTED	43495	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			FFN_MLP		subentry_misses	UNATTRIBUTED	0	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			FFN_MLP		l2_tlb_misses	0	0	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			FFN_MLP		translation_walk_starts	0	0	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			FFN_MLP		pte_dram_responses	0	0	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			FFN_MLP		requester_translation_latency_cycles	272540641	272918523	377882	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			NORM		gpu_sim_cycle	1306950	1305957	-993	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			NORM		subentry_hits	UNATTRIBUTED	64817	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			NORM		subentry_misses	UNATTRIBUTED	0	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			NORM		l2_tlb_misses	35	35	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			NORM		translation_walk_starts	1	1	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			NORM		pte_dram_responses	2	2	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			NORM		requester_translation_latency_cycles	32450865	32429765	-21100	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			OTHER_COMPUTE		gpu_sim_cycle	15489383	15486974	-2409	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			OTHER_COMPUTE		subentry_hits	UNATTRIBUTED	607946	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			OTHER_COMPUTE		subentry_misses	UNATTRIBUTED	2541	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			OTHER_COMPUTE		l2_tlb_misses	4256	3042	-1214	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			OTHER_COMPUTE		translation_walk_starts	407	324	-83	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			OTHER_COMPUTE		pte_dram_responses	125	89	-36	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			OTHER_COMPUTE		requester_translation_latency_cycles	215282730	213377933	-1904797	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			UNRESOLVED		gpu_sim_cycle	6460	6460	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			UNRESOLVED		subentry_hits	UNATTRIBUTED	0	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			UNRESOLVED		subentry_misses	UNATTRIBUTED	0	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			UNRESOLVED		l2_tlb_misses	0	0	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			UNRESOLVED		translation_walk_starts	0	0	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			UNRESOLVED		pte_dram_responses	0	0	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L5_vs_F7-L5			UNRESOLVED		requester_translation_latency_cycles	680	680	0	exact marker checkpoints; activity is not critical-path proof
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	1	691	EMBEDDING_OUTPUT	NA	subentry_hits	UNATTRIBUTED	153209	153209	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	2	380	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3971	3971	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	3	268	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3963	3963	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	4	310	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3955	3955	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	5	338	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3951	3951	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	6	632	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3946	3946	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	7	58	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3940	3940	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	8	520	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3938	3938	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	9	170	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3928	3928	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	10	674	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3926	3926	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	11	394	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3924	3924	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	12	562	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3922	3922	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	13	646	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3920	3920	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	14	688	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3918	3918	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	15	44	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3917	3917	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	16	436	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3916	3916	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	17	16	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3914	3914	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	18	296	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3913	3913	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	19	86	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3909	3909	candidate-ranked activity; do not infer critical-path benefit
TOP_CANDIDATE_HIT_KERNEL	prefill	F8-L5_vs_F7-L5	20	422	OTHER_COMPUTE	NA	subentry_hits	UNATTRIBUTED	3909	3909	candidate-ranked activity; do not infer critical-path benefit
OPERATOR	prefill	F8-L10_vs_F7-L10			ATTENTION_CORE		gpu_sim_cycle	622301	620660	-1641	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			ATTENTION_CORE		subentry_hits	UNATTRIBUTED	8053	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			ATTENTION_CORE		subentry_misses	UNATTRIBUTED	47	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			ATTENTION_CORE		l2_tlb_misses	151	115	-36	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			ATTENTION_CORE		translation_walk_starts	28	18	-10	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			ATTENTION_CORE		pte_dram_responses	13	8	-5	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			ATTENTION_CORE		requester_translation_latency_cycles	4290809	4272215	-18594	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			ATTENTION_PROJECTION		gpu_sim_cycle	6601177	6592448	-8729	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			ATTENTION_PROJECTION		subentry_hits	UNATTRIBUTED	13165	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			ATTENTION_PROJECTION		subentry_misses	UNATTRIBUTED	15	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			ATTENTION_PROJECTION		l2_tlb_misses	55	46	-9	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			ATTENTION_PROJECTION		translation_walk_starts	17	13	-4	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			ATTENTION_PROJECTION		pte_dram_responses	8	6	-2	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			ATTENTION_PROJECTION		requester_translation_latency_cycles	100208035	100194269	-13766	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			EMBEDDING_OUTPUT		gpu_sim_cycle	18754068	18751011	-3057	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			EMBEDDING_OUTPUT		subentry_hits	UNATTRIBUTED	157747	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			EMBEDDING_OUTPUT		subentry_misses	UNATTRIBUTED	89396	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			EMBEDDING_OUTPUT		l2_tlb_misses	116197	115848	-349	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			EMBEDDING_OUTPUT		translation_walk_starts	33298	33489	191	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			EMBEDDING_OUTPUT		pte_dram_responses	29568	29577	9	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			EMBEDDING_OUTPUT		requester_translation_latency_cycles	325516092	325354772	-161320	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			FFN_MLP		gpu_sim_cycle	20478345	20486237	7892	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			FFN_MLP		subentry_hits	UNATTRIBUTED	43474	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			FFN_MLP		subentry_misses	UNATTRIBUTED	0	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			FFN_MLP		l2_tlb_misses	0	0	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			FFN_MLP		translation_walk_starts	0	0	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F8-L10_vs_F7-L10			FFN_MLP		pte_dram_responses	0	0	0	exact marker checkpoints; activity is not critical-path proof
