roi	comparison	row_kind	operator_class	metric	metric_scope	baseline_value	candidate_value	delta	note
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	l1_tlb_accesses	EXACT_PER_KERNEL	16206452	16198938	-7514	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	l1_tlb_accesses	EXACT_PER_KERNEL	68	68	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	l1_tlb_misses	EXACT_PER_KERNEL	8138	8201	63	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	l1_tlb_misses	EXACT_PER_KERNEL	26171	26104	-67	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	l1_tlb_misses	EXACT_PER_KERNEL	306148	306150	2	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	l1_tlb_misses	EXACT_PER_KERNEL	99720	99478	-242	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	l1_tlb_misses	EXACT_PER_KERNEL	65848	65826	-22	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	l1_tlb_misses	EXACT_PER_KERNEL	614350	614168	-182	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	l1_tlb_misses	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	l2_tlb_accesses	EXACT_PER_KERNEL	8138	8201	63	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	l2_tlb_accesses	EXACT_PER_KERNEL	26171	26104	-67	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	l2_tlb_accesses	EXACT_PER_KERNEL	306148	306150	2	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	l2_tlb_accesses	EXACT_PER_KERNEL	99720	99478	-242	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	l2_tlb_accesses	EXACT_PER_KERNEL	65848	65826	-22	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	l2_tlb_accesses	EXACT_PER_KERNEL	614350	614168	-182	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	l2_tlb_accesses	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	l2_tlb_misses	EXACT_PER_KERNEL	1609	120	-1489	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	l2_tlb_misses	EXACT_PER_KERNEL	4283	3896	-387	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	l2_tlb_misses	EXACT_PER_KERNEL	87884	128973	41089	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	l2_tlb_misses	EXACT_PER_KERNEL	11708	11585	-123	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	l2_tlb_misses	EXACT_PER_KERNEL	595	595	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	l2_tlb_misses	EXACT_PER_KERNEL	10794	3280	-7514	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	l2_tlb_misses	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	l2_tlb_port_stalls	EXACT_PER_KERNEL	34628	26880	-7748	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	l2_tlb_port_stalls	EXACT_PER_KERNEL	97736	97001	-735	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	l2_tlb_port_stalls	EXACT_PER_KERNEL	455213	701933	246720	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	l2_tlb_port_stalls	EXACT_PER_KERNEL	170768	168817	-1951	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	l2_tlb_port_stalls	EXACT_PER_KERNEL	85303	86032	729	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	l2_tlb_port_stalls	EXACT_PER_KERNEL	436715	409612	-27103	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	l2_tlb_port_stalls	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	translation_mshr_allocations	EXACT_PER_KERNEL	240	18	-222	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	translation_mshr_allocations	EXACT_PER_KERNEL	1462	1293	-169	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	translation_mshr_allocations	EXACT_PER_KERNEL	32711	41995	9284	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	translation_mshr_allocations	EXACT_PER_KERNEL	6130	6130	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	translation_mshr_allocations	EXACT_PER_KERNEL	17	17	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	translation_mshr_allocations	EXACT_PER_KERNEL	928	356	-572	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	translation_mshr_allocations	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	translation_mshr_merges	EXACT_PER_KERNEL	1369	102	-1267	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	translation_mshr_merges	EXACT_PER_KERNEL	2821	2603	-218	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	translation_mshr_merges	EXACT_PER_KERNEL	55173	86978	31805	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	translation_mshr_merges	EXACT_PER_KERNEL	5578	5455	-123	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	translation_mshr_merges	EXACT_PER_KERNEL	578	578	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	translation_mshr_merges	EXACT_PER_KERNEL	9866	2924	-6942	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	translation_mshr_merges	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	translation_mshr_full_events	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	translation_mshr_full_events	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	translation_mshr_full_events	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	translation_mshr_full_events	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	translation_mshr_full_events	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	translation_mshr_full_events	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	translation_mshr_full_events	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	requester_mshr_wait_cycles	EXACT_PER_KERNEL	589393	94754	-494639	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	requester_mshr_wait_cycles	EXACT_PER_KERNEL	1459809	1356841	-102968	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	requester_mshr_wait_cycles	EXACT_PER_KERNEL	33222494	49354321	16131827	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	requester_mshr_wait_cycles	EXACT_PER_KERNEL	3282335	3282985	650	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	requester_mshr_wait_cycles	EXACT_PER_KERNEL	468665	470508	1843	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	requester_mshr_wait_cycles	EXACT_PER_KERNEL	6784581	2882586	-3901995	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	requester_mshr_wait_cycles	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	requester_translation_latency_cycles	EXACT_PER_KERNEL	4785556	4279276	-506280	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	requester_translation_latency_cycles	EXACT_PER_KERNEL	102678214	102526850	-151364	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	requester_translation_latency_cycles	EXACT_PER_KERNEL	316194806	332794535	16599729	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	requester_translation_latency_cycles	EXACT_PER_KERNEL	398215519	398220805	5286	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	requester_translation_latency_cycles	EXACT_PER_KERNEL	38202727	38202940	213	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	requester_translation_latency_cycles	EXACT_PER_KERNEL	218100297	214102360	-3997937	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	requester_translation_latency_cycles	EXACT_PER_KERNEL	680	680	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	translation_walk_starts	EXACT_PER_KERNEL	240	18	-222	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	translation_walk_starts	EXACT_PER_KERNEL	1462	1293	-169	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	translation_walk_starts	EXACT_PER_KERNEL	32711	41995	9284	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	translation_walk_starts	EXACT_PER_KERNEL	6130	6130	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	translation_walk_starts	EXACT_PER_KERNEL	17	17	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	translation_walk_starts	EXACT_PER_KERNEL	928	356	-572	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	translation_walk_starts	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	pte_requests	EXACT_PER_KERNEL	243	21	-222	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	pte_requests	EXACT_PER_KERNEL	1473	1304	-169	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	pte_requests	EXACT_PER_KERNEL	32765	42077	9312	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	pte_requests	EXACT_PER_KERNEL	6130	6130	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	pte_requests	EXACT_PER_KERNEL	32	32	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	pte_requests	EXACT_PER_KERNEL	934	362	-572	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	pte_requests	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	pte_l2_only_responses	EXACT_PER_KERNEL	165	13	-152	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	pte_l2_only_responses	EXACT_PER_KERNEL	1015	928	-87	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	pte_l2_only_responses	EXACT_PER_KERNEL	7996	10327	2331	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	pte_l2_only_responses	EXACT_PER_KERNEL	4556	4556	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	pte_l2_only_responses	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	pte_l2_only_responses	EXACT_PER_KERNEL	648	265	-383	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	pte_l2_only_responses	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	pte_dram_responses	EXACT_PER_KERNEL	78	8	-70	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	pte_dram_responses	EXACT_PER_KERNEL	458	376	-82	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	pte_dram_responses	EXACT_PER_KERNEL	24769	31750	6981	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	pte_dram_responses	EXACT_PER_KERNEL	1574	1574	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	pte_dram_responses	EXACT_PER_KERNEL	32	32	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	pte_dram_responses	EXACT_PER_KERNEL	286	97	-189	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	pte_dram_responses	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	pte_memory_wait_cycles	EXACT_PER_KERNEL	101538	9323	-92215	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	pte_memory_wait_cycles	EXACT_PER_KERNEL	583105	533901	-49204	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	pte_memory_wait_cycles	EXACT_PER_KERNEL	14030518	17607537	3577019	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	pte_memory_wait_cycles	EXACT_PER_KERNEL	1754680	1770203	15523	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	pte_memory_wait_cycles	EXACT_PER_KERNEL	15337	15336	-1	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	pte_memory_wait_cycles	EXACT_PER_KERNEL	1068965	493218	-575747	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	pte_memory_wait_cycles	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	pwc_accesses	EXACT_PER_KERNEL	720	54	-666	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	pwc_accesses	EXACT_PER_KERNEL	4386	3879	-507	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	pwc_accesses	EXACT_PER_KERNEL	98133	125985	27852	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	pwc_accesses	EXACT_PER_KERNEL	18390	18390	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	pwc_accesses	EXACT_PER_KERNEL	51	51	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	pwc_accesses	EXACT_PER_KERNEL	2784	1068	-1716	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	pwc_accesses	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	pwc_hits	EXACT_PER_KERNEL	717	51	-666	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	pwc_hits	EXACT_PER_KERNEL	4375	3868	-507	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	pwc_hits	EXACT_PER_KERNEL	98079	125903	27824	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	pwc_hits	EXACT_PER_KERNEL	18390	18390	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	pwc_hits	EXACT_PER_KERNEL	36	36	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	pwc_hits	EXACT_PER_KERNEL	2778	1062	-1716	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	pwc_hits	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	pwc_misses	EXACT_PER_KERNEL	3	3	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	pwc_misses	EXACT_PER_KERNEL	11	11	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	pwc_misses	EXACT_PER_KERNEL	54	82	28	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	pwc_misses	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	pwc_misses	EXACT_PER_KERNEL	15	15	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	pwc_misses	EXACT_PER_KERNEL	6	6	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	pwc_misses	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	weight_segment_lookup_attempts	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	weight_segment_lookup_attempts	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	weight_segment_lookup_attempts	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	weight_segment_lookup_attempts	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	weight_segment_lookup_attempts	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	weight_segment_lookup_attempts	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	weight_segment_lookup_attempts	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	weight_segment_hits	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	weight_segment_hits	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	weight_segment_hits	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	weight_segment_hits	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	weight_segment_hits	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	weight_segment_hits	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	weight_segment_hits	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	weight_segment_l2_suppressed	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	weight_segment_l2_suppressed	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	weight_segment_l2_suppressed	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	weight_segment_l2_suppressed	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	weight_segment_l2_suppressed	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	weight_segment_l2_suppressed	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	weight_segment_l2_suppressed	EXACT_PER_KERNEL	0	0	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	subentry_hits	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	counter is not complete monotonic per-kernel evidence in one or both arms
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	subentry_hits	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	counter is not complete monotonic per-kernel evidence in one or both arms
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	subentry_hits	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	counter is not complete monotonic per-kernel evidence in one or both arms
prefill	F1_vs_F2	OPERATOR	FFN_MLP	subentry_hits	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	counter is not complete monotonic per-kernel evidence in one or both arms
prefill	F1_vs_F2	OPERATOR	NORM	subentry_hits	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	counter is not complete monotonic per-kernel evidence in one or both arms
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	subentry_hits	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	counter is not complete monotonic per-kernel evidence in one or both arms
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	subentry_hits	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	counter is not complete monotonic per-kernel evidence in one or both arms
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	subentry_misses	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	counter is not complete monotonic per-kernel evidence in one or both arms
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	subentry_misses	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	counter is not complete monotonic per-kernel evidence in one or both arms
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	subentry_misses	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	counter is not complete monotonic per-kernel evidence in one or both arms
prefill	F1_vs_F2	OPERATOR	FFN_MLP	subentry_misses	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	counter is not complete monotonic per-kernel evidence in one or both arms
prefill	F1_vs_F2	OPERATOR	NORM	subentry_misses	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	counter is not complete monotonic per-kernel evidence in one or both arms
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	subentry_misses	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	counter is not complete monotonic per-kernel evidence in one or both arms
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	subentry_misses	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	UNATTRIBUTED	counter is not complete monotonic per-kernel evidence in one or both arms
prefill	F1_vs_F2	CACHE	ATTENTION_CORE	m4c_telemetry:DATA_KV_CACHE:HIT	EXACT_PER_KERNEL	0	0	0	KERNEL-scope cache transactions; not TLB accesses
prefill	F1_vs_F2	CACHE	ATTENTION_CORE	m4c_telemetry:DATA_KV_CACHE:HIT_RESERVED	EXACT_PER_KERNEL	0	0	0	KERNEL-scope cache transactions; not TLB accesses
prefill	F1_vs_F2	CACHE	ATTENTION_CORE	m4c_telemetry:DATA_KV_CACHE:MISS	EXACT_PER_KERNEL	25600	25600	0	KERNEL-scope cache transactions; not TLB accesses
prefill	F1_vs_F2	CACHE	ATTENTION_CORE	m4c_telemetry:DATA_KV_CACHE:MSHR_HIT	EXACT_PER_KERNEL	0	0	0	KERNEL-scope cache transactions; not TLB accesses
