roi	comparison	ranking_mode	rank	compute_index	trace_filename	semantic_kernel_name	operator_class	layer_id	evidence_kind	baseline_cycle	candidate_cycle	cycle_delta	baseline_cycle_share	l1_tlb_miss_delta	l2_tlb_miss_delta	translation_walk_delta	pte_request_delta	pte_dram_response_delta	requester_translation_latency_delta	segment_hit_delta	segment_l2_suppressed_delta	subentry_hit_delta	subentry_miss_delta	l1d_cache_tx_delta	l2_cache_tx_delta	l1d_reservation_fail_delta	l2_reservation_fail_delta	kernel_cache_outcome_delta
prefill	F1_vs_F2	IMPROVEMENT	12	541	kernel-1300-ctx_0x55f2413c4de0.traceg.xz	ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_tn	ATTENTION_PROJECTION	12	DIRECT_PARAMETER_RANGE	143964	142271	-1693	0.0022742091095183242	-17	0	0	0	0	-1660	0	0	UNATTRIBUTED	UNATTRIBUTED	0	-63888	0	-63888	m4c_telemetry_l2:DATA_UNKNOWN:HIT=3487;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-3464;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=-61860;m4c_telemetry_l2:DATA_WEIGHT:HIT=35;m4c_telemetry_l2:DATA_WEIGHT:MISS=-58;m4c_telemetry_l2:DATA_WEIGHT:RESERVATION_FAIL=-2028
prefill	F1_vs_F2	IMPROVEMENT	13	247	kernel-992-ctx_0x55f2413c4de0.traceg.xz	ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_tn	ATTENTION_PROJECTION	5	DIRECT_PARAMETER_RANGE	144050	142480	-1570	0.0022755676573734725	5	0	0	0	0	501	0	0	UNATTRIBUTED	UNATTRIBUTED	0	-32631	0	-32631	m4c_telemetry_l2:DATA_UNKNOWN:HIT=4116;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-4063;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=-33336;m4c_telemetry_l2:DATA_WEIGHT:HIT=-175;m4c_telemetry_l2:DATA_WEIGHT:MISS=122;m4c_telemetry_l2:DATA_WEIGHT:RESERVATION_FAIL=705
prefill	F1_vs_F2	IMPROVEMENT	14	365	kernel-1116-ctx_0x55f2413c4de0.traceg.xz	_ZN2at6native40_GLOBAL__N__0f1a8107_8_Shape_cu_49f7391c19CatArrayBatchedCopyINS1_10OpaqueTypeILj2EEEjLi4ELi64ELi64EEEvPT_NS1_25CatArrInputTensorMetadataIS5_T0_XT2_EXT3_EEENS1_16TensorSizeStrideIS8_Lj4EEEiS8_	OTHER_COMPUTE	NA	DIRECT_SEMANTIC_NAME	15164	13629	-1535	0.00023954674041243553	0	0	0	0	0	3	0	0	UNATTRIBUTED	UNATTRIBUTED	0	0	0	0	m4c_telemetry_l2:DATA_KV_CACHE:HIT=8;m4c_telemetry_l2:DATA_KV_CACHE:MISS=-8;m4c_telemetry_l2:DATA_UNKNOWN:HIT=8;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-8
prefill	F1_vs_F2	IMPROVEMENT	15	536	kernel-1295-ctx_0x55f2413c4de0.traceg.xz	_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_22gpu_kernel_impl_nocastIZZZNS0_23direct_copy_kernel_cudaERNS_18TensorIteratorBaseEENKUlvE1_clEvENKUlvE10_clEvEUlN3c108BFloat16EE_EEvS4_RKT_EUliE_EEviT1_	OTHER_COMPUTE	NA	DIRECT_SEMANTIC_NAME	18297	16780	-1517	0.0002890389547168513	4	0	0	0	0	344	0	0	UNATTRIBUTED	UNATTRIBUTED	0	64	0	0	m4c_telemetry:DATA_KV_CACHE:HIT=-19;m4c_telemetry:DATA_KV_CACHE:MISS=19;m4c_telemetry:DATA_UNKNOWN:HIT=-19;m4c_telemetry:DATA_UNKNOWN:MISS=19;m4c_telemetry_l2:DATA_KV_CACHE:HIT=32;m4c_telemetry_l2:DATA_UNKNOWN:HIT=52;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-20
prefill	F1_vs_F2	IMPROVEMENT	16	197	kernel-940-ctx_0x55f2413c4de0.traceg.xz	_ZN2at6native40_GLOBAL__N__0f1a8107_8_Shape_cu_49f7391c19CatArrayBatchedCopyINS1_10OpaqueTypeILj2EEEjLi4ELi64ELi64EEEvPT_NS1_25CatArrInputTensorMetadataIS5_T0_XT2_EXT3_EEENS1_16TensorSizeStrideIS8_Lj4EEEiS8_	OTHER_COMPUTE	NA	DIRECT_SEMANTIC_NAME	13700	12230	-1470	0.00021641983273874748	0	0	0	0	0	-2	0	0	UNATTRIBUTED	UNATTRIBUTED	0	0	0	0	m4c_telemetry_l2:DATA_KV_CACHE:HIT=8;m4c_telemetry_l2:DATA_KV_CACHE:MISS=-8;m4c_telemetry_l2:DATA_UNKNOWN:HIT=8;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-8
prefill	F1_vs_F2	IMPROVEMENT	17	655	kernel-1420-ctx_0x55f2413c4de0.traceg.xz	_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_22gpu_kernel_impl_nocastINS0_13BinaryFunctorIN3c108BFloat16ES5_S5_NS0_15binary_internal10MulFunctorIfEEEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_	OTHER_COMPUTE	NA	DIRECT_SEMANTIC_NAME	18190	16797	-1393	0.00028734866843195745	-5	-96	-8	-8	-2	-18492	0	0	UNATTRIBUTED	UNATTRIBUTED	0	1025	0	1033	m4c_telemetry:DATA_UNKNOWN:HIT=-263;m4c_telemetry:DATA_UNKNOWN:MISS=263;m4c_telemetry_l2:DATA_UNKNOWN:HIT=-31;m4c_telemetry_l2:DATA_UNKNOWN:MISS=31;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=1033;m4c_telemetry_l2:PTE_L3:HIT=-2;m4c_telemetry_l2:PTE_L3:MISS=-6
prefill	F1_vs_F2	IMPROVEMENT	18	201	kernel-944-ctx_0x55f2413c4de0.traceg.xz	_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_22gpu_kernel_impl_nocastIZZZNS0_23direct_copy_kernel_cudaERNS_18TensorIteratorBaseEENKUlvE1_clEvENKUlvE10_clEvEUlN3c108BFloat16EE_EEvS4_RKT_EUliE_EEviT1_	OTHER_COMPUTE	NA	DIRECT_SEMANTIC_NAME	18494	17120	-1374	0.000292150977129226	-6	0	0	0	0	-436	0	0	UNATTRIBUTED	UNATTRIBUTED	0	160	0	0	m4c_telemetry:DATA_KV_CACHE:HIT=-5;m4c_telemetry:DATA_KV_CACHE:MISS=5;m4c_telemetry:DATA_UNKNOWN:HIT=-8;m4c_telemetry:DATA_UNKNOWN:MISS=8;m4c_telemetry_l2:DATA_KV_CACHE:HIT=179;m4c_telemetry_l2:DATA_KV_CACHE:MISS=-99;m4c_telemetry_l2:DATA_UNKNOWN:HIT=178;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-98
prefill	F1_vs_F2	IMPROVEMENT	19	397	kernel-1150-ctx_0x55f2413c4de0.traceg.xz	_ZN7cutlass7Kernel2I67cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x10_tn_align8EEvNT_6ParamsE	ATTENTION_PROJECTION	9	DIRECT_PARAMETER_RANGE	135175	133846	-1329	0.0021353686781357805	-15	-10	-9	-9	-4	-12680	0	0	UNATTRIBUTED	UNATTRIBUTED	0	-96010	0	-96001	m4c_telemetry_l2:DATA_UNKNOWN:HIT=27264;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-26727;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=-92982;m4c_telemetry_l2:DATA_WEIGHT:HIT=3301;m4c_telemetry_l2:DATA_WEIGHT:MISS=-3838;m4c_telemetry_l2:DATA_WEIGHT:RESERVATION_FAIL=-3019;m4c_telemetry_l2:PTE_L3:HIT=-2;m4c_telemetry_l2:PTE_L3:MISS=-7
prefill	F1_vs_F2	IMPROVEMENT	20	161	kernel-902-ctx_0x55f2413c4de0.traceg.xz	_ZN13pytorch_flash16flash_fwd_kernelINS_23Flash_fwd_kernel_traitsILi64ELi128ELi128ELi4ELb0ELb0EN7cutlass10bfloat16_tENS_19Flash_kernel_traitsILi64ELi128ELi128ELi4ES3_EEEELb0ELb1ELb0ELb0ELb0ELb1ELb0EEEvNS_16Flash_fwd_paramsE	ATTENTION_CORE	NA	DIRECT_SEMANTIC_NAME	39454	38135	-1319	0.0006232575241514265	9	-103	-16	-16	-5	-29067	0	0	UNATTRIBUTED	UNATTRIBUTED	0	-10	0	6	m4c_telemetry_l2:DATA_KV_CACHE:HIT=-43;m4c_telemetry_l2:DATA_KV_CACHE:MISS=43;m4c_telemetry_l2:DATA_UNKNOWN:HIT=159;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-159;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=6;m4c_telemetry_l2:PTE_L3:HIT=-10;m4c_telemetry_l2:PTE_L3:MISS=-6
prefill	F1_vs_F2	IMPROVEMENT	21	113	kernel-852-ctx_0x55f2413c4de0.traceg.xz	_ZN2at6native40_GLOBAL__N__0f1a8107_8_Shape_cu_49f7391c19CatArrayBatchedCopyINS1_10OpaqueTypeILj2EEEjLi4ELi64ELi64EEEvPT_NS1_25CatArrInputTensorMetadataIS5_T0_XT2_EXT3_EEENS1_16TensorSizeStrideIS8_Lj4EEEiS8_	OTHER_COMPUTE	NA	DIRECT_SEMANTIC_NAME	13626	12312	-1314	0.0002152508497005966	0	0	0	0	0	1	0	0	UNATTRIBUTED	UNATTRIBUTED	0	0	0	0	m4c_telemetry_l2:DATA_KV_CACHE:HIT=2;m4c_telemetry_l2:DATA_KV_CACHE:MISS=-2;m4c_telemetry_l2:DATA_UNKNOWN:HIT=2;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-2
prefill	F1_vs_F2	IMPROVEMENT	22	318	kernel-1067-ctx_0x55f2413c4de0.traceg.xz	_ZN2at6native40_GLOBAL__N__0f1a8107_8_Shape_cu_49f7391c19CatArrayBatchedCopyINS1_10OpaqueTypeILj2EEEjLi4ELi64ELi64EEEvPT_NS1_25CatArrInputTensorMetadataIS5_T0_XT2_EXT3_EEENS1_16TensorSizeStrideIS8_Lj4EEEiS8_	OTHER_COMPUTE	NA	DIRECT_SEMANTIC_NAME	27529	26235	-1294	0.0004348774872602175	2	-12	-2	-2	-1	-2258	0	0	UNATTRIBUTED	UNATTRIBUTED	0	-2	0	0	m4c_telemetry_l2:PTE_L3:HIT=-1;m4c_telemetry_l2:PTE_L3:MISS=-1
prefill	F1_vs_F2	IMPROVEMENT	23	539	kernel-1298-ctx_0x55f2413c4de0.traceg.xz	_ZN13pytorch_flash16flash_fwd_kernelINS_23Flash_fwd_kernel_traitsILi64ELi128ELi128ELi4ELb0ELb0EN7cutlass10bfloat16_tENS_19Flash_kernel_traitsILi64ELi128ELi128ELi4ES3_EEEELb0ELb1ELb0ELb0ELb0ELb1ELb0EEEvNS_16Flash_fwd_paramsE	ATTENTION_CORE	NA	DIRECT_SEMANTIC_NAME	39436	38258	-1178	0.0006229731769259304	-6	-111	-15	-15	-5	-31874	0	0	UNATTRIBUTED	UNATTRIBUTED	0	-64	0	-49	m4c_telemetry_l2:DATA_UNKNOWN:HIT=432;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-432;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=-49;m4c_telemetry_l2:PTE_L3:HIT=-8;m4c_telemetry_l2:PTE_L3:MISS=-7
prefill	F1_vs_F2	IMPROVEMENT	24	193	kernel-936-ctx_0x55f2413c4de0.traceg.xz	_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_22gpu_kernel_impl_nocastINS0_13BinaryFunctorIN3c108BFloat16ES5_S5_NS0_15binary_internal10MulFunctorIfEEEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_	OTHER_COMPUTE	NA	DIRECT_SEMANTIC_NAME	18591	17442	-1149	0.00029368329273328866	-6	-102	-6	-6	-2	-16656	0	0	UNATTRIBUTED	UNATTRIBUTED	0	947	0	953	m4c_telemetry:DATA_UNKNOWN:HIT=-163;m4c_telemetry:DATA_UNKNOWN:MISS=163;m4c_telemetry_l2:DATA_UNKNOWN:HIT=39;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-39;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=953;m4c_telemetry_l2:PTE_L3:HIT=-4;m4c_telemetry_l2:PTE_L3:MISS=-2
prefill	F1_vs_F2	IMPROVEMENT	25	231	kernel-976-ctx_0x55f2413c4de0.traceg.xz	ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn	ATTENTION_PROJECTION	5	DIRECT_PARAMETER_RANGE	70813	69685	-1128	0.0011186377821699946	15	-12	-2	-2	-1	-16772	0	0	UNATTRIBUTED	UNATTRIBUTED	0	32303	0	32305	m4c_telemetry_l2:DATA_UNKNOWN:HIT=-9851;m4c_telemetry_l2:DATA_UNKNOWN:MISS=9851;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=-1572;m4c_telemetry_l2:DATA_WEIGHT:HIT=-914;m4c_telemetry_l2:DATA_WEIGHT:MISS=914;m4c_telemetry_l2:DATA_WEIGHT:RESERVATION_FAIL=33877;m4c_telemetry_l2:PTE_L3:HIT=-1;m4c_telemetry_l2:PTE_L3:MISS=-1
prefill	F1_vs_F2	IMPROVEMENT	26	513	kernel-1271-ctx_0x55f2413c4de0.traceg.xz	ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_tn	FFN_MLP	11	DIRECT_PARAMETER_RANGE	427632	426511	-1121	0.006755331818520881	-20	2	0	0	0	1888	0	0	UNATTRIBUTED	UNATTRIBUTED	0	-38807	0	-38807	m4c_telemetry_l2:DATA_UNKNOWN:HIT=18434;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-18448;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=-37755;m4c_telemetry_l2:DATA_WEIGHT:HIT=3413;m4c_telemetry_l2:DATA_WEIGHT:MISS=-3399;m4c_telemetry_l2:DATA_WEIGHT:RESERVATION_FAIL=-1052
prefill	F1_vs_F2	IMPROVEMENT	27	540	kernel-1299-ctx_0x55f2413c4de0.traceg.xz	_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_22gpu_kernel_impl_nocastIZZZNS0_23direct_copy_kernel_cudaERNS_18TensorIteratorBaseEENKUlvE1_clEvENKUlvE10_clEvEUlN3c108BFloat16EE_EEvS4_RKT_EUliE_EEviT1_	OTHER_COMPUTE	NA	DIRECT_SEMANTIC_NAME	17748	16649	-1099	0.0002803663643392183	10	-12	0	0	0	-915	0	0	UNATTRIBUTED	UNATTRIBUTED	0	0	0	0	NONE
prefill	F1_vs_F2	IMPROVEMENT	28	313	kernel-1062-ctx_0x55f2413c4de0.traceg.xz	_ZN7cutlass7Kernel2I67cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x10_tn_align8EEvNT_6ParamsE	ATTENTION_PROJECTION	7	DIRECT_PARAMETER_RANGE	135248	134153	-1095	0.0021365218641058482	7	-27	-9	-9	-4	-6832	0	0	UNATTRIBUTED	UNATTRIBUTED	0	32803	0	32812	m4c_telemetry_l2:DATA_UNKNOWN:HIT=4085;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-4031;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=23487;m4c_telemetry_l2:DATA_WEIGHT:HIT=4130;m4c_telemetry_l2:DATA_WEIGHT:MISS=-4184;m4c_telemetry_l2:DATA_WEIGHT:RESERVATION_FAIL=9325;m4c_telemetry_l2:PTE_L3:HIT=-7;m4c_telemetry_l2:PTE_L3:MISS=-2
prefill	F1_vs_F2	IMPROVEMENT	29	649	kernel-1414-ctx_0x55f2413c4de0.traceg.xz	_ZN7cutlass7Kernel2I67cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x10_tn_align8EEvNT_6ParamsE	ATTENTION_PROJECTION	15	DIRECT_PARAMETER_RANGE	136273	135200	-1073	0.0021527138588910465	11	9	-9	-9	-4	-1184	0	0	UNATTRIBUTED	UNATTRIBUTED	0	69064	0	69073	m4c_telemetry_l2:DATA_UNKNOWN:HIT=-2582;m4c_telemetry_l2:DATA_UNKNOWN:MISS=2815;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=59641;m4c_telemetry_l2:DATA_WEIGHT:HIT=-452;m4c_telemetry_l2:DATA_WEIGHT:MISS=219;m4c_telemetry_l2:DATA_WEIGHT:RESERVATION_FAIL=9432;m4c_telemetry_l2:PTE_L3:HIT=-7;m4c_telemetry_l2:PTE_L3:MISS=-2
prefill	F1_vs_F2	IMPROVEMENT	30	625	kernel-1388-ctx_0x55f2413c4de0.traceg.xz	ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_tn	ATTENTION_PROJECTION	14	DIRECT_PARAMETER_RANGE	144861	143832	-1029	0.0022883790795888833	0	0	0	0	0	-5728	0	0	UNATTRIBUTED	UNATTRIBUTED	0	36340	0	36340	m4c_telemetry_l2:DATA_UNKNOWN:HIT=-7683;m4c_telemetry_l2:DATA_UNKNOWN:MISS=7814;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=36991;m4c_telemetry_l2:DATA_WEIGHT:HIT=-710;m4c_telemetry_l2:DATA_WEIGHT:MISS=579;m4c_telemetry_l2:DATA_WEIGHT:RESERVATION_FAIL=-651
