row_kind	roi	operator_class	rank	compute_index	metric	baseline_f0	candidate_f5	delta_f5_minus_f0	note
OPERATOR	prefill	NORM			l2_tlb_misses	595	595	0	exact per-kernel checkpoint delta
OPERATOR	prefill	NORM			translation_walk_starts	17	17	0	exact per-kernel checkpoint delta
OPERATOR	prefill	NORM			pte_requests	32	32	0	exact per-kernel checkpoint delta
OPERATOR	prefill	NORM			pte_dram_responses	32	32	0	exact per-kernel checkpoint delta
OPERATOR	prefill	NORM			pwc_accesses	51	51	0	exact per-kernel checkpoint delta
OPERATOR	prefill	NORM			pwc_hits	36	36	0	exact per-kernel checkpoint delta
OPERATOR	prefill	NORM			pwc_misses	15	15	0	exact per-kernel checkpoint delta
OPERATOR	prefill	NORM			requester_translation_latency_cycles	38221416	38217966	-3450	exact per-kernel checkpoint delta
OPERATOR	prefill	OTHER_COMPUTE			gpu_sim_cycle	15500080	15526361	26281	exact per-kernel checkpoint delta
OPERATOR	prefill	OTHER_COMPUTE			l2_tlb_misses	7752	12622	4870	exact per-kernel checkpoint delta
OPERATOR	prefill	OTHER_COMPUTE			translation_walk_starts	688	1106	418	exact per-kernel checkpoint delta
OPERATOR	prefill	OTHER_COMPUTE			pte_requests	694	1112	418	exact per-kernel checkpoint delta
OPERATOR	prefill	OTHER_COMPUTE			pte_dram_responses	224	338	114	exact per-kernel checkpoint delta
OPERATOR	prefill	OTHER_COMPUTE			pwc_accesses	2064	3318	1254	exact per-kernel checkpoint delta
OPERATOR	prefill	OTHER_COMPUTE			pwc_hits	2058	3312	1254	exact per-kernel checkpoint delta
OPERATOR	prefill	OTHER_COMPUTE			pwc_misses	6	6	0	exact per-kernel checkpoint delta
OPERATOR	prefill	OTHER_COMPUTE			requester_translation_latency_cycles	217504930	218662963	1158033	exact per-kernel checkpoint delta
OPERATOR	prefill	UNRESOLVED			gpu_sim_cycle	6450	6450	0	exact per-kernel checkpoint delta
OPERATOR	prefill	UNRESOLVED			l2_tlb_misses	0	0	0	exact per-kernel checkpoint delta
OPERATOR	prefill	UNRESOLVED			translation_walk_starts	0	0	0	exact per-kernel checkpoint delta
OPERATOR	prefill	UNRESOLVED			pte_requests	0	0	0	exact per-kernel checkpoint delta
OPERATOR	prefill	UNRESOLVED			pte_dram_responses	0	0	0	exact per-kernel checkpoint delta
OPERATOR	prefill	UNRESOLVED			pwc_accesses	0	0	0	exact per-kernel checkpoint delta
OPERATOR	prefill	UNRESOLVED			pwc_hits	0	0	0	exact per-kernel checkpoint delta
OPERATOR	prefill	UNRESOLVED			pwc_misses	0	0	0	exact per-kernel checkpoint delta
OPERATOR	prefill	UNRESOLVED			requester_translation_latency_cycles	680	680	0	exact per-kernel checkpoint delta
TOP_REGRESSION_KERNEL	prefill	EMBEDDING_OUTPUT	1	691	gpu_sim_cycle	17584269	18284522	700253	exact cycle delta
TOP_REGRESSION_KERNEL	prefill	OTHER_COMPUTE	2	281	gpu_sim_cycle	12204	14972	2768	exact cycle delta
TOP_REGRESSION_KERNEL	prefill	ATTENTION_PROJECTION	3	103	gpu_sim_cycle	134619	137001	2382	exact cycle delta
TOP_REGRESSION_KERNEL	prefill	OTHER_COMPUTE	4	64	gpu_sim_cycle	19400	21753	2353	exact cycle delta
TOP_REGRESSION_KERNEL	prefill	ATTENTION_PROJECTION	5	499	gpu_sim_cycle	149600	151885	2285	exact cycle delta
TOP_REGRESSION_KERNEL	prefill	OTHER_COMPUTE	6	158	gpu_sim_cycle	15781	17937	2156	exact cycle delta
TOP_REGRESSION_KERNEL	prefill	OTHER_COMPUTE	7	74	gpu_sim_cycle	15836	17748	1912	exact cycle delta
TOP_REGRESSION_KERNEL	prefill	OTHER_COMPUTE	8	400	gpu_sim_cycle	18794	20592	1798	exact cycle delta
TOP_REGRESSION_KERNEL	prefill	ATTENTION_PROJECTION	9	37	gpu_sim_cycle	142686	144468	1782	exact cycle delta
TOP_REGRESSION_KERNEL	prefill	OTHER_COMPUTE	10	487	gpu_sim_cycle	16860	18502	1642	exact cycle delta
TOP_REGRESSION_KERNEL	prefill	ATTENTION_PROJECTION	11	649	gpu_sim_cycle	133566	135185	1619	exact cycle delta
TOP_REGRESSION_KERNEL	prefill	FFN_MLP	12	677	gpu_sim_cycle	427900	429473	1573	exact cycle delta
TOP_REGRESSION_KERNEL	prefill	ATTENTION_PROJECTION	13	145	gpu_sim_cycle	132964	134509	1545	exact cycle delta
TOP_REGRESSION_KERNEL	prefill	FFN_MLP	14	513	gpu_sim_cycle	427380	428916	1536	exact cycle delta
TOP_REGRESSION_KERNEL	prefill	OTHER_COMPUTE	15	204	gpu_sim_cycle	16049	17581	1532	exact cycle delta
TOP_REGRESSION_KERNEL	prefill	FFN_MLP	16	177	gpu_sim_cycle	425888	427381	1493	exact cycle delta
TOP_REGRESSION_KERNEL	prefill	FFN_MLP	17	593	gpu_sim_cycle	427792	429258	1466	exact cycle delta
TOP_REGRESSION_KERNEL	prefill	OTHER_COMPUTE	18	449	gpu_sim_cycle	13541	14999	1458	exact cycle delta
TOP_REGRESSION_KERNEL	prefill	OTHER_COMPUTE	19	533	gpu_sim_cycle	13566	15009	1443	exact cycle delta
TOP_REGRESSION_KERNEL	prefill	OTHER_COMPUTE	20	197	gpu_sim_cycle	13525	14955	1430	exact cycle delta
FULL_ROI	prefill	FULL_ROI			gpu_tot_sim_cycle	62490238	63223313	733075	FULL_ROI_ONLY anchor
OPERATOR	decode1	ATTENTION_CORE			gpu_sim_cycle	505269	504922	-347	exact per-kernel checkpoint delta
OPERATOR	decode1	ATTENTION_CORE			l2_tlb_misses	203	197	-6	exact per-kernel checkpoint delta
OPERATOR	decode1	ATTENTION_CORE			translation_walk_starts	11	11	0	exact per-kernel checkpoint delta
OPERATOR	decode1	ATTENTION_CORE			pte_requests	14	14	0	exact per-kernel checkpoint delta
OPERATOR	decode1	ATTENTION_CORE			pte_dram_responses	6	6	0	exact per-kernel checkpoint delta
OPERATOR	decode1	ATTENTION_CORE			pwc_accesses	33	33	0	exact per-kernel checkpoint delta
OPERATOR	decode1	ATTENTION_CORE			pwc_hits	30	30	0	exact per-kernel checkpoint delta
OPERATOR	decode1	ATTENTION_CORE			pwc_misses	3	3	0	exact per-kernel checkpoint delta
OPERATOR	decode1	ATTENTION_CORE			requester_translation_latency_cycles	2955031	2951840	-3191	exact per-kernel checkpoint delta
OPERATOR	decode1	ATTENTION_PROJECTION			gpu_sim_cycle	3824007	3826506	2499	exact per-kernel checkpoint delta
OPERATOR	decode1	ATTENTION_PROJECTION			l2_tlb_misses	4172	4255	83	exact per-kernel checkpoint delta
OPERATOR	decode1	ATTENTION_PROJECTION			translation_walk_starts	1323	1323	0	exact per-kernel checkpoint delta
OPERATOR	decode1	ATTENTION_PROJECTION			pte_requests	1341	1341	0	exact per-kernel checkpoint delta
OPERATOR	decode1	ATTENTION_PROJECTION			pte_dram_responses	368	367	-1	exact per-kernel checkpoint delta
OPERATOR	decode1	ATTENTION_PROJECTION			pwc_accesses	3969	3969	0	exact per-kernel checkpoint delta
OPERATOR	decode1	ATTENTION_PROJECTION			pwc_hits	3951	3951	0	exact per-kernel checkpoint delta
OPERATOR	decode1	ATTENTION_PROJECTION			pwc_misses	18	18	0	exact per-kernel checkpoint delta
OPERATOR	decode1	ATTENTION_PROJECTION			requester_translation_latency_cycles	87571709	87594006	22297	exact per-kernel checkpoint delta
OPERATOR	decode1	EMBEDDING_OUTPUT			gpu_sim_cycle	3781703	3775855	-5848	exact per-kernel checkpoint delta
OPERATOR	decode1	EMBEDDING_OUTPUT			l2_tlb_misses	8210	8223	13	exact per-kernel checkpoint delta
OPERATOR	decode1	EMBEDDING_OUTPUT			translation_walk_starts	8061	8061	0	exact per-kernel checkpoint delta
OPERATOR	decode1	EMBEDDING_OUTPUT			pte_requests	8128	8118	-10	exact per-kernel checkpoint delta
OPERATOR	decode1	EMBEDDING_OUTPUT			pte_dram_responses	2086	2082	-4	exact per-kernel checkpoint delta
OPERATOR	decode1	EMBEDDING_OUTPUT			pwc_accesses	24183	24183	0	exact per-kernel checkpoint delta
OPERATOR	decode1	EMBEDDING_OUTPUT			pwc_hits	24116	24126	10	exact per-kernel checkpoint delta
OPERATOR	decode1	EMBEDDING_OUTPUT			pwc_misses	67	57	-10	exact per-kernel checkpoint delta
OPERATOR	decode1	EMBEDDING_OUTPUT			requester_translation_latency_cycles	58597137	58554589	-42548	exact per-kernel checkpoint delta
OPERATOR	decode1	FFN_MLP			gpu_sim_cycle	21665136	21666665	1529	exact per-kernel checkpoint delta
OPERATOR	decode1	FFN_MLP			l2_tlb_misses	6389	6372	-17	exact per-kernel checkpoint delta
OPERATOR	decode1	FFN_MLP			translation_walk_starts	6130	6130	0	exact per-kernel checkpoint delta
OPERATOR	decode1	FFN_MLP			pte_requests	6130	6130	0	exact per-kernel checkpoint delta
OPERATOR	decode1	FFN_MLP			pte_dram_responses	1571	1571	0	exact per-kernel checkpoint delta
OPERATOR	decode1	FFN_MLP			pwc_accesses	18390	18390	0	exact per-kernel checkpoint delta
OPERATOR	decode1	FFN_MLP			pwc_hits	18390	18390	0	exact per-kernel checkpoint delta
OPERATOR	decode1	FFN_MLP			pwc_misses	0	0	0	exact per-kernel checkpoint delta
OPERATOR	decode1	FFN_MLP			requester_translation_latency_cycles	613510433	613546762	36329	exact per-kernel checkpoint delta
OPERATOR	decode1	NORM			gpu_sim_cycle	301294	299334	-1960	exact per-kernel checkpoint delta
OPERATOR	decode1	NORM			l2_tlb_misses	544	544	0	exact per-kernel checkpoint delta
OPERATOR	decode1	NORM			translation_walk_starts	17	17	0	exact per-kernel checkpoint delta
OPERATOR	decode1	NORM			pte_requests	32	32	0	exact per-kernel checkpoint delta
OPERATOR	decode1	NORM			pte_dram_responses	32	32	0	exact per-kernel checkpoint delta
OPERATOR	decode1	NORM			pwc_accesses	51	51	0	exact per-kernel checkpoint delta
OPERATOR	decode1	NORM			pwc_hits	36	36	0	exact per-kernel checkpoint delta
OPERATOR	decode1	NORM			pwc_misses	15	15	0	exact per-kernel checkpoint delta
OPERATOR	decode1	NORM			requester_translation_latency_cycles	1115255	1115385	130	exact per-kernel checkpoint delta
OPERATOR	decode1	OTHER_COMPUTE			gpu_sim_cycle	4481119	4479466	-1653	exact per-kernel checkpoint delta
OPERATOR	decode1	OTHER_COMPUTE			l2_tlb_misses	2702	2537	-165	exact per-kernel checkpoint delta
OPERATOR	decode1	OTHER_COMPUTE			translation_walk_starts	149	149	0	exact per-kernel checkpoint delta
OPERATOR	decode1	OTHER_COMPUTE			pte_requests	151	151	0	exact per-kernel checkpoint delta
OPERATOR	decode1	OTHER_COMPUTE			pte_dram_responses	71	71	0	exact per-kernel checkpoint delta
OPERATOR	decode1	OTHER_COMPUTE			pwc_accesses	447	447	0	exact per-kernel checkpoint delta
OPERATOR	decode1	OTHER_COMPUTE			pwc_hits	445	445	0	exact per-kernel checkpoint delta
OPERATOR	decode1	OTHER_COMPUTE			pwc_misses	2	2	0	exact per-kernel checkpoint delta
OPERATOR	decode1	OTHER_COMPUTE			requester_translation_latency_cycles	11406575	11360281	-46294	exact per-kernel checkpoint delta
OPERATOR	decode1	UNRESOLVED			gpu_sim_cycle	6098	6098	0	exact per-kernel checkpoint delta
OPERATOR	decode1	UNRESOLVED			l2_tlb_misses	0	0	0	exact per-kernel checkpoint delta
OPERATOR	decode1	UNRESOLVED			translation_walk_starts	0	0	0	exact per-kernel checkpoint delta
OPERATOR	decode1	UNRESOLVED			pte_requests	0	0	0	exact per-kernel checkpoint delta
OPERATOR	decode1	UNRESOLVED			pte_dram_responses	0	0	0	exact per-kernel checkpoint delta
OPERATOR	decode1	UNRESOLVED			pwc_accesses	0	0	0	exact per-kernel checkpoint delta
OPERATOR	decode1	UNRESOLVED			pwc_hits	0	0	0	exact per-kernel checkpoint delta
OPERATOR	decode1	UNRESOLVED			pwc_misses	0	0	0	exact per-kernel checkpoint delta
OPERATOR	decode1	UNRESOLVED			requester_translation_latency_cycles	110	110	0	exact per-kernel checkpoint delta
TOP_REGRESSION_KERNEL	decode1	OTHER_COMPUTE	1	36	gpu_sim_cycle	13962	15246	1284	exact cycle delta
TOP_REGRESSION_KERNEL	decode1	OTHER_COMPUTE	2	126	gpu_sim_cycle	14280	15505	1225	exact cycle delta
TOP_REGRESSION_KERNEL	decode1	OTHER_COMPUTE	3	487	gpu_sim_cycle	14196	15412	1216	exact cycle delta
TOP_REGRESSION_KERNEL	decode1	OTHER_COMPUTE	4	449	gpu_sim_cycle	12444	13646	1202	exact cycle delta
TOP_REGRESSION_KERNEL	decode1	OTHER_COMPUTE	5	128	gpu_sim_cycle	14726	15925	1199	exact cycle delta
TOP_REGRESSION_KERNEL	decode1	OTHER_COMPUTE	6	577	gpu_sim_cycle	14203	15280	1077	exact cycle delta
TOP_REGRESSION_KERNEL	decode1	OTHER_COMPUTE	7	443	gpu_sim_cycle	14402	15301	899	exact cycle delta
TOP_REGRESSION_KERNEL	decode1	OTHER_COMPUTE	8	261	gpu_sim_cycle	14464	15338	874	exact cycle delta
TOP_REGRESSION_KERNEL	decode1	OTHER_COMPUTE	9	359	gpu_sim_cycle	12444	13280	836	exact cycle delta
TOP_REGRESSION_KERNEL	decode1	ATTENTION_PROJECTION	10	355	gpu_sim_cycle	128825	129650	825	exact cycle delta
TOP_REGRESSION_KERNEL	decode1	OTHER_COMPUTE	11	127	gpu_sim_cycle	15414	16155	741	exact cycle delta
TOP_REGRESSION_KERNEL	decode1	ATTENTION_PROJECTION	12	694	gpu_sim_cycle	29934	30669	735	exact cycle delta
TOP_REGRESSION_KERNEL	decode1	OTHER_COMPUTE	13	418	gpu_sim_cycle	13026	13751	725	exact cycle delta
TOP_REGRESSION_KERNEL	decode1	ATTENTION_PROJECTION	14	19	gpu_sim_cycle	30061	30735	674	exact cycle delta
TOP_REGRESSION_KERNEL	decode1	ATTENTION_PROJECTION	15	379	gpu_sim_cycle	29681	30347	666	exact cycle delta
TOP_REGRESSION_KERNEL	decode1	ATTENTION_PROJECTION	16	424	gpu_sim_cycle	30202	30820	618	exact cycle delta
TOP_REGRESSION_KERNEL	decode1	OTHER_COMPUTE	17	610	gpu_sim_cycle	7203	7730	527	exact cycle delta
TOP_REGRESSION_KERNEL	decode1	ATTENTION_PROJECTION	18	130	gpu_sim_cycle	128600	129082	482	exact cycle delta
TOP_REGRESSION_KERNEL	decode1	ATTENTION_PROJECTION	19	400	gpu_sim_cycle	128561	129035	474	exact cycle delta
TOP_REGRESSION_KERNEL	decode1	OTHER_COMPUTE	20	531	gpu_sim_cycle	14186	14652	466	exact cycle delta
FULL_ROI	decode1	FULL_ROI			gpu_tot_sim_cycle	34564626	34558846	-5780	FULL_ROI_ONLY anchor
