roi	operator_class	layer_id	kernel_count	f0_cycles	weight_refs	weight_unique_64kb_pages	f0_l1_tlb_misses	f0_l2_tlb_misses	f0_translation_walk_starts	f0_pte_requests	f0_pte_dram_responses	f7_l5_cycle_delta_vs_f0	f7_l10_cycle_delta_vs_f0	f7_l20_cycle_delta_vs_f0	f8_l5_cycle_delta_vs_f0	f8_l10_cycle_delta_vs_f0	f8_l20_cycle_delta_vs_f0	f7_l5_segment_hits	f7_l10_segment_hits	f7_l20_segment_hits	f8_l5_segment_hits	f8_l10_segment_hits	f8_l20_segment_hits	f8_l5_cycle_delta_vs_f7	f8_l10_cycle_delta_vs_f7	f8_l20_cycle_delta_vs_f7
prefill	FFN_MLP	12	3	1286390	12582912	385	6318	689	383	383	99	-192793	-6613	464942	-146782	-7885	463079	1633934	1579792	1573839	1661729	1579906	1573656	46011	-1272	-1863
prefill	FFN_MLP	13	3	1282403	12582912	385	6187	685	383	383	99	-171405	-3309	467972	-142108	-1027	468902	1651116	1580208	1573634	1664957	1580510	1573724	29297	2282	930
prefill	FFN_MLP	14	3	1284767	12582912	385	6262	695	383	383	99	-181916	-5750	464969	-172597	-6552	465853	1642289	1579764	1573783	1648093	1579594	1573715	9319	-802	884
prefill	FFN_MLP	15	3	1287198	12582912	385	6296	734	383	383	99	-183810	-6068	464505	-184573	-4949	465123	1637507	1579744	1573749	1645162	1580008	1573799	-763	1119	618
prefill	NORM	0	2	88615	2097152	1	3964	35	1	2	2	-9749	-1257	18397	-9832	-1448	18116	65536	65536	65536	65536	65536	65536	-83	-191	-281
prefill	NORM	1	2	88177	2097152	1	4006	35	1	2	2	-9232	-920	18821	-9437	-1441	18575	65536	65536	65536	65536	65536	65536	-205	-521	-246
prefill	NORM	2	2	88417	2097152	1	4006	35	1	2	2	-9951	-1213	18515	-9567	-1252	18800	65536	65536	65536	65536	65536	65536	384	-39	285
prefill	NORM	3	2	88460	2097152	1	4046	35	1	2	2	-9107	-1324	18110	-9760	-1251	18591	65536	65536	65536	65536	65536	65536	-653	73	481
prefill	NORM	4	2	88126	2097152	1	3996	35	1	2	2	-9372	-898	18799	-9213	-573	18821	65536	65536	65536	65536	65536	65536	159	325	22
prefill	NORM	5	2	88544	2097152	1	3996	35	1	2	2	-9736	-1546	18621	-9637	-1364	18363	65536	65536	65536	65536	65536	65536	99	182	-258
prefill	NORM	6	2	88154	2097152	1	3986	35	1	2	2	-9437	-789	18718	-9378	-846	19117	65536	65536	65536	65536	65536	65536	59	-57	399
prefill	NORM	7	2	88068	2097152	1	4054	35	1	1	1	-8856	-611	18864	-9258	-903	18705	65536	65536	65536	65536	65536	65536	-402	-292	-159
prefill	NORM	8	2	88229	2097152	1	3964	35	1	2	2	-9288	-805	18695	-9324	-1033	18949	65536	65536	65536	65536	65536	65536	-36	-228	254
prefill	NORM	9	2	88324	2097152	1	3986	35	1	2	2	-9359	-906	18725	-9951	-848	18377	65536	65536	65536	65536	65536	65536	-592	58	-348
prefill	NORM	10	2	88147	2097152	1	3926	35	1	2	2	-9556	-817	19019	-9336	-1092	18963	65536	65536	65536	65536	65536	65536	220	-275	-56
prefill	NORM	11	2	88681	2097152	1	4046	35	1	2	2	-9656	-1270	18279	-9764	-1330	18128	65536	65536	65536	65536	65536	65536	-108	-60	-151
prefill	NORM	12	2	88637	2097152	1	4066	35	1	2	2	-9692	-938	18335	-9661	-1113	18585	65536	65536	65536	65536	65536	65536	31	-175	250
prefill	NORM	13	2	88674	2097152	1	3966	35	1	2	2	-9822	-1322	18120	-9696	-1587	18531	65536	65536	65536	65536	65536	65536	126	-265	411
prefill	NORM	14	2	88157	2097152	1	3992	35	1	2	2	-9220	-1093	18957	-9375	-1042	18929	65536	65536	65536	65536	65536	65536	-155	51	-28
prefill	NORM	15	2	88411	2097152	1	4002	35	1	2	2	-9317	-1208	18362	-9272	-942	19370	65536	65536	65536	65536	65536	65536	45	266	1008
decode1	ATTENTION_PROJECTION	0	4	239127	327680	80	823	325	86	104	25	-1556	-1431	2892	-1556	-1431	2892	44782	41657	40966	44782	41657	40966	0	0	0
decode1	ATTENTION_PROJECTION	1	4	237666	327680	81	916	216	80	80	21	-2216	-708	3239	-2216	-708	3239	44052	41425	40960	44052	41425	40960	0	0	0
decode1	ATTENTION_PROJECTION	2	4	238353	327680	81	1025	310	84	84	24	-2411	-1146	3255	-2411	-1146	3255	44337	41573	40983	44337	41573	40983	0	0	0
decode1	ATTENTION_PROJECTION	3	4	238702	327680	81	957	295	83	83	24	-3546	-2012	2322	-3546	-2012	2322	44037	41589	40960	44037	41589	40960	0	0	0
decode1	ATTENTION_PROJECTION	4	4	239753	327680	81	925	287	83	83	23	-3111	-2850	971	-3111	-2850	971	44064	41511	40960	44064	41511	40960	0	0	0
decode1	ATTENTION_PROJECTION	5	4	238627	327680	81	959	220	83	83	22	-3783	-1836	1656	-3783	-1836	1656	44114	41644	40960	44114	41644	40960	0	0	0
decode1	ATTENTION_PROJECTION	6	4	239277	327680	81	991	227	83	83	22	-4082	-925	1625	-4082	-925	1625	44281	41623	40968	44281	41623	40968	0	0	0
decode1	ATTENTION_PROJECTION	7	4	239417	327680	81	1027	262	84	84	24	-4096	-2675	1551	-4096	-2675	1551	44338	41466	40960	44338	41466	40960	0	0	0
decode1	ATTENTION_PROJECTION	8	4	238182	327680	80	856	234	80	80	23	-2864	-653	1253	-2864	-653	1253	44300	41670	40960	44300	41670	40960	0	0	0
decode1	ATTENTION_PROJECTION	9	4	238584	327680	81	988	252	82	82	21	-2616	-805	2818	-2616	-805	2818	44206	41630	40966	44206	41630	40966	0	0	0
decode1	ATTENTION_PROJECTION	10	4	239413	327680	81	1026	293	84	84	24	-3900	-2224	2136	-3900	-2224	2136	44320	41536	40964	44320	41536	40964	0	0	0
decode1	ATTENTION_PROJECTION	11	4	237369	327680	81	1026	255	80	80	23	-3388	-1138	1931	-3388	-1138	1931	44253	41663	40960	44253	41663	40960	0	0	0
decode1	ATTENTION_PROJECTION	12	4	240487	327680	81	960	307	84	84	23	-3142	-824	461	-3142	-824	461	44664	41852	40974	44664	41852	40974	0	0	0
decode1	ATTENTION_PROJECTION	13	4	239690	327680	81	1026	263	84	84	24	-1920	-2792	868	-1920	-2792	868	44077	41648	40960	44077	41648	40960	0	0	0
decode1	ATTENTION_PROJECTION	14	4	240173	327680	81	1026	188	80	80	21	-3492	-2588	362	-3492	-2588	362	44038	41504	40960	44038	41504	40960	0	0	0
decode1	ATTENTION_PROJECTION	15	4	239187	327680	81	957	238	83	83	24	-3774	-1867	1212	-3774	-1867	1212	44122	41491	40960	44122	41491	40960	0	0	0
decode1	FFN_MLP	0	3	1353718	1572864	384	384	384	384	384	96	-30399	-1845	54545	-30399	-1845	54545	196608	196608	196608	196608	196608	196608	0	0	0
decode1	FFN_MLP	1	3	1354105	1572864	385	581	398	383	383	97	-31008	-2454	54229	-31008	-2454	54229	196608	196608	196608	196608	196608	196608	0	0	0
decode1	FFN_MLP	2	3	1354100	1572864	385	578	399	383	383	98	-31040	-2545	54116	-31040	-2545	54116	196608	196608	196608	196608	196608	196608	0	0	0
decode1	FFN_MLP	3	3	1354079	1572864	385	578	401	383	383	98	-31032	-2181	54672	-31032	-2181	54672	196608	196608	196608	196608	196608	196608	0	0	0
decode1	FFN_MLP	4	3	1354119	1572864	385	575	400	383	383	98	-31073	-2301	54107	-31073	-2301	54107	196608	196608	196608	196608	196608	196608	0	0	0
decode1	FFN_MLP	5	3	1354040	1572864	385	575	406	383	383	97	-30309	-2410	54223	-30309	-2410	54223	196608	196608	196608	196608	196608	196608	0	0	0
decode1	FFN_MLP	6	3	1354079	1572864	385	588	404	383	383	98	-30836	-2280	54517	-30836	-2280	54517	196608	196608	196608	196608	196608	196608	0	0	0
decode1	FFN_MLP	7	3	1354245	1572864	385	575	405	383	383	98	-30943	-2101	54017	-30943	-2101	54017	196608	196608	196608	196608	196608	196608	0	0	0
decode1	FFN_MLP	8	3	1353630	1572864	384	384	384	384	384	99	-30114	-1258	55173	-30114	-1258	55173	196608	196608	196608	196608	196608	196608	0	0	0
decode1	FFN_MLP	9	3	1353758	1572864	385	588	394	383	383	98	-30401	-1769	54744	-30401	-1769	54744	196608	196608	196608	196608	196608	196608	0	0	0
decode1	FFN_MLP	10	3	1354012	1572864	385	575	405	383	383	99	-30841	-1589	54355	-30841	-1589	54355	196608	196608	196608	196608	196608	196608	0	0	0
decode1	FFN_MLP	11	3	1354111	1572864	385	584	399	383	383	99	-30884	-2213	54148	-30884	-2213	54148	196608	196608	196608	196608	196608	196608	0	0	0
decode1	FFN_MLP	12	3	1354771	1572864	385	588	401	383	383	99	-31248	-3164	53713	-31248	-3164	53713	196608	196608	196608	196608	196608	196608	0	0	0
decode1	FFN_MLP	13	3	1354189	1572864	385	575	406	383	383	99	-30603	-2190	55394	-30603	-2190	55394	196608	196608	196608	196608	196608	196608	0	0	0
decode1	FFN_MLP	14	3	1354318	1572864	385	584	400	383	383	99	-31271	-2310	54142	-31271	-2310	54142	196608	196608	196608	196608	196608	196608	0	0	0
decode1	FFN_MLP	15	3	1353862	1572864	385	585	403	383	383	99	-31155	-2054	54665	-31155	-2054	54665	196608	196608	196608	196608	196608	196608	0	0	0
decode1	NORM	0	2	18418	32768	1	67	32	1	2	2	-1117	-828	-738	-1117	-828	-738	1024	1024	1024	1024	1024	1024	0	0	0
decode1	NORM	1	2	17942	32768	1	92	32	1	2	2	-932	-1033	-1063	-932	-1033	-1063	1024	1024	1024	1024	1024	1024	0	0	0
decode1	NORM	2	2	18445	32768	1	96	32	1	2	2	-1921	-1659	-1395	-1921	-1659	-1395	1024	1024	1024	1024	1024	1024	0	0	0
decode1	NORM	3	2	18527	32768	1	99	32	1	2	2	-455	-1188	-1314	-455	-1188	-1314	1024	1024	1024	1024	1024	1024	0	0	0
decode1	NORM	4	2	17968	32768	1	64	32	1	2	2	-1197	-968	-1156	-1197	-968	-1156	1024	1024	1024	1024	1024	1024	0	0	0
decode1	NORM	5	2	18741	32768	1	73	32	1	2	2	-870	-1635	-1040	-870	-1635	-1040	1024	1024	1024	1024	1024	1024	0	0	0
decode1	NORM	6	2	18139	32768	1	64	32	1	2	2	-1158	-1575	-1238	-1158	-1575	-1238	1024	1024	1024	1024	1024	1024	0	0	0
decode1	NORM	7	2	17951	32768	1	88	32	1	1	1	-761	-936	-1036	-761	-936	-1036	1024	1024	1024	1024	1024	1024	0	0	0
decode1	NORM	8	2	18221	32768	1	67	32	1	2	2	-580	-1457	-1269	-580	-1457	-1269	1024	1024	1024	1024	1024	1024	0	0	0
decode1	NORM	9	2	18130	32768	1	87	32	1	2	2	-1400	-1372	-1240	-1400	-1372	-1240	1024	1024	1024	1024	1024	1024	0	0	0
decode1	NORM	10	2	18216	32768	1	91	32	1	2	2	-659	-856	-821	-659	-856	-821	1024	1024	1024	1024	1024	1024	0	0	0
decode1	NORM	11	2	17938	32768	1	67	32	1	2	2	-687	-662	-1066	-687	-662	-1066	1024	1024	1024	1024	1024	1024	0	0	0
decode1	NORM	12	2	19020	32768	1	64	32	1	2	2	-1014	-1112	-1069	-1014	-1112	-1069	1024	1024	1024	1024	1024	1024	0	0	0
decode1	NORM	13	2	18148	32768	1	91	32	1	2	2	-1039	-1074	-1070	-1039	-1074	-1070	1024	1024	1024	1024	1024	1024	0	0	0
decode1	NORM	14	2	17932	32768	1	67	32	1	2	2	-1213	-940	-838	-1213	-940	-838	1024	1024	1024	1024	1024	1024	0	0	0
decode1	NORM	15	2	18511	32768	1	72	32	1	2	2	-1678	-642	-1077	-1678	-642	-1077	1024	1024	1024	1024	1024	1024	0	0	0
