schema	phase	dimension	point	workload	mode	expected_instructions	shared_baseline	launch_gate	evidence_boundary
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	cap	512	BICG	OO	145666048	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	cap	512	GESUMMV	IO	190918656	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	cap	512	GESUMMV	OO	190918656	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	cap	512	Btree	IO	444467849	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	cap	512	Btree	OO	444467849	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	cap	512	2DConvolution	IO	620347492	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	cap	512	2DConvolution	OO	620347492	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	cap	2048	BICG	IO	145666048	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	cap	2048	BICG	OO	145666048	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	cap	2048	GESUMMV	IO	190918656	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	cap	2048	GESUMMV	OO	190918656	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	cap	2048	Btree	IO	444467849	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	cap	2048	Btree	OO	444467849	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	cap	2048	2DConvolution	IO	620347492	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
SG3_G4_OBSERVER_ON_PLAN_V2	A_COARSE	cap	2048	2DConvolution	OO	620347492	NO	all_8_shared_baselines_STRICT_PASS_and_resource_slot	Decisive coarse sensitivity; no intermediate point is authorized by this row.
