schema	stage	dimension	point	workload	mode	observer	core_source_head	runtime_sha256	instructions	trace_list_sha256	dimension_overlay	dimension_overlay_sha256	expected_dl2_or_cap	observer_overlay_sha256	launch_gate	strict_validation	evidence_boundary
SG3_G4_OBSERVER_ON_PLAN_V1	SG3.2	capacity	double	BICG	OO	1	9b6bd33f3fb3236fd493db2dd7e11d356d1f272f	ae9a51942e99c10ab2ffafd1c68bd5f8709911890a5f15283336dfc29b70680d	145666048	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	config/SG3_L2_CAPACITY_DOUBLE.config	e5cb47a43515ff3c70b88f8d6a3e406e0d404eedaad3d7fd293f00fe9d9e47a7	S:128:128:32,L:B:m:L:L,A:192:4,32:0,32	916dd5cf98b57bb99a20ac11871a670b00db293ce7c336f0f88ee8b75469fad2	resource_slot_after_SG1_D2B_G6_priority	V2 natural exit+authority instruction/trace+observer echo+drain+terminal L2/lifetime consistency	Observer-ON diagnostic only; no primary performance replacement or causal conclusion.
SG3_G4_OBSERVER_ON_PLAN_V1	SG3.2	capacity	double	GESUMMV	IO	1	9b6bd33f3fb3236fd493db2dd7e11d356d1f272f	ae9a51942e99c10ab2ffafd1c68bd5f8709911890a5f15283336dfc29b70680d	190918656	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	config/SG3_L2_CAPACITY_DOUBLE.config	e5cb47a43515ff3c70b88f8d6a3e406e0d404eedaad3d7fd293f00fe9d9e47a7	S:128:128:32,L:B:m:L:L,A:192:4,32:0,32	916dd5cf98b57bb99a20ac11871a670b00db293ce7c336f0f88ee8b75469fad2	resource_slot_after_SG1_D2B_G6_priority	V2 natural exit+authority instruction/trace+observer echo+drain+terminal L2/lifetime consistency	Observer-ON diagnostic only; no primary performance replacement or causal conclusion.
SG3_G4_OBSERVER_ON_PLAN_V1	SG3.2	capacity	double	GESUMMV	OO	1	9b6bd33f3fb3236fd493db2dd7e11d356d1f272f	ae9a51942e99c10ab2ffafd1c68bd5f8709911890a5f15283336dfc29b70680d	190918656	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	config/SG3_L2_CAPACITY_DOUBLE.config	e5cb47a43515ff3c70b88f8d6a3e406e0d404eedaad3d7fd293f00fe9d9e47a7	S:128:128:32,L:B:m:L:L,A:192:4,32:0,32	916dd5cf98b57bb99a20ac11871a670b00db293ce7c336f0f88ee8b75469fad2	resource_slot_after_SG1_D2B_G6_priority	V2 natural exit+authority instruction/trace+observer echo+drain+terminal L2/lifetime consistency	Observer-ON diagnostic only; no primary performance replacement or causal conclusion.
SG3_G4_OBSERVER_ON_PLAN_V1	SG3.2	capacity	double	Btree	IO	1	9b6bd33f3fb3236fd493db2dd7e11d356d1f272f	ae9a51942e99c10ab2ffafd1c68bd5f8709911890a5f15283336dfc29b70680d	444467849	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	config/SG3_L2_CAPACITY_DOUBLE.config	e5cb47a43515ff3c70b88f8d6a3e406e0d404eedaad3d7fd293f00fe9d9e47a7	S:128:128:32,L:B:m:L:L,A:192:4,32:0,32	916dd5cf98b57bb99a20ac11871a670b00db293ce7c336f0f88ee8b75469fad2	resource_slot_after_SG1_D2B_G6_priority	V2 natural exit+authority instruction/trace+observer echo+drain+terminal L2/lifetime consistency	Observer-ON diagnostic only; no primary performance replacement or causal conclusion.
SG3_G4_OBSERVER_ON_PLAN_V1	SG3.2	capacity	double	Btree	OO	1	9b6bd33f3fb3236fd493db2dd7e11d356d1f272f	ae9a51942e99c10ab2ffafd1c68bd5f8709911890a5f15283336dfc29b70680d	444467849	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	config/SG3_L2_CAPACITY_DOUBLE.config	e5cb47a43515ff3c70b88f8d6a3e406e0d404eedaad3d7fd293f00fe9d9e47a7	S:128:128:32,L:B:m:L:L,A:192:4,32:0,32	916dd5cf98b57bb99a20ac11871a670b00db293ce7c336f0f88ee8b75469fad2	resource_slot_after_SG1_D2B_G6_priority	V2 natural exit+authority instruction/trace+observer echo+drain+terminal L2/lifetime consistency	Observer-ON diagnostic only; no primary performance replacement or causal conclusion.
SG3_G4_OBSERVER_ON_PLAN_V1	SG3.2	capacity	double	2DConvolution	IO	1	9b6bd33f3fb3236fd493db2dd7e11d356d1f272f	ae9a51942e99c10ab2ffafd1c68bd5f8709911890a5f15283336dfc29b70680d	620347492	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	config/SG3_L2_CAPACITY_DOUBLE.config	e5cb47a43515ff3c70b88f8d6a3e406e0d404eedaad3d7fd293f00fe9d9e47a7	S:128:128:32,L:B:m:L:L,A:192:4,32:0,32	916dd5cf98b57bb99a20ac11871a670b00db293ce7c336f0f88ee8b75469fad2	resource_slot_after_SG1_D2B_G6_priority	V2 natural exit+authority instruction/trace+observer echo+drain+terminal L2/lifetime consistency	Observer-ON diagnostic only; no primary performance replacement or causal conclusion.
SG3_G4_OBSERVER_ON_PLAN_V1	SG3.2	capacity	double	2DConvolution	OO	1	9b6bd33f3fb3236fd493db2dd7e11d356d1f272f	ae9a51942e99c10ab2ffafd1c68bd5f8709911890a5f15283336dfc29b70680d	620347492	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	config/SG3_L2_CAPACITY_DOUBLE.config	e5cb47a43515ff3c70b88f8d6a3e406e0d404eedaad3d7fd293f00fe9d9e47a7	S:128:128:32,L:B:m:L:L,A:192:4,32:0,32	916dd5cf98b57bb99a20ac11871a670b00db293ce7c336f0f88ee8b75469fad2	resource_slot_after_SG1_D2B_G6_priority	V2 natural exit+authority instruction/trace+observer echo+drain+terminal L2/lifetime consistency	Observer-ON diagnostic only; no primary performance replacement or causal conclusion.
SG3_G4_OBSERVER_ON_PLAN_V1	SG3.3	mshr	half	BICG	IO	1	9b6bd33f3fb3236fd493db2dd7e11d356d1f272f	ae9a51942e99c10ab2ffafd1c68bd5f8709911890a5f15283336dfc29b70680d	145666048	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	config/SG3_L2_MSHR_HALF.config	651098a99dcfb14c29ce940805bf14d8c8568a3a102f0a91f7ff2d7db82f1b07	S:128:128:16,L:B:m:L:L,A:96:4,32:0,32	916dd5cf98b57bb99a20ac11871a670b00db293ce7c336f0f88ee8b75469fad2	resource_slot_after_SG1_D2B_G6_priority	V2 natural exit+authority instruction/trace+observer echo+drain+terminal L2/lifetime consistency	Observer-ON diagnostic only; no primary performance replacement or causal conclusion.
SG3_G4_OBSERVER_ON_PLAN_V1	SG3.3	mshr	half	BICG	OO	1	9b6bd33f3fb3236fd493db2dd7e11d356d1f272f	ae9a51942e99c10ab2ffafd1c68bd5f8709911890a5f15283336dfc29b70680d	145666048	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	config/SG3_L2_MSHR_HALF.config	651098a99dcfb14c29ce940805bf14d8c8568a3a102f0a91f7ff2d7db82f1b07	S:128:128:16,L:B:m:L:L,A:96:4,32:0,32	916dd5cf98b57bb99a20ac11871a670b00db293ce7c336f0f88ee8b75469fad2	resource_slot_after_SG1_D2B_G6_priority	V2 natural exit+authority instruction/trace+observer echo+drain+terminal L2/lifetime consistency	Observer-ON diagnostic only; no primary performance replacement or causal conclusion.
SG3_G4_OBSERVER_ON_PLAN_V1	SG3.3	mshr	half	GESUMMV	IO	1	9b6bd33f3fb3236fd493db2dd7e11d356d1f272f	ae9a51942e99c10ab2ffafd1c68bd5f8709911890a5f15283336dfc29b70680d	190918656	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	config/SG3_L2_MSHR_HALF.config	651098a99dcfb14c29ce940805bf14d8c8568a3a102f0a91f7ff2d7db82f1b07	S:128:128:16,L:B:m:L:L,A:96:4,32:0,32	916dd5cf98b57bb99a20ac11871a670b00db293ce7c336f0f88ee8b75469fad2	resource_slot_after_SG1_D2B_G6_priority	V2 natural exit+authority instruction/trace+observer echo+drain+terminal L2/lifetime consistency	Observer-ON diagnostic only; no primary performance replacement or causal conclusion.
SG3_G4_OBSERVER_ON_PLAN_V1	SG3.3	mshr	half	GESUMMV	OO	1	9b6bd33f3fb3236fd493db2dd7e11d356d1f272f	ae9a51942e99c10ab2ffafd1c68bd5f8709911890a5f15283336dfc29b70680d	190918656	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	config/SG3_L2_MSHR_HALF.config	651098a99dcfb14c29ce940805bf14d8c8568a3a102f0a91f7ff2d7db82f1b07	S:128:128:16,L:B:m:L:L,A:96:4,32:0,32	916dd5cf98b57bb99a20ac11871a670b00db293ce7c336f0f88ee8b75469fad2	resource_slot_after_SG1_D2B_G6_priority	V2 natural exit+authority instruction/trace+observer echo+drain+terminal L2/lifetime consistency	Observer-ON diagnostic only; no primary performance replacement or causal conclusion.
SG3_G4_OBSERVER_ON_PLAN_V1	SG3.3	mshr	half	Btree	IO	1	9b6bd33f3fb3236fd493db2dd7e11d356d1f272f	ae9a51942e99c10ab2ffafd1c68bd5f8709911890a5f15283336dfc29b70680d	444467849	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	config/SG3_L2_MSHR_HALF.config	651098a99dcfb14c29ce940805bf14d8c8568a3a102f0a91f7ff2d7db82f1b07	S:128:128:16,L:B:m:L:L,A:96:4,32:0,32	916dd5cf98b57bb99a20ac11871a670b00db293ce7c336f0f88ee8b75469fad2	resource_slot_after_SG1_D2B_G6_priority	V2 natural exit+authority instruction/trace+observer echo+drain+terminal L2/lifetime consistency	Observer-ON diagnostic only; no primary performance replacement or causal conclusion.
SG3_G4_OBSERVER_ON_PLAN_V1	SG3.3	mshr	half	Btree	OO	1	9b6bd33f3fb3236fd493db2dd7e11d356d1f272f	ae9a51942e99c10ab2ffafd1c68bd5f8709911890a5f15283336dfc29b70680d	444467849	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	config/SG3_L2_MSHR_HALF.config	651098a99dcfb14c29ce940805bf14d8c8568a3a102f0a91f7ff2d7db82f1b07	S:128:128:16,L:B:m:L:L,A:96:4,32:0,32	916dd5cf98b57bb99a20ac11871a670b00db293ce7c336f0f88ee8b75469fad2	resource_slot_after_SG1_D2B_G6_priority	V2 natural exit+authority instruction/trace+observer echo+drain+terminal L2/lifetime consistency	Observer-ON diagnostic only; no primary performance replacement or causal conclusion.
SG3_G4_OBSERVER_ON_PLAN_V1	SG3.3	mshr	half	2DConvolution	IO	1	9b6bd33f3fb3236fd493db2dd7e11d356d1f272f	ae9a51942e99c10ab2ffafd1c68bd5f8709911890a5f15283336dfc29b70680d	620347492	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	config/SG3_L2_MSHR_HALF.config	651098a99dcfb14c29ce940805bf14d8c8568a3a102f0a91f7ff2d7db82f1b07	S:128:128:16,L:B:m:L:L,A:96:4,32:0,32	916dd5cf98b57bb99a20ac11871a670b00db293ce7c336f0f88ee8b75469fad2	resource_slot_after_SG1_D2B_G6_priority	V2 natural exit+authority instruction/trace+observer echo+drain+terminal L2/lifetime consistency	Observer-ON diagnostic only; no primary performance replacement or causal conclusion.
SG3_G4_OBSERVER_ON_PLAN_V1	SG3.3	mshr	half	2DConvolution	OO	1	9b6bd33f3fb3236fd493db2dd7e11d356d1f272f	ae9a51942e99c10ab2ffafd1c68bd5f8709911890a5f15283336dfc29b70680d	620347492	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	config/SG3_L2_MSHR_HALF.config	651098a99dcfb14c29ce940805bf14d8c8568a3a102f0a91f7ff2d7db82f1b07	S:128:128:16,L:B:m:L:L,A:96:4,32:0,32	916dd5cf98b57bb99a20ac11871a670b00db293ce7c336f0f88ee8b75469fad2	resource_slot_after_SG1_D2B_G6_priority	V2 natural exit+authority instruction/trace+observer echo+drain+terminal L2/lifetime consistency	Observer-ON diagnostic only; no primary performance replacement or causal conclusion.
SG3_G4_OBSERVER_ON_PLAN_V1	SG3.3	mshr	base	BICG	IO	1	9b6bd33f3fb3236fd493db2dd7e11d356d1f272f	ae9a51942e99c10ab2ffafd1c68bd5f8709911890a5f15283336dfc29b70680d	145666048	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	NONE	NONE	S:128:128:16,L:B:m:L:L,A:192:4,32:0,32	916dd5cf98b57bb99a20ac11871a670b00db293ce7c336f0f88ee8b75469fad2	resource_slot_after_SG1_D2B_G6_priority	V2 natural exit+authority instruction/trace+observer echo+drain+terminal L2/lifetime consistency	Observer-ON diagnostic only; no primary performance replacement or causal conclusion.
SG3_G4_OBSERVER_ON_PLAN_V1	SG3.3	mshr	base	BICG	OO	1	9b6bd33f3fb3236fd493db2dd7e11d356d1f272f	ae9a51942e99c10ab2ffafd1c68bd5f8709911890a5f15283336dfc29b70680d	145666048	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	NONE	NONE	S:128:128:16,L:B:m:L:L,A:192:4,32:0,32	916dd5cf98b57bb99a20ac11871a670b00db293ce7c336f0f88ee8b75469fad2	resource_slot_after_SG1_D2B_G6_priority	V2 natural exit+authority instruction/trace+observer echo+drain+terminal L2/lifetime consistency	Observer-ON diagnostic only; no primary performance replacement or causal conclusion.
SG3_G4_OBSERVER_ON_PLAN_V1	SG3.3	mshr	base	GESUMMV	IO	1	9b6bd33f3fb3236fd493db2dd7e11d356d1f272f	ae9a51942e99c10ab2ffafd1c68bd5f8709911890a5f15283336dfc29b70680d	190918656	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	NONE	NONE	S:128:128:16,L:B:m:L:L,A:192:4,32:0,32	916dd5cf98b57bb99a20ac11871a670b00db293ce7c336f0f88ee8b75469fad2	resource_slot_after_SG1_D2B_G6_priority	V2 natural exit+authority instruction/trace+observer echo+drain+terminal L2/lifetime consistency	Observer-ON diagnostic only; no primary performance replacement or causal conclusion.
SG3_G4_OBSERVER_ON_PLAN_V1	SG3.3	mshr	base	GESUMMV	OO	1	9b6bd33f3fb3236fd493db2dd7e11d356d1f272f	ae9a51942e99c10ab2ffafd1c68bd5f8709911890a5f15283336dfc29b70680d	190918656	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	NONE	NONE	S:128:128:16,L:B:m:L:L,A:192:4,32:0,32	916dd5cf98b57bb99a20ac11871a670b00db293ce7c336f0f88ee8b75469fad2	resource_slot_after_SG1_D2B_G6_priority	V2 natural exit+authority instruction/trace+observer echo+drain+terminal L2/lifetime consistency	Observer-ON diagnostic only; no primary performance replacement or causal conclusion.
