state	stride_bytes	locations	warps	policy	replicate	samples	median	p10	p90	minimum	maximum
CONCURRENCY_SURFACE	65536	1024	16	default	0	800	109.0	61.0	192.0	53.0	266.0
CONCURRENCY_SURFACE	65536	1024	2	default	0	100	151.5	81.0	253.0	57.0	285.0
CONCURRENCY_SURFACE	65536	1024	4	default	0	200	168.5	74.0	250.0	54.0	303.0
CONCURRENCY_SURFACE	65536	1024	8	default	0	400	139.0	67.0	222.0	53.0	277.0
CORE	16384	1024	1	default	0	50	151.0	82.0	228.0	56.0	553.0
CORE	16384	128	1	default	0	50	52.0	52.0	52.0	52.0	114.0
CORE	16384	16	1	default	0	50	52.0	52.0	52.0	52.0	60.0
CORE	16384	16384	1	default	0	50	479.5	306.0	650.0	178.0	653.0
CORE	16384	2048	1	default	0	50	255.5	166.0	303.0	133.0	640.0
CORE	16384	256	1	default	0	50	52.0	52.0	52.0	52.0	175.0
CORE	16384	32	1	default	0	50	52.0	52.0	52.0	52.0	68.0
CORE	16384	32768	1	default	0	50	578.0	325.0	651.0	306.0	652.0
CORE	16384	4096	1	default	0	50	292.0	198.0	412.0	125.0	647.0
CORE	16384	512	1	default	0	50	52.0	52.0	52.0	52.0	299.0
CORE	16384	64	1	default	0	50	52.0	52.0	52.0	52.0	83.0
CORE	16384	8192	1	default	0	50	332.0	285.0	646.0	240.0	649.0
CORE	2097152	1024	1	default	0	50	164.5	82.0	250.0	57.0	589.0
CORE	2097152	128	1	default	0	50	52.0	52.0	52.0	52.0	116.0
CORE	2097152	16	1	default	0	50	52.0	52.0	52.0	52.0	60.0
CORE	2097152	2048	1	default	0	50	220.5	136.0	308.0	87.0	652.0
CORE	2097152	256	1	default	0	50	52.0	52.0	52.0	52.0	181.0
CORE	2097152	32	1	default	0	50	52.0	52.0	52.0	52.0	68.0
CORE	2097152	512	1	default	0	50	52.0	52.0	52.0	52.0	308.0
CORE	2097152	64	1	default	0	50	52.0	52.0	52.0	52.0	84.0
CORE	262144	1024	1	default	0	50	174.5	92.0	251.0	71.0	455.0
CORE	262144	128	1	default	0	50	52.0	52.0	52.0	52.0	114.0
CORE	262144	16	1	default	0	50	52.0	52.0	52.0	52.0	60.0
CORE	262144	16384	1	default	0	50	410.0	305.0	651.0	147.0	655.0
CORE	262144	2048	1	default	0	50	275.0	179.0	308.0	150.0	649.0
CORE	262144	256	1	default	0	50	52.0	52.0	52.0	52.0	178.0
CORE	262144	32	1	default	0	50	52.0	52.0	52.0	52.0	68.0
CORE	262144	4096	1	default	0	50	305.0	219.0	463.0	120.0	653.0
CORE	262144	512	1	default	0	50	52.0	52.0	52.0	52.0	306.0
CORE	262144	64	1	default	0	50	52.0	52.0	52.0	52.0	83.0
CORE	262144	8192	1	default	0	50	307.0	273.0	645.0	151.0	655.0
CORE	4096	1024	1	default	0	50	158.0	81.0	218.0	62.0	356.0
CORE	4096	128	1	default	0	50	52.0	52.0	52.0	52.0	114.0
CORE	4096	16	1	default	0	50	52.0	52.0	52.0	52.0	60.0
CORE	4096	16384	1	default	0	50	425.5	294.0	645.0	120.0	649.0
CORE	4096	2048	1	default	0	50	244.0	139.0	304.0	93.0	641.0
CORE	4096	256	1	default	0	50	52.0	52.0	52.0	52.0	175.0
CORE	4096	32	1	default	0	50	52.0	52.0	52.0	52.0	68.0
CORE	4096	32768	1	default	0	50	645.0	306.0	649.0	198.0	656.0
CORE	4096	4096	1	default	0	50	283.0	253.0	535.0	169.0	639.0
CORE	4096	512	1	default	0	50	52.0	52.0	52.0	52.0	299.0
CORE	4096	64	1	default	0	50	52.0	52.0	52.0	52.0	83.0
CORE	4096	8192	1	default	0	50	302.5	286.0	639.0	134.0	643.0
CORE	65536	1024	1	default	0	50	168.0	94.0	243.0	61.0	512.0
CORE	65536	128	1	default	0	50	52.0	52.0	52.0	52.0	114.0
CORE	65536	16	1	default	0	50	52.0	52.0	52.0	52.0	60.0
CORE	65536	16384	1	default	0	50	434.0	303.0	650.0	252.0	654.0
CORE	65536	2048	1	default	0	50	220.5	159.0	319.0	116.0	648.0
CORE	65536	256	1	default	0	50	52.0	52.0	52.0	52.0	175.0
CORE	65536	32	1	default	0	50	52.0	52.0	52.0	52.0	68.0
CORE	65536	32768	1	default	0	50	623.5	308.0	651.0	179.0	655.0
CORE	65536	4096	1	default	0	50	295.0	233.0	453.0	168.0	651.0
CORE	65536	512	1	default	0	50	52.0	52.0	52.0	52.0	299.0
CORE	65536	64	1	default	0	50	52.0	52.0	52.0	52.0	83.0
CORE	65536	8192	1	default	0	50	307.5	256.0	646.0	170.0	653.0
CROSS_PROCESS_REPEAT	16384	1024	1	default	1	50	164.5	94.0	243.0	58.0	540.0
CROSS_PROCESS_REPEAT	16384	1024	1	default	2	50	158.5	92.0	235.0	55.0	449.0
CROSS_PROCESS_REPEAT	16384	1024	1	default	3	50	163.5	67.0	248.0	56.0	298.0
CROSS_PROCESS_REPEAT	2097152	1024	1	default	1	50	168.0	85.0	231.0	70.0	309.0
CROSS_PROCESS_REPEAT	2097152	1024	1	default	2	50	158.0	73.0	241.0	62.0	321.0
CROSS_PROCESS_REPEAT	2097152	1024	1	default	3	50	147.0	86.0	237.0	69.0	509.0
CROSS_PROCESS_REPEAT	262144	1024	1	default	1	50	167.5	84.0	242.0	65.0	335.0
CROSS_PROCESS_REPEAT	262144	1024	1	default	2	50	145.0	68.0	225.0	56.0	308.0
CROSS_PROCESS_REPEAT	262144	1024	1	default	3	50	158.0	91.0	228.0	61.0	307.0
CROSS_PROCESS_REPEAT	4096	1024	1	default	1	50	161.0	94.0	206.0	65.0	454.0
CROSS_PROCESS_REPEAT	4096	1024	1	default	2	50	144.5	84.0	218.0	58.0	298.0
CROSS_PROCESS_REPEAT	4096	1024	1	default	3	50	147.0	73.0	223.0	61.0	585.0
CROSS_PROCESS_REPEAT	4096	2048	1	default	1	50	251.5	181.0	297.0	103.0	641.0
CROSS_PROCESS_REPEAT	4096	2048	1	default	2	50	257.0	142.0	298.0	87.0	541.0
CROSS_PROCESS_REPEAT	4096	2048	1	default	3	50	251.0	170.0	298.0	117.0	472.0
CROSS_PROCESS_REPEAT	4096	512	1	default	1	50	52.0	52.0	52.0	52.0	299.0
CROSS_PROCESS_REPEAT	4096	512	1	default	2	50	52.0	52.0	52.0	52.0	299.0
CROSS_PROCESS_REPEAT	4096	512	1	default	3	50	52.0	52.0	52.0	52.0	299.0
CROSS_PROCESS_REPEAT	65536	1024	1	default	1	50	165.0	90.0	235.0	60.0	362.0
CROSS_PROCESS_REPEAT	65536	1024	1	default	2	50	156.5	80.0	228.0	57.0	308.0
CROSS_PROCESS_REPEAT	65536	1024	1	default	3	50	159.5	83.0	222.0	60.0	565.0
CROSS_PROCESS_REPEAT	65536	512	1	default	1	50	52.0	52.0	52.0	52.0	299.0
CROSS_PROCESS_REPEAT	65536	512	1	default	2	50	52.0	52.0	52.0	52.0	299.0
CROSS_PROCESS_REPEAT	65536	512	1	default	3	50	52.0	52.0	52.0	52.0	299.0
INTERVENING_THRASH	16384	1024	1	default	0	50	158.5	88.0	233.0	58.0	375.0
INTERVENING_THRASH	2097152	1024	1	default	0	50	166.5	113.0	242.0	95.0	309.0
INTERVENING_THRASH	262144	1024	1	default	0	50	148.0	88.0	230.0	56.0	348.0
INTERVENING_THRASH	4096	1024	1	default	0	50	165.5	88.0	219.0	56.0	298.0
INTERVENING_THRASH	4096	2048	1	default	0	50	234.5	163.0	297.0	117.0	640.0
INTERVENING_THRASH	4096	512	1	default	0	50	52.0	52.0	52.0	52.0	299.0
INTERVENING_THRASH	65536	1024	1	default	0	50	165.0	80.0	239.0	67.0	303.0
INTERVENING_THRASH	65536	512	1	default	0	50	52.0	52.0	52.0	52.0	299.0
WARM_REPEAT	16384	1024	1	default	0	50	154.5	92.0	225.0	58.0	384.0
WARM_REPEAT	2097152	1024	1	default	0	50	169.0	113.0	235.0	97.0	309.0
WARM_REPEAT	262144	1024	1	default	0	50	149.5	83.0	238.0	55.0	351.0
WARM_REPEAT	4096	1024	1	default	0	50	167.0	88.0	227.0	59.0	298.0
WARM_REPEAT	4096	2048	1	default	0	50	233.5	161.0	297.0	115.0	640.0
WARM_REPEAT	4096	512	1	default	0	50	52.0	52.0	52.0	52.0	299.0
WARM_REPEAT	65536	1024	1	default	0	50	160.5	85.0	239.0	68.0	303.0
WARM_REPEAT	65536	512	1	default	0	50	52.0	52.0	52.0	52.0	299.0
