evidence_label	baseline_arm	target_arm	metric	baseline_value	target_value	absolute_delta	relative_delta_pct	scope_guard
SPECULATIVE_DIAGNOSTIC	E05-generic	E05-disabled	vm_translation_pwq_full_events	0	NOT_EMITTED	NOT_APPLICABLE	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E05-generic	E05-disabled	vm_translation_walk_starts	2	NOT_EMITTED	NOT_APPLICABLE	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E05-generic	E05-disabled	vm_pwc_hits	1	NOT_EMITTED	NOT_APPLICABLE	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E05-generic	E05-disabled	vm_pwc_misses	5	NOT_EMITTED	NOT_APPLICABLE	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E05-generic	E05-disabled	vm_pte_requests	7	NOT_EMITTED	NOT_APPLICABLE	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E05-generic	E05-disabled	vm_pte_dram_responses	7	NOT_EMITTED	NOT_APPLICABLE	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E06-generic	E06-ideal	gpu_tot_sim_cycle	17390	13733	-3657.000000	-21.029327	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E06-generic	E06-ideal	gpu_tot_ipc	116.1201	147.0420	30.921900	26.629240	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E06-generic	E06-ideal	vm_l1_tlb_misses	32	NOT_EMITTED	NOT_APPLICABLE	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E06-generic	E06-ideal	vm_l2_tlb_misses	32	NOT_EMITTED	NOT_APPLICABLE	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E06-generic	E06-ideal	vm_translation_mshr_full_events	0	NOT_EMITTED	NOT_APPLICABLE	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E06-generic	E06-ideal	vm_translation_pwq_full_events	0	NOT_EMITTED	NOT_APPLICABLE	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E06-generic	E06-ideal	vm_translation_walk_starts	2	NOT_EMITTED	NOT_APPLICABLE	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E06-generic	E06-ideal	vm_pwc_hits	1	NOT_EMITTED	NOT_APPLICABLE	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E06-generic	E06-ideal	vm_pwc_misses	5	NOT_EMITTED	NOT_APPLICABLE	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E06-generic	E06-ideal	vm_pte_requests	7	NOT_EMITTED	NOT_APPLICABLE	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E06-generic	E06-ideal	vm_pte_dram_responses	7	NOT_EMITTED	NOT_APPLICABLE	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
