target	candidate	revision	vm_config	cycles	speedup_vs_local_off	cycle_delta_vs_accepted_v1_same_vm_config	instructions	cta	coverage_admissions	coverage_translated	unique_uid	translated_unique_uid	untranslated	unobserved	physical_lookup_requests	l1_tlb_accesses	l2_tlb_accesses	l2_tlb_misses	l2_tlb_evictions	walk_starts	share_owner_ready	share_deliveries	history_hits	protected_refills	protected_hits	protected_victim_skips	all_protected_lru_fallbacks	pending_drops	candidate_pending_final	run_log_sha256	binary_sha256	status
T2	refill_protect	v0	10/80	93079	0.000000000	0	43357696	1216	715333	715333	411008	411008	0	0	549207	412391	2327	1383	0	134	0	0	0	0	0	0	0	0	0	b4b837fbe8e625ba258eb26e65ed812e234d060a3f513fc8f7c99a0ba036a1ad	2ae9758039565177ed57d37bd6ee6eb62d62712740f64751bf0d569079a62e1b	PASS
T2	same_page_share	v0	10/80	91463	0.017668347	-1616	43357696	1216	805303	805303	411008	411008	0	0	549108	412324	2264	1316	0	134	132531	132531	0	0	0	0	0	0	0	853f12dee10b2b59d3e02161730d88c112abc83341a5d1f9a81c4bced5f76ce1	2ae9758039565177ed57d37bd6ee6eb62d62712740f64751bf0d569079a62e1b	PRE_FIX_INVALID_READY_LEAK
A1_CONTROL	none	r1	10/80	875138	0.000000000		2795248	2	51250	51250	51250	51250	0	0	133183	53305	10	5	0	2	0	0	0	0	0	0	0	0	0	9cf1c2368d9b3427b56c161b6654f2e4d27899de6bf3d4dc38cf1f4eb853aae3	7579122e4b67af46596565ff20aa2cc9ffc2f868f97ce7ffd36715b7dd9aa957	PASS
A1_CONTROL	refill_protect	r1	10/80	875138	0.000000000		2795248	2	51250	51250	51250	51250	0	0	133183	53305	10	5	0	2	0	0	0	0	0	0	0	0	0	440ebb0b060ff936e5bca53d975ca278657ca0b1e4aa3534d61bac82b9f2aae0	7579122e4b67af46596565ff20aa2cc9ffc2f868f97ce7ffd36715b7dd9aa957	PASS
A1_CONTROL	same_page_share	r1	10/80	863057	0.013997917		2795248	2	51250	51250	51250	51250	0	0	13366	13366	4	2	0	2	13312	39936	0	0	0	0	0	0	0	4804aa97d2edf9eb6b29fd5ca274b90330858c0e37a125bbc2ab4461e1d3f00e	7579122e4b67af46596565ff20aa2cc9ffc2f868f97ce7ffd36715b7dd9aa957	PASS
T0	same_page_share	r1	0/80	489880	0.012839879	-6290	368696302	224	3090304	3090304	3090304	3090304	0	0	393461	369349	8335	1509	0	256	364256	2722464	0	0	0	0	0	0	0	d75b52956831519d8320ee036444588fd05750f346094f8f9787450934dd6cce	7579122e4b67af46596565ff20aa2cc9ffc2f868f97ce7ffd36715b7dd9aa957	PASS
T0	same_page_share	r1	10/80	487624	0.082588224	-40272	368696302	224	3090304	3090304	3090304	3090304	0	0	393499	369387	8523	1547	0	256	364256	2722464	0	0	0	0	0	0	0	8fabd0a7c66c43cfceeb3b5b677611a509851932c1ccaa38847f4d3dc4117f54	7579122e4b67af46596565ff20aa2cc9ffc2f868f97ce7ffd36715b7dd9aa957	PASS
T1	same_page_share	r1	10/80	653485	0.018848176	-12317	369131520	384	7170373	7170373	7159808	7159808	0	0	613449	531081	8877	1225	0	493	529856	6629952	0	0	0	0	0	0	0	53d9e6cded9d1dc86e56f2436be2c014d485a0361188f34e3d9aad187fb6bdd3	7579122e4b67af46596565ff20aa2cc9ffc2f868f97ce7ffd36715b7dd9aa957	PASS
T2	same_page_share	r1	10/80	94034	-0.010155901	955	43357696	1216	832383	832383	411008	411008	0	0	282838	279190	1218	726	0	134	132544	132544	0	0	0	0	0	0	0	6ed270f22e047aba493075e5bdf04820a429424498fc4e97e7d3413d94972642	7579122e4b67af46596565ff20aa2cc9ffc2f868f97ce7ffd36715b7dd9aa957	PASS
A1_CONTROL	none	r2	10/80	875138	0.000000000		2795248	2	51250	51250	51250	51250	0	0	133183	53305	10	5	0	2	0	0	0	0	0	0	0	0	0	f8dbed018c9e52bb4c822246955f537b64dcfbbc6dddce11315ec8b469bb0776	129307ef1bcbf4ee1bb7331e4a9eb612f5c97298187ea49a5b64b6d4ab4f4057	PASS
A1_CONTROL	refill_protect	r2	10/80	875138	0.000000000		2795248	2	51250	51250	51250	51250	0	0	133183	53305	10	5	0	2	0	0	0	0	0	0	0	0	0	9ad6ea02c22f116d1c03ceaaf13aefd613992f37eba9dc87b94fa00a648e8ec9	129307ef1bcbf4ee1bb7331e4a9eb612f5c97298187ea49a5b64b6d4ab4f4057	PASS
A1_CONTROL	same_page_share	r2	10/80	863057	0.013997917		2795248	2	51250	51250	51250	51250	0	0	13366	13366	4	2	0	2	13312	39936	0	0	0	0	0	0	0	7223740dbb64b23dba7cebaba3a09fcba6d4f500416f3977ab106a68df189f32	129307ef1bcbf4ee1bb7331e4a9eb612f5c97298187ea49a5b64b6d4ab4f4057	PASS
A1_CONTROL	same_page_share_service_control	r2	10/80	1246170	-0.297737869		2795248	2	51250	51250	51250	51250	0	0	53302	53302	4	2	0	2	13312	0	0	0	0	0	0	0	0	efcea382b67823b4a8e0144c346d70d0180e16b393b4471fc393c090cd9626ce	129307ef1bcbf4ee1bb7331e4a9eb612f5c97298187ea49a5b64b6d4ab4f4057	PASS
T0	none	r2	0/80	496170	0.000000000	0	368696302	224	3090304	3090304	3090304	3090304	0	0	21244460	3102970	66106	12666	0	256	0	0	0	0	0	0	0	0	0	b2a2b41c973b66ff1b503609d4758cf21b9aef0db2b4736e70934dbdc359101d	129307ef1bcbf4ee1bb7331e4a9eb612f5c97298187ea49a5b64b6d4ab4f4057	PASS
T0	same_page_share	r2	0/80	489880	0.012839879	-6290	368696302	224	3090304	3090304	3090304	3090304	0	0	393461	369349	8335	1509	0	256	364256	2722464	0	0	0	0	0	0	0	787e8a22b12780514d045fcf90089486b82fedb232e87cad6402c989428b35bc	129307ef1bcbf4ee1bb7331e4a9eb612f5c97298187ea49a5b64b6d4ab4f4057	PASS
T0	same_page_share_service_control	r2	10/80	957758	-0.448821101	429862	368696302	224	3090304	3090304	3090304	3090304	0	0	3115558	3091446	8584	1142	0	256	364256	0	0	0	0	0	0	0	0	dd4cd8428e1848526db4b0f3162341ccd3c3c6573232c506485e2e643dcb11cf	129307ef1bcbf4ee1bb7331e4a9eb612f5c97298187ea49a5b64b6d4ab4f4057	PASS
