model_label	decoder_layer_id	attention_bytes	dense_mlp_bytes	norm_other_bytes	router_gate_bytes	routed_expert_bytes	shared_expert_bytes	total_layer_parameter_bytes	source_shard_count	source_shards	expert_count_represented	per_expert_min_bytes	per_expert_median_bytes	per_expert_max_bytes
Qwen3-8B	32	83886592	301989888	16384	0	0	0	385892864	1	model-00004-of-00005.safetensors	0	0	0	0
Qwen3-8B	33	83886592	301989888	16384	0	0	0	385892864	1	model-00004-of-00005.safetensors	0	0	0	0
Qwen3-8B	34	83886592	301989888	16384	0	0	0	385892864	1	model-00004-of-00005.safetensors	0	0	0	0
Qwen3-8B	35	83886592	301989888	16384	0	0	0	385892864	1	model-00004-of-00005.safetensors	0	0	0	0
DeepSeek-V2-Lite	0	27526144	134479872	8192	0	0	0	162014208	1	model-00001-of-000004.safetensors	0	0	0	0
DeepSeek-V2-Lite	1	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00001-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	2	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00001-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	3	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00001-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	4	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00001-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	5	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00001-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	6	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00001-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	7	27526144	0	8192	262144	1107296256	34603008	1169695744	2	model-00001-of-000004.safetensors;model-00002-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	8	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00002-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	9	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00002-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	10	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00002-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	11	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00002-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	12	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00002-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	13	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00002-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	14	27526144	0	8192	262144	1107296256	34603008	1169695744	2	model-00002-of-000004.safetensors;model-00003-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	15	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00003-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	16	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00003-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	17	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00003-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	18	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00003-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	19	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00003-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	20	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00003-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	21	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00003-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	22	27526144	0	8192	262144	1107296256	34603008	1169695744	2	model-00003-of-000004.safetensors;model-00004-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	23	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00004-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	24	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00004-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	25	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00004-of-000004.safetensors	64	17301504	17301504	17301504
DeepSeek-V2-Lite	26	27526144	0	8192	262144	1107296256	34603008	1169695744	1	model-00004-of-000004.safetensors	64	17301504	17301504	17301504
